NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0;17;2;33;0;0;2;0;0;1;9;14;0;13;0;21;0;1;55;0;0;0;0;27;322;5;0;0;9;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;2;1;5;2;1;0
4;2;81;4;83;0;1;18;0;0;0;93;6;0;7;0;198;0;3;32;0;0;0;0;20;71;4;1;0;53;1;2;0;0;0;0;0;0;0;1;0;0;5;0;0;0;1;2;0;2;0;0;2
10;1;115;0;97;0;0;6;0;0;2;60;14;0;0;0;177;0;11;18;0;0;0;0;15;22;2;0;0;33;2;0;0;4;0;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0
9;2;155;7;235;0;0;10;0;0;1;96;35;0;2;0;289;2;16;56;0;0;0;1;10;47;8;0;2;68;2;0;1;6;0;0;0;0;2;1;3;0;4;9;0;0;0;2;0;6;0;0;3
10;1;93;5;205;0;0;3;0;0;1;48;7;0;0;0;155;2;2;10;0;0;0;0;3;3;3;0;1;13;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;4;0;2;0;2;0;0;0
7;0;77;5;55;0;0;2;0;0;0;42;13;0;0;0;254;0;6;40;0;0;0;0;9;14;10;0;1;22;0;0;1;1;0;0;0;0;0;0;1;0;7;1;0;2;0;5;0;0;0;1;1
3;0;106;3;75;0;0;1;0;0;0;55;7;0;0;0;255;0;9;20;0;0;0;0;4;4;4;0;0;22;0;0;1;1;0;0;0;0;1;0;0;0;5;0;0;3;0;0;0;0;0;0;0
5;0;112;3;77;0;0;5;0;0;0;76;20;0;0;0;390;0;18;21;0;0;0;0;9;13;2;0;0;31;0;0;0;2;0;0;0;0;1;0;0;0;9;0;0;0;0;0;1;3;0;0;0
1;0;56;1;44;0;0;0;0;0;1;41;12;0;1;0;220;1;8;15;0;0;0;0;8;13;1;0;0;11;0;0;0;3;0;0;0;0;2;0;1;0;8;0;0;0;0;0;0;0;0;0;0
1;0;73;2;50;0;0;0;0;0;0;47;8;0;5;0;220;2;12;16;0;0;0;0;7;20;3;0;0;18;0;0;0;0;0;0;0;0;2;0;1;0;5;0;0;0;0;2;0;0;0;0;0
6;1;111;0;43;0;0;0;0;0;0;93;13;0;5;0;455;0;10;13;0;0;0;0;9;27;1;0;1;28;0;1;0;1;0;0;0;0;0;0;5;0;10;0;0;0;0;0;0;6;0;1;0
0;1;75;1;56;0;0;0;0;0;0;49;16;0;4;0;174;1;8;11;0;0;0;0;9;5;1;0;0;11;0;2;0;2;0;0;0;0;0;0;2;0;6;0;0;1;0;0;0;1;0;1;0
