;Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Botryococcus;Brassicaceae;Buxus;Callidina angusticollis;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Centaurea;Cerealia-type;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Crepis-type;Cyperaceae;Entophlyctis lobata;Euhedra distachya-type;Ephedra fragilis-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juglans;Juniperus;Mercuriales-type;Onagraceae;Oxalis stricta;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Scrophularia-type;Senecio-type;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
X30427.8972695096;0;0;0,009;0,018;0;0,1;0;0,192;0,192;0,046;0;0;0;0;0,046;0;0;0;0;0;0;0,009;0,531;0;0;0;0;0;0;0,018;0;0;0;0;0;0;0,009;0;0;0;0,018;0,215;0,018;0,174;0;0;0;0,521;0;0,009;0;0,009;0;0;0,037;0;0,055;0;0;0;0,008
X30478.4368669546;0;0;0;0;0,03;0,03;0;0,097;0,284;0,03;0;0;0;0;0,082;0;0,007;0;0,022;0;0;0,022;0,51;0;0;0;0;0;0;0,007;0;0;0;0;0;0;0,007;0;0;0;0,086;0,21;0;0,27;0,022;0;0;0,431;0;0,007;0;0,015;0;0;0,007;0;0,015;0;0;0;0,008
X30528.9764643996;0;0;0;0,011;0;0,044;0;0,142;0,187;0,011;0;0;0;0;0,033;0;0;0;0,011;0;0;0;0,527;0;0;0;0;0;0;0,044;0;0;0;0;0;0;0,011;0;0;0;0,016;0,208;0,011;0,284;0,011;0;0;0,539;0;0;0,011;0,011;0;0;0,011;0;0,109;0;0;0;0,003
X30579.5160618446;0;0;0;0;0;0,094;0;0,225;0,053;0,038;0;0;0;0;0,009;0;0;0;0,019;0;0;0;0,51;0;0;0;0;0;0;0,028;0;0;0,019;0;0;0;0,028;0;0;0;0,028;0,211;0;0,216;0;0;0;0,564;0;0,019;0;0,009;0;0;0;0;0,056;0;0;0;0,008
X30630.0556592896;0;0;0;0,009;0;0,009;0;0,206;0,323;0,028;0;0;0,009;0;0,028;0;0;0;0,009;0;0,019;0,075;0,531;0;0;0;0;0;0;0,009;0;0;0,009;0;0;0;0,009;0;0;0;0,112;0,187;0;0,215;0;0;0;0,457;0;0;0,009;0;0;0;0;0;0,047;0;0;0;0,012
X30781.6744516245;0;0;0;0,019;0;0,124;0;0,219;0,079;0,029;0;0;0;0;0,01;0;0;0;0,019;0;0;0,01;0,478;0;0;0;0;0;0;0,029;0;0;0;0,01;0;0;0,01;0;0;0;0,038;0,105;0;0,229;0,019;0;0;0,531;0;0;0;0,029;0;0;0,01;0;0,076;0;0;0;0,012
X30882.7536465145;0;0;0;0;0;0,075;0;0,113;0,196;0;0;0;0;0;0,028;0;0;0;0;0;0,009;0,019;0,484;0;0;0;0;0;0;0,009;0;0;0;0;0;0;0;0;0;0;0,038;0,202;0,009;0,394;0;0;0;0,492;0;0,009;0;0;0;0;0,009;0;0,056;0;0;0;0,003
X30933.2932439595;0;0;0;0,03;0;0,05;0;0,151;0,131;0,03;0;0;0;0;0,03;0;0;0;0,01;0;0;0;0,509;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0,06;0,085;0;0,452;0;0;0;0,513;0,01;0;0,01;0;0,01;0;0;0;0,04;0;0;0,01;0,016
X30983.8328414045;0;0;0;0,008;0,015;0,085;0;0,108;0,193;0,023;0;0;0;0;0,015;0;0;0;0,015;0;0;0,015;0,559;0;0;0;0;0;0;0,023;0;0;0,015;0;0;0;0,015;0;0;0;0,027;0,154;0;0,386;0;0;0;0,507;0;0;0,015;0,015;0;0;0;0;0,062;0;0;0;0,009
X31034.3724388496;0;0;0;0;0;0,097;0;0,155;0,08;0,039;0;0;0;0;0,029;0;0;0;0,01;0;0;0,019;0,504;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0,072;0,184;0,01;0,251;0;0;0;0,541;0;0,01;0;0,019;0;0;0,019;0;0,058;0;0;0;0,012
X31084.9120362946;0;0;0;0;0;0,067;0;0,157;0,082;0,045;0;0;0;0;0,052;0;0;0;0;0;0,015;0,015;0,447;0;0;0;0;0;0;0,022;0;0;0,007;0;0;0;0,007;0;0;0;0,052;0,086;0,007;0,36;0;0;0;0,397;0,007;0,015;0,007;0,007;0;0;0,007;0;0,045;0;0;0;0,006
X31135.4516337396;0;0;0;0;0,01;0,08;0;0,109;0,29;0,02;0;0;0;0;0,03;0;0;0;0;0;0,01;0,02;0,617;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0,01;0;0;0;0,035;0,159;0,01;0,358;0;0,01;0;0,599;0,01;0;0,01;0;0;0;0,02;0;0,05;0;0;0;0,01
X31185.9912311846;0;0;0;0,028;0;0,093;0;0,149;0,201;0,009;0;0;0;0;0,028;0;0;0;0,009;0;0;0,009;0,562;0;0;0;0;0;0;0,019;0;0;0,028;0;0;0;0,009;0;0;0;0,023;0,149;0,009;0,233;0,009;0;0;0,564;0;0;0,009;0,037;0,009;0;0;0;0,093;0;0;0;0,013
X31287.0704260746;0,01;0;0,007;0,026;0,007;0,085;0;0,196;0,084;0,039;0;0;0;0;0,118;0;0;0;0,02;0;0,007;0,02;0,416;0;0;0;0,007;0;0;0,02;0;0;0,033;0,026;0;0;0,007;0;0;0;0,023;0,124;0;0,092;0,007;0;0;0,39;0;0;0,007;0,033;0,007;0;0,039;0;0,02;0;0;0;0,014
X31337.6100235196;0;0;0;0;0,01;0,069;0;0,079;0,312;0,02;0;0;0,01;0;0,039;0;0;0;0,02;0;0;0;0,587;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0,094;0,177;0,01;0,404;0;0;0;0,657;0;0,01;0;0;0;0;0;0;0,039;0;0;0;0,005
X31388.1496209645;0;0;0;0,023;0;0,061;0;0,25;0,298;0,008;0;0;0;0;0,068;0;0;0;0,008;0;0;0,008;0,482;0;0;0;0;0;0;0,008;0;0;0;0;0;0;0;0;0;0;0,083;0,159;0,015;0,212;0;0;0;0,436;0;0;0,008;0,015;0;0;0,008;0;0,045;0;0;0;0,011
X31590.3080107445;0;0;0;0,015;0,008;0,069;0;0,206;0,307;0,015;0;0;0;0;0,031;0;0,008;0;0;0;0,008;0;0,407;0;0;0;0;0;0;0,031;0;0;0;0;0;0;0,015;0;0;0;0,061;0,183;0;0,26;0;0;0;0,524;0;0;0;0;0;0;0;0;0,076;0;0;0;0,008
X31640.8476081895;0;0;0;0,016;0;0,066;0;0,197;0,247;0,033;0;0;0;0;0,033;0;0;0;0,016;0;0,016;0;0,492;0;0;0;0;0;0;0,016;0;0;0,016;0;0;0;0,008;0;0;0;0,074;0,148;0;0,254;0,008;0;0;0,448;0;0;0,008;0,033;0;0;0,008;0;0,033;0;0;0;0,006
X31691.3872056345;0;0;0;0,008;0;0,046;0;0,161;0,15;0,015;0;0;0;0;0,015;0;0;0;0;0;0,038;0;0,389;0;0;0;0;0;0;0;0;0;0,008;0;0;0;0;0;0;0;0,054;0,096;0,015;0,375;0;0;0;0,466;0,023;0,008;0,023;0,008;0;0;0,008;0;0,092;0;0;0;0,015
X31590.3080107445.1;0;0;0;0,009;0;0,094;0;0,085;0,131;0,038;0;0;0;0;0,066;0;0;0;0,019;0;0;0;0,543;0;0;0;0;0;0;0,009;0;0;0,038;0;0;0;0,019;0;0;0;0,028;0,179;0,019;0,189;0,009;0;0;0,488;0;0,009;0,019;0,019;0,009;0;0,009;0;0,085;0;0;0;0,009
X31691.3872056345.1;0;0;0,008;0;0;0,041;0;0,124;0,148;0,033;0;0;0;0;0,008;0;0;0;0,017;0;0;0;0,554;0;0;0;0;0;0;0,033;0;0;0,008;0,008;0;0;0,033;0;0;0;0,045;0,128;0,017;0,364;0;0;0;0,549;0;0;0,008;0,025;0;0;0,008;0;0,066;0;0;0;0,007
X31741.9268030796;0,009;0;0;0,009;0;0,056;0;0,112;0,235;0,009;0;0;0;0;0,019;0;0;0;0;0;0;0,019;0,508;0;0;0;0;0;0;0,019;0;0;0,009;0,009;0;0;0,019;0;0;0;0,056;0,172;0,009;0,391;0;0;0;0,494;0;0;0,009;0;0;0;0,009;0;0,056;0;0;0;0,003
X31792.4664005246;0;0;0;0;0;0,063;0;0,154;0,192;0,014;0;0;0,014;0;0,028;0;0,007;0;0;0;0,007;0,028;0,482;0;0;0;0;0;0;0,021;0;0;0,014;0;0;0;0,007;0;0;0;0,098;0,217;0;0,224;0,014;0;0;0,489;0;0;0,007;0;0;0;0,021;0;0,056;0;0;0;0,002
X31843.0059979696;0;0;0;0,009;0;0,081;0;0,163;0,19;0,063;0;0;0;0;0,018;0;0;0;0,018;0;0;0;0,485;0;0;0;0;0;0;0,018;0;0;0,009;0;0;0;0,009;0;0;0;0,023;0,154;0,009;0,353;0;0;0;0,478;0;0;0;0,027;0;0;0,009;0;0,036;0;0;0;0,009
X31893.5455954146;0;0;0;0,025;0;0,107;0;0,246;0,09;0,041;0;0;0;0;0,033;0;0;0;0,033;0;0;0;0,514;0;0;0;0;0;0;0,016;0;0;0,016;0;0;0;0;0;0;0;0,07;0,102;0,008;0,148;0,016;0;0;0,45;0;0;0,008;0,008;0;0,008;0,016;0;0,066;0,008;0;0;0,008
X31944.0851928596;0;0;0;0;0;0,02;0;0,198;0,223;0,01;0;0;0;0;0,089;0;0;0;0,03;0;0,01;0,04;0,541;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,01;0;0;0;0,064;0,153;0;0,327;0;0;0;0,545;0;0;0;0;0;0;0,02;0;0;0;0,01;0;0,003
X31994.6247903046;0;0;0;0,024;0;0,126;0;0,165;0,038;0,031;0;0;0,008;0;0,031;0;0,008;0;0;0;0;0,008;0,5;0;0;0;0;0;0;0,008;0;0;0;0;0;0;0,016;0;0;0;0,016;0,087;0;0,276;0,008;0;0;0,533;0;0,016;0,008;0;0,008;0;0,016;0;0,102;0;0;0;0,01
X32095.7039851946;0;0;0,008;0,024;0;0,063;0;0,134;0,066;0,032;0;0;0;0;0,024;0;0;0;0,008;0;0;0,04;0,505;0;0;0;0;0;0;0,024;0;0;0,024;0;0;0;0;0;0;0;0,103;0,233;0,008;0,213;0;0;0;0,48;0;0;0,008;0,024;0;0;0,008;0;0,016;0;0;0;0,005
X32146.2435826396;0;0;0;0;0;0,036;0;0,126;0,153;0,045;0;0;0;0,009;0,018;0;0;0;0,009;0;0,018;0;0,437;0;0;0;0,009;0;0;0;0;0;0,009;0;0;0;0,009;0;0;0;0,036;0,117;0;0,459;0;0;0;0,513;0,009;0;0,027;0,009;0;0;0;0;0,054;0;0;0;0,019
X32196.7831800845;0;0;0,009;0,009;0;0,056;0;0,194;0,053;0,037;0;0;0,009;0;0,046;0;0;0;0,019;0;0;0,009;0,528;0;0;0;0;0;0;0,019;0;0;0,019;0,009;0;0;0,019;0;0;0;0,102;0,157;0,009;0,213;0,009;0;0;0,53;0;0;0;0,019;0;0;0,009;0;0,028;0;0;0;0,006
X32247.3227775295;0;0;0;0,02;0;0,039;0;0,148;0,106;0,049;0;0;0;0;0,049;0;0,01;0;0,01;0;0,01;0,01;0,525;0;0;0,01;0;0;0;0,02;0;0;0,03;0;0;0;0,02;0;0;0;0,054;0,167;0;0,217;0,01;0;0;0,478;0;0;0,01;0,03;0,01;0;0,01;0;0,059;0;0;0;0,013
X32297.8623749745;0;0;0,009;0;0;0,179;0;0,098;0,2;0,027;0;0;0;0;0,009;0;0;0;0,018;0;0;0,018;0,349;0;0;0;0;0;0;0,018;0;0;0,045;0;0;0;0,009;0;0;0;0,022;0,058;0;0,304;0;0;0;0,778;0;0;0,018;0,036;0;0;0,018;0;0,089;0,009;0;0,009;0,005
X32348.4019724195;0;0;0,009;0,009;0;0,137;0;0,137;0,148;0,009;0;0;0;0;0;0;0;0;0,009;0;0;0,037;0,376;0;0;0;0;0;0;0,018;0;0;0,064;0,009;0;0;0,009;0;0;0;0;0,059;0;0,274;0;0;0;0,717;0;0,018;0,009;0,027;0;0,009;0,018;0;0,091;0;0;0;0,007
X32601.0999596446;0;0;0;0,011;0;0,165;0;0,077;0,222;0;0;0;0;0;0,011;0;0;0;0,033;0;0;0,011;0,393;0;0;0,011;0;0;0;0,011;0;0;0,044;0;0;0;0,011;0;0;0;0,016;0,093;0,022;0,33;0;0;0;0,761;0;0;0;0,033;0;0;0,033;0;0,077;0;0;0;0,009
X32651.6395570896;0;0;0;0,014;0;0,17;0;0,085;0,23;0;0;0;0;0;0;0;0;0;0,043;0;0;0,014;0,4;0;0;0,014;0;0;0;0;0;0;0,057;0;0;0;0,014;0;0;0;0,014;0,078;0,028;0,326;0;0;0;0,749;0;0;0;0,043;0;0;0,028;0;0,057;0;0;0;0,012
X32702.1791545345;0;0;0;0,009;0;0,201;0,017;0,096;0,295;0,026;0;0;0;0;0,009;0;0;0;0,026;0;0;0,026;0,437;0;0,009;0;0;0;0;0;0;0;0,087;0;0;0;0;0;0;0;0,022;0,07;0,009;0,227;0,009;0;0;0,776;0;0;0;0,026;0;0;0,035;0;0,087;0;0;0;0,007
X32752.7187519796;0;0;0,01;0,01;0;0,082;0;0,154;0,27;0,021;0;0;0;0;0,021;0;0;0;0,01;0;0;0,031;0,571;0;0;0;0;0;0;0,01;0;0;0,041;0;0;0;0,01;0;0;0;0,026;0,082;0,01;0,318;0;0;0;0,766;0;0,021;0;0,021;0;0;0,01;0;0,103;0;0;0;0,007
X32651.6395570896.1;0;0;0;0,012;0,012;0,185;0;0,081;0,139;0,023;0;0;0;0;0,046;0;0;0;0,058;0;0;0,046;0,38;0;0;0;0;0;0;0,012;0;0;0,081;0;0;0;0;0;0;0;0,023;0,052;0;0,197;0,012;0;0;0,743;0;0,012;0;0;0;0;0,012;0;0,127;0;0;0;0,013
X32904.3375443145;0;0;0;0,011;0;0,193;0;0,091;0,12;0,034;0;0;0;0;0;0;0;0;0,023;0;0,011;0,011;0,296;0;0;0;0;0;0;0,011;0;0;0,045;0;0;0;0;0;0;0;0,028;0,074;0;0,273;0;0;0;0,698;0;0;0,023;0,011;0;0;0,011;0;0,125;0;0;0;0,015
X32954.8771417595;0;0;0;0,01;0,01;0,168;0;0,042;0,068;0,042;0;0;0;0;0,031;0;0;0;0,021;0;0;0,042;0,251;0;0;0;0;0;0;0,01;0;0;0,115;0;0;0;0;0;0;0;0,094;0,12;0;0,168;0,01;0;0;0,72;0;0,01;0,01;0;0;0;0,052;0;0;0;0;0;0,005
X33005.4167392045;0;0;0;0,018;0;0,118;0;0,109;0,474;0,018;0;0;0;0;0,018;0;0;0;0;0;0,009;0;0,299;0;0;0;0;0;0;0;0;0;0,036;0;0;0;0,009;0;0;0;0;0,045;0,009;0,418;0,018;0;0;0,565;0;0;0,009;0,027;0;0;0;0;0,1;0;0;0;0,026
X32904.3375443145.1;0;0;0;0;0;0,182;0;0,05;0,182;0,008;0;0;0,008;0;0,058;0;0;0;0,041;0;0;0,033;0,234;0;0;0;0;0;0;0,008;0;0;0,099;0;0;0;0,008;0;0;0;0,033;0,091;0;0,281;0;0;0;0,59;0;0;0;0,033;0;0;0,017;0;0,025;0;0;0;0,009
X33157.0355315395;0;0;0;0,013;0;0,237;0;0,079;0,356;0,026;0;0;0;0;0,053;0;0;0;0,013;0;0,013;0,013;0,377;0;0;0;0;0;0;0,013;0;0;0,053;0;0;0;0,013;0;0;0;0;0,066;0,013;0,289;0;0;0;0,801;0;0;0,013;0,013;0;0,013;0;0;0,039;0;0;0;0
X33207.5751289846;0;0;0;0,035;0;0,266;0;0,046;0,203;0;0;0;0;0;0,023;0;0;0;0,023;0;0,012;0,069;0,384;0;0;0;0;0;0;0;0;0;0,081;0;0;0;0;0;0;0;0,04;0,092;0,012;0,092;0,012;0;0,012;0,79;0;0,023;0;0,012;0;0;0,023;0;0,116;0;0,012;0;0,009
X33258.1147264296;0;0;0;0;0;0,1;0;0,12;0,265;0,01;0;0;0;0;0;0;0;0;0,02;0;0;0,04;0,355;0;0;0;0;0;0;0,01;0;0;0,05;0;0;0;0;0;0;0;0,02;0,1;0;0,46;0;0;0;0,738;0;0;0,02;0,01;0;0;0;0;0,04;0;0;0;0,002
X33157.0355315395.1;0;0;0,005;0,011;0;0,177;0,011;0,226;0,046;0,022;0;0;0;0;0,022;0;0;0;0,005;0;0,011;0,032;0,287;0;0;0,005;0,005;0;0;0,011;0;0;0,043;0,005;0;0;0;0;0;0;0,019;0,056;0,016;0,183;0;0;0;0,699;0;0,005;0,005;0,032;0;0;0,005;0;0,07;0;0;0;0,006
X33207.5751289846.1;0;0;0,01;0;0;0,153;0;0,105;0,103;0,019;0;0;0;0;0;0;0;0;0,029;0;0,01;0,029;0,369;0;0;0;0;0;0;0;0;0;0,124;0;0;0;0;0;0;0;0,038;0,033;0,01;0,268;0,01;0;0;0,781;0;0;0;0,048;0;0;0,01;0;0,077;0;0;0;0,007
X33258.1147264296.1;0;0;0;0,02;0,01;0,167;0;0,078;0,038;0,029;0;0;0;0;0,059;0;0;0;0,039;0;0,01;0,029;0,282;0;0,01;0;0;0;0;0;0;0;0,069;0;0;0;0;0;0;0;0,054;0,083;0;0,186;0;0;0;0,708;0;0;0;0,01;0;0;0,01;0;0,108;0;0;0;0,008
X33308.6543238746;0;0;0;0;0,011;0,112;0;0,089;0,135;0,022;0;0;0;0;0,011;0;0;0;0,034;0;0;0,022;0,417;0;0;0;0;0;0;0,056;0;0;0,078;0;0;0;0;0;0;0;0,039;0,056;0,011;0,346;0,011;0;0;0,795;0;0;0;0,011;0;0;0;0;0,056;0;0;0,011;0,006
X33359.1939213196;0;0;0;0;0;0,229;0;0,042;0,092;0,017;0;0;0;0;0;0;0;0;0,042;0;0;0,017;0,333;0;0;0;0;0;0;0,017;0;0;0,068;0;0;0;0;0;0;0;0,03;0,081;0;0,237;0,008;0;0;0,803;0;0,008;0,017;0,025;0;0;0,017;0;0,136;0;0;0;0,005
X33409.7335187646;0,012;0;0;0,008;0;0,19;0;0,024;0,023;0,008;0;0;0;0;0,016;0;0;0;0,008;0;0;0,016;0,303;0;0;0;0;0;0;0;0;0;0,087;0,024;0;0;0,008;0;0;0;0,047;0,213;0,008;0,158;0;0;0;0,803;0;0,008;0,016;0,016;0;0;0;0;0,111;0;0;0;0,006
X33460.2731162096;0;0;0;0;0;0,192;0;0,023;0,063;0,011;0;0;0;0;0,045;0;0;0;0,056;0;0,011;0,045;0,37;0;0;0;0;0;0;0,023;0;0;0,158;0;0;0;0;0;0;0;0,051;0,09;0,011;0,158;0,011;0;0;0,826;0;0;0,011;0,023;0;0;0,011;0;0,068;0;0;0;0,005
X33510.8127136546;0;0;0;0;0;0,252;0,008;0,042;0,162;0,034;0;0;0;0;0,025;0;0;0;0,017;0;0,008;0,017;0,296;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0,034;0,017;0,345;0;0;0;0,784;0;0;0;0,025;0,008;0;0,008;0;0,101;0;0;0;0,012
X33561.3523110996;0;0;0;0;0;0,128;0;0,011;0,031;0,032;0;0;0;0;0,032;0;0;0;0,032;0;0,011;0,011;0,382;0;0;0;0;0;0;0;0;0;0,117;0;0;0;0;0;0;0;0,021;0,106;0;0,213;0;0;0;0,809;0;0,011;0,011;0,043;0;0;0,011;0;0,17;0;0;0;0,009
X33662.4315059896;0;0;0;0,009;0;0,147;0;0,046;0,199;0;0;0;0;0;0,028;0;0;0;0,055;0;0;0,065;0,311;0;0;0;0;0;0;0;0;0;0,12;0;0;0;0;0;0;0;0,018;0,051;0,009;0,258;0;0;0;0,874;0;0;0,065;0,009;0,009;0;0;0;0,111;0;0;0;0,005
X33763.5107008796;0;0;0;0,005;0;0,248;0;0,032;0,018;0,028;0;0;0;0;0,05;0;0;0;0,055;0;0;0,037;0,213;0;0;0,005;0;0;0;0,009;0;0;0,206;0,005;0;0;0;0;0;0;0,021;0,076;0,005;0,11;0;0;0;0,667;0;0,005;0,005;0,028;0,005;0,005;0,009;0;0,05;0;0;0;0,008
X33864.5898957696;0;0;0,014;0;0;0,221;0;0,041;0,121;0,041;0;0;0;0;0,041;0;0;0;0,041;0;0,014;0;0,293;0;0;0;0;0;0;0;0;0;0,069;0;0;0;0;0;0;0;0;0,021;0;0,317;0;0;0;0,84;0;0,014;0;0;0;0;0,041;0;0,124;0;0;0;0,004
X33915.1294932145;0;0;0;0;0;0,16;0;0,062;0,118;0,044;0;0;0;0;0,036;0;0;0;0,009;0;0;0,036;0,427;0;0;0;0;0;0;0,009;0;0;0,044;0,018;0;0;0,018;0;0;0;0,009;0,049;0,009;0,276;0;0;0;0,858;0;0;0,027;0,044;0;0;0,018;0;0,107;0;0;0;0,003
X33965.6690906596;0;0;0;0;0;0,203;0;0,019;0,055;0,029;0;0;0,01;0;0,039;0;0;0;0,058;0;0,01;0,048;0,269;0;0;0;0;0;0;0;0;0;0,077;0;0;0;0;0;0;0;0,058;0,092;0,01;0,155;0;0;0;0,871;0;0,01;0,01;0,019;0;0;0,01;0;0,116;0;0;0;0,006
X34066.7482855495;0;0;0,011;0,011;0;0,286;0;0,034;0,033;0,034;0;0;0;0;0,046;0;0;0;0,046;0;0;0,023;0,33;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0,011;0,051;0,011;0,217;0;0;0;0,786;0;0;0;0,011;0;0;0;0;0,126;0;0;0;0,011
X34117.2878829945;0;0;0,009;0;0,009;0,181;0;0,018;0,018;0,036;0;0;0;0;0,036;0;0;0;0,018;0;0,009;0,036;0,324;0;0,009;0;0;0;0;0,018;0;0;0,118;0;0;0;0;0;0;0;0,081;0,122;0;0,199;0,009;0;0;0,852;0;0;0;0,009;0;0;0,009;0;0,063;0;0;0;0,006
X34167.8274804395;0,011;0;0,022;0;0;0,27;0;0,034;0,176;0,022;0;0;0;0;0,011;0;0;0;0,011;0;0,034;0,022;0,226;0;0;0;0;0;0;0;0;0;0,011;0;0;0;0;0;0;0;0,011;0,067;0,022;0,258;0;0;0,045;0,68;0;0;0;0,022;0,011;0;0;0;0,101;0;0;0;0,016
X34218.3670778845;0;0;0;0,011;0;0,159;0;0,011;0,022;0,057;0;0;0;0;0,068;0;0;0;0,034;0;0;0,045;0,343;0;0;0;0;0;0;0,011;0;0;0,057;0,011;0;0;0;0;0;0;0,057;0,136;0;0,227;0,011;0;0;0,792;0;0,011;0,011;0,023;0;0;0,011;0;0,045;0;0;0;0,004
X34268.9066753295;0;0;0,009;0,009;0;0,188;0;0,027;0,082;0,027;0;0;0;0;0,009;0;0;0;0,045;0;0,018;0,009;0,385;0;0;0,009;0;0;0;0,018;0;0;0,027;0;0;0;0,009;0;0;0;0,022;0,076;0;0,304;0;0;0;0,792;0;0;0;0,009;0;0;0,027;0;0,152;0;0;0;0,005
X34319.4462727745;0;0;0;0;0;0,219;0;0,018;0,12;0,009;0;0;0;0;0,027;0;0;0;0,055;0;0;0,009;0,263;0;0;0;0;0;0;0,009;0;0;0,046;0;0;0;0;0;0;0;0,032;0,064;0,009;0,283;0;0;0;0,757;0;0,009;0,009;0,027;0;0;0,009;0;0,164;0;0;0;0,002
X34369.9858702195;0;0;0;0;0;0,05;0;0,1;0,036;0,013;0;0;0;0;0,063;0;0;0;0,025;0;0;0,038;0,456;0;0;0;0,013;0;0;0;0;0;0,013;0;0;0;0,013;0;0;0;0,081;0,256;0,013;0,288;0;0;0;0,778;0;0;0;0;0;0;0;0;0,038;0;0;0;0,002
X34420.5254676645;0;0;0,008;0,016;0;0,106;0;0,049;0,068;0,033;0;0;0;0;0,041;0;0;0;0,016;0;0,008;0,016;0,382;0;0;0;0;0;0;0,024;0;0;0,033;0;0;0;0;0;0;0;0;0,13;0,016;0,325;0,008;0;0;0,808;0;0,016;0,024;0,041;0;0;0,016;0;0,065;0;0;0;0,004
X34471.0650651095;0;0;0,009;0,009;0,009;0,128;0;0,064;0,052;0,027;0;0;0;0;0,055;0;0;0;0,018;0;0,009;0,027;0,277;0;0,009;0;0;0;0;0,037;0;0;0,1;0;0;0;0,009;0;0;0;0;0,087;0,027;0,164;0;0;0,009;0,578;0;0;0;0,046;0;0;0,018;0;0,091;0;0;0;0,007
X34521.6046625545;0;0;0,021;0,01;0;0,166;0;0,041;0,085;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0,021;0,441;0;0,01;0;0;0;0;0;0;0;0,031;0;0;0;0,01;0;0;0;0,067;0,104;0;0,301;0;0;0,01;0,783;0;0;0;0,031;0;0;0,031;0;0,062;0;0;0,01;0,004
X34572.1442599995;0;0;0;0,008;0;0,088;0;0,064;0,074;0,064;0;0;0;0;0,04;0;0;0;0,008;0;0;0,016;0,386;0;0;0;0;0;0;0;0;0;0,032;0;0;0;0,008;0;0;0;0,064;0,124;0,008;0,263;0;0;0;0,808;0;0;0,008;0,032;0;0;0,032;0;0,127;0;0;0;0,005
X34622.6838574446;0,023;0;0,009;0;0;0,168;0;0,037;0;0,009;0;0;0,009;0;0,047;0;0;0;0,037;0;0,037;0,037;0,359;0;0;0;0;0;0;0,009;0;0;0,056;0,009;0;0;0,009;0;0;0;0,042;0,112;0,009;0,187;0,009;0;0;0,695;0;0;0;0,037;0,009;0;0,028;0;0,065;0;0;0;0,01
X34723.7630523346;0;0;0;0;0;0,167;0;0,029;0,113;0,029;0;0;0;0;0,02;0;0;0;0,029;0;0;0;0,414;0;0;0;0;0;0;0,029;0;0;0,02;0;0;0;0,01;0;0;0;0,054;0,152;0;0,294;0;0;0;0,782;0;0,01;0,01;0,029;0,01;0,01;0;0;0,098;0;0;0;0,007
X34774.3026497796;0;0;0;0;0,008;0,195;0;0,031;0,015;0,016;0;0;0;0;0,008;0;0;0;0,023;0;0,016;0,008;0,395;0;0;0;0;0;0;0,008;0;0;0,023;0;0;0;0;0;0;0;0,031;0,121;0;0,28;0;0;0;0,8;0;0;0,016;0,031;0;0;0,016;0;0,163;0;0;0;0,004
X34824.8422472246;0;0;0;0;0;0,104;0;0,048;0,126;0,056;0;0;0;0;0,032;0;0;0;0,008;0;0;0,008;0,366;0;0,008;0;0;0;0;0;0;0;0,016;0;0;0;0;0;0;0;0,048;0,133;0;0,329;0;0;0;0,836;0;0,008;0,008;0,024;0;0;0,016;0;0,12;0;0;0;0,002
X34875.3818446696;0;0;0;0,025;0;0,1;0,013;0,038;0,14;0;0;0;0;0,013;0,05;0;0;0;0,038;0;0,063;0;0,333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013;0,163;0;0,375;0,013;0;0;0,692;0;0;0,013;0,025;0;0;0;0;0,063;0;0;0;0,01
X34925.9214421146;0,013;0;0,009;0;0,009;0,108;0,009;0,018;0,059;0,009;0;0;0;0;0,045;0;0;0;0,027;0;0;0,036;0,228;0;0,009;0;0;0;0;0;0;0;0,09;0,009;0;0;0;0;0;0;0,121;0,121;0;0,251;0;0;0;0,654;0;0;0;0;0;0;0;0;0,108;0;0;0;0,006
X35027.0006370046;0;0;0;0;0;0,185;0;0,046;0,065;0,023;0;0;0;0;0,058;0;0;0;0,035;0;0,012;0,012;0,414;0;0;0,012;0;0;0;0,012;0;0;0,012;0;0;0;0;0;0;0;0;0,075;0,012;0,277;0;0;0;0,814;0;0;0;0,069;0,012;0;0;0;0,139;0;0;0;0
