;Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Botryococcus;Brassicaceae;Buxus;Callidina angusticollis;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Centaurea;Cerealia-type;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Crepis-type;Cyperaceae;Entophlyctis lobata;Euhedra distachya-type;Ephedra fragilis-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juglans;Juniperus;Mercuriales-type;Onagraceae;Oxalis stricta;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Scrophularia-type;Senecio-type;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
X25121.2395377845;0,007;0;0;0;0;0,026;0;0,033;0,193;0,046;0;0;0;0;0,02;0;0,007;0;0;0;0;0;0,453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,215;0,007;0,49;0;0;0;0,23;0,007;0;0;0;0;0;0,013;0;0,113;0;0;0;0,021
X25222.3187326745;0;0;0,005;0,01;0;0,025;0;0,049;0,185;0,079;0;0;0,005;0;0,074;0;0;0;0,01;0;0;0;0,251;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0,01;0;0;0;0,025;0,264;0;0,272;0,005;0;0;0,275;0;0;0;0,005;0;0,005;0,03;0;0,094;0;0;0;0,017
X25323.3979275646;0;0;0;0;0;0,022;0;0,072;0,227;0,033;0;0;0;0;0,044;0;0;0;0;0;0;0,017;0,32;0;0;0;0;0;0;0,011;0;0;0,006;0;0;0;0;0;0;0;0,011;0,452;0,006;0,205;0,011;0;0;0,237;0;0;0;0;0;0;0,006;0;0,105;0;0;0;0,015
X25424.4771224545;0;0;0;0,006;0;0,065;0;0,077;0,292;0,029;0;0;0;0;0,065;0;0;0;0,012;0;0;0;0,347;0;0;0;0;0;0;0,012;0;0;0,006;0;0;0;0;0;0;0;0,015;0,301;0;0,26;0,018;0;0;0,31;0;0;0;0,006;0;0,006;0;0;0,118;0;0;0;0,009
X25525.5563173446;0;0;0;0;0,006;0,006;0,006;0,052;0,396;0,052;0;0;0,006;0;0,098;0;0;0;0,006;0;0;0,04;0,304;0;0;0;0;0;0;0;0;0;0,011;0,006;0;0;0,006;0;0;0;0,014;0,307;0;0,293;0,017;0;0;0,281;0;0;0;0;0;0;0;0;0,075;0;0;0;0,006
X25626.6355122345;0;0;0;0,007;0,007;0,034;0;0,087;0,149;0,074;0;0;0,007;0;0,04;0;0;0;0;0;0;0,007;0,468;0;0;0,007;0;0;0;0,007;0;0;0,007;0;0;0;0;0;0,007;0;0,03;0,205;0;0,349;0;0;0;0,284;0;0,007;0;0;0;0;0,027;0;0,081;0;0;0;0
X25727.7147071245;0;0;0,02;0,007;0;0,047;0;0,08;0,133;0,027;0;0;0;0;0,02;0;0;0;0;0;0,007;0,027;0,46;0;0;0;0;0;0;0;0;0;0,013;0;0;0;0;0;0;0;0,017;0,093;0;0,478;0;0;0;0,226;0,027;0;0,007;0;0,013;0;0,033;0;0,08;0;0;0;0,018
X25828.7939020145;0;0;0;0,009;0;0,027;0;0,046;0,215;0,046;0;0;0;0;0,064;0;0;0;0,009;0;0;0,009;0,584;0;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,018;0,196;0,009;0,447;0,018;0;0;0,35;0;0;0;0,018;0;0;0,018;0;0,037;0;0;0;0,015
X26030.9522917946;0;0;0;0,008;0;0,016;0;0,072;0,295;0,032;0;0;0,008;0;0,064;0;0;0;0;0;0;0,024;0,567;0;0;0;0;0;0;0,008;0;0;0,032;0;0;0;0;0;0;0;0,072;0,285;0,008;0,273;0,008;0;0;0,278;0;0;0;0,016;0;0;0,016;0;0,056;0;0;0;0
X26132.0314866846;0;0;0;0,008;0;0,016;0;0,098;0,228;0,008;0;0;0;0;0,033;0;0;0;0;0;0;0,016;0,572;0;0;0,025;0;0;0;0,016;0;0;0,008;0;0;0;0;0;0;0;0,041;0,32;0,008;0,27;0,008;0;0;0,371;0;0;0;0,008;0;0;0,016;0;0,09;0;0;0;0,017
X26233.1106815746;0;0;0,008;0,008;0;0,039;0;0,117;0,135;0,054;0;0;0;0;0,062;0;0;0;0;0;0;0,008;0,594;0;0;0,008;0;0;0;0,008;0;0;0,008;0;0;0;0,016;0;0;0;0,031;0,175;0;0,358;0;0;0;0,237;0;0,008;0;0,008;0,008;0;0,008;0;0,031;0;0;0;0,011
