Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Brassicaceae;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
0;0;0,225;0;0;0;0;0,379;0;0;0;0,006;0;0;0;0;0,143;0;0;0,006;0;0,1;0;0,003;0;0;0;0;0;0,009;0,02;0,003;0,018;0;0;0,064;0;0;0;0,006;0,006;0;0;0;0;0;0,009;0
0;0;0,141;0;0;0,003;0;0,423;0;0;0;0,02;0;0;0;0;0,121;0,016;0;0,003;0;0,138;0;0,01;0;0;0,003;0;0;0,023;0,026;0;0,016;0;0;0,043;0;0;0,007;0,007;0,01;0;0;0;0;0;0;0,003
0,009;0;0,161;0;0;0,003;0;0,124;0;0;0;0;0,003;0;0;0;0,083;0,009;0;0,019;0;0,377;0;0;0;0;0,003;0;0;0,017;0,015;0,009;0,087;0;0,003;0,043;0,003;0,006;0,003;0,003;0,003;0;0;0;0;0;0,012;0,003
0;0;0,149;0,003;0;0,014;0;0,237;0;0;0;0,017;0;0;0,003;0;0,112;0,036;0;0;0;0,308;0;0,024;0;0;0;0;0,003;0,003;0,007;0,01;0,047;0;0;0,047;0,023;0;0;0;0;0;0,003;0;0,003;0;0,007;0,028
0;0;0,185;0,003;0;0;0;0,182;0;0;0;0,003;0;0;0;0;0,108;0,013;0;0,003;0;0,378;0;0,024;0;0;0;0;0;0,003;0,012;0;0,034;0;0,007;0,044;0;0;0;0;0;0;0;0;0;0;0,01;0,003
0,007;0;0,186;0;0;0,007;0;0,245;0;0;0;0,007;0;0;0;0;0,127;0,003;0;0;0;0,303;0;0,007;0;0;0;0;0;0,018;0,01;0,02;0,016;0;0;0,039;0;0;0;0,003;0,003;0;0;0;0;0;0,003;0,006
0,003;0;0,18;0;0;0;0;0,203;0;0;0;0,003;0;0;0;0;0,103;0,01;0;0,042;0;0,296;0,003;0,023;0;0;0;0;0;0,021;0,014;0,01;0,042;0;0;0,045;0;0;0;0,003;0;0;0;0;0,003;0,003;0,003;0,006
0;0;0,146;0,01;0;0,003;0;0,1;0;0;0;0,003;0;0;0;0;0,11;0,007;0;0,003;0;0,356;0;0,007;0;0;0;0;0;0,017;0,018;0,023;0,04;0;0;0,143;0;0,003;0;0,007;0;0;0;0,003;0;0;0,003;0
0,007;0;0,178;0;0;0;0;0,056;0;0;0;0,01;0;0;0;0;0,053;0;0;0,003;0;0,537;0;0,03;0;0;0;0;0;0,038;0,023;0,007;0,007;0;0;0,036;0;0;0;0,003;0;0;0;0;0;0;0,007;0,013
0,003;0;0,179;0;0;0;0;0,146;0;0;0;0,006;0;0;0;0;0,054;0,023;0;0;0;0,487;0;0,015;0;0;0,006;0;0;0,027;0,019;0;0,015;0;0;0,033;0,006;0;0;0;0;0;0;0,003;0;0;0,006;0,006
0,008;0;0,119;0;0;0;0;0,075;0;0;0;0,005;0;0;0;0;0,073;0,011;0;0;0;0,539;0;0,032;0;0;0,005;0;0;0,023;0,012;0,005;0,016;0;0;0,075;0;0;0;0,005;0;0;0;0;0;0;0,005;0,008
0,006;0;0,148;0;0;0;0;0,102;0;0;0;0,006;0;0;0;0;0,105;0,009;0;0;0;0,449;0;0,022;0;0;0;0;0;0,02;0,005;0,006;0,025;0;0;0,083;0;0;0,003;0,003;0,003;0;0;0;0;0;0,012;0,003
0;0;0,192;0;0;0,003;0;0,13;0;0;0;0,003;0;0;0;0;0,11;0,006;0;0;0;0,469;0;0,017;0;0;0,003;0;0;0,02;0;0;0,003;0;0;0,034;0;0,003;0;0,003;0,003;0;0;0;0;0;0,006;0
0;0;0,231;0;0;0;0;0,154;0;0;0;0;0;0;0;0;0,113;0,011;0;0;0;0,363;0;0,036;0;0;0,003;0;0;0,017;0,015;0;0,011;0;0;0,039;0;0;0;0,008;0,003;0;0;0;0;0;0,006;0,003
0;0;0,221;0;0;0;0;0,166;0;0;0;0,003;0;0;0;0;0,123;0,01;0;0;0;0,386;0;0,006;0;0;0;0;0;0,013;0,003;0;0,01;0;0;0,055;0;0;0;0;0,003;0;0;0;0;0;0,003;0,006
0;0;0,276;0,003;0;0,003;0;0,123;0;0;0;0,014;0,003;0;0;0;0,131;0,013;0;0;0;0,298;0;0;0;0,003;0,003;0;0;0,014;0,007;0;0,047;0;0;0,055;0;0,005;0;0;0;0;0;0;0,011;0;0,003;0,019
0;0;0,231;0;0;0,003;0;0,113;0;0;0;0;0;0;0;0;0,159;0,006;0;0;0;0,344;0;0,006;0;0;0;0;0;0,02;0,017;0,006;0,028;0;0;0,063;0;0,003;0;0;0;0;0;0;0,003;0;0,003;0
0;0;0,161;0,003;0;0,006;0;0,12;0;0;0;0;0;0;0;0;0,129;0,009;0;0;0;0,423;0;0,022;0;0;0,006;0;0;0,022;0,003;0,003;0,013;0;0;0,076;0;0;0;0,003;0,003;0;0;0;0;0;0,006;0
0,006;0;0,172;0;0;0,01;0;0,096;0;0;0;0,003;0;0;0,003;0;0,146;0,013;0;0;0;0,436;0;0,01;0;0;0;0;0;0,016;0,01;0,01;0,022;0;0;0,048;0;0;0;0,003;0;0;0;0;0,003;0;0,006;0,003
0,003;0;0,12;0,003;0;0,009;0;0,095;0;0;0;0,006;0;0;0;0;0,077;0,021;0;0;0;0,538;0;0,012;0;0;0,006;0;0;0,018;0,025;0,015;0,003;0;0;0,065;0;0;0;0;0;0;0;0;0;0;0;0,009
0,003;0;0,16;0;0;0,009;0;0,115;0;0;0;0,012;0;0;0;0;0,065;0,009;0;0,006;0;0,505;0;0,012;0;0;0,003;0;0;0,018;0,019;0;0,018;0;0;0,032;0,003;0;0;0,003;0;0;0;0;0,006;0;0,015;0,009
0;0,003;0,222;0,003;0;0,006;0;0,098;0;0;0;0,006;0;0;0;0;0,065;0,038;0;0,006;0;0,45;0;0,037;0;0;0;0;0,003;0,034;0,007;0,003;0,028;0;0;0,02;0,003;0;0;0;0;0;0;0;0,006;0;0,006;0,016
0;0;0,153;0,003;0;0,009;0;0,061;0;0;0;0;0;0;0;0;0,127;0,014;0;0,009;0;0,462;0;0,035;0;0;0;0;0;0,02;0,017;0,006;0,009;0;0;0,066;0;0;0;0,003;0,003;0;0;0;0;0;0,009;0
0,003;0;0,17;0;0;0;0;0,096;0;0;0;0;0;0;0;0;0,108;0,009;0;0;0;0,455;0;0,046;0;0;0,003;0;0;0,015;0,034;0;0,006;0;0;0,043;0;0,003;0;0;0,003;0;0;0;0;0;0,009;0
