X2;mean;X0,5_inf;X0,5_sup;X0,95_inf;X0,95_sup;mean,1;X0,5_inf,1;X0,5_sup,1;X0,95_inf,1;X0,95_sup,1;mean,2;X0,5_inf,2;X0,5_sup,2;X0,95_inf,2;X0,95_sup,2;mean,3;X0,5_inf,3;X0,5_sup,3;X0,95_inf,3;X0,95_sup,3;mean,4;X0,5_inf,4;X0,5_sup,4;X0,95_inf,4;X0,95_sup,4
1390,790549;7,006255018;4,533005605;9,442737465;-0,338014238;14,38699896;886,2599762;513,4073286;928,7553579;296,5750368;1636,27182;20,87516214;17,42716101;24,28652198;10,67626486;31,07724852;-3,838785935;-7,871939956;0,239850145;-15,87151759;8,207058629;10410,93255;6558,430083;12988,98067;1717,21265;18657,46834
1530,107295;6,337001503;3,75701976;8,961086957;-1,424979696;14,0965856;915,9946092;530,4445441;953,0769744;312,8378682;1695,244455;20,0134668;16,42352572;23,58169009;9,390238327;30,56737731;-4,150032155;-8,507684056;0,232377782;-17,06456594;8,80755815;11228,32289;6847,251737;13954,18212;1774,163392;20259,11607
1632,316628;6,582338358;4,017126721;9,141709047;-1,047544717;14,20776037;924,8099084;546,0639661;966,0692865;326,8322951;1692,65993;20,13111633;16,50858081;23,79981365;9,289006911;30,94912465;-3,572442796;-7,549823935;0,432233698;-15,43132271;8,278766142;11457,82424;7077,222942;14294,11827;1749,048556;20607,71053
1734,525962;6,605495168;3,924407126;9,302558877;-1,373616234;14,57817331;885,6012324;514,9306126;926,9093576;301,2371434;1632,13902;20,81112323;17,46238667;24,1239354;10,90861795;30,69859767;-3,915705277;-7,798221775;0,020291595;-15,46122771;7,667489709;10287,50909;6460,862268;12783,25335;1791,315285;18409,9792
1829,129194;7,447079925;4,995498063;9,924648927;0,072544965;14,80581258;898,2170732;533,7610412;942,603378;316,0552827;1634,002495;21,04321315;17,65541629;24,4758943;10,93976762;31,13151899;-3,013406001;-6,668582857;0,596314419;-13,8467518;7,812708617;10256,23055;6420,356801;12781,22647;1675,466737;18368,95755
1916,126323;7,107175617;4,692301669;9,504312413;-0,115377756;14,27083658;919,3101427;533,5477048;959,9909917;311,9263984;1696,953905;20,35286573;16,84676899;23,86079197;9,925181988;30,80442959;-3,200724239;-7,270985912;0,867643671;-15,24911758;8,827013178;11284,62543;6921,636426;14080,52146;1733,201844;20409,94549
2003,123451;6,8417047;4,260471431;9,398132496;-0,852548872;14,48500438;887,3324006;531,4643356;930,9371053;318,1336931;1608,349167;20,90216498;17,57474579;24,21744966;11,05113783;30,72712688;-3,974776149;-8,095658821;0,159874943;-16,22931084;8,266655568;10027,87478;6363,288341;12458,26439;1807,680975;17871,78482
2101,955385;6,696891841;4,075208726;9,34987092;-1,129075764;14,54835696;896,9167492;519,5276644;937,287505;303,3142441;1658,625496;20,49336584;17,15290061;23,84216961;10,51453248;30,46753786;-3,762588388;-7,901566988;0,35373826;-16,03635842;8,463891687;10560,79686;6555,665625;13104,17804;1831,044195;18960,68759
2200,787318;7,233896453;4,718430511;9,732913332;-0,244828434;14,72019683;872,5763255;523,0997318;917,6453049;311,1630364;1579,010142;21,35516986;18,17116021;24,55520946;11,83210602;30,84035313;-3,893460559;-7,705190298;-0,090996121;-15,24723722;7,40028606;9664,810336;6238,937284;12016,43947;1796,902217;17132,6252
2200,787318;4,947159197;2,30023741;7,612362778;-2,974526121;12,83921154;794,212854;444,4559232;822,4920345;251,0525918;1500,56116;20,23027876;16,35227413;24,17054196;8,703204289;31,7434193;-6,384278133;-11,57233125;-1,252738332;-21,63483181;8,873976728;10082,80049;6411,613539;12580,52551;1719,149147;17968,46639
2302,849095;7,223448909;4,783333788;9,715620761;-0,099605116;14,57764414;897,287311;531,2625448;943,9966301;311,0468035;1634,109326;20,68478743;17,23911695;24,11796042;10,45951589;30,91279013;-3,123420584;-7,142147375;0,85331664;-15,00475071;8,774968382;10296,99311;6563,417469;12839,41794;1785,259746;18346,15072
2408,140716;7,254635369;4,931474419;9,556555468;0,33235862;14,16518788;916,8461092;544,4429665;963,8650959;320,7250775;1666,99384;20,71284667;17,2200813;24,18412785;10,34827313;31,05135315;-2,877819803;-6,324698766;0,591316693;-13,1468511;7,433488182;10989,21882;6928,7308;13759,22652;1713,948872;19678,65114
2408,140716;5,024329818;2,276173788;7,766303661;-3,128675333;13,18733252;824,7590641;475,8263691;858,5403098;275,7272008;1529,574301;20,10784659;16,2892033;23,96514493;8,757891044;31,49706328;-5,832385049;-10,58543105;-1,074811112;-19,87515978;8,210524168;10172,7828;6560,7414;12693,96304;1794,862414;18050,17526
2513,432337;7,49269856;5,26193838;9,699063752;0,849262495;14,09577113;932,8427963;569,0343174;985,8328251;341,1123835;1671,408802;20,80627011;17,55942943;24,08540812;11,09239761;30,51862055;-2,633792351;-5,805430455;0,542882568;-12,09161644;6,84204322;10569,38739;6763,711276;13190,35133;1834,391773;18813,99692
2605,237084;7,256287505;4,876261935;9,621183676;0,152565778;14,37501337;917,986649;546,5559697;964,3855182;323,4791197;1666,109693;20,59087083;17,15560723;24,0260327;10,37799765;30,80970574;-3,256435155;-7,13666783;0,690094317;-14,86568759;8,353539824;10641,5769;6686,969982;13273,2492;1778,460035;19047,17269
2605,237084;4,50709056;1,685053534;7,26354662;-3,834259558;12,78127596;784,2071264;444,3839226;811,8836388;254,6228022;1473,355274;20,38498096;16,82630802;23,93199375;9,814936495;30,94340037;-6,666440407;-11,34885577;-2,00722026;-20,50612075;7,176097366;9687,677385;6249,810784;12000,24896;1908,697834;17122,21666
2697,04183;7,134185109;4,686342651;9,556570534;-0,172003974;14,42536672;922,8310182;545,5550583;968,7098048;321,6245987;1683,210404;20,40406115;16,80915675;23,93882645;9,782920292;30,96218008;-2,945876656;-6,628400826;0,81546186;-13,97998884;8,128005702;11146,02594;6954,19179;13922,45266;1760,046803;20037,77062
2789,920496;7,205279742;4,790588563;9,570425067;0,056248417;14,38427999;921,2973571;543,9352134;967,2259882;319,9853276;1682,804197;20,40824089;16,84939792;23,99597916;9,803507936;31,05334306;-2,859826693;-6,541974566;0,867011076;-13,85407791;8,182460851;11091,60849;6908,09869;13845,30504;1749,529312;19935,55342
2789,920496;4,054469613;1,164705078;6,928033061;-4,510875945;12,62161213;783,5768445;439,7112464;812,2560958;248,8358487;1475,387764;20,00511186;16,32652219;23,76105956;8,966675;31,00324342;-7,504607896;-12,48169255;-2,568217347;-22,23084583;7,199519846;9939,609548;6413,81639;12396,07499;1792,003345;17617,0947
2883,87308;6,955153082;4,437165267;9,496308465;-0,567932163;14,49286063;912,4694345;530,7778554;954,3248912;309,6485674;1680,936215;20,25255325;16,48668412;23,96885594;9,133126782;31,35463936;-3,528835566;-7,849621995;0,795143902;-16,35084155;9,258824475;11306,74028;6963,225364;14146,95186;1682,883652;20425,21353
2977,825664;6,759368874;4,211857172;9,299036084;-0,812502698;14,30195849;899,3029774;516,980689;939,0902678;298,3373362;1668,127296;20,4657669;16,7852143;24,17013235;9,544338467;31,4060701;-3,623315553;-7,684458303;0,43126162;-15,6375654;8,452687612;11026,1437;6809,09759;13782,14451;1660,579769;19904,92179
2977,825664;4,74377555;1,938031267;7,563633446;-3,641993861;13,13721694;794,9117379;441,5882702;821,6435782;247,6982452;1507,121723;20,17913362;16,34002114;24,02029918;8,838680894;31,55868923;-6,711099127;-11,80042948;-1,588083411;-21,81496784;8,404631632;10126,19379;6397,57656;12630,21189;1690,926184;18074,17016
