Depth
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,9
1
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2
2,1
2,2
2,3
2,4
2,5
2,6
2,65
2,7
2,75
2,8
2,85
2,9
2,95
3,08
3,1
3,12
3,15
3,175
3,2
3,23
3,26
3,31
3,36
3,4
3,44
3,5
3,55
3,6
4,43
4,465
4,5
4,61
4,7
4,775
4,82
4,865
4,93
5
5,15
5,3
5,5
5,6
5,7
5,8
5,9
6,1
6,2
6,3
6,5
6,75
7
7,25
7,5
7,64
7,75
7,81
7,86
7,91
8
8,15
8,2
8,23
8,25
8,27
8,31
8,39
8,5
8,62
8,75
8,86
9
9,15
9,3
9,4
9,5
9,6
9,7
9,8
10
10,2
10,4
10,6
10,7
10,76
10,8
10,87
10,9
10,93
10,955
10,98
11,025
11,05
11,1
11,16
11,21
11,25
11,31
11,37
11,46
11,57
11,67
11,77
11,85
11,91
11,95
11,98
12,02
12,06
12,09
12,125
12,14
12,16
12,19
12,21
12,23
12,27
12,285
12,3
12,345
12,39
12,44
12,49
12,58
12,63
12,74
12,82
12,89
12,95
13
13,05
13,1
13,19
13,25
13,31
13,37
13,42
13,47
13,52
13,56
13,59
13,66
13,7
13,75
13,775
13,8
13,81
13,82
13,93
14
14,1
