;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Ephedra;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculaceae;Rosaceae;Rubiaceae;Salix;Sanguisorba;Saxifraga;Saxifragaceae;Scabiosa;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Urtica;Valeriana;Varia;Hippophae rhamnoides;Rumex;Asteraceae subf. Cichorioideae;Apiaceae;Fabaceae;Brassicaceae;Asteraceae subf. Asteroideae
X7381.64218854179;0,002496879;0,001248439;0,109862672;0,001248439;0,323345818;0;0;0;0;0;0;0,144818976;0,014981273;0;0,007490637;0;0,053682896;0,001248439;0,033707865;0,039950062;0;0,001248439;0;0;0,011235955;0,024968789;0;0;0;0,173533084;0;0,004993758;0,003745318;0,001248439;0;0;0;0;0;0;0,006242197;0;0,02372035;0;0;0,006242197;0;0;0;0,008739076;0;0;0
X7626.33365086709;0,001567398;0;0,092476489;0,001567398;0,327586207;0;0;0;0;0;0;0,130094044;0,014106583;0;0,010971787;0,001567398;0,026645768;0;0,032915361;0,067398119;0,003134796;0;0;0;0,023510972;0,040752351;0;0;0;0,152037618;0,001567398;0,006269592;0,001567398;0;0;0;0;0;0;0;0,014106583;0;0,037617555;0;0;0,004702194;0;0,001567398;0;0,003134796;0;0,001567398;0,001567398
X8364.55460629008;0;0;0,023076923;0;0,287179487;0;0;0;0;0;0;0,128205128;0,056410256;0;0,017948718;0;0,005128205;0,002564103;0,041025641;0,051282051;0;0;0;0;0,005128205;0,030769231;0;0;0;0,194871795;0,012820513;0,015384615;0,020512821;0;0;0;0;0;0;0;0,030769231;0;0,041025641;0;0;0,017948718;0;0;0;0,017948718;0;0;0
X9463.16016809434;0,002457002;0;0,031941032;0,004914005;0,272727273;0;0,002457002;0;0;0;0;0,113022113;0,027027027;0;0,002457002;0;0,00982801;0,004914005;0,046683047;0,071253071;0;0;0;0;0,007371007;0,041769042;0;0;0;0,233415233;0,004914005;0,014742015;0,007371007;0;0;0;0;0;0;0;0,004914005;0;0,068796069;0;0;0,007371007;0;0,004914005;0;0,012285012;0;0,002457002;0
X10511.5404967373;0;0,001692047;0,055837563;0,001692047;0,250423012;0;0,001692047;0;0,001692047;0;0;0,138747885;0,025380711;0;0,013536379;0;0,003384095;0,005076142;0,050761421;0,062605753;0;0,001692047;0;0;0,016920474;0,040609137;0;0;0;0,187817259;0,00676819;0,023688663;0,005076142;0;0;0;0;0;0;0;0,015228426;0;0,065989848;0;0,001692047;0;0;0;0;0,020304569;0;0,001692047;0
X11556.4903987633;0,002415459;0,004830918;0,019323671;0,004830918;0,185990338;0;0;0;0;0;0;0,243961353;0,079710145;0;0;0;0,002415459;0,004830918;0,019323671;0,106280193;0;0;0;0;0,009661836;0,060386473;0;0;0;0,176328502;0,004830918;0,012077295;0;0;0,002415459;0;0;0;0;0;0,016908213;0;0,026570048;0;0,002415459;0,002415459;0;0;0;0,012077295;0;0;0
X12048.5705061313;0,002012072;0,002012072;0,010060362;0,002012072;0,183098592;0;0,002012072;0;0,002012072;0;0;0,338028169;0,024144869;0;0;0;0,002012072;0,004024145;0,010060362;0,07444668;0,002012072;0;0;0;0,00804829;0,068410463;0;0;0;0,132796781;0,002012072;0,026156942;0,002012072;0;0;0;0;0;0;0,002012072;0,010060362;0;0,058350101;0;0;0,006036217;0;0;0;0,024144869;0;0,002012072;0
X12561.6753357203;0;0;0;0,003942181;0,061760841;0;0;0;0;0;0;0,074901445;0,346911958;0;0;0;0;0,005256242;0,006570302;0,266754271;0;0;0;0;0;0,156373193;0;0;0;0,032851511;0,006570302;0,00131406;0,005256242;0,002628121;0;0;0;0;0;0;0;0;0,015768725;0;0;0,002628121;0;0,006570302;0;0,003942181;0;0;0
X13081.2475240051;0;0;0,00250941;0,006273526;0,265997491;0;0;0;0;0;0;0,04642409;0,159347553;0;0;0;0;0,011292346;0;0,051442911;0;0;0;0;0;0,391468005;0;0;0;0,001254705;0,010037641;0,033877039;0;0,006273526;0;0;0;0;0;0,001254705;0;0;0;0;0;0,003764115;0;0,001254705;0;0,007528231;0;0;0
X13593.0370388191;0;0;0;0,009419152;0,037676609;0;0;0;0;0;0;0,003139717;0,442700157;0;0;0;0;0,001569859;0,001569859;0,117739403;0;0;0;0,014128728;0;0,328100471;0;0;0;0,003139717;0,003139717;0,001569859;0,009419152;0,015698587;0;0;0;0;0;0,001569859;0;0;0;0;0;0,003139717;0;0;0;0,003139717;0;0,003139717;0
X14107.0731101623;0;0;0;0,023346304;0,038910506;0;0;0;0,003891051;0;0;0,003891051;0,513618677;0;0;0;0;0,003891051;0;0,155642023;0;0;0;0,023346304;0;0,13618677;0;0;0;0;0,003891051;0;0,019455253;0,031128405;0;0;0;0;0;0,007782101;0;0;0;0;0;0,003891051;0,007782101;0;0;0,003891051;0;0,019455253;0
X14486.0735312958;0;0;0;0,003496503;0,017482517;0;0;0;0,003496503;0;0,005244755;0;0,603146853;0;0;0;0;0,001748252;0;0,153846154;0;0;0;0,054195804;0;0,064685315;0;0;0,001748252;0;0,003496503;0;0,008741259;0,024475524;0;0;0;0;0;0,003496503;0;0;0;0;0;0,003496503;0,003496503;0,005244755;0,005244755;0,003496503;0;0,02972028;0
X14754.0406131275;0;0;0;0,014619883;0,046783626;0;0;0;0;0;0;0;0,461988304;0;0;0;0;0;0;0,19005848;0;0;0;0,043859649;0;0,073099415;0;0;0;0;0;0;0,01754386;0,040935673;0;0;0;0;0;0,01754386;0;0;0;0;0;0,005847953;0,014619883;0;0,002923977;0,002923977;0;0,061403509;0,005847953
X15415.2506161785;0;0;0;0,006369427;0,097664544;0;0;0;0,002123142;0;0;0;0,367303609;0;0;0;0;0,002123142;0;0,059447983;0;0;0;0;0;0,441613588;0;0;0,004246285;0;0,002123142;0,006369427;0;0,002123142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004246285;0;0,004246285;0
X15516.9752320325;0;0;0;0,001785714;0,030357143;0;0;0;0;0;0;0;0,435714286;0;0;0;0;0,001785714;0;0,055357143;0;0;0;0;0;0,439285714;0;0;0,003571429;0;0,003571429;0,005357143;0,001785714;0,008928571;0;0;0;0;0;0;0;0;0;0;0;0,001785714;0;0;0;0;0;0,010714286;0
X15618.6998478865;0;0;0;0,005964215;0,103379722;0;0;0;0;0;0;0;0,292246521;0;0;0;0;0;0;0,10139165;0;0;0;0,011928429;0;0,457256461;0;0;0,005964215;0;0,005964215;0;0,003976143;0,001988072;0;0;0;0;0;0,001988072;0;0;0;0,001988072;0;0;0,003976143;0;0;0;0;0,001988072;0
X15771.2867716675;0;0;0;0,002670227;0,053404539;0;0;0;0;0;0,001335113;0;0,547396529;0;0;0;0;0,001335113;0;0,104138852;0;0;0;0,038718291;0;0,178905207;0;0,001335113;0,016021362;0;0,001335113;0,001335113;0,005340454;0,020026702;0;0;0;0;0;0,00400534;0;0;0;0,001335113;0;0,00400534;0;0,001335113;0,001335113;0,002670227;0;0,012016021;0
X15898.442541485;0;0;0;0,009514748;0,031398668;0;0;0;0,000951475;0;0;0;0,684110371;0;0;0;0;0;0;0,081826832;0;0;0;0,019980971;0;0,122740247;0;0,000951475;0,002854424;0;0,00190295;0,000951475;0,002854424;0,004757374;0;0;0;0;0;0,005708849;0;0;0;0,00190295;0;0,002854424;0;0;0,000951475;0;0;0,02188392;0,00190295
X16025.5983113025;0;0;0;0,012006861;0,041166381;0;0;0;0;0;0;0;0,432246998;0;0;0;0;0;0;0,205831904;0;0;0;0,058319039;0;0,137221269;0;0;0,012006861;0;0,006861063;0,006861063;0,015437393;0,024013722;0;0;0;0;0;0,003430532;0;0;0;0,008576329;0;0,003430532;0;0;0,003430532;0,008576329;0;0,018867925;0,001715266
X16178.1852350835;0;0;0;0,035363458;0,090373281;0;0;0;0;0;0;0;0,469548134;0;0;0;0;0;0;0,143418468;0;0,001964637;0;0,090373281;0;0,070726916;0;0;0;0;0,007858546;0,003929273;0,00589391;0,029469548;0;0;0;0;0;0,00589391;0;0;0;0,001964637;0;0,003929273;0,001964637;0,003929273;0;0,011787819;0;0,015717092;0,00589391
X16330.7721588645;0;0;0;0,004477612;0,008955224;0;0,001492537;0;0,002985075;0;0,001492537;0;0,640298507;0;0;0;0;0;0;0,092537313;0;0;0;0,195522388;0;0,01641791;0;0;0;0;0,002985075;0,002985075;0;0,005970149;0;0;0;0;0;0;0;0;0;0;0;0;0,002985075;0;0;0,001492537;0;0,01641791;0,002985075
X16585.0836984995;0;0;0;0,011142061;0,008356546;0;0;0;0;0;0;0;0,417827298;0,005571031;0;0;0;0;0;0,167130919;0;0;0;0,236768802;0;0,013927577;0;0;0;0;0,005571031;0,011142061;0,002785515;0,038997214;0;0;0;0;0;0,005571031;0;0;0;0;0;0,002785515;0,036211699;0;0;0,005571031;0;0,030640669;0
X16839.3952381345;0;0;0;0,033333333;0,007017544;0;0;0;0,007017544;0;0,007017544;0;0,692982456;0;0;0;0;0;0;0,096491228;0;0,012280702;0;0,007017544;0;0,019298246;0;0;0;0;0,010526316;0,010526316;0,001754386;0,029824561;0;0;0;0;0;0,00877193;0;0;0;0;0;0,005263158;0,001754386;0,003508772;0,001754386;0;0;0,040350877;0,003508772
X17042.8444698425;0;0;0;0,023529412;0,009803922;0;0,001960784;0;0,003921569;0;0;0;0,715686275;0;0;0;0;0;0;0,088235294;0;0,005882353;0;0,003921569;0;0,011764706;0,001960784;0;0;0;0,015686275;0,009803922;0;0,009803922;0;0;0;0;0;0,007843137;0;0;0;0;0;0,001960784;0;0;0;0;0;0,08627451;0,001960784
X17246.2937015505;0;0;0;0,011980831;0,004792332;0;0;0;0,00399361;0;0;0;0,839456869;0;0;0;0;0,000798722;0;0,057507987;0;0,005591054;0;0,001597444;0;0,007188498;0;0;0;0;0,004792332;0,00399361;0,000798722;0,000798722;0;0;0;0;0;0,010383387;0;0;0;0;0;0,002396166;0;0;0,002396166;0,002396166;0;0,038338658;0,000798722
X17551.4675491125;0;0;0;0,009981851;0,001814882;0;0;0;0,005444646;0;0,003629764;0;0,797640653;0;0;0;0;0,000907441;0;0,086206897;0;0,004537205;0;0,006352087;0;0,009981851;0;0;0;0;0,004537205;0,004537205;0,000907441;0,006352087;0;0;0;0;0;0,013611615;0;0;0;0;0;0,000907441;0,000907441;0,000907441;0,003629764;0,000907441;0;0,0353902;0,000907441
X17805.7790887475;0;0;0;0,011013216;0;0;0;0;0,004405286;0;0,004405286;0;0,767621145;0,001101322;0;0;0;0;0;0,109030837;0;0,001101322;0;0,00660793;0;0,016519824;0;0;0;0;0,004405286;0,007709251;0;0,002202643;0;0;0;0;0;0,005506608;0;0;0;0;0;0,001101322;0;0;0,004405286;0;0;0,051762115;0,001101322
X18060.0906283825;0;0;0;0,013757524;0,006018917;0;0;0;0,003439381;0;0,002579536;0;0,784178848;0;0;0;0;0;0;0,079105761;0;0,003439381;0;0,000859845;0;0,014617369;0;0;0;0;0,003439381;0,003439381;0,002579536;0,005159071;0;0;0;0;0;0,008598452;0;0;0;0;0;0,00171969;0;0;0,003439381;0;0;0,061049011;0,002579536
X22281.6621863235;0;0;0,002770083;0,024930748;0,087257618;0;0;0;0,015235457;0;0,002770083;0,002770083;0,40166205;0;0;0;0;0,013850416;0;0,220221607;0;0;0;0,002770083;0,024930748;0,066481994;0,002770083;0;0;0;0,01800554;0,005540166;0,001385042;0;0;0;0;0;0;0,047091413;0;0;0;0;0;0,005540166;0;0,009695291;0,006925208;0,005540166;0;0,023545706;0,008310249
X22459.680264068;0;0;0;0,020989505;0,107946027;0;0,00149925;0;0,010494753;0;0,00149925;0,002998501;0,364317841;0;0;0;0;0,017991004;0;0,259370315;0;0,004497751;0;0,00149925;0,020989505;0,065967016;0,002998501;0;0;0;0,014992504;0,007496252;0,002998501;0;0;0;0;0;0;0,04047976;0;0;0;0;0;0;0;0,002998501;0,011994003;0,007496252;0;0,026986507;0,00149925
X22637.6983418125;0;0;0,002624672;0,018372703;0,086614173;0;0;0;0,000874891;0;0,001749781;0,000874891;0,464566929;0;0;0;0;0,004374453;0;0,253718285;0;0,002624672;0;0,003499563;0,017497813;0,039370079;0,003499563;0;0;0;0,010498688;0,006124234;0,002624672;0,001749781;0;0;0;0;0;0,021872266;0,000874891;0;0;0;0;0,006124234;0;0,018372703;0,003499563;0,005249344;0;0,020997375;0,001749781
X23197.1837290095;0;0;0,001248439;0,026217228;0,038701623;0;0,001248439;0;0,018726592;0;0,006242197;0;0,483146067;0;0;0;0;0,004993758;0;0,22721598;0;0,002496879;0;0,001248439;0,012484395;0,041198502;0;0;0;0;0,028714107;0,008739076;0;0;0;0;0;0;0;0,038701623;0;0;0;0;0;0,009987516;0;0,008739076;0,007490637;0;0;0,029962547;0,002496879
X23654.9445003525;0;0;0;0,016752577;0,019329897;0;0;0;0,014175258;0;0,003865979;0,00257732;0,460051546;0;0;0;0;0,00128866;0;0,31314433;0;0,005154639;0;0;0,00257732;0,025773196;0,003865979;0;0;0;0,007731959;0,006443299;0,00257732;0,00128866;0;0;0;0;0;0,038659794;0;0;0;0;0;0,005154639;0;0,016752577;0,005154639;0,005154639;0;0,038659794;0,003865979
X24036.411809805;0;0;0;0,01164295;0,058214748;0;0,003880983;0;0,027166882;0;0,001293661;0,003880983;0,505821475;0;0,001293661;0;0;0,006468305;0;0,21992238;0;0,003880983;0;0,001293661;0,012936611;0,040103493;0,001293661;0,001293661;0;0;0,018111255;0,005174644;0;0;0;0;0,001293661;0;0;0,027166882;0;0;0;0;0;0,005174644;0;0,001293661;0,007761966;0,001293661;0;0,028460543;0,003880983
X24265.2921954765;0;0;0,002680965;0,017426273;0,109919571;0;0;0;0,008042895;0;0;0;0,41152815;0;0;0;0;0,013404826;0;0,194369973;0;0,004021448;0;0,002680965;0,012064343;0,092493298;0,002680965;0,001340483;0;0;0,017426273;0,012064343;0;0;0;0;0;0;0;0,048257373;0;0;0;0;0;0,008042895;0;0,008042895;0,00536193;0,008042895;0;0,020107239;0
X24494.172581148;0;0;0;0,025287356;0,050574713;0;0,001149425;0;0,009195402;0;0,001149425;0;0,495402299;0;0;0;0;0,008045977;0;0,244827586;0;0,005747126;0;0,003448276;0,014942529;0,051724138;0,009195402;0,001149425;0;0;0,009195402;0,004597701;0,005747126;0;0;0;0,002298851;0;0;0,025287356;0;0;0;0;0;0;0;0,002298851;0,004597701;0,003448276;0;0,018390805;0,002298851
X24824.7775826735;0;0;0;0,025862069;0,038793103;0;0;0;0,014367816;0;0,002873563;0;0,49137931;0;0;0;0;0;0;0,270114943;0;0;0;0;0,00862069;0,028735632;0,001436782;0;0;0;0,015804598;0,002873563;0,001436782;0,002873563;0;0;0,001436782;0;0;0,05316092;0;0;0;0;0;0;0;0;0,005747126;0,001436782;0;0,031609195;0,001436782
X25180.8137381625;0;0;0;0,008333333;0,026666667;0;0;0;0,013333333;0;0,006666667;0;0,421666667;0;0;0;0;0,005;0;0,32;0;0,005;0;0;0,005;0,025;0,001666667;0,001666667;0;0;0,011666667;0,005;0,001666667;0,001666667;0;0;0;0;0;0,03;0;0;0;0;0;0,011666667;0;0,045;0;0,015;0;0,035;0,003333333
X25943.7483570675;0;0;0,001176471;0,011764706;0,035294118;0;0;0;0,016470588;0;0,003529412;0;0,531764706;0;0;0;0;0,003529412;0;0,236470588;0;0,002352941;0;0;0,003529412;0,024705882;0,001176471;0;0;0;0,005882353;0,002352941;0,002352941;0;0;0;0;0;0;0,044705882;0;0;0;0;0;0,007058824;0;0,015294118;0,005882353;0,003529412;0;0,04;0,001176471
X26706.6829759725;0;0;0;0,010895884;0,052058111;0;0,001210654;0;0,003631961;0;0,004842615;0,001210654;0,504842615;0;0;0;0;0,008474576;0;0,282082324;0;0,002421308;0;0,003631961;0,002421308;0,033898305;0;0;0;0;0,010895884;0,001210654;0,003631961;0,001210654;0;0;0,001210654;0;0;0,023002421;0;0;0;0;0;0,008474576;0;0,008474576;0,004842615;0,002421308;0;0,018159806;0,004842615
X27723.9291345125;0;0;0;0,012622721;0,089761571;0;0;0;0,007012623;0;0;0,001402525;0,43197756;0;0;0;0;0,016830295;0;0,298737728;0;0,001402525;0;0,014025245;0,005610098;0,037868163;0,002805049;0;0;0;0,007012623;0,007012623;0,004207574;0,002805049;0;0;0;0;0;0,025245442;0;0;0;0;0;0,005610098;0;0,004207574;0,005610098;0;0;0,01542777;0,002805049
X28232.5522137825;0;0;0;0,053045187;0,121807466;0;0;0;0,009823183;0;0,011787819;0,003929273;0,351669941;0;0;0;0;0,031434185;0;0,21021611;0;0,001964637;0;0,011787819;0,00589391;0,031434185;0,003929273;0,001964637;0;0;0,023575639;0,007858546;0,003929273;0,003929273;0;0;0,001964637;0;0;0,064833006;0;0;0;0;0;0,009823183;0,003929273;0,001964637;0,003929273;0,00589391;0;0,017681729;0
X28741.1752930525;0;0;0,001811594;0,014492754;0,201086957;0;0;0;0,003623188;0;0;0,001811594;0,315217391;0;0;0;0;0,025362319;0;0,233695652;0;0,003623188;0;0,023550725;0,012681159;0,045289855;0,009057971;0,001811594;0;0;0,016304348;0,003623188;0,001811594;0,007246377;0;0;0;0,001811594;0;0,030797101;0;0;0;0;0;0,007246377;0,001811594;0,001811594;0,001811594;0,016304348;0;0,012681159;0,003623188
X29249.7983723225;0;0;0;0,045283019;0,132075472;0;0;0;0,00754717;0;0,003773585;0,005660377;0,290566038;0;0;0;0;0,011320755;0;0,277358491;0;0,005660377;0;0,00754717;0,003773585;0,035849057;0,013207547;0;0;0;0,035849057;0,003773585;0,003773585;0,001886792;0;0;0;0;0;0,049056604;0;0;0;0;0;0,011320755;0,001886792;0,00754717;0,001886792;0,011320755;0;0,028301887;0,003773585
X29758.4214515925;0;0;0,001988072;0,039761431;0,115308151;0;0;0;0,009940358;0;0;0,007952286;0,280318091;0;0;0;0;0,011928429;0;0,308151093;0;0,009940358;0;0,007952286;0,001988072;0,019880716;0,005964215;0;0;0;0,017892644;0,005964215;0,005964215;0,013916501;0;0;0;0;0;0,047713718;0;0;0;0;0;0,001988072;0;0,005964215;0,009940358;0,007952286;0;0,059642147;0,001988072
X30775.6676101325;0,001883239;0;0,001883239;0,043314501;0,092278719;0;0;0;0,005649718;0;0,001883239;0,001883239;0,299435028;0;0;0;0;0,011299435;0;0,357815443;0;0,011299435;0;0,007532957;0;0,020715631;0,011299435;0,003766478;0;0;0,011299435;0,003766478;0,003766478;0,007532957;0;0;0;0;0;0,048964218;0;0;0;0;0;0,011299435;0,001883239;0,003766478;0,005649718;0,005649718;0;0,020715631;0,003766478
X31284.2906894025;0;0;0;0,036679537;0,069498069;0;0;0;0,00965251;0;0,00965251;0;0,341698842;0;0;0;0;0,007722008;0;0,324324324;0;0,011583012;0;0,003861004;0;0,027027027;0;0,001930502;0;0;0,027027027;0,001930502;0,007722008;0,005791506;0;0;0;0;0;0,054054054;0;0;0;0;0;0,005791506;0;0,005791506;0,001930502;0,003861004;0;0,034749035;0,007722008
X31792.9137686725;0;0;0;0,105461394;0,060263653;0;0;0;0,001883239;0;0,015065913;0,005649718;0,210922787;0;0;0;0;0,007532957;0;0,357815443;0;0,028248588;0;0,003766478;0,003766478;0,032015066;0,005649718;0,001883239;0;0;0,02259887;0,001883239;0,007532957;0,020715631;0;0;0,001883239;0,001883239;0;0,048964218;0;0;0;0;0,001883239;0,009416196;0;0,007532957;0,003766478;0,013182674;0;0,015065913;0,003766478
X32810.1599272125;0,00148368;0;0,004451039;0,112759644;0,043026706;0;0;0;0,008902077;0;0,020771513;0,008902077;0,240356083;0;0;0;0;0,00148368;0;0,28189911;0;0,022255193;0;0,002967359;0,004451039;0,037091988;0,002967359;0;0;0,002967359;0,037091988;0,00148368;0,010385757;0,013353116;0;0;0,00148368;0;0;0,074183976;0;0;0;0;0;0,008902077;0;0,010385757;0,008902077;0,005934718;0;0,028189911;0,002967359
X34081.7176253875;0;0;0,005607477;0,065420561;0,035514019;0;0;0,003738318;0,009345794;0;0,014953271;0,01682243;0,276635514;0;0;0;0;0,001869159;0;0,287850467;0;0,020560748;0;0;0,018691589;0,059813084;0;0;0;0;0,037383178;0,005607477;0,009345794;0,007476636;0;0;0;0;0;0,056074766;0;0;0;0;0,001869159;0,003738318;0;0,013084112;0,007476636;0,003738318;0;0,028037383;0,009345794
X35353.2753235625;0;0;0,005405405;0,072072072;0,028828829;0;0;0,001801802;0,009009009;0;0,016216216;0,016216216;0,25045045;0;0;0;0;0;0;0,302702703;0;0,014414414;0;0;0,025225225;0,077477477;0,003603604;0;0;0,003603604;0,032432432;0,001801802;0,007207207;0,009009009;0;0;0,001801802;0;0;0,059459459;0;0;0,003603604;0;0;0,005405405;0;0,014414414;0,007207207;0,003603604;0;0,023423423;0,003603604
X36624.8330217375;0,001795332;0;0,003590664;0,08438061;0,035906643;0;0,001795332;0;0,014362657;0;0,010771993;0,017953321;0,245960503;0,001795332;0;0;0;0;0;0,265709156;0;0,007181329;0;0,001795332;0,023339318;0,057450628;0;0;0;0,001795332;0,041292639;0,005385996;0,014362657;0,005385996;0;0;0,001795332;0;0;0,070017953;0;0;0;0;0;0,007181329;0;0,016157989;0,017953321;0,007181329;0;0,030520646;0,007181329
X37896.3907199125;0;0;0,003868472;0,048355899;0,052224371;0;0;0,001934236;0,001934236;0;0,00967118;0,011605416;0,263056093;0;0;0;0;0,005802708;0;0,33655706;0;0,021276596;0;0;0,023210832;0,065764023;0,003868472;0;0;0,001934236;0,032882012;0,00967118;0,001934236;0,001934236;0;0;0,003868472;0;0;0,042553191;0;0;0;0;0;0,00967118;0;0,007736944;0,013539652;0,003868472;0;0,013539652;0,007736944
X38608.4630308905;0,002;0;0,022;0,06;0,078;0;0;0,002;0,008;0;0,01;0,05;0,188;0;0,002;0;0;0,002;0,002;0,214;0;0,008;0;0,004;0,074;0,132;0,004;0;0;0;0,028;0,006;0,002;0,004;0;0;0,002;0;0;0,032;0;0;0;0;0;0,008;0;0,012;0,01;0;0;0,026;0,008
X39167.9484180875;0,002028398;0;0,012170385;0,056795132;0,127789047;0;0;0;0,002028398;0;0,014198783;0,020283976;0,188640974;0;0;0;0;0,010141988;0;0,15821501;0;0,004056795;0;0,002028398;0,064908722;0,172413793;0;0;0;0;0,030425963;0,006085193;0;0,004056795;0;0;0;0;0;0,028397566;0;0;0;0;0;0,00811359;0;0,006085193;0,006085193;0,010141988;0;0,058823529;0,006085193
X39473.1222656495;0;0;0,005964215;0,035785288;0,077534791;0;0;0,001988072;0,011928429;0;0,005964215;0,009940358;0,149105368;0;0,001988072;0;0;0;0;0,133200795;0;0,003976143;0;0;0,123260437;0,292246521;0;0;0;0,001988072;0,02584493;0,007952286;0,003976143;0;0;0;0;0;0;0,03777336;0;0;0;0;0;0;0,001988072;0,001988072;0,003976143;0,003976143;0;0,055666004;0,001988072
X39727.4338052845;0;0;0,017475728;0,021359223;0,05631068;0;0;0,001941748;0,00776699;0;0,003883495;0,017475728;0,163106796;0;0;0;0;0,001941748;0;0,166990291;0;0,005825243;0;0;0,165048544;0,277669903;0,003883495;0;0;0;0,021359223;0,001941748;0;0;0;0;0;0;0;0,027184466;0;0;0;0;0;0,005825243;0;0,00776699;0,005825243;0;0;0,017475728;0,001941748
X39981.7453449195;0;0;0,009225092;0,046125461;0,04797048;0;0;0,003690037;0,007380074;0;0,011070111;0,007380074;0,17896679;0;0;0;0;0,007380074;0;0,086715867;0;0,007380074;0;0;0,160516605;0,29704797;0;0;0;0;0,025830258;0;0,001845018;0,001845018;0;0;0;0;0;0,046125461;0,003690037;0;0,003690037;0;0;0,005535055;0;0,001845018;0,012915129;0,005535055;0;0,018450185;0,001845018
X40439.5061162625;0;0;0,0125;0,044642857;0,083928571;0;0;0;0,021428571;0;0,005357143;0,025;0,173214286;0;0;0;0;0;0;0,1875;0;0;0;0,003571429;0,085714286;0,2125;0;0;0;0,003571429;0,017857143;0,003571429;0,008928571;0,003571429;0;0;0;0;0;0,041071429;0;0;0;0;0;0,003571429;0;0,008928571;0,014285714;0;0;0,035714286;0,003571429
X41202.4407351675;0,001901141;0;0,001901141;0,057034221;0,076045627;0;0;0,001901141;0,003802281;0;0;0,020912548;0,22243346;0;0;0;0;0;0;0,203422053;0;0,001901141;0;0,001901141;0,072243346;0,184410646;0,005703422;0;0;0,001901141;0,02661597;0;0,001901141;0,001901141;0;0;0;0;0;0,038022814;0;0;0;0;0;0,007604563;0;0,009505703;0,005703422;0;0;0,043726236;0,007604563
X41456.7522748025;0;0;0,005736138;0,072657744;0,07456979;0;0;0,001912046;0,021032505;0;0,021032505;0,028680688;0,217973231;0;0,001912046;0;0;0,003824092;0;0,181644359;0;0,001912046;0;0;0,043977055;0,170172084;0;0;0;0;0,017208413;0;0,001912046;0,001912046;0;0;0;0;0;0,047801147;0;0;0;0;0;0,001912046;0;0,003824092;0,001912046;0,009560229;0;0,061185468;0,005736138
X41609.3391985835;0;0;0,010752688;0,112903226;0,091397849;0;0,001792115;0,003584229;0,010752688;0;0,014336918;0,034050179;0,168458781;0;0;0;0;0;0;0,211469534;0;0;0;0;0,051971326;0,136200717;0,003584229;0;0;0;0,016129032;0,005376344;0,001792115;0,005376344;0;0;0,001792115;0;0;0,037634409;0;0;0;0;0;0,005376344;0;0,005376344;0,012544803;0,001792115;0;0,053763441;0,001792115
X41711.0638144375;0;0;0;0,081466395;0,109979633;0;0;0,010183299;0,00203666;0;0,00814664;0,030549898;0,211812627;0,00203666;0;0;0;0,00610998;0,00203666;0,185336049;0;0,00203666;0;0;0,026476578;0,079429735;0;0;0;0,00203666;0,034623218;0,014256619;0,010183299;0,00407332;0;0;0;0;0;0,044806517;0;0;0,00203666;0;0;0,014256619;0;0,018329939;0,00814664;0,00610998;0;0,077393075;0,00610998
X41812.7884302915;0;0;0,012024048;0,108216433;0,098196393;0;0,002004008;0;0,014028056;0;0,018036072;0,032064128;0,184368737;0;0;0;0;0,008016032;0;0,234468938;0;0,002004008;0;0;0,012024048;0,114228457;0;0;0;0;0,018036072;0;0,004008016;0,002004008;0;0;0;0;0;0,044088176;0;0;0;0;0;0,006012024;0;0,01002004;0,012024048;0;0;0,062124248;0,002004008
X42016.2376619995;0;0;0,007619048;0,135238095;0,064761905;0;0;0,001904762;0,017142857;0;0,015238095;0,019047619;0,198095238;0;0;0;0;0,007619048;0;0,131428571;0;0,005714286;0;0;0,047619048;0,226666667;0;0;0;0;0,022857143;0;0,005714286;0,001904762;0;0;0;0;0;0,045714286;0;0;0;0;0;0;0;0,003809524;0,00952381;0,003809524;0;0,022857143;0,005714286
X42423.1361254155;0,004056795;0;0,010141988;0,014198783;0,119675456;0;0;0;0,002028398;0;0,002028398;0,010141988;0,172413793;0;0,002028398;0;0;0,004056795;0;0,170385396;0;0,002028398;0;0,002028398;0,089249493;0,302231237;0,002028398;0;0;0,002028398;0,00811359;0,006085193;0,006085193;0;0;0;0;0;0;0,032454361;0;0;0;0;0;0,010141988;0;0,004056795;0,004056795;0;0;0,016227181;0,002028398
X42982.6215126125;0,003514938;0;0,010544815;0,012302285;0,158172232;0;0;0,008787346;0,001757469;0;0;0,014059754;0,110720562;0;0;0;0;0,003514938;0;0,112478032;0;0,001757469;0;0,001757469;0,094903339;0,360281195;0;0,001757469;0;0,008787346;0,019332162;0,001757469;0,003514938;0,001757469;0;0;0;0;0;0,038664323;0;0;0,001757469;0;0;0,005272408;0;0,007029877;0,005272408;0,001757469;0;0,005272408;0,003514938
