Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
46958;0;2;301;0;2;0;0;27;2;136;5;2;0;0;28;0;492
47435;0;0;407;0;2;0;0;18;12;78;0;0;0;0;12;2;467
47912;0;0;441;0;3;0;0;35;6;91;0;0;0;0;17;0;406
48389;0;0;274;0;0;0;0;27;4;46;8;15;0;0;73;4;548
49184;0;0;206;0;4;0;0;19;0;73;0;21;0;0;124;30;522
49820;0;3;159;3;12;0;0;29;3;65;0;32;0;3;106;17;569
50456;0;6;196;4;4;0;0;65;0;59;0;13;0;0;49;10;594
51251;0;0;175;0;0;0;0;24;2;71;0;2;0;0;65;12;647
51887;0;0;223;0;0;0;0;52;4;52;0;17;0;0;67;0;585
52682;0;0;222;0;2;0;0;93;0;35;0;19;0;2;51;6;570
53795;0;5;266;0;0;0;0;286;0;17;2;12;0;0;27;5;381
54908;0;3;85;0;0;0;0;32;0;43;0;28;0;0;225;10;574
55544;0;0;81;0;11;0;0;3;0;81;0;0;0;0;216;26;582
56339;0;0;67;3;6;0;0;10;3;77;0;3;0;3;228;30;571
57293;0;3;74;3;11;0;0;39;19;123;4;7;0;4;81;7;627
58247;0;19;134;13;65;0;0;0;30;197;30;8;2;2;65;30;402
59042;0;18;296;11;27;0;0;15;15;100;29;11;3;3;71;9;393
59837;0;23;133;13;60;0;6;44;17;83;60;20;0;17;33;4;487
60049;0;5;179;12;28;0;1;16;8;107;65;9;0;1;123;8;436
60420;0;28;269;32;95;0;3;25;35;130;136;4;3;13;21;3;202
62964;0;23;189;30;81;3;3;16;59;192;166;0;3;6;16;13;199
63070;0;3;276;15;63;0;5;17;26;144;135;5;0;12;63;0;236
63229;0;4;62;7;18;0;0;69;4;48;18;0;0;4;34;7;726
63335;0;0;148;0;0;0;0;112;10;40;5;15;0;10;92;0;567
63494;0;9;255;0;0;0;0;22;5;53;5;22;0;0;132;14;484
63600;0;12;257;0;0;0;0;47;4;51;0;16;4;4;124;23;460
63759;0;7;211;0;3;0;0;15;3;88;0;10;3;0;113;15;531
63865;0;7;223;2;2;0;0;2;11;133;2;13;0;4;115;11;472
64024;0;0;256;0;0;0;0;4;0;312;0;0;0;0;38;4;385
64130;0;13;355;2;4;0;0;2;13;373;8;2;0;2;4;0;222
64289;0;14;465;4;0;0;0;18;10;166;10;4;0;0;10;0;299
64395;4;17;244;21;21;0;0;21;33;157;21;12;4;17;99;4;322
64554;0;3;129;3;0;0;0;8;88;516;11;0;0;3;11;0;229
64660;0;7;219;7;7;0;0;4;119;523;19;0;0;4;4;4;82
64819;0;10;225;10;15;5;0;5;135;449;73;0;2;0;2;0;68
64925;0;51;313;51;36;5;9;0;262;5;188;0;0;9;9;5;56
65084;0;36;186;51;23;8;0;0;143;356;146;0;12;8;0;0;32
65190;3;29;150;79;65;0;3;3;68;294;232;3;12;9;12;0;38
65349;0;46;144;79;58;9;9;2;89;311;197;0;9;14;2;0;30
65455;0;31;62;169;191;0;9;0;35;89;369;0;4;9;0;0;31
65614;0;41;91;178;196;0;10;0;49;94;308;0;0;10;0;0;23
65720;2;41;49;106;229;2;9;0;76;85;357;0;4;9;2;0;29
65985;0;39;77;111;158;0;16;4;63;111;393;0;0;16;2;0;9
67310;1;30;76;126;178;1;5;0;70;90;392;0;3;12;3;0;13
67469;0;51;120;131;156;0;6;0;46;96;352;0;3;11;6;0;22
67575;0;40;101;70;233;3;9;0;43;58;415;0;3;15;0;0;9
67734;0;44;113;54;259;0;7;0;35;59;408;0;2;10;0;0;10
67840;0;27;97;44;341;0;3;3;35;65;344;3;3;14;0;0;20
67999;0;27;97;36;275;0;4;0;56;82;386;2;2;9;0;0;23
68105;0;31;125;31;285;0;9;0;46;64;356;0;3;9;3;0;37
68264;0;19;122;38;297;0;0;0;19;87;361;0;2;17;5;2;29
68370;0;15;89;13;343;3;0;3;38;68;388;0;0;23;3;0;13
68529;0;16;106;10;304;0;12;0;27;77;420;0;0;18;0;0;10
68635;0;16;283;2;223;0;27;7;29;79;264;0;2;23;9;0;36
68794;0;0;428;4;44;0;0;35;0;135;76;4;0;20;56;4;191
68900;0;6;532;0;0;0;0;37;3;125;10;3;0;3;45;0;236
