Prof_Bacon;Age_Bacon;UncerAge_Bacon;Prof_Clam;UnceraAge_Clam;UncerbAge_Clam;Age_Bclam
220,9;14443,9572;1015,1022;220,940166;15567,7;17287,7;16352,2
224,8;14647,47189;1010,642744;224,786319;15691,1;17368,3;16452,2
228,6;14847,19479;1007,501849;228,6324719;15813,4;17448,7;16553
232,1;15029,44586;1009,248624;232,0512863;15922,7;17530;16643,5
235,9;15221,78056;1014,550402;235,8974392;16049,1;17624,4;16746,4
238,5;15353,04777;1006,200694;238,4615412;16130,2;17684,8;16815,6
242,7;15566,42137;1002,743414;242,7350444;16267,2;17796;16932,5
246,6;15767,13102;1005,124291;246,5811974;16392,8;17903,6;17039,1
250,4;15966,64059;1004,890936;250,4273503;16518,7;18005,8;17147,5
253;16098,88825;1003,020121;252,9914523;16605,9;18078,3;17220,6
257,3;16315,10169;1005,410244;257,2649556;16746,1;18210,7;17344,5
260,7;16485,34809;1008,202169;260,6837582;16858,4;18313,1;17445,3
264,5;16679,82552;1002,111722;264,5299111;16986,3;18429,2;17560,7
267,9;16856,68353;1001,315296;267,9487137;17103,1;18539,7;17665,1
271,4;17040,34229;1007,3896;271,3675164;17219,2;18640,3;17771,4
275,2;17235,89996;1006,392626;275,2136693;17355,5;18768,5;17893,3
278,6;17411,7388;1002,550854;278,6324836;17474,2;18877,5;18003,9
282,5;17612,43789;1002,57549;282,4786366;17611,1;19006,1;18130,8
286,3;17806,11212;1005,338647;286,3247895;17745;19147,6;18260,6
289,7;17981,01071;997,8265325;289,7435921;17867,1;19265,3;18378,5
293,6;18180,2848;992,8346734;293,5897451;18006,7;19403,1;18514
297;18353,61042;992,1317945;297,0085477;18132,8;19524,9;18637,2
300,7;18542,71452;992,253685;300,7352939;18273,1;19661;18774,4
303,3;18679,61501;981,9812689;303,3088225;18370,9;19758,2;18871,1
306,6;18852,37091;977,7967846;306,6176451;18497;19880,3;18997,6
309,9;19017,62376;970,1767683;309,9264676;18624,9;20006,4;19126,4
312,9;19169,17746;963,5395939;312,8676432;18742,3;20114,6;19242,9
315,8;19316,42024;964,0839891;315,8088188;18861,5;20228,1;19361,1
318,7;19466,69311;956,2382232;318,7500044;18981,3;20345,3;19481,1
322,4;19656,9986;953,4666689;322,4264739;19128,2;20484,4;19633,4
325,4;19809,02479;951,9944876;325,3676495;19250,9;20598,4;19757
328,7;19978,25312;943,3781392;328,676472;19390,9;20726,7;19897,9
332;20147,10046;938,7221925;331,9852945;19529,8;20857,8;20040,7
334,6;20278,63612;930,6969415;334,5588232;19639,2;20960,1;20152,9
337,5;20426,75152;924,5333096;337,4999987;19766,2;21077,8;20282,5
340,8;20596,78624;924,757074;340,8088213;19909,2;21210,5;20429,9
344,5;20790,0959;912,2629127;344,4852907;20073,3;21363,5;20595,5
346,7;20904,49664;909,8920293;346,6911724;20173,7;21449,5;20695,7
350;21074,07055;903,7046103;349,999995;20322,6;21585,3;20847,2
353,3;21245,21967;892,4417508;353,3088175;20476,5;21720,3;21000,1
