X2;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
6,789;8,318436599;5,889217053;9,858897773;1,940626195;13,80748801;826,9699055;472,9055127;851,7671631;282,2703343;1538,219959;22,42085977;19,42427043;25,41876306;13,48872876;31,30510148;-4,098228664;-7,980536557;-0,230423136;-15,64194259;7,447745978;10313,73397;6234,049652;12914,94987;1314,323228;18806,04387
6,98;8,257721688;5,730858529;9,817378786;1,641211448;13,88062169;834,6229562;472,1996849;858,6797758;279,9826406;1562,233963;22,38004608;19,32619966;25,48538458;13,21045804;31,55350787;-4,334648688;-8,3598105;-0,302982746;-16,21890972;7,587958419;10477,87967;6281,61905;13124,70305;1315,073253;19173,74361
7,172;8,288297369;5,72964926;9,788224635;1,658307979;13,92235383;829,7061954;473,5605538;855,1466657;282,2121627;1544,146247;22,33097611;19,22366993;25,42215389;13,10305553;31,54117811;-4,262452735;-8,273309969;-0,229780799;-16,20778007;7,677691311;10363,41805;6250,908921;12977,40512;1311,86801;18913,81297
7,364;8,296557846;5,702424014;9,820143355;1,544551853;13,9570031;832,3538089;473,208165;858,3107335;280,7807945;1554,129944;22,35485663;19,23068525;25,48674176;13,04565985;31,69666548;-4,351517099;-8,413328746;-0,286190857;-16,36660437;7,67244277;10364,09937;6238,718367;12994,17067;1308,746706;18934,25089
7,555;8,566890913;5,904616678;9,91658103;1,884496615;13,93474559;835,5215325;470,6454315;858,7229664;278,0507791;1568,142759;22,50688383;19,48794183;25,49419884;13,57173745;31,44706296;-4,165403777;-8,070632895;-0,277245657;-15,76023465;7,404701194;10445,44169;6250,221098;13089,77001;1305,198198;19124,72647
7,747;8,079559348;5,547904216;9,707170002;1,358256863;13,88884406;838,1543046;476,9750562;863,2766339;282,1960394;1562,951256;22,16719741;18,92100335;25,3633727;12,58954265;31,73619759;-4,450015693;-8,582935143;-0,289097789;-16,77721937;7,943585338;10590,48295;6341,121091;13268,8864;1322,392748;19385,8503
7,939;8,202675121;5,570195893;9,753115835;1,416756391;13,96179833;832,5169883;473,6298377;857,6934332;281,5382771;1553,082349;22,27648898;19,12585586;25,43808344;12,84126402;31,68909325;-4,407978577;-8,578362116;-0,320485131;-16,65844828;7,843979846;10490,18144;6295,742126;13143,04491;1309,763909;19172,63709
8,13;8,334671267;5,614542285;9,815768655;1,467667854;13,99820742;832,6641331;474,3073686;859,094633;281,0466591;1553,457789;22,32535974;19,15443964;25,45136474;12,9128275;31,69297688;-4,358695397;-8,460804398;-0,245023748;-16,54826913;7,806543593;10428,13832;6274,671786;13073,84049;1305,449074;19065,88561
8,322;8,059697125;5,492886707;9,73209111;1,270677112;13,98762051;837,2169051;470,0150604;860,8324879;275,725144;1573,458434;22,33053024;19,16171419;25,51910107;12,88666394;31,78740085;-4,678105834;-8,89026396;-0,475216268;-17,14893207;7,780328092;10603,32702;6325,422806;13294,86194;1311,889285;19446,79397
8,514;8,157504377;5,629865104;9,839286066;1,471917478;14,02230676;837,5044696;469,7510553;860,7810517;276,1440008;1575,493596;22,41564685;19,31327108;25,52668094;13,18569945;31,63509204;-4,38351991;-8,440257985;-0,294803084;-16,4499798;7,699473942;10554,91361;6293,661707;13228,74251;1285,893036;19345,66163
8,701;7,759213908;5,240288435;9,677074457;0,782109961;14,08242454;847,5862287;474,7776614;872,6050529;276,8931357;1595,307263;22,02180638;18,59961704;25,36470061;11,99110961;32,02710552;-4,630379734;-9,000597157;-0,261315959;-17,61762391;8,318926337;10841,63478;6434,277702;13596,02315;1280,592291;19908,13784
8,884;7,955894086;5,363747186;9,74915972;0,997506878;14,14721016;850,1490489;473,5301915;873,4610838;275,5880394;1605,508507;22,16531066;18,85577306;25,48363336;12,31448425;31,99817992;-4,568489669;-8,839990169;-0,274792793;-17,24683567;8,118650577;10840,84027;6423,358355;13605,42457;1286,102013;19922,65468
9,067;7,930917485;5,239084042;9,775245945;0,719286742;14,25198037;853,5338991;473,8870833;876,651553;274,8856371;1612,853999;22,08987575;18,65908996;25,46166427;11,97939734;32,16474829;-4,601208005;-9,004208525;-0,219647418;-17,63507863;8,433145868;10965,22361;6463,861427;13759,08356;1275,082569;20183,53784
