"","T_ann","T_ann_i","T_ann_s","P_ann","P_ann_i","P_ann_s"
"1",7.89905602207051,2.68905602207051,3.97094397792949,891.911932244476,310.911932244476,589.088067755524
"2",8.61316455617327,0.723164556173265,3.25683544382673,663.174577758851,109.174577758851,292.825422241149
"3",NA,NA,NA,NA,NA,NA
"4",9.05387629232558,1.18387629232558,3.90612370767442,755.052904093066,484.052904093066,371.947095906934
"5",NA,NA,NA,NA,NA,NA
"6",8.17622571169016,2.96622571169016,3.69377428830984,915.157508228129,290.157508228129,565.842491771871
"7",8.57483495881507,3.36483495881507,3.04516504118493,1041.40725259061,282.407252590608,439.592747409392
"8",8.690690201681,2.670690201681,2.479309798319,1245.85156291767,646.851562917666,989.148437082334
"9",9.82765102971395,2.02765102971395,3.46234897028605,1028.7086660772,429.708666077196,1119.2913339228
"10",10.002802525623,2.20280252562304,3.28719747437696,971.40766727729,372.40766727729,1176.59233272271
"11",11.5801661082069,3.35016610820692,1.70983389179308,582.06136618926,306.06136618926,323.93863381074
"12",11.8691784684255,3.60917846842555,1.42082153157445,666.364654172708,390.364654172708,239.635345827292
"13",13.021006517672,0.061006517672018,0.26899348232798,366.585435331175,90.5854353311747,399.414564668825
"14",12.96,1.77635683940025e-15,-1.77635683940025e-15,276,0,0
"15",12.96,1.77635683940025e-15,-1.77635683940025e-15,276,0,0
"16",12.96,0,0,276,0,0
"17",12.96,1.77635683940025e-15,-1.77635683940025e-15,276,5.6843418860808e-14,-5.6843418860808e-14
"18",12.96,0,0,276,0,0
"19",12.96,0,0,276,0,0
"20",13.0306868776521,0.070686877652081,0.259313122347917,380.959303180364,104.959303180364,385.040696819636
"21",13.0503383609728,0.0903383609728063,0.239661639027192,410.138778414168,134.138778414168,355.861221585832
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA
"26",-1.17765017511531,11.6523498248847,9.9576501751153,578.164269156417,400.164269156417,350.835730843583
"27",-2.24577672861133,10.5842232713887,7.04577672861133,635.866569072184,457.866569072184,377.133430927816
"28",6.95163821696424,4.92163821696425,1.87836178303576,778.920660701391,236.920660701391,246.079339298609
"29",NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA
"33",5.91358568877886,4.60358568877886,5.37641431122114,741.943551651383,238.943551651383,373.056448348617
"34",5.72756781096444,4.41756781096444,5.56243218903556,831.379791586587,328.379791586587,283.620208413413
"35",1.06843280129062,13.1684328012906,7.68156719870938,735.035454260378,580.035454260378,379.964545739622
"36",0.455295515257347,12.5552955152573,3.43470448474265,697.746930395338,542.746930395338,394.253069604662
"37",5.7196205917885,4.4096205917885,5.5703794082115,828.85647734202,325.85647734202,286.14352265798
"38",1.08950455005338,13.1895045500534,7.66049544994662,735.547089477925,580.547089477925,379.452910522075
"39",0.173056421621148,12.2730564216211,3.71694357837885,688.035304128564,533.035304128564,403.964695871436
"40",1.85152525140035,13.9515252514003,7.02847474859965,752.469435659023,597.469435659023,362.530564340977
"41",5.40738598927156,4.09738598927156,5.88261401072844,738.979004994136,235.979004994136,376.020995005864
"42",6.57466305903655,5.80466305903655,8.14533694096345,654.245215634429,269.245215634429,178.754784365571
"43",13.710644350819,7.16064435081901,4.00935564918099,477.903152735931,248.903152735931,272.096847264069
"44",NA,NA,NA,NA,NA,NA
"45",13.2809094112694,5.80090941126937,4.84909058873063,506.271743479629,277.271743479629,243.728256520371
"46",13.8097769327548,6.32977693275476,4.15022306724524,438.75793416255,224.75793416255,155.24206583745
"47",13.1172022105164,6.56720221051644,4.60279778948356,478.413050202939,249.413050202939,271.586949797061
"48",5.27749502286678,16.4974950228668,12.4225049771332,546.428436274287,404.428436274287,168.571563725713
"49",9.20364419631902,8.43364419631902,8.49635580368098,538.700068243532,153.700068243532,176.299931756468
"50",12.5024301549868,5.9724301549868,5.2175698450132,468.835454955971,239.835454955971,281.164545044029
"51",12.9982264144976,5.5182264144976,4.9017735855024,434.212970359967,220.212970359967,172.787029640033
"52",2.42905779978139,13.6490577997814,6.50094220021861,741.793027767748,599.793027767748,279.206972232252
"53",1.5741378547806,12.7941378547806,7.3558621452194,697.393418825928,555.393418825928,311.606581174072
"54",2.71023579773628,13.9302357977363,12.0097642022637,669.254971402602,527.254971402602,339.745028597398
"55",3.88179320062785,3.11179320062785,7.40820679937215,717.706161408311,214.706161408311,209.293838591689
"56",2.34843415263456,13.5684341526346,6.58156584736544,737.617479043207,595.617479043207,283.382520956793
"57",NA,NA,NA,NA,NA,NA
"58",2.7511134856396,13.9711134856396,8.5388865143604,662.944143016537,520.944143016537,264.055856983463
"59",2.37948299799303,13.599482997993,6.55051700200697,736.852584069963,594.852584069963,284.147415930037
"60",NA,NA,NA,NA,NA,NA
"61",2.34150346114749,13.5615034611475,6.58849653885251,736.111992459454,594.111992459454,284.888007540546
"62",2.36208256266042,13.5820825626604,6.56791743733958,727.850874084092,585.850874084092,293.149125915908
"63",2.49744395031124,13.7174439503112,6.43255604968876,744.210373552307,602.210373552307,276.789626447693
"64",0.572726935748713,13.2427269357487,5.04727306425129,544.889011343118,388.889011343118,165.110988656882
"65",0.0346636651436997,12.8646636651437,5.5853363348563,541.447128009694,385.447128009694,168.552871990306
"66",2.41950630290765,13.6395063029076,6.51049369709235,740.158135506763,598.158135506763,280.841864493237
"67",3.89358540451613,3.12358540451613,6.48641459548387,708.002922339293,166.002922339293,218.997077660707
"68",2.47167650881264,13.6916765088126,6.45832349118736,732.334740703349,590.334740703349,288.665259296651
"69",-0.0239299187003594,11.7560700812996,5.64392991870036,550.990216840749,409.990216840749,180.009783159251
"70",1.48519820941413,13.3251982094141,4.13480179058587,617.232718829129,456.232718829129,113.767281170871
"71",1.81379502698126,13.6537950269813,3.80620497301874,596.893438718264,435.893438718264,134.106561281736
"72",2.4213105199807,13.6413105199807,6.5086894800193,740.540183879499,598.540183879499,280.459816120501
"73",4.91800313409081,16.1380031340908,12.7819968659092,650.639570078177,508.639570078177,358.360429921823
"74",0.610438362373818,13.2804383623738,10.0595616376262,500.802682211275,344.802682211275,322.197317788725
"75",1.87190211873303,14.541902118733,8.79809788126697,566.371276818659,410.371276818659,256.628723181341
"76",0.885337974804826,13.7153379748048,4.73466202519517,599.275980553888,421.275980553888,110.724019446112
"77",-0.663971119456806,12.1660288805432,5.28397111945681,607.192517370841,429.192517370841,107.807482629159
"78",1.74614112992335,13.5861411299234,3.87385887007665,595.92360249206,434.92360249206,135.07639750794
"79",-0.229246472158864,11.5507535278411,5.84924647215886,556.082298474962,415.082298474962,174.917701525038
"80",1.55672701345747,12.7767270134575,7.37327298654253,696.641637645587,554.641637645587,312.358362354413
"81",2.36590057348417,13.5859005734842,6.56409942651583,728.099449859102,586.099449859102,292.900550140898
"82",2.40709897184437,13.6270989718444,6.52290102815563,740.365511809171,598.365511809171,280.634488190829
"83",2.4760791461919,13.6960791461919,6.4539208538081,731.363420804868,589.363420804868,289.636579195132
"84",2.41894789235375,13.6389478923538,6.51105210764625,728.78952626445,586.78952626445,292.21047373555
"85",5.02,0,0,542,0,0
"86",2.50772285050766,13.7277228505077,9.80227714949234,849.36167612708,707.36167612708,799.63832387292
"87",5.03108822281414,16.2510882228141,9.68891177718586,569.360240180576,427.360240180576,357.639759819424
"88",NA,NA,NA,NA,NA,NA
"89",6.91886423521648,6.14886423521648,7.80113576478352,632.151833352113,247.151833352113,294.848166647887
"90",10.8262546483309,6.00625464833086,6.89374535166914,543.353360205478,314.353360205478,206.646639794522
"91",-1.20180439270852,11.6281956072915,11.8718043927085,464.296781941232,312.296781941232,358.703218058768
"92",NA,NA,NA,NA,NA,NA
"93",1.5431322416158,13.3831322416158,9.1268677583842,786.169616467611,625.169616467611,1776.83038353239
"94",4.66625608439479,3.93625608439479,3.91374391560521,1006.69130229772,618.691302297724,1353.30869770228
"95",2.23742013246697,12.867420132467,6.36257986753303,451.668785576918,127.668785576918,101.331214423082
