depth	min	max	median	mean
235	8323	9311	8942	8905
236	8590	9353	9040	9024
237	8782	9416	9148	9144
238	8886	9597	9264	9263
239	8952	9887	9365	9383
240	9004	10209	9466	9502
241	9117	10295	9573	9608
242	9162	10455	9685	9713
243	9205	10627	9786	9818
244	9242	10861	9877	9924
245	9270	11114	9966	10029
246	9376	11199	10073	10132
247	9457	11310	10179	10235
248	9515	11428	10294	10339
249	9552	11574	10398	10442
250	9596	11742	10492	10545
251	9689	11837	10606	10648
252	9756	11942	10728	10751
253	9821	12066	10840	10854
254	9873	12195	10941	10957
255	9918	12339	11033	11060
256	10037	12403	11134	11159
257	10144	12474	11242	11258
258	10220	12576	11336	11357
259	10274	12709	11440	11456
260	10330	12853	11537	11554
261	10474	12912	11646	11655
262	10588	12967	11747	11756
263	10700	13042	11843	11857
264	10775	13154	11943	11958
265	10842	13288	12047	12058
266	11014	13342	12154	12162
267	11134	13412	12268	12265
268	11221	13490	12385	12368
269	11296	13571	12495	12471
270	11356	13695	12608	12574
271	11480	13739	12711	12678
272	11595	13799	12827	12781
273	11702	13853	12937	12885
274	11791	13943	13054	12989
275	11848	14063	13157	13092
276	12054	14101	13254	13201
277	12239	14150	13357	13309
278	12370	14216	13465	13418
279	12483	14314	13586	13526
280	12568	14419	13691	13635
281	12822	14455	13778	13736
282	13054	14502	13863	13837
283	13266	14547	13953	13939
284	13412	14608	14045	14040
285	13518	14706	14145	14141
286	13697	14744	14204	14215
287	13853	14787	14267	14288
288	13935	14845	14333	14361
