depth	min	max	median	mean
22	577	893	712	722
23	688	924	787	793
24	754	986	861	865
25	787	1095	935	937
26	816	1210	1006	1009
27	843	1334	1074	1080
28	1050	1414	1212	1216
29	1224	1500	1347	1353
30	1357	1630	1481	1489
31	1451	1804	1619	1625
32	1524	2007	1755	1761
33	1577	2021	1787	1795
34	1610	2043	1826	1828
35	1631	2072	1865	1861
36	1653	2114	1901	1895
37	1667	2170	1935	1928
38	1760	2199	1970	1970
39	1831	2234	2009	2011
40	1880	2283	2050	2053
41	1906	2339	2091	2095
42	1926	2402	2129	2136
43	1981	2427	2175	2181
44	2032	2459	2222	2226
45	2057	2508	2269	2271
46	2077	2559	2313	2316
47	2094	2632	2359	2361
48	2202	2650	2407	2414
49	2295	2678	2455	2467
50	2360	2714	2506	2521
51	2390	2788	2564	2574
52	2407	2884	2620	2627
53	2471	2908	2663	2671
54	2511	2937	2710	2715
55	2544	2973	2758	2759
56	2570	3021	2805	2803
57	2589	3084	2853	2847
58	2693	3107	2895	2896
59	2773	3134	2942	2945
60	2826	3172	2993	2994
61	2861	3236	3041	3043
62	2890	3326	3087	3092
63	2920	3358	3122	3126
64	2942	3389	3156	3160
65	2964	3439	3190	3193
66	2978	3509	3221	3227
67	2990	3587	3252	3261
68	3024	3620	3285	3296
69	3054	3655	3323	3331
70	3073	3692	3360	3367
71	3088	3744	3394	3402
72	3097	3819	3426	3437
73	3139	3841	3464	3472
74	3165	3865	3501	3507
75	3187	3898	3537	3542
76	3203	3940	3572	3577
77	3217	3993	3606	3612
78	3260	4016	3637	3643
79	3305	4039	3672	3675
80	3350	4071	3702	3706
81	3373	4098	3737	3738
82	3396	4132	3773	3769
83	3444	4148	3803	3801
84	3483	4165	3836	3833
85	3515	4184	3872	3865
86	3536	4212	3906	3897
87	3558	4245	3938	3929
88	3620	4258	3973	3963
89	3668	4274	4008	3997
90	3702	4296	4043	4031
91	3735	4320	4079	4065
92	3761	4358	4114	4099
93	3837	4369	4144	4132
94	3906	4377	4175	4166
95	3953	4397	4208	4200
96	3991	4421	4241	4233
97	4015	4454	4276	4267
98	4036	4471	4294	4285
99	4062	4485	4312	4303
100	4083	4504	4328	4322
101	4102	4528	4344	4340
102	4118	4558	4362	4358
103	4142	4576	4378	4373
104	4161	4587	4392	4388
105	4179	4601	4406	4404
106	4193	4625	4421	4419
107	4208	4648	4435	4434
108	4225	4662	4452	4450
109	4246	4680	4469	4467
110	4263	4696	4485	4484
111	4277	4719	4500	4500
112	4290	4744	4516	4517
113	4310	4755	4532	4532
114	4326	4769	4547	4548
115	4340	4784	4563	4563
116	4355	4807	4579	4579
117	4366	4825	4595	4594
118	4389	4837	4609	4610
119	4414	4846	4624	4625
120	4431	4857	4639	4640
121	4443	4880	4654	4656
122	4453	4902	4669	4671
123	4477	4924	4683	4686
124	4501	4938	4697	4700
125	4516	4958	4712	4715
126	4531	4982	4728	4730
127	4541	5006	4744	4744
128	4579	5020	4763	4764
129	4606	5032	4785	4784
130	4624	5055	4806	4804
131	4637	5078	4824	4824
132	4651	5104	4841	4844
133	4684	5126	4871	4875
134	4709	5150	4898	4906
135	4730	5199	4926	4936
136	4746	5256	4955	4967
137	4761	5326	4981	4998
138	4797	5344	5013	5028
139	4822	5363	5049	5058
140	4841	5378	5081	5089
141	4853	5421	5112	5119
142	4871	5461	5142	5149
143	4909	5477	5173	5181
144	4938	5498	5208	5213
145	4962	5526	5243	5245
146	4978	5568	5276	5277
147	4992	5622	5309	5309
148	5040	5636	5337	5339
149	5082	5653	5368	5369
150	5111	5678	5399	5398
151	5133	5702	5432	5428
152	5150	5740	5463	5458
153	5196	5755	5494	5489
154	5228	5767	5527	5520
155	5260	5789	5561	5551
156	5289	5817	5594	5582
157	5313	5851	5629	5613
158	5384	5861	5656	5647
159	5449	5873	5686	5680
160	5506	5890	5719	5713
161	5556	5912	5756	5747
162	5593	5941	5788	5780
