"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"Leroy_d33";0,00558659217877095;0;0,276536312849162;0,00837988826815642;0,0893854748603352;0,0363128491620112;0,053072625698324;0,198324022346369;0,00558659217877095;0;0,0279329608938547;0,058659217877095;0,189944134078212;0,00837988826815642;0,00558659217877095;0,00279329608938547;0;0;0;0,0335195530726257
"Leroy_d34";0,031496062992126;0;0,413385826771654;0;0,00393700787401575;0,0118110236220472;0,078740157480315;0,094488188976378;0;0,00393700787401575;0;0,224409448818898;0,122047244094488;0,00393700787401575;0,00393700787401575;0;0;0;0;0,0078740157480315
"Leroy_d35";0,003584229390681;0,003584229390681;0,480286738351254;0;0,003584229390681;0,028673835125448;0,039426523297491;0,157706093189964;0;0,003584229390681;0,003584229390681;0,10752688172043;0,150537634408602;0,014336917562724;0,003584229390681;0;0;0;0;0
"Leroy_d36";0,00557103064066852;0;0,582172701949861;0,00278551532033426;0,00557103064066852;0,0194986072423398;0,0724233983286908;0,0724233983286908;0,00278551532033426;0;0,00278551532033426;0,0947075208913649;0,11142061281337;0,0139275766016713;0,00835654596100279;0;0;0;0;0,00557103064066852
"Leroy_d37";0,00354609929078014;0;0,390070921985816;0;0;0,00354609929078014;0,0602836879432624;0,198581560283688;0,0106382978723404;0;0;0,219858156028369;0,109929078014184;0,00354609929078014;0;0;0;0;0;0
"Leroy_d38";0,00420168067226891;0;0,310924369747899;0;0,0168067226890756;0,0210084033613445;0,0630252100840336;0,264705882352941;0,00420168067226891;0;0;0,11344537815126;0,163865546218487;0,0168067226890756;0,0126050420168067;0;0;0;0;0,00840336134453781
"Leroy_e1";0;0;0,00436681222707424;0;0,419213973799127;0,00436681222707424;0,0436681222707424;0,00873362445414847;0;0,00436681222707424;0;0;0,192139737991266;0;0,205240174672489;0,100436681222707;0;0;0;0,0174672489082969
"Leroy_e2";0,0124610591900312;0;0,00934579439252336;0;0,470404984423676;0;0,0872274143302181;0,00934579439252336;0;0,00311526479750779;0;0;0,21183800623053;0;0,180685358255452;0,0124610591900312;0;0;0;0,00311526479750779
"Leroy_e3";0;0;0,346320346320346;0,00432900432900433;0,225108225108225;0,00432900432900433;0,0216450216450216;0,0303030303030303;0;0,0216450216450216;0;0;0,251082251082251;0;0,0432900432900433;0,0346320346320346;0;0;0;0,0173160173160173
"Leroy_e4";0;0;0,0229007633587786;0;0,229007633587786;0,0152671755725191;0,0916030534351145;0,099236641221374;0;0,00763358778625954;0,0152671755725191;0,0610687022900763;0,358778625954198;0;0,0458015267175573;0;0,0152671755725191;0;0,0229007633587786;0,0152671755725191
"Leroy_e5";0;0;0,0117647058823529;0,00392156862745098;0,36078431372549;0;0,101960784313725;0,0313725490196078;0;0,00784313725490196;0;0,0509803921568627;0,247058823529412;0;0,180392156862745;0,00392156862745098;0;0;0;0
"Leroy_e6";0;0;0,00552486187845304;0;0,226519337016575;0;0,0386740331491713;0,0386740331491713;0;0,00552486187845304;0;0,0220994475138122;0,408839779005525;0;0,0773480662983425;0,143646408839779;0;0;0;0,0331491712707182
"Leroy_e7";0;0;0,00727272727272727;0,0254545454545455;0,669090909090909;0,00363636363636364;0,00727272727272727;0,0254545454545455;0;0,00727272727272727;0;0,0218181818181818;0,185454545454545;0;0,0254545454545455;0,0109090909090909;0;0;0;0,0109090909090909
"Leroy_e8";0;0;0,00956937799043062;0,00478468899521531;0,196172248803828;0,00478468899521531;0,339712918660287;0,0430622009569378;0;0,0287081339712919;0,00956937799043062;0,191387559808612;0,119617224880383;0;0,0334928229665072;0,00478468899521531;0;0;0;0,0143540669856459
"Leroy_f1";0;0;0,00359712230215827;0;0,280575539568345;0;0,302158273381295;0,0719424460431655;0;0,0683453237410072;0,00359712230215827;0,154676258992806;0,0719424460431655;0;0,0323741007194245;0,0107913669064748;0;0;0;0
"Leroy_g1";0;0,00558659217877095;0,726256983240223;0,00558659217877095;0;0;0,00558659217877095;0,0502793296089385;0;0,0111731843575419;0;0;0,0782122905027933;0,0502793296089385;0;0;0;0,0670391061452514;0;0
"Leroy_g2";0,0137931034482759;0,00689655172413793;0,613793103448276;0;0,0206896551724138;0,00689655172413793;0,00689655172413793;0,110344827586207;0;0;0,00689655172413793;0,00689655172413793;0,151724137931034;0,0275862068965517;0;0;0;0,0275862068965517;0;0
"Leroy_g3";0;0;0,422680412371134;0,0309278350515464;0,0309278350515464;0,0206185567010309;0;0,164948453608247;0;0;0,0206185567010309;0,0103092783505155;0,195876288659794;0,0309278350515464;0,0103092783505155;0;0;0,0515463917525773;0;0,0103092783505155
"Leroy_g4";0;0;0,104265402843602;0,004739336492891;0,018957345971564;0,014218009478673;0,004739336492891;0,0663507109004739;0;0;0,004739336492891;0,004739336492891;0,62085308056872;0,00947867298578199;0;0;0,0805687203791469;0,023696682464455;0;0,042654028436019
"Leroy_h1";0;0;0,0262172284644195;0;0;0,0749063670411985;0,0898876404494382;0,153558052434457;0;0;0,00374531835205993;0,576779026217228;0,0187265917602996;0,0262172284644195;0,0112359550561798;0,00374531835205993;0;0,00749063670411985;0;0,00749063670411985
"Leroy_h2";0;0,00212765957446809;0,0297872340425532;0;0,00638297872340425;0,106382978723404;0,0425531914893617;0,636170212765957;0;0;0,00425531914893617;0,0340425531914894;0,112765957446809;0,00425531914893617;0,00212765957446809;0,00212765957446809;0,00851063829787234;0,00638297872340425;0;0,00212765957446809
"Leroy_h3";0,0169491525423729;0;0,023728813559322;0,00338983050847458;0,0305084745762712;0,684745762711864;0,0135593220338983;0,142372881355932;0;0;0;0;0,0610169491525424;0,0101694915254237;0;0,00338983050847458;0;0,0101694915254237;0;0
"Leroy_h4";0;0;0,0174825174825175;0;0,00699300699300699;0,748251748251748;0,0104895104895105;0,0524475524475524;0,0104895104895105;0;0;0,0664335664335664;0,048951048951049;0;0;0,0034965034965035;0;0,0174825174825175;0;0,0174825174825175
"Leroy_i1";0;0;0;0,00574712643678161;0,0344827586206897;0,00574712643678161;0;0,396551724137931;0;0,0172413793103448;0,0344827586206897;0,0229885057471264;0,155172413793103;0,172413793103448;0,0114942528735632;0,028735632183908;0;0;0,0632183908045977;0,0517241379310345
"Leroy_i2";0;0;0;0;0,0220994475138122;0;0;0,6353591160221;0;0;0,0220994475138122;0,0110497237569061;0,0883977900552486;0,12707182320442;0,0110497237569061;0,0110497237569061;0;0,0110497237569061;0,0165745856353591;0,0441988950276243
"Leroy_i3";0;0;0;0,0171428571428571;0,0971428571428571;0,0171428571428571;0;0,542857142857143;0;0,00571428571428571;0,0457142857142857;0;0,211428571428571;0,0514285714285714;0,00571428571428571;0;0;0;0;0,00571428571428571
"Leroy_i4";0;0;0;0;0,373239436619718;0,0140845070422535;0;0,225352112676056;0;0;0,0352112676056338;0;0,0845070422535211;0,0211267605633803;0;0;0;0;0,161971830985915;0,0845070422535211
"Leroy_i5";0;0;0;0,00617283950617284;0,0246913580246914;0;0;0,703703703703704;0;0;0,0123456790123457;0,00617283950617284;0,0740740740740741;0,0802469135802469;0,0246913580246914;0;0;0,00617283950617284;0,0185185185185185;0,0432098765432099
"Leroy_i6";0;0;0;0,0163934426229508;0,0491803278688525;0,0163934426229508;0;0,377049180327869;0;0;0,0163934426229508;0,0655737704918033;0,19672131147541;0,163934426229508;0;0;0,0327868852459016;0,0163934426229508;0;0,0491803278688525
"Leroy_i7";0;0;0;0,0142857142857143;0,0642857142857143;0,0428571428571429;0;0,507142857142857;0,00714285714285714;0,00714285714285714;0,0214285714285714;0,0142857142857143;0,164285714285714;0,0785714285714286;0,00714285714285714;0;0;0,0214285714285714;0,0285714285714286;0,0214285714285714
"Leroy_i8";0;0;0;0,00446428571428571;0,0803571428571429;0,00892857142857143;0,00892857142857143;0,513392857142857;0;0;0,00892857142857143;0,00892857142857143;0,200892857142857;0,0446428571428571;0,0178571428571429;0;0,00446428571428571;0,0133928571428571;0,0625;0,0223214285714286
"Leroy_i9";0,0111111111111111;0;0;0;0,0444444444444444;0,0444444444444444;0;0,455555555555556;0;0,0222222222222222;0,0888888888888889;0,0222222222222222;0,0888888888888889;0,0666666666666667;0,0222222222222222;0;0,0555555555555556;0;0,0333333333333333;0,0444444444444444
"Leroy_i10";0,0267379679144385;0;0,0053475935828877;0,0053475935828877;0,0053475935828877;0,0320855614973262;0;0,67379679144385;0;0,0106951871657754;0,0160427807486631;0,0053475935828877;0,0641711229946524;0,0320855614973262;0,0641711229946524;0,0160427807486631;0,0106951871657754;0,0267379679144385;0;0,0053475935828877
"Leroy_i11";0,008;0;0;0,008;0,048;0,032;0;0,512;0,008;0,008;0,008;0,008;0,184;0,08;0,048;0,016;0;0,016;0,016;0
