;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
Kolaczek_i18;0;0,025788668;0,001910863;0,026756217;0,004204939;0;0,001638462;0,00023895;0;0,001147014;0;0,014178812;0,047059021;0,000678889;0;0;0
Kolaczek_i19;0;0,033636319;0,00330292;0,035699904;0,00714339;0,000330818;0,002836226;0,000496424;0,000441325;0,002582023;0;0,00761487;0,043399779;0,001676238;0,000132454;0,000372541;0,000584398
Kolaczek_i20;0;0,020320534;0,004718762;0,018150749;0,009212149;0,000590692;0,000506411;0,000443178;0,000196992;0,000886547;0;0,003251139;0,057500586;0,001249074;0,00011824;0,000443417;0
Kolaczek_i21;0;0,03267691;0,021785235;0,042481821;0,002614288;0,002178586;0,005602102;0;0;0,001307167;0;0,004357236;0,041728957;0,000946062;0;0,000816985;0
Kolaczek_i22;0;0,034969833;0,00544691;0,039710759;0,00233685;0,000389578;0,00150294;0;0,000259833;0,002455634;0;0,003459781;0,049301571;0,001400576;0,000233932;0;0,000275231
Kolaczek_i23;0;0,006310394;0,006326612;0,015836883;0,000633965;0;0,001359696;0;0;0,002222311;0;0,003175548;0,062417934;0,001786531;0;0,000198536;0,000373736
Kolaczek_i24;0;0,013492623;0,001689824;0,043554869;0,001353943;0,00028218;0,000725807;0;0;0,001016633;0;0,001624103;0,056972753;0,001190483;0;0,000105945;9,97175E-05
Kolaczek_i25;0;0,004310371;0,001150091;0,003451261;0,001035556;0;0,000739829;0;0;0,000345304;0;0,00086331;0,072918117;0,000245821;0;0,000107922;0
Kolaczek_i26;0;0,028716052;0,004504487;0,025337765;0,002027022;0,000563062;0,001447874;0,000422297;0;0,000337837;0;0,005630625;0,055093507;0,000242131;0,00045045;0,000211148;0
Kolaczek_i27;0;0,002918398;0,001298734;0,001462016;0,000390021;0,000162551;0,00027871;0,000121952;0,000108414;0,000683065;0;0,000325311;0,07409953;0,000691755;0;6,10057E-05;0
Kolaczek_i28;0;0,012968246;0,003362142;0,01765126;0;0,00072046;0,002058458;0;0;0,001008645;0;0,00408261;0,062292135;0,000206441;0;0,000180115;0
Kolaczek_i29;0;0,023547868;0,003437381;0,02726669;0,002358884;0,000245765;0,001474791;0;0,000327792;0,000737579;0;0,003135014;0,057879341;0,000941525;9,83629E-05;0;0
Kolaczek_i30;0;0,020947124;0,009317265;0,05679976;0,002447345;0;0,001748583;0,000218592;0,000388633;0,004372355;0;0,005174367;0,041171964;0,001841894;0,000116615;0,000327986;0,000205799
Kuehl_a1;0;0,026737351;0;0,013666272;0,012249427;0,000911636;0,032199362;0,046370755;0,000364802;0,006785863;0;0,001824378;0,003705063;0,006462159;0;6,84245E-05;0,000128803
Kuehl_a2;0;0,009428154;0,001552969;0,03744041;0,000615426;0,000255834;0,000437849;0,008609501;0,000679604;0,016654485;0;0,006867797;0,024055997;0,008472437;0,000203256;0;0
Kunes_a1;0,002770083;0;0,034536283;0,006784261;0;0,006270124;0;0;0;0,007161521;0,00017481;0,000717189;0,008933148;0;0,000126;0;0
Kunes_a2;0,003296703;0;0,080133556;0,009319287;0;0,017585302;0;0;0;0,016399754;0,000348918;0,000255232;0,012460327;0;0,000253833;0;0
Kunes_a3;0,003980892;0,000307598;0,065764392;0,008148046;0;0,009972398;0;0;0;0,020665244;0;0,000344813;0,012898873;0;0,000137052;0;0
Kunes_a4;0,002832861;0;0,076370171;0,043536504;0;0,001331558;0;0;0;0,014577259;0,000722369;0,001103022;0,027478119;0;0,000176274;0;0
Kunes_a5;0,002926829;0;0,06362773;0,00615239;0;0,017138365;0;0;0;0,037071886;0;0,000548503;0,02039193;0;0,000187935;0;0
Kunes_a6;0,007874016;0;0,071917808;0,034582132;0;0,008303172;0;0;0;0,013511791;0;0,000424674;0,020968058;0;0,009932088;0;0
Kunes_a7;0;0,00066357;0,092407809;0,015468901;0;0,03617791;0;0;0;0,008870866;0;0,003478444;0,016917842;0;0;0;0
Kunes_a8;0;0;0,11059641;0,012395811;0;0,002945715;0;0;0;0,014797572;0,001735325;0,000759721;0,021077433;0;0;0;0
Kunes_a9;0,006240249;0;0,053346754;0,015413534;0;0,00449326;0;0;0;0,005673335;0,026862027;0,003107907;0,023631983;0;0,00049687;0;0
Kunes_a10;0,008833923;0;0,041183295;0,039513678;0;0,001155735;0;0;0;0,011597715;0;0,000720981;0,042054831;0;0,000807196;0;0
Kunes_a11;0;0;0,169547872;0,019383698;0;0,010237781;0;0;0;0,009683794;0;0,000493746;0,016555286;0;0,000263158;0;0
Kunes_a12;0,003565062;0,000830565;0,115863563;0,047791165;0;0,007150424;0;0;0;0,017800882;0;0,000261986;0,009423704;0;0,000522848;0;0
Kunes_a13;0;0;0,164317358;0,037747154;0;0,005150555;0;0;0;0,009211148;0;0,000589507;0,011057736;0;0,000549321;0;0
Kunes_a14;0;0,000542299;0,181458857;0,030360021;0;0,002857143;0,000152929;0;0;0,01464301;0;0,000534093;0,009940031;0;0,000355847;0;0
Kunes_a15;0,001631321;0,000790514;0,120500783;0,065395095;0;0,00232378;0;0;0;0,005400401;0;0,001541426;0,018015882;0;0,000410635;0;0
Kunes_a16;0,005602241;0,00536193;0,07753304;0,045275591;0;0,006081668;0;0;0;0,014774495;0,002590064;0,001294219;0,020298507;0;0,000689299;0;0
Kunes_a17;0;0;0,031716418;0,019594441;0;0,004602821;0;0;0;0,010238908;0,006269841;0,00225078;0,028234979;0;0,00011566;0;0
Kunes_a18;0,002697841;0,000437254;0,035817447;0,017468191;0;0,007156147;0;0;0;0,010353384;0,001166226;0,001353566;0,045753353;0;0,000113882;0;0
Kunes_a19;0;0;0,061046511;0,052386857;0;0,003496503;0;0;0;0,021760511;0;0,00122825;0,021628258;0;0,001717932;0;0
Kunes_a20;0,00499168;0;0,067282322;0,021243116;0;0,025677789;0;0;0;0,020859278;0;0,000842187;0,020980275;0;0,000207061;0;0
Kunes_a21;0,001329787;0;0,037860082;0,015907005;0;0,008287851;0;0;0;0,019029267;0,005906804;0,005310089;0,027726433;0;8,00128E-05;0;0
Kunes_a22;0,001529052;0,001477105;0,163583252;0,029411765;0;0,026239769;0;0;0;0,003738855;0;0,000119703;0,0104926;0;0,000286971;0;0
Kunes_a23;0,001953125;0;0,050515464;0,010926903;0;0,004164625;0;0;0;0,02378207;0,000522739;0,000358594;0,021365639;0;9,51656E-05;0;0
Kunes_a24;0,002538071;0;0,089605735;0,024632671;0;0,003895381;0;0;0;0,011049724;0;0,000134517;0,012633143;0;0,000106906;0;0
Kunes_a25;0,00882353;0,001464129;0,038011696;0,048210373;0;0,003892944;0;0;0;0,002334403;0;0,008266472;0,04061939;0;0;0;0
Kunes_a26;0,001485885;0,002178649;0,073041807;0,031597846;0;0,003338898;0;0;0;0,004137537;0;0,000475229;0,04122355;0;0,000569855;0;0
Kunes_a27;0;0;0,079529737;0,021402785;0;0,007179487;0;0;0;0,023994282;0,000834879;0,00135985;0,023525721;0;0,000339582;0;0
Kunes_a28;0,001449276;0,000708717;0,030956848;0,019277953;0;0,003026775;0;0;0;0,009750662;0,000506329;0,015195453;0,036394776;0;0,00083457;0;0
Kunes_a29;0,001466276;0;0,055237316;0,013533835;0;0,003735011;0;0;0;0,024968064;0,000316056;0,000771233;0,022303181;0;0,000384143;0;0
Kunes_a30;0,001560874;0,000770812;0,020129649;0,176838611;0;0,002038736;0;0;0;0,009312029;4,62492E-05;0,000296711;0,007354667;0;0,00033896;0;0
Kunes_a31;0,00166113;0;0,169055649;0,005833589;0;0,00238711;0;0;0;0,007820707;0,001904359;0,00029022;0,007128854;0;7,69705E-05;0;0
Kunes_a32;0,00346921;0;0,072711151;0,017609047;0;0,008588186;0;0;0;0,016047713;0,00027866;0,000662522;0,016149477;0;0,000283872;0;0
Kunes_a33;0,004531723;0;0,094170404;0,004313205;0;0,002618944;0;0;0;0,027727391;0,000117619;0,001723024;0,01876862;0;0,000343702;0;0
