"";"Abies";"Acer campestre-type";"Artemisia";"Betula";"Carpinus";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fagus";"Filipendula";"Fraxinus";"Helianthemum";"Hippophae rhamnoides";"Juniperus";"Picea";"Pinus";"Poaceae";"Quercus robur-type";"Rumex";"Thalictrum";"Ulmus"
"AlbaSanchez_a39";0,424870466321244;0;0;0;0;0,0207253886010363;0,00518134715025907;0;0;0;0;0;0;0;0;0,49740932642487;0,0310880829015544;0,0207253886010363;0;0;0
"AlbaSanchez_a40";0,203065134099617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,777777777777778;0,0114942528735632;0,00766283524904215;0;0;0
"AlbaSanchez_a41";0,653992395437262;0;0;0,00760456273764259;0;0;0;0;0;0;0;0;0;0;0;0,334600760456274;0,00380228136882129;0;0;0;0
"AlbaSanchez_a42";0,40650406504065;0;0;0,00813008130081301;0;0;0;0;0;0;0;0;0;0,024390243902439;0;0,495934959349593;0,032520325203252;0,032520325203252;0;0;0
"AlbaSanchez_a43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,448979591836735;0,0408163265306122;0,510204081632653;0;0;0
"AlbaSanchez_a44";0,0217391304347826;0;0;0;0;0,0543478260869565;0;0;0;0;0;0;0;0;0;0,358695652173913;0,0326086956521739;0,532608695652174;0;0;0
"AlbaSanchez_a45";0,146919431279621;0;0;0;0;0,004739336492891;0;0;0;0;0;0;0;0,018957345971564;0;0,786729857819905;0,023696682464455;0,018957345971564;0;0;0
"AlbaSanchez_a46";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0
"AlbaSanchez_a47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333333333;0,333333333333333;0,333333333333333;0;0;0
"AlbaSanchez_a49";0,603448275862069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,189655172413793;0,0344827586206897;0,172413793103448;0;0;0
"AlbaSanchez_a50";0,789473684210526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,210526315789474;0;0;0;0;0
"AlbaSanchez_a51";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0;0,333333333333333;0;0;0
"AlbaSanchez_a52";0;0;0;0;0;0,333333333333333;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0;0;0;0
"AlbaSanchez_a53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,75;0,25;0;0;0
"AlbaSanchez_a54";0;0;0;0,0625;0;0,0625;0;0;0;0;0;0;0;0;0;0,125;0,75;0;0;0;0
"AlbaSanchez_a55";0;0;0,2;0;0;0,2;0;0;0;0;0;0;0;0,2;0;0;0,4;0;0;0;0
"AlbaSanchez_a57";0;0;0;0;0;0,333333333333333;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0;0;0;0
"AlbaSanchez_a58";0;0;0;0;0;0,166666666666667;0;0;0;0;0;0;0;0;0;0;0,75;0,0833333333333333;0;0;0
"AlbaSanchez_a59";0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0
"AlbaSanchez_a60";0;0;0;0;0;0,0526315789473684;0;0;0;0;0;0;0;0,0526315789473684;0;0,263157894736842;0,631578947368421;0;0;0;0
"AlbaSanchez_a61";0,904347826086957;0;0;0;0;0;0;0;0;0;0;0;0;0,00869565217391304;0;0;0,0608695652173913;0,0260869565217391;0;0;0
"AlbaSanchez_a62";0,769230769230769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,230769230769231;0;0;0;0
"AlbaSanchez_a63";0,914285714285714;0;0;0;0;0,0285714285714286;0;0;0;0;0;0;0;0;0;0;0,0571428571428571;0;0;0;0
"AlbaSanchez_a64";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AlbaSanchez_a65";0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0
"AlbaSanchez_a66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AlbaSanchez_a67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AlbaSanchez_a68";0;0;0;0;0;0,111111111111111;0;0;0;0;0;0;0;0;0;0;0,888888888888889;0;0;0;0
"AlbaSanchez_a69";0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0;0;0,333333333333333;0;0;0;0
"AlbaSanchez_a70";0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0,8;0;0;0;0
"AlbaSanchez_a71";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AlbaSanchez_a72";0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0;0;0,333333333333333;0;0;0;0
"AlbaSanchez_a73";0;0;0;0;0;0;0;0;0;0;0;0;0;0,75;0;0;0,25;0;0;0;0
"AlbaSanchez_a74";0;0;0;0;0;0,272727272727273;0;0;0;0;0;0;0;0,545454545454545;0;0;0,181818181818182;0;0;0;0
"AlbaSanchez_a75";0;0;0;0;0;0,307692307692308;0;0;0;0;0;0;0;0,615384615384615;0;0;0,0769230769230769;0;0;0;0
"AlbaSanchez_a76";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0
"AlbaSanchez_a77";0;0;0,0384615384615385;0;0;0;0;0;0;0;0;0;0;0,884615384615385;0;0,0384615384615385;0,0384615384615385;0;0;0;0
"AlbaSanchez_a78";0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0;0;0,333333333333333;0;0;0;0
"AlbaSanchez_a79";0;0;0,0625;0;0;0,0625;0;0,0625;0;0;0;0;0;0,6875;0;0;0,125;0;0;0;0
"AlbaSanchez_a80";0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0,5;0;0;0
"AlbaSanchez_a81";0;0;0;0;0;0,2;0;0;0;0;0;0;0;0,2;0;0;0,6;0;0;0;0
"AlbaSanchez_a82";0;0;0;0;0;0,375;0;0;0;0;0;0;0;0,125;0;0;0,5;0;0;0;0
"AlbaSanchez_a83";0;0;0;0;0;0,5;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
"AlbaSanchez_a84";0;0;0;0;0;0,3;0;0;0;0;0;0;0;0,1;0;0,1;0,5;0;0;0;0
"AlbaSanchez_a85";0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0;0;0
"AlbaSanchez_a86";0;0;0,111111111111111;0;0;0,333333333333333;0;0;0;0;0;0;0;0,222222222222222;0;0;0,333333333333333;0;0;0;0
"AlbaSanchez_a87";0;0;0;0;0;0,285714285714286;0;0;0;0;0;0;0;0,142857142857143;0;0;0,428571428571429;0,142857142857143;0;0;0
"AlbaSanchez_a88";0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333333333;0;0;0,666666666666667;0;0;0;0
"AlbaSanchez_a89";0;0;0;0;0;0,0909090909090909;0;0;0;0;0;0;0;0,0909090909090909;0;0;0,818181818181818;0;0;0;0
"AlbaSanchez_a90";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AlbaSanchez_a91";0,0961538461538462;0;0,00641025641025641;0;0;0;0,0384615384615385;0,00641025641025641;0;0;0;0;0;0;0;0,814102564102564;0,0384615384615385;0;0;0;0
"AlbaSanchez_a92";0,146067415730337;0;0;0;0;0;0,0561797752808989;0;0;0;0;0;0;0,0337078651685393;0;0,730337078651685;0,0112359550561798;0,0224719101123595;0;0;0
"AlbaSanchez_a93";0,682539682539683;0;0;0;0;0,0317460317460317;0;0;0;0;0;0;0;0;0;0,174603174603175;0,0476190476190476;0,0634920634920635;0;0;0
"AlbaSanchez_a94";0,434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0,0217391304347826;0;0,304347826086957;0,239130434782609;0;0;0;0
"AlbaSanchez_a95";0,692307692307692;0;0;0;0;0,0102564102564103;0;0;0;0;0;0;0;0;0;0,287179487179487;0,0102564102564103;0;0;0;0
"AlbaSanchez_a96";0,153846153846154;0;0;0;0;0,0769230769230769;0;0;0;0;0;0;0;0,0384615384615385;0;0,346153846153846;0,384615384615385;0;0;0;0
"AlbaSanchez_a97";0;0;0;0;0;0,0714285714285714;0;0;0;0;0;0;0;0;0;0,0714285714285714;0,142857142857143;0,714285714285714;0;0;0
"AlbaSanchez_a98";0;0;0;0;0;0,333333333333333;0;0;0;0;0;0;0;0,333333333333333;0;0;0,333333333333333;0;0;0;0
"AlbaSanchez_a99";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AlbaSanchez_a100";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"AlbaSanchez_a101";0,125;0;0;0;0;0;0;0;0;0;0;0;0;0,125;0;0,5;0,125;0,125;0;0;0
"AlbaSanchez_a102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AlbaSanchez_a103";0,55;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0,15;0;0;0;0;0
"AlbaSanchez_a104";0;0;0,157894736842105;0;0;0,0526315789473684;0;0;0;0;0,0526315789473684;0;0;0,263157894736842;0;0;0,473684210526316;0;0;0;0
"AlbaSanchez_a105";0;0;0;0,0909090909090909;0;0,272727272727273;0;0;0;0;0;0;0;0;0;0;0,636363636363636;0;0;0;0
"AlbaSanchez_a106";0;0;0;0;0;0,333333333333333;0;0;0;0;0;0;0;0,666666666666667;0;0;0;0;0;0;0
"AlbaSanchez_a107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AlbaSanchez_a109";0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0
"AlbaSanchez_a110";0;0;0,142857142857143;0;0;0;0;0;0;0;0;0;0;0,285714285714286;0;0,142857142857143;0,285714285714286;0,142857142857143;0;0;0
"AlbaSanchez_a111";0;0;0,333333333333333;0;0;0;0;0;0;0;0;0;0;0,333333333333333;0;0;0,333333333333333;0;0;0;0
"AlbaSanchez_a112";0;0;0,608695652173913;0;0;0,130434782608696;0;0;0;0;0;0;0;0,130434782608696;0;0;0,130434782608696;0;0;0;0
"AlbaSanchez_a113";0;0;0,2;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0,4;0;0;0;0
"AlbaSanchez_a114";0;0;0,285714285714286;0;0;0,285714285714286;0;0;0;0;0;0;0;0;0;0;0,428571428571429;0;0;0;0
"AlbaSanchez_a115";0;0;0;0;0;0,142857142857143;0;0;0;0;0;0;0;0;0;0;0,857142857142857;0;0;0;0
"AlbaSanchez_a116";0;0;0,166666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0,0833333333333333;0,75;0;0;0;0
"AlbaSanchez_a117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AlbaSanchez_a118";0;0;0;0,0476190476190476;0;0;0;0;0;0;0;0;0;0,19047619047619;0;0;0,761904761904762;0;0;0;0
"AlbaSanchez_a119";0;0;0,1;0;0;0,2;0;0;0;0;0;0;0;0,1;0;0;0,6;0;0;0;0
"AlbaSanchez_a120";0;0;0,0909090909090909;0;0;0,0909090909090909;0;0;0;0;0;0;0;0,0909090909090909;0;0;0,727272727272727;0;0;0;0
"AlbaSanchez_a121";0;0;0;0;0;0,25;0;0;0;0;0;0;0;0,5;0;0;0,25;0;0;0;0
"AlbaSanchez_a122";0;0;0;0;0;0,625;0;0;0;0;0;0;0;0,125;0;0;0,25;0;0;0;0
"AlbaSanchez_a123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AlbaSanchez_a124";0;0;0;0;0;0,0576923076923077;0;0;0;0;0;0;0;0;0;0;0,942307692307692;0;0;0;0
"AlbaSanchez_a125";0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0
"AlbaSanchez_a126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AlbaSanchez_a127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AlbaSanchez_a128";0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0,5;0;0;0;0
"AlbaSanchez_a129";0,166666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666666666667;0,166666666666667;0;0;0;0
"AlbaSanchez_a130";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AlbaSanchez_a131";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0
"AlbaSanchez_a132";0;0;0;0;0;0,153846153846154;0;0;0;0;0;0;0;0,230769230769231;0;0;0,461538461538462;0,153846153846154;0;0;0
"AlbaSanchez_a133";0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0,5;0;0;0
"AlbaSanchez_a134";0,117647058823529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,88235294117647;0;0;0;0
"AlbaSanchez_a135";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0
"Antipina_Galimov_a1";0,00576368876080692;0;0,0259365994236311;0;0;0;0;0;0;0;0;0;0;0;0,0345821325648415;0,93371757925072;0;0;0;0;0
"Antipina_Galimov_a2";0,00495049504950495;0;0,00742574257425743;0;0;0;0;0,00247524752475248;0;0;0;0;0;0;0,0346534653465347;0,95049504950495;0;0;0;0;0
"Antipina_a1";0,0028328611898017;0;0;0;0;0,0056657223796034;0;0;0;0;0;0;0;0;0,175637393767705;0,81586402266289;0;0;0;0;0
"Antipina_a2";0,0152439024390244;0;0,0182926829268293;0;0;0,00304878048780488;0;0,00609756097560976;0;0,0152439024390244;0;0;0;0;0,216463414634146;0,725609756097561;0;0;0;0;0
"Antipina_a3";0,00282485875706215;0;0,00282485875706215;0;0;0,00282485875706215;0;0;0;0;0;0;0;0;0,0423728813559322;0,949152542372881;0;0;0;0;0
"Antipina_a4";0,0273224043715847;0;0,0218579234972678;0;0;0,0109289617486339;0;0,0601092896174863;0;0;0;0;0;0;0,158469945355191;0,721311475409836;0;0;0;0;0
"Antipina_a5";0,0338345864661654;0;0,0150375939849624;0;0;0,0075187969924812;0;0,0413533834586466;0;0,0037593984962406;0;0;0;0;0,176691729323308;0,721804511278195;0;0;0;0;0
"Antipina_a6";0,00796812749003984;0;0,051792828685259;0;0;0,00796812749003984;0;0,00796812749003984;0;0,00796812749003984;0;0;0;0;0,0637450199203187;0,848605577689243;0,00398406374501992;0;0;0;0
"Antipina_a7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,138461538461538;0,861538461538462;0;0;0;0;0
"Antipina_a8";0,00230414746543779;0;0,0230414746543779;0;0;0,00460829493087558;0;0,00921658986175115;0;0;0;0;0;0;0,0737327188940092;0,882488479262673;0,00460829493087558;0;0;0;0
"Antipina_a9";0,00980392156862745;0;0,00588235294117647;0;0;0,00588235294117647;0;0,274509803921569;0;0,00784313725490196;0;0;0;0;0,0705882352941176;0,598039215686274;0,0274509803921569;0;0;0;0
"Antipina_a10";0,0110497237569061;0;0,0386740331491713;0;0;0,0110497237569061;0;0;0;0;0;0;0;0;0,0662983425414365;0,81767955801105;0,0552486187845304;0;0;0;0
"Antipina_a11";0;0;0,0177215189873418;0;0;0;0;0,0151898734177215;0;0;0;0;0;0;0,0455696202531646;0,906329113924051;0,0151898734177215;0;0;0;0
"Antipina_a12";0,005;0;0;0;0;0;0;0;0;0,005;0;0;0;0;0,055;0,925;0,005;0;0,005;0;0
"Antipina_a13";0,0592105263157895;0;0,0263157894736842;0;0;0;0;0,0131578947368421;0;0,00657894736842105;0;0;0;0;0,111842105263158;0,782894736842105;0;0;0;0;0
"Antipina_a14";0,0028735632183908;0;0,0689655172413793;0;0;0,00574712643678161;0;0,00574712643678161;0;0;0;0;0;0;0,0747126436781609;0,804597701149425;0,0229885057471264;0;0,00574712643678161;0,00862068965517241;0
"Atanassova_a1";0,00566801619433198;0,000809716599190283;0,0105263157894737;0,0785425101214575;0,00728744939271255;0,0396761133603239;0,0242914979757085;0,00728744939271255;0,198380566801619;0;0,000809716599190283;0;0;0;0,0202429149797571;0,40080971659919;0,191902834008097;0;0,011336032388664;0;0,00242914979757085
"Atanassova_a2";0;0;0,00876095118898623;0,032540675844806;0,0425531914893617;0,0438047559449312;0,0738423028785982;0;0,206508135168961;0;0;0;0;0;0,0300375469336671;0,346683354192741;0,195244055068836;0;0,0200250312891114;0;0
"Atanassova_a3";0;0;0,0439940682155215;0,0202669303015324;0,0632723677706377;0,0479485912011864;0,0548690064260999;0;0,284231339594661;0;0;0;0;0,00494315373208107;0,259515570934256;0,210578348986653;0,0103806228373702;0;0;0;0
"Atanassova_a4";0;0;0,0107066381156317;0,0642398286937901;0,0588865096359743;0,0438972162740899;0,0374732334047109;0;0,123126338329764;0;0;0;0;0;0,00428265524625268;0,63169164882227;0,0214132762312634;0;0;0;0,00428265524625268
"Atanassova_a5";0;0,00125786163522013;0,0314465408805031;0,0591194968553459;0,123270440251572;0,0477987421383648;0,152201257861635;0;0,0364779874213836;0;0;0;0;0;0;0,451572327044025;0,0477987421383648;0;0,0352201257861635;0;0,0138364779874214
"Atanassova_b1";0,00297176820208024;0;0,0148588410104012;0,0757800891530461;0,0534918276374443;0,0312035661218425;0,00891530460624071;0;0,114413075780089;0;0;0;0;0;0,00445765230312036;0,423476968796434;0,221396731054978;0;0,0490341753343239;0;0
"Atanassova_b2";0;0,004149377593361;0,00829875518672199;0,0359612724757953;0,0885200553250346;0,024896265560166;0,0152143845089903;0;0,219917012448133;0;0,00138312586445367;0;0;0;0,0262793914246196;0,421853388658368;0,153526970954357;0;0;0;0
"Atanassova_b3";0;0;0,00105932203389831;0,0190677966101695;0;0,0264830508474576;0,0275423728813559;0;0,210805084745763;0;0,00317796610169492;0;0;0;0,455508474576271;0,218220338983051;0,0360169491525424;0;0;0;0,00211864406779661
"Atanassova_b4";0,00340909090909091;0,00340909090909091;0,00340909090909091;0;0,0522727272727273;0,0170454545454545;0,0125;0;0,3;0;0,00568181818181818;0;0;0;0,00909090909090909;0,563636363636364;0,0295454545454545;0;0;0;0
"Atanassova_b5";0;0;0,00854700854700855;0,0358974358974359;0,0735042735042735;0,0102564102564103;0,052991452991453;0;0,0341880341880342;0;0;0;0;0;0;0,704273504273504;0,0427350427350427;0;0,0205128205128205;0;0,0170940170940171
"Atanassova_c1";0;0;0,0128055878928987;0,0174621653084983;0,010477299185099;0;0,010477299185099;0,0232828870779977;0,0931315483119907;0,00116414435389988;0,00116414435389988;0;0;0;0,0151338766006985;0,40279394644936;0,39697322467986;0;0,0151338766006985;0;0
"Atanassova_c2";0;0;0;0,0328054298642534;0,169683257918552;0,0113122171945701;0,00904977375565611;0;0,101809954751131;0,00339366515837104;0;0;0;0;0;0,281674208144796;0,39027149321267;0;0;0;0
"Atanassova_c3";0;0,0110220440881764;0,0190380761523046;0;0,0360721442885772;0,0100200400801603;0,0661322645290581;0;0,296593186372746;0;0;0;0;0;0,306613226452906;0,234468937875752;0,0200400801603206;0;0;0;0
"Atanassova_c4";0;0;0,00307062436028659;0,364380757420676;0,0419651995905834;0,0204708290685773;0,0143295803480041;0;0,119754350051177;0;0;0;0;0;0;0,429887410440123;0,00614124872057318;0;0;0;0
"Atanassova_c5";0;0;0;0,0366492146596859;0,075043630017452;0,0558464223385689;0,0680628272251309;0;0,0837696335078534;0;0,00174520069808028;0;0;0;0,0366492146596859;0,507853403141361;0,0977312390924956;0;0,0331588132635253;0;0,00349040139616056
"Atanassova_d1";0,00163934426229508;0;0;0,0360655737704918;0,0256830601092896;0,0229508196721311;0,0114754098360656;0;0,0508196721311475;0;0,00273224043715847;0;0;0;0,0245901639344262;0,697267759562841;0,114754098360656;0;0,00655737704918033;0;0,00546448087431694
"Atanassova_d2";0,0146699266503667;0;0,00488997555012225;0,0537897310513447;0,058679706601467;0,039119804400978;0,0855745721271394;0;0,141809290953545;0;0;0;0;0;0,268948655256724;0,276283618581907;0,0562347188264059;0;0;0;0
"Atanassova_e1";0,00566801619433198;0,000809716599190283;0,0105263157894737;0,0785425101214575;0,00728744939271255;0,0396761133603239;0,0242914979757085;0,00728744939271255;0,198380566801619;0;0,000809716599190283;0;0;0;0,0202429149797571;0,40080971659919;0,191902834008097;0;0,011336032388664;0;0,00242914979757085
"Atanassova_e2";0,0028328611898017;0;0,0141643059490085;0,0722379603399433;0,0906515580736544;0,0297450424929178;0,0155807365439093;0;0,109065155807365;0;0;0;0;0;0,00424929178470255;0,403682719546742;0,211048158640227;0;0,046742209631728;0;0
"Atanassova_e3";0;0;0,0128205128205128;0,0174825174825175;0,0104895104895105;0;0,0104895104895105;0,0233100233100233;0,0932400932400932;0,00116550116550117;0;0;0;0;0,0151515151515152;0,403263403263403;0,397435897435897;0;0,0151515151515152;0;0
