"";"Abies";"Acer.campestre.type";"Alnus";"Apiaceae";"Armeria.type";"Artemisia";"Asteraceae.subf..Cichorioideae";"Asteraceae.subf..Asteroideae";"Betula";"Boraginaceae";"Botrychium";"Brassicaceae";"Buxus";"Calluna.vulgaris";"Campanulaceae";"Carpinus";"Caryophyllaceae..periporate.excl..Paronychioideae.";"Cedrus";"Centaurea";"Chenopodiaceae.Amaranthaceae";"Corylus";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Euphorbia";"Fagaceae";"Fagus";"Filipendula";"Fraxinus";"Hedera";"Helianthemum";"Hippophae.rhamnoides";"Juniperus";"Lamiaceae";"Olea.europaea";"Picea";"Pinus";"Plantago";"Plantago.lanceolata.type";"Poaceae";"Polygonum";"Quercus.robur.type";"Quercus.ilex.type";"Ranunculaceae";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Thalictrum";"Thymelaeaceae";"Tilia";"Ulmus";"Urticaceae"
"Barboni_a1108";0;0;0,00234741784037558;0,0164319248826291;0;0,00234741784037558;0,00234741784037558;0,00704225352112676;0;0;0;0;0;0;0;0;0;0,0164319248826291;0,00234741784037558;0,00704225352112676;0;0,00469483568075117;0;0,00234741784037558;0;0;0;0;0;0;0;0;0;0;0;0,0469483568075117;0;0,551643192488263;0,0140845070422535;0;0,0751173708920188;0;0;0,237089201877934;0;0;0;0,00938967136150234;0,00234741784037558;0;0;0;0;0;0;0
"Barboni_a1109";0;0;0;0,00756143667296786;0;0,00378071833648393;0,0170132325141777;0,0056710775047259;0;0;0;0,0113421550094518;0,00189035916824197;0;0;0;0;0,0680529300567108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0340264650283554;0;0,255198487712665;0,0453686200378072;0;0,0415879017013232;0;0;0,500945179584121;0;0;0;0,00756143667296786;0;0;0;0;0;0;0;0
"Barboni_a1110";0;0;0;0,00448430493273543;0;0,00448430493273543;0,0224215246636772;0,00448430493273543;0;0;0;0,0403587443946189;0;0;0;0;0;0,354260089686099;0;0,00896860986547086;0;0;0;0;0;0;0;0;0;0;0;0,0134529147982063;0;0;0;0,094170403587444;0;0,0493273542600898;0,0672645739910315;0;0,134529147982063;0;0;0,152466367713004;0;0;0,00448430493273543;0,031390134529148;0,0134529147982063;0;0;0;0;0;0;0
"Barboni_a1111";0,218106995884773;0;0;0;0;0,00411522633744856;0,00411522633744856;0;0;0;0;0,00823045267489712;0;0;0;0;0;0,477366255144033;0;0,0164609053497943;0;0,00411522633744856;0;0;0;0;0;0;0;0;0;0;0;0;0;0,037037037037037;0;0,0534979423868313;0,00823045267489712;0;0,037037037037037;0;0;0,11522633744856;0;0;0,00411522633744856;0,0123456790123457;0;0;0;0;0;0;0;0
"Barboni_a1112";0,393139841688655;0;0;0,0158311345646438;0;0,00527704485488127;0,0131926121372031;0,0131926121372031;0;0;0;0,0158311345646438;0;0;0;0;0;0,0343007915567282;0;0,0158311345646438;0;0,00263852242744064;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0527704485488127;0;0,221635883905013;0,0738786279683378;0;0,0448548812664908;0;0;0,0817941952506596;0;0;0;0,0105540897097625;0,00527704485488127;0;0;0;0;0;0;0
"Barboni_a1113";0,0625;0;0;0;0;0,0021551724137931;0,0021551724137931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0021551724137931;0;0;0;0,0129310344827586;0;0,760775862068966;0,0021551724137931;0;0,00431034482758621;0;0;0,140086206896552;0;0;0;0,0107758620689655;0;0;0;0;0;0;0;0
"Barboni_a1114";0,00896860986547085;0;0;0,00448430493273542;0;0,00448430493273542;0,0179372197309417;0,0179372197309417;0;0;0;0,00896860986547085;0;0;0;0;0;0;0;0,00896860986547085;0;0,00896860986547085;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0493273542600897;0;0,506726457399103;0,0134529147982062;0;0,0358744394618834;0;0;0,286995515695067;0;0;0;0,0269058295964126;0;0;0;0;0;0;0;0
"Barboni_a1115";0,00378071833648394;0;0,00189035916824196;0,0056710775047259;0;0,00378071833648394;0,00945179584120984;0,0132325141776938;0;0;0;0,0113421550094518;0;0;0;0;0;0,00189035916824196;0;0,0113421550094518;0;0,00756143667296786;0;0;0,00189035916824196;0,00378071833648394;0;0;0;0;0;0;0;0;0;0,14366729678639;0;0,0453686200378072;0,0170132325141777;0;0,551984877126654;0;0;0,141776937618148;0;0;0;0,0226843100189036;0;0;0,00189035916824196;0;0;0;0;0
"Barboni_a1116";0,00943396226415094;0;0,00943396226415094;0,0188679245283019;0;0;0,0141509433962264;0,0283018867924528;0;0;0;0;0;0;0;0;0;0,00943396226415094;0;0,0141509433962264;0;0,00471698113207548;0;0,00471698113207548;0;0,00471698113207548;0;0;0;0;0,00471698113207548;0;0;0;0;0,19811320754717;0;0,0990566037735849;0,0330188679245282;0;0,358490566037736;0;0;0,165094339622641;0;0;0,0235849056603774;0;0;0;0;0;0;0;0;0
"Barboni_a1117";0;0;0;0,0727272727272725;0;0,0848484848484847;0,13939393939394;0,0909090909090911;0;0;0;0,096969696969697;0;0;0;0;0,0242424242424242;0;0;0,0181818181818182;0;0;0;0,0121212121212121;0;0,0121212121212121;0;0;0;0;0;0,0121212121212121;0;0;0;0,212121212121212;0;0;0,0484848484848485;0;0,0787878787878788;0,00606060606060607;0;0,0484848484848485;0;0,0121212121212121;0,00606060606060607;0,0121212121212121;0;0;0,0121212121212121;0;0;0;0;0
