"";"Abies";"Acer campestre-type";"Alnus";"Armeria-type";"Artemisia";"Betula";"Boraginaceae";"Botrychium";"Buxus";"Calluna vulgaris";"Carpinus betulus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Cedrus";"Centaurea";"Chenopodiaceae/Amaranthaceae";"Asteraceae subf. Asteroideae";"Asteraceae subf. Cichorioideae";"Corylus";"Crassulaceae";"Brassicaceae";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Fagus";"Filipendula";"Fraxinus";"Gentianaceae";"Poaceae";"Hedera";"Helianthemum";"Hippophae rhamnoides";"Ilex";"Juniperus";"Osmunda regalis";"Picea";"Pinus";"Plantago";"Plantago lanceolata-type";"Polygonum";"Polypodium";"Populus";"Potamogeton";"Quercus ilex-type";"Quercus robur-type";"Ranunculaceae";"Ranunculus-type";"Rhamnus";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Selaginella";"Taxus";"Thalictrum";"Tilia";"Ulmus";"Valeriana"
"Mitchell_a13";0;0;0,165714285714286;0;0;0,371428571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00571428571428571;0;0,391428571428571;0;0,0142857142857143;0;0;0;0,00857142857142857;0;0,00285714285714286;0;0,00857142857142857;0;0;0;0,00571428571428571;0;0;0;0;0;0;0;0;0;0;0,00857142857142857;0;0;0;0,0171428571428571;0;0;0;0
"Mitchell_a14";0;0;0;0;0;0,00423728813559322;0;0;0;0;0;0;0;0;0;0;0;0,0190677966101695;0;0;0;0;0;0;0;0;0,10593220338983;0;0,0296610169491525;0,00847457627118644;0;0;0,0169491525423729;0;0;0;0,00211864406779661;0;0,00211864406779661;0;0;0;0;0;0;0;0,00211864406779661;0;0,00211864406779661;0;0;0,00423728813559322;0;0;0;0,800847457627119;0;0;0,00211864406779661;0
"Mitchell_a15";0;0;0;0;0;0,00952380952380952;0;0;0;0;0;0;0;0;0;0;0;0,00529100529100529;0;0;0;0;0;0;0;0;0,0148148148148148;0;0,00423280423280423;0,00105820105820106;0;0;0,00317460317460317;0;0;0;0,00529100529100529;0;0;0;0;0;0;0;0;0;0,00105820105820106;0;0,00105820105820106;0;0;0,00105820105820106;0;0;0;0,953439153439153;0;0;0;0
"Mitchell_a16";0;0;0,00462962962962963;0;0;0,125;0;0;0;0,0462962962962963;0;0;0;0;0;0;0;0;0;0;0,00462962962962963;0;0;0;0;0;0,00925925925925926;0;0,0740740740740741;0,0138888888888889;0;0;0,574074074074074;0;0,0277777777777778;0;0,0324074074074074;0;0,00925925925925926;0;0,0555555555555556;0;0;0;0;0;0;0;0,00925925925925926;0;0,00462962962962963;0,00462962962962963;0;0;0;0;0;0,00462962962962963;0;0
"Mitchell_a17";0;0;0,00155038759689922;0;0;0,776744186046512;0;0;0;0,00465116279069767;0;0;0;0;0;0;0,00155038759689922;0,00465116279069767;0;0;0,00155038759689922;0;0;0;0;0;0,00310077519379845;0;0,0248062015503876;0,137984496124031;0;0;0,0310077519379845;0;0;0;0,00465116279069767;0;0,00155038759689922;0;0;0;0;0;0;0;0;0;0;0;0;0,00310077519379845;0;0;0;0;0;0;0,00310077519379845;0
"Mitchell_a18";0;0;0,0114942528735632;0;0;0,319540229885057;0;0;0;0,0919540229885057;0;0;0;0;0;0;0;0,0344827586206897;0;0;0,00229885057471264;0;0;0;0,00229885057471264;0;0,0183908045977011;0;0,183908045977011;0,0137931034482759;0;0;0,27816091954023;0,00229885057471264;0;0;0,0114942528735632;0;0,00689655172413793;0;0,00229885057471264;0;0;0;0;0;0;0;0,00229885057471264;0;0;0,00689655172413793;0;0;0;0,00689655172413793;0;0;0,00459770114942529;0
"Mitchell_a19";0;0;0,00208768267223382;0;0;0,242171189979123;0;0;0;0,0250521920668058;0;0;0;0;0;0;0,00208768267223382;0,00835073068893528;0;0;0,0104384133611691;0;0;0,00208768267223382;0;0;0,0146137787056367;0;0,0751565762004175;0,00208768267223382;0;0;0,580375782881002;0;0;0;0,00835073068893528;0;0,00208768267223382;0;0,00417536534446764;0;0;0;0;0;0,00208768267223382;0;0,00626304801670146;0;0;0,00626304801670146;0;0;0;0,00626304801670146;0;0;0;0
"Mitchell_a20";0;0;0,0467289719626168;0;0;0,514018691588785;0;0;0;0,00934579439252336;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00467289719626168;0,00467289719626168;0;0,0186915887850467;0;0,0747663551401869;0;0;0;0,200934579439252;0;0;0;0,0233644859813084;0;0;0;0;0;0;0;0;0;0;0;0,00934579439252336;0;0;0,00467289719626168;0;0;0;0,088785046728972;0;0;0;0
"Mitchell_a21";0;0;0,00904977375565611;0;0;0,452488687782805;0;0;0;0,0588235294117647;0;0;0;0;0;0;0;0,00904977375565611;0;0;0,0135746606334842;0;0;0;0,00452488687782805;0;0,0135746606334842;0;0,135746606334842;0,00904977375565611;0;0;0,226244343891403;0;0;0;0,0271493212669683;0;0,00452488687782805;0;0;0;0;0;0;0;0,00452488687782805;0;0;0;0;0,0271493212669683;0;0;0;0,00452488687782805;0;0;0;0
"Mitchell_a22";0;0;0,0043010752688172;0;0;0,462365591397849;0;0;0;0,0129032258064516;0;0;0;0;0;0;0;0,0150537634408602;0;0;0;0;0;0,0021505376344086;0,0021505376344086;0;0,00645161290322581;0;0,0387096774193548;0,0021505376344086;0;0;0,425806451612903;0;0;0;0,00860215053763441;0;0;0;0,0021505376344086;0;0;0;0;0;0;0;0,0043010752688172;0;0;0,0021505376344086;0;0;0;0,010752688172043;0;0;0;0
"Mitchell_a23";0;0,00462962962962963;0;0;0;0,421296296296296;0;0;0;0,0925925925925926;0;0;0;0;0;0;0;0,0138888888888889;0;0;0;0;0;0;0,0185185185185185;0;0,0277777777777778;0;0,134259259259259;0,00462962962962963;0;0;0,180555555555556;0;0;0;0,0185185185185185;0;0,0138888888888889;0;0,0277777777777778;0;0;0;0;0;0;0;0;0;0;0,0138888888888889;0;0;0;0,0138888888888889;0;0;0,0138888888888889;0
"Mitchell_a24";0;0;0,0147058823529412;0;0;0,308823529411765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0294117647058824;0;0,0441176470588235;0;0,0588235294117647;0,0588235294117647;0;0;0,367647058823529;0;0;0;0,0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0441176470588235;0;0;0;0,0147058823529412;0;0;0;0
"Mitchell_a25";0;0,00309597523219814;0,00928792569659443;0;0;0,51702786377709;0;0;0;0,00309597523219814;0;0;0;0;0;0;0;0,0309597523219814;0;0;0;0;0;0;0;0;0,00309597523219814;0;0,021671826625387;0,0247678018575851;0;0;0,328173374613003;0;0;0;0,00619195046439629;0;0,00309597523219814;0;0,00309597523219814;0;0;0;0;0;0;0;0;0;0;0,00928792569659443;0;0;0;0,0340557275541796;0;0;0,00309597523219814;0
"Mitchell_a26";0;0;0,00169204737732657;0;0;0,681895093062606;0;0;0;0;0;0;0;0;0;0;0,00169204737732657;0,00338409475465313;0;0;0;0;0;0;0,0050761421319797;0;0,0152284263959391;0;0,0203045685279188;0,11844331641286;0;0;0,0676818950930626;0;0;0;0,0101522842639594;0;0,00338409475465313;0;0,00338409475465313;0;0;0;0;0;0;0;0,00169204737732657;0;0;0,0050761421319797;0;0;0;0,0558375634517767;0;0;0,0050761421319797;0
"Mitchell_a27";0;0;0,00566037735849057;0;0;0,160377358490566;0;0;0;0,00188679245283019;0;0;0;0;0;0;0;0,00188679245283019;0;0;0,00188679245283019;0;0;0;0,0150943396226415;0,00188679245283019;0,0113207547169811;0;0,00566037735849057;0,0264150943396226;0;0;0,381132075471698;0,00188679245283019;0;0,00188679245283019;0,00566037735849057;0;0,00377358490566038;0;0;0;0;0;0;0;0,00377358490566038;0;0,00188679245283019;0;0;0,00566037735849057;0;0;0;0,360377358490566;0;0;0,00188679245283019;0
"Mitchell_a28";0;0;0,00659754948162111;0;0;0,057492931196984;0;0;0;0,00188501413760603;0;0;0;0;0;0;0;0,0942507068803016;0;0,000942507068803016;0;0;0;0;0,000942507068803016;0,000942507068803016;0,0508953817153629;0;0,0113100848256362;0,0377002827521206;0;0;0,0056550424128181;0;0;0;0,00377002827521206;0;0,000942507068803016;0;0;0;0;0;0;0;0;0;0;0;0;0,000942507068803016;0;0;0;0,72196041470311;0;0,000942507068803016;0,00282752120640905;0
"Mitchell_a29";0;0;0,00118063754427391;0;0;0,0543093270365998;0;0;0;0;0;0;0;0;0;0;0;0,0802833530106257;0;0,00354191263282172;0;0;0;0;0,00236127508854782;0;0,0448642266824085;0;0,00590318772136954;0,00118063754427391;0;0;0,00472255017709563;0;0;0;0,0106257378984652;0;0,00118063754427391;0;0;0;0;0;0;0;0,00354191263282172;0;0;0;0;0,00118063754427391;0;0;0;0,783943329397875;0;0;0,00118063754427391;0
"Mitchell_a30";0;0;0,00155884645362432;0;0;0,0724863600935308;0;0;0;0;0;0,000779423226812159;0;0;0;0;0;0,107560405300078;0;0;0;0;0;0;0,00233826968043648;0;0,0124707716289945;0;0,0179267342166797;0,00467653936087295;0;0;0,00623538581449727;0;0;0;0,00545596258768511;0;0,00233826968043648;0;0;0;0;0;0;0;0;0;0,000779423226812159;0;0;0,00155884645362432;0;0;0;0,761496492595479;0;0;0,00233826968043648;0
"Montanari_a1";0;0,00654450261780105;0,149214659685864;0;0;0,0732984293193717;0;0;0;0,00130890052356021;0,00130890052356021;0;0;0;0,0117801047120419;0,0157068062827225;0;0,0654450261780105;0;0,00261780104712042;0;0;0;0,00130890052356021;0;0;0,0772251308900524;0;0,37696335078534;0,00261780104712042;0;0;0,00392670157068063;0;0;0,00261780104712042;0,056282722513089;0,0209424083769634;0,00261780104712042;0;0;0;0;0,00130890052356021;0,0903141361256544;0;0;0;0,0104712041884817;0,00392670157068063;0,00392670157068063;0,0104712041884817;0;0,00130890052356021;0,00130890052356021;0;0;0,00261780104712042;0,00261780104712042;0
"Montanari_a2";0;0,00633713561470215;0,0798479087452472;0;0,0253485424588086;0,0697084917617237;0;0;0,00633713561470215;0,00253485424588086;0;0,00253485424588086;0,0114068441064639;0;0,0101394169835234;0,0228136882129278;0;0,0329531051964512;0;0;0,00760456273764259;0;0;0,017743979721166;0,00380228136882129;0,00380228136882129;0,0139416983523447;0;0,313054499366286;0;0;0;0;0;0;0,0114068441064639;0,122940430925222;0,0190114068441065;0,00633713561470215;0,00126742712294043;0;0,00760456273764259;0;0;0,125475285171103;0,00887198986058302;0;0;0,0278833967046895;0,00126742712294043;0;0,0354879594423321;0;0;0;0;0;0,00253485424588086;0;0
