labID,age,error,depth
A,2973,178.38,26.8
A,5676,340.56,88.7
A,16216,972.96,196.9
A,19460,1167.6,385.6
A,19460,1167.6,416.5
A,23240,1394.4,470
A,27027,1621.62,527.8
A,28108,1686.48,586.6
A,31081,1864.86,633
A,40000,4000,688.7
A,30270,3027,691.8
A,38108,3810.8,830.9
