depth	min	max	median	mean
517	17845	20536	19291	19255
518	17881	20574	19330	19296
519	17898	20610	19367	19337
520	17928	20656	19409	19378
521	17958	20685	19450	19417
522	17996	20734	19495	19456
523	18033	20780	19533	19496
524	18061	20827	19575	19535
525	18102	20873	19617	19575
526	18141	20906	19654	19615
527	18185	20938	19690	19655
528	18224	20970	19733	19696
529	18255	21016	19773	19736
530	18279	21064	19818	19776
531	18329	21114	19863	19824
532	18382	21157	19917	19872
533	18466	21211	19960	19920
534	18523	21256	20007	19968
535	18570	21318	20052	20016
536	18615	21360	20097	20064
537	18659	21393	20151	20113
538	18709	21457	20197	20162
539	18749	21498	20249	20211
540	18790	21557	20299	20260
541	18846	21585	20345	20308
542	18892	21630	20393	20357
543	18941	21673	20435	20405
544	18985	21710	20485	20453
545	19041	21761	20536	20502
546	19119	21791	20585	20551
547	19175	21824	20633	20600
548	19219	21859	20679	20649
549	19277	21920	20725	20698
550	19334	21980	20777	20747
551	19385	22022	20829	20795
552	19446	22048	20879	20843
553	19487	22083	20928	20891
554	19532	22123	20980	20939
555	19562	22169	21030	20987
556	19625	22205	21078	21035
557	19708	22236	21125	21083
558	19760	22279	21172	21132
559	19831	22331	21215	21180
560	19889	22385	21266	21228
561	19965	22413	21313	21276
562	20012	22443	21364	21324
563	20055	22491	21413	21372
564	20087	22550	21464	21420
565	20117	22603	21517	21469
566	20208	22631	21563	21518
567	20279	22660	21612	21568
568	20334	22704	21658	21618
569	20410	22755	21709	21668
570	20433	22794	21761	21718
571	20504	22825	21809	21768
572	20566	22870	21857	21819
573	20615	22914	21903	21869
574	20667	22967	21948	21919
575	20708	23023	21996	21970
576	20782	23045	22044	22019
577	20844	23090	22090	22069
578	20901	23124	22143	22118
579	20961	23176	22193	22167
580	21014	23231	22241	22217
581	21093	23262	22294	22265
582	21163	23302	22341	22314
583	21230	23337	22393	22363
584	21284	23375	22447	22411
585	21317	23427	22493	22460
586	21412	23453	22542	22510
587	21481	23484	22591	22559
588	21517	23517	22645	22608
589	21579	23561	22693	22658
590	21638	23605	22745	22707
591	21701	23644	22792	22757
592	21764	23676	22839	22808
593	21827	23702	22894	22858
594	21869	23753	22946	22908
595	21914	23801	22997	22958
596	22010	23830	23043	23007
597	22084	23864	23089	23057
598	22149	23907	23139	23106
599	22199	23949	23182	23155
600	22251	24002	23232	23205
601	22332	24024	23274	23254
602	22407	24054	23328	23304
603	22475	24094	23380	23353
604	22526	24137	23430	23402
605	22562	24180	23477	23452
606	22662	24213	23519	23500
607	22742	24241	23566	23549
608	22821	24273	23614	23597
609	22888	24312	23668	23646
610	22938	24360	23716	23694
611	23049	24380	23761	23744
612	23139	24405	23806	23793
613	23207	24429	23850	23842
614	23261	24473	23899	23891
615	23311	24511	23950	23940
616	23448	24539	23984	23989
617	23570	24567	24024	24038
618	23678	24594	24063	24087
619	23777	24625	24108	24136
620	23837	24664	24158	24185
621	23898	24742	24224	24254
622	23938	24835	24296	24323
623	23967	24967	24361	24391
624	23990	25113	24424	24460
625	24005	25285	24485	24529
626	24070	25356	24554	24600
627	24121	25452	24629	24670
628	24155	25551	24701	24741
629	24185	25681	24771	24812
630	24215	25834	24832	24883
631	24271	25902	24899	24953
632	24330	25979	24973	25022
633	24360	26052	25052	25092
634	24392	26157	25116	25162
635	24427	26281	25181	25232
636	24508	26350	25257	25304
637	24572	26433	25337	25376
638	24610	26525	25412	25448
639	24638	26649	25481	25520
640	24667	26767	25550	25592
641	24739	26820	25626	25665
642	24794	26897	25701	25738
643	24840	26972	25778	25810
644	24875	27087	25853	25883
645	24920	27204	25925	25956
646	24978	27258	25992	26025
647	25038	27332	26057	26093
648	25082	27426	26136	26162
649	25124	27515	26210	26231
650	25168	27636	26273	26300
651	25231	27707	26344	26370
652	25294	27793	26416	26441
653	25355	27877	26483	26512
654	25391	27966	26556	26582
655	25435	28054	26625	26653
656	25509	28099	26697	26723
657	25579	28155	26764	26793
658	25644	28238	26831	26863
659	25683	28337	26899	26933
660	25724	28426	26969	27003
661	25819	28480	27041	27075
662	25890	28532	27117	27146
663	25960	28615	27199	27218
664	26019	28676	27271	27289
665	26075	28749	27338	27361
666	26141	28808	27420	27431
667	26212	28886	27498	27502
668	26274	28957	27571	27573
669	26319	29067	27644	27644
670	26366	29153	27714	27714
671	26457	29185	27783	27784
672	26532	29244	27851	27854
673	26592	29306	27913	27923
674	26641	29382	27978	27993
675	26703	29465	28050	28063
676	26787	29499	28124	28136
677	26872	29581	28202	28209
678	26930	29652	28279	28282
679	26992	29734	28360	28355
680	27058	29810	28435	28428
681	27140	29860	28508	28501
682	27230	29916	28587	28573
683	27287	29969	28660	28645
684	27348	30051	28729	28718
685	27391	30137	28804	28790
686	27465	30195	28874	28858
687	27552	30232	28937	28926
688	27615	30293	29009	28994
689	27688	30355	29078	29062
690	27732	30438	29150	29130
691	27826	30480	29216	29199
692	27894	30551	29291	29269
693	27977	30611	29363	29338
694	28029	30674	29430	29408
695	28085	30746	29499	29477
696	28179	30790	29576	29548
697	28249	30858	29653	29619
698	28330	30928	29731	29689
699	28393	30992	29805	29760
700	28439	31052	29871	29831
701	28545	31100	29936	29901
702	28628	31165	30005	29971
703	28687	31237	30076	30042
704	28744	31306	30144	30112
705	28809	31405	30215	30182
706	28891	31456	30282	30253
707	28963	31496	30358	30323
708	29044	31530	30438	30393
709	29122	31586	30516	30463
710	29206	31645	30590	30534
711	29324	31692	30666	30604
712	29404	31748	30735	30674
713	29499	31796	30808	30745
714	29563	31854	30882	30815
715	29623	31908	30950	30886
716	29739	31953	31023	30956
717	29843	31996	31088	31026
718	29928	32042	31153	31096
719	30005	32097	31222	31166
720	30056	32176	31295	31237
721	30125	32204	31346	31287
722	30181	32237	31395	31337
723	30248	32281	31443	31387
724	30302	32323	31494	31438
725	30362	32371	31537	31488
726	30448	32399	31579	31537
727	30526	32428	31629	31586
728	30591	32471	31676	31635
729	30654	32514	31724	31684
730	30721	32564	31772	31733
731	30791	32600	31819	31781
732	30864	32641	31861	31829
733	30945	32680	31911	31877
734	31009	32722	31956	31925
735	31065	32772	31999	31973
736	31133	32812	32045	32021
737	31183	32847	32088	32069
738	31237	32892	32134	32117
739	31281	32944	32183	32164
740	31314	32992	32233	32212
741	31371	33023	32270	32252
742	31409	33063	32308	32292
743	31455	33104	32346	32331
744	31492	33133	32383	32371
745	31537	33165	32424	32410
746	31585	33193	32463	32449
747	31646	33231	32503	32487
748	31688	33261	32541	32525
749	31732	33305	32577	32564
750	31750	33343	32613	32602
751	31817	33368	32653	32640
752	31849	33390	32692	32678
753	31891	33417	32732	32716
754	31929	33454	32770	32754
755	31969	33495	32813	32792
756	32035	33533	32845	32832
757	32074	33572	32882	32872
758	32129	33615	32921	32912
759	32169	33658	32963	32951
760	32205	33692	33001	32991
761	32268	33724	33040	33030
762	32311	33753	33083	33069
763	32347	33786	33120	33109
764	32383	33819	33164	33148
765	32419	33871	33200	33187
766	32479	33885	33233	33226
767	32546	33911	33270	33266
768	32589	33936	33309	33305
769	32625	33971	33351	33345
770	32654	34020	33391	33384
771	32712	34039	33430	33420
772	32753	34063	33465	33456
773	32797	34093	33499	33492
774	32828	34129	33538	33528
775	32855	34170	33570	33565
776	32925	34199	33609	33602
777	32980	34228	33648	33639
778	33030	34263	33686	33676
779	33074	34292	33719	33713
780	33111	34337	33755	33750
781	33167	34375	33799	33792
782	33221	34415	33840	33834
783	33250	34470	33880	33876
784	33290	34535	33923	33918
785	33315	34608	33966	33961
786	33363	34645	34003	34002
787	33406	34682	34043	34043
788	33439	34736	34082	34084
789	33481	34787	34121	34125
790	33509	34859	34161	34166
791	33575	34889	34200	34208
792	33634	34927	34240	34250
793	33669	34980	34283	34292
794	33711	35027	34323	34334
795	33741	35087	34364	34375
796	33796	35109	34402	34418
797	33841	35146	34444	34460
798	33888	35180	34481	34502
799	33917	35222	34519	34544
800	33947	35282	34556	34587
801	34002	35316	34607	34636
802	34065	35373	34658	34685
803	34106	35432	34706	34734
804	34148	35489	34759	34783
805	34179	35567	34809	34832
806	34247	35615	34859	34881
807	34288	35660	34911	34930
808	34324	35704	34964	34978
809	34364	35772	35011	35027
810	34394	35848	35057	35076
811	34464	35887	35115	35128
812	34500	35948	35168	35180
813	34553	35997	35219	35232
814	34589	36050	35270	35284
815	34625	36111	35318	35336
816	34676	36153	35370	35386
817	34733	36208	35420	35436
818	34778	36265	35472	35486
819	34819	36325	35524	35536
820	34849	36393	35573	35586
821	34903	36458	35638	35650
822	34955	36539	35705	35714
823	34995	36624	35768	35778
824	35030	36751	35836	35842
825	35063	36881	35894	35906
826	35119	36955	35958	35970
827	35181	37012	36025	36034
828	35218	37108	36086	36098
829	35254	37227	36140	36162
830	35283	37362	36198	36226
831	35350	37415	36269	36292
832	35399	37480	36345	36359
833	35448	37562	36416	36425
834	35500	37646	36478	36491
835	35545	37730	36541	36558
836	35600	37799	36605	36621
837	35640	37879	36663	36684
838	35682	37961	36725	36747
839	35728	38034	36792	36811
840	35770	38123	36852	36874
841	35834	38186	36914	36938
842	35899	38241	36985	37002
843	35968	38302	37052	37065
844	36010	38367	37112	37129
845	36042	38465	37172	37193
846	36117	38532	37243	37259
847	36175	38587	37313	37325
848	36220	38665	37378	37391
849	36288	38765	37446	37458
850	36323	38861	37507	37524
851	36407	38917	37566	37588
852	36454	38988	37631	37652
853	36511	39044	37698	37717
854	36551	39142	37762	37781
855	36600	39216	37822	37846
856	36684	39274	37896	37910
857	36746	39319	37957	37975
858	36800	39373	38027	38040
859	36837	39437	38091	38104
860	36882	39505	38155	38169
861	36963	39549	38225	38237
862	37025	39610	38298	38304
863	37076	39689	38366	38372
864	37129	39788	38431	38439
865	37169	39889	38498	38507
866	37241	39943	38569	38573
867	37307	39992	38647	38639
