labID,age,error,depth
A,9750,80,290
A,10175,100,480
A,11170,200,530
A,20050,160,620
A,20120,200,620
A,30650,640,720
A,28880,460,740
A,29090,500,770
A,28960,400,780
A,29980,1940,800
A,29740,520,800
A,30820,420,820
A,34100,580,870
A,40000,1200,910
