"","Longitude","Latitude","SampleName"
"53",-5.01865,36.69101,"AlbaSanchez_a57"
"54",-5.0395,36.69262,"AlbaSanchez_a58"
"55",-4.98172,36.7439,"AlbaSanchez_a59"
"56",-5.05044,36.66917,"AlbaSanchez_a60"
"57",-4.98415,36.7425,"AlbaSanchez_a61"
"58",-5.00475,36.72546,"AlbaSanchez_a62"
"59",-4.9841,36.72651,"AlbaSanchez_a63"
"60",-4.99253,36.72632,"AlbaSanchez_a64"
"61",-4.97169,36.73175,"AlbaSanchez_a65"
"62",-4.96644,36.72254,"AlbaSanchez_a66"
"63",-4.98044,36.71362,"AlbaSanchez_a67"
"64",-4.98061,36.71267,"AlbaSanchez_a68"
"65",-5.00146,36.71493,"AlbaSanchez_a69"
"66",-4.99042,36.71856,"AlbaSanchez_a70"
"67",-5.01804,36.61151,"AlbaSanchez_a71"
"68",-4.97122,36.71158,"AlbaSanchez_a72"
"69",-4.97412,36.70599,"AlbaSanchez_a73"
"70",-4.97777,36.70187,"AlbaSanchez_a74"
"71",-4.98389,36.70257,"AlbaSanchez_a75"
"72",-4.988,36.70203,"AlbaSanchez_a76"
"73",-4.909311,36.619483,"AlbaSanchez_a77"
"74",-5.43012,35.24113,"AlbaSanchez_a78"
"75",-5.429297,35.241631,"AlbaSanchez_a79"
"76",-5.103634,35.259856,"AlbaSanchez_a80"
"77",-5.03367,36.66655,"AlbaSanchez_a81"
"78",-5.216593,35.184338,"AlbaSanchez_a82"
"79",-4.50827,34.904032,"AlbaSanchez_a83"
"80",-4.617827,34.909996,"AlbaSanchez_a84"
"81",-4.653223,34.896955,"AlbaSanchez_a85"
"82",-4.536485,34.907986,"AlbaSanchez_a86"
"83",-4.611571,34.849704,"AlbaSanchez_a87"
"84",-4.532196,34.840495,"AlbaSanchez_a88"
"85",-4.761091,34.976196,"AlbaSanchez_a89"
"86",-4.820689,34.992855,"AlbaSanchez_a90"
"87",-5.02554,36.68877,"AlbaSanchez_a91"
"88",-4.871389,34.996671,"AlbaSanchez_a92"
"89",-5.148185,35.142129,"AlbaSanchez_a93"
"90",-5.152082,35.141913,"AlbaSanchez_a94"
"91",-5.151044,35.139146,"AlbaSanchez_a95"
"92",-5.303285,35.347574,"AlbaSanchez_a96"
"93",-5.294552,35.346624,"AlbaSanchez_a97"
"94",-5.292949,35.345739,"AlbaSanchez_a98"
"95",-4.435739,34.819963,"AlbaSanchez_a99"
"96",-4.46209,34.812419,"AlbaSanchez_a100"
"97",-4.298583,34.848,"AlbaSanchez_a101"
"98",-5.03423,36.6904,"AlbaSanchez_a102"
"99",-4.321148,34.859132,"AlbaSanchez_a103"
"100",-4.328126,34.888293,"AlbaSanchez_a104"
"101",-5.207276,33.424301,"AlbaSanchez_a105"
"102",-5.240169,33.39468,"AlbaSanchez_a106"
"103",-5.468365,32.956078,"AlbaSanchez_a107"
"104",-5.337213,33.1899,"AlbaSanchez_a109"
"105",-5.339239,33.172825,"AlbaSanchez_a110"
"106",-5.346624,33.136528,"AlbaSanchez_a111"
"107",-5.331323,32.897139,"AlbaSanchez_a112"
"108",-5.269515,32.944753,"AlbaSanchez_a113"
"109",-5.03876,36.69814,"AlbaSanchez_a114"
"110",-5.242167,32.947561,"AlbaSanchez_a115"
"111",-5.370925,32.926501,"AlbaSanchez_a116"
"112",-5.435338,32.943043,"AlbaSanchez_a117"
"113",-5.496605,32.936991,"AlbaSanchez_a118"
"114",-5.477006,32.942474,"AlbaSanchez_a119"
"115",-5.36791,32.937865,"AlbaSanchez_a120"
"116",-5.180248,32.849844,"AlbaSanchez_a121"
"117",-5.237251,32.869999,"AlbaSanchez_a122"
"118",-5.257908,32.885662,"AlbaSanchez_a123"
"119",-4.918195,35.013695,"AlbaSanchez_a124"
"120",-4.96761,36.70322,"AlbaSanchez_a125"
"121",-4.902107,35.016676,"AlbaSanchez_a126"
"122",-5.072076,35.133767,"AlbaSanchez_a127"
"123",-5.057928,35.118435,"AlbaSanchez_a128"
"124",-5.118979,35.135797,"AlbaSanchez_a129"
"125",-5.112933,35.127825,"AlbaSanchez_a130"
"126",-5.102893,35.121953,"AlbaSanchez_a131"
"127",-5.146365,35.006211,"AlbaSanchez_a132"
"128",-4.195262,34.043501,"AlbaSanchez_a133"
"129",-4.176906,34.084397,"AlbaSanchez_a134"
"130",-4.178092,34.077415,"AlbaSanchez_a135"
"131",59.56994,57.49276,"Antipina_Galimov_a1"
"132",64,60,"Antipina_Galimov_a2"
"133",64.02649,60.55204,"Antipina_a1"
"134",63.35539,60.5567,"Antipina_a2"
"135",76.4512,61.0227,"Antipina_a3"
"136",79.3429,57.0444,"Antipina_a4"
"137",59.5671,57.49424,"Antipina_a5"
"138",60.41132,57.15065,"Antipina_a6"
"139",60.54,64.23,"Antipina_a7"
"140",61.04,64.13,"Antipina_a8"
"141",59.55822,60.00015,"Antipina_a9"
"142",60.032087,61.016751,"Antipina_a10"
"143",63.35305,60.53937,"Antipina_a11"
"144",64.02,60.55,"Antipina_a12"
