depth	min	max	median	mean
227	17672	18569	18130	18126
228	17684	18571	18136	18131
229	17689	18573	18140	18136
230	17698	18575	18144	18141
231	17705	18579	18148	18146
232	17707	18583	18152	18151
233	17710	18587	18156	18156
234	17718	18590	18160	18161
235	17728	18593	18164	18166
236	17734	18598	18168	18171
237	17742	18603	18172	18176
238	17745	18607	18175	18180
239	17749	18612	18180	18185
240	17754	18616	18185	18190
241	17763	18619	18190	18195
242	17774	18622	18194	18200
243	17780	18626	18199	18206
244	17783	18628	18204	18211
245	17791	18630	18209	18216
246	17797	18633	18213	18221
247	17803	18637	18219	18226
248	17809	18644	18224	18231
249	17814	18647	18228	18236
250	17822	18648	18232	18241
251	17826	18652	18236	18246
252	17838	18655	18242	18251
253	17847	18660	18246	18256
254	17852	18663	18252	18262
255	17861	18667	18256	18267
256	17873	18670	18261	18272
257	17881	18674	18266	18277
258	17883	18678	18271	18282
259	17890	18685	18275	18287
260	17899	18692	18279	18292
261	17908	18694	18283	18297
262	17917	18696	18288	18302
263	17927	18698	18292	18308
264	17936	18700	18296	18313
265	17947	18703	18300	18318
266	17960	18704	18305	18323
267	17967	18707	18310	18328
268	17978	18711	18313	18333
269	17986	18713	18317	18339
270	18002	18716	18321	18344
271	18011	18721	18325	18349
272	18019	18725	18330	18354
273	18029	18729	18335	18359
274	18040	18736	18339	18365
275	18043	18741	18344	18370
276	18048	18747	18347	18375
277	18053	18750	18351	18380
278	18059	18756	18355	18385
279	18065	18762	18361	18390
280	18070	18766	18367	18396
281	18082	18768	18370	18400
282	18094	18771	18374	18405
283	18105	18773	18379	18410
284	18115	18775	18383	18414
285	18127	18777	18387	18419
286	18140	18779	18391	18424
287	18154	18782	18395	18428
288	18159	18785	18399	18433
289	18164	18789	18404	18438
290	18170	18793	18408	18442
291	18177	18796	18413	18447
292	18184	18799	18417	18452
293	18188	18803	18422	18456
294	18194	18806	18427	18461
295	18200	18811	18431	18466
296	18204	18815	18437	18470
297	18207	18818	18442	18475
298	18211	18824	18447	18480
299	18215	18829	18453	18485
300	18221	18834	18458	18489
301	18226	18838	18462	18493
302	18231	18841	18466	18497
303	18234	18844	18470	18501
304	18240	18848	18474	18505
305	18244	18851	18479	18510
306	18250	18856	18484	18514
307	18252	18858	18488	18518
308	18259	18861	18493	18522
309	18263	18865	18498	18526
310	18267	18866	18502	18530
311	18272	18871	18507	18534
