"";"X";"X2";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"320";320;50656,80798;2,452452452;2,490664217;-1,331331331;6,236236236;-8,758758759;13,8038038;889,3347947;492,4924925;920,9209209;272,2722723;1681,681682;18,18885191;14,62462462;21,68168168;7,717717718;28,58858859;-10,77735025;-17,20720721;-4,414414414;-29,45945946;8,018018018;11918,07659;7039,039039;15485,88589;117,3173173;22407,60761
"321";321;50818,50759;3,013013013;2,948869383;-1,051051051;6,936936937;-8,898898899;14,92492492;736,5557731;340,3403403;732,7327327;164,1641642;1521,521522;19,19403029;15,22522523;23,03303303;7,567567568;30,84084084;-11,25331068;-18,28828829;-4,234234234;-31,8018018;9,279279279;10719,7505;5748,548549;13843,44344;0;20706,50651
"322";322;50980,2072;2,592592593;2,56224472;-1,471471471;6,516516517;-9,319319319;14,5045045;728,8368478;340,3403403;728,7287287;168,1681682;1497,497497;18,87430155;14,92492492;22,88288288;7,117117117;30,54054054;-12,34974043;-19,72972973;-4,954954955;-34,14414414;9,279279279;11036,13487;6041,841842;14254,05405;0;21234,43443
"323";323;51141,90681;3,153153153;3,122322978;-0,910910911;7,077077077;-8,618618619;14,78478478;614,6500586;348,3483483;640,6406406;196,1961962;1149,149149;20,56493111;16,87687688;24,23423423;9,66966967;31,59159159;-11,64578502;-18,82882883;-4,414414414;-32,88288288;9,63963964;5937,795463;3284,884885;7684,284284;0;11379,77978
"324";324;51323,81887;3,013013013;3,035030048;-0,910910911;7,077077077;-8,758758759;14,92492492;653,0394099;352,3523524;672,6726727;192,1921922;1253,253253;20,14751452;16,27627628;23,93393393;8,768768769;31,59159159;-11,74391015;-19,00900901;-4,594594595;-33,06306306;9,63963964;6811,039184;3812,812813;8798,798799;0;13022,22222
"325";325;51510,78404;2,732732733;2,797445477;-1,191191191;6,656656657;-8,898898899;14,36436436;724,7207723;348,3483483;728,7287287;172,1721722;1469,469469;19,27270682;15,22522523;23,18318318;7,417417417;30,99099099;-12,1005608;-19,36936937;-4,954954955;-33,24324324;9,099099099;10353,44471;5865,865866;13432,83283;0;19709,30931
"326";326;51692,6961;2,452452452;2,425734906;-1,471471471;6,376376376;-9,039039039;13,94394394;717,0105886;336,3363363;716,7167167;164,1641642;1469,469469;19,12512211;15,22522523;22,88288288;7,717717718;30,54054054;-12,73060194;-19,72972973;-5,675675676;-33,42342342;8,018018018;10588,9944;5865,865866;13726,12613;0;20295,8959
"327";327;51834,18326;2,872872873;2,80664462;-0,910910911;6,656656657;-8,338338338;14,08408408;653,5773888;340,3403403;668,6686687;180,1801802;1273,273273;20,13201252;16,57657658;23,63363363;9,66966967;30,54054054;-11,95675749;-18,64864865;-5,135135135;-31,8018018;7,837837838;6951,195274;3812,812813;8974,774775;0;13374,17417
"328";328;52016,09533;2,172172172;2,125374804;-1,751751752;5,955955956;-9,179179179;13,52352352;743,0854774;356,3563564;748,7487487;176,1761762;1505,505506;18,6981905;14,92492492;22,58258258;7,267267267;30,09009009;-12,53612213;-19,54954955;-5,495495495;-33,24324324;8,018018018;10388,77751;6159,159159;13491,49149;117,3173173;19533,33333
"329";329;52177,79494;2,172172172;2,158485018;-1,471471471;5,815815816;-8,758758759;12,96296296;766,3452508;372,3723724;772,7727728;184,1841842;1545,545546;18,66280547;14,77477477;22,43243243;7,267267267;29,93993994;-12,22434882;-18,82882883;-5,495495495;-31,8018018;7,477477477;10845,6296;6217,817818;14078,07808;0;20530,53053
"330";330;52359,707;2,452452452;2,522002055;-1,331331331;6,376376376;-8,758758759;13,8038038;755,9363843;360,3603604;760,7607608;180,1801802;1537,537538;18,98854072;15,07507508;22,88288288;7,417417417;30,54054054;-11,90319032;-18,64864865;-5,135135135;-31,8018018;8,018018018;10663,12995;5924,524525;13784,78478;0;20413,21321
"331";331;52521,40661;3,153153153;3,137979133;-0,910910911;7,217217217;-8,898898899;15,20520521;724,9076614;348,3483483;728,7287287;172,1721722;1469,469469;19,47022185;15,37537538;23,48348348;7,417417417;31,44144144;-11,6295885;-19,00900901;-4,234234234;-33,42342342;10;10353,77339;5865,865866;13432,83283;0;19709,30931
"332";332;52683,10622;3,713713714;3,764614933;-0,07007007;7,497497497;-7,497497497;14,92492492;817,8199673;444,4444444;844,8448448;244,2442442;1561,561562;18,76799929;14,92492492;22,58258258;7,417417417;30,09009009;-8,980355021;-15,04504505;-2,972972973;-26,75675676;8,918918919;9768,994294;5631,231231;12670,27027;0;18418,81882
"333";333;52870,07139;2,872872873;2,810665092;-0,910910911;6,656656657;-8,338338338;13,94394394;720,2334699;404,4044044;748,7487487;228,2282282;1349,349349;19,88545116;16,42642643;23,33333333;9,66966967;30,24024024;-11,47435411;-17,92792793;-4,954954955;-30,72072072;7,657657658;7022,41122;3930,13013;9092,092092;0;13432,83283
"334";334;53051,98345;3,013013013;2,949163574;-0,630630631;6,656656657;-7,777777778;13,8038038;738,9127021;352,3523524;740,7407407;176,1761762;1501,501502;19,13103014;15,22522523;23,03303303;7,717717718;30,69069069;-10,49235183;-16,66666667;-4,234234234;-28,73873874;7,837837838;9862,967871;5513,913914;12787,58759;0;18888,08809
"335";335;53213,68307;2,732732733;2,739923076;-1,051051051;6,516516517;-8,478478478;13,94394394;749,4079929;352,3523524;748,7487487;172,1721722;1533,533534;19,18252247;15,22522523;23,03303303;7,717717718;30,69069069;-11,82716181;-18,64864865;-4,954954955;-32,16216216;8,378378378;10727,38956;5924,524525;13902,1021;0;20589,18919
"336";336;53375,38268;3,013013013;3,070350572;-0,770770771;6,936936937;-8,338338338;14,5045045;732,3704842;344,3443443;732,7327327;172,1721722;1497,497497;19,66752408;15,67567568;23,78378378;7,867867868;31,59159159;-11,56741199;-18,64864865;-4,594594595;-32,16216216;9,099099099;10607,7972;5865,865866;13726,12613;0;20354,55455
"337";337;53557,29474;3,433433433;3,425523724;-0,630630631;7,357357357;-8,478478478;15,20520521;709,3270752;328,3283283;704,7047047;160,1601602;1461,461461;20,27517342;16,27627628;24,38438438;8,318318318;32,19219219;-11,39135133;-18,46846847;-4,414414414;-32,16216216;9,279279279;10145,61669;5337,937938;13080,88088;0;19767,96797
