"";"X.1";"X";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"500";500;48,005;5,975975976;6,035657167;2,822822823;9,129129129;-3,483483483;15,43543544;860,8017711;466,6666667;887,0870871;252,2522523;1643,843844;20,4859207;16,21621622;24,68468468;8,108108108;32,97297297;-5,820265555;-11,75175175;0,23023023;-23,35335335;11,83183183;11282,48758;6592,892893;14677,37738;-33,73373373;21304,004
"501";501;48,205;5,975975976;6,044683778;3,123123123;8,978978979;-2,732732733;14,68468468;860,0473929;479,2792793;891,2912913;264,8648649;1618,618619;20,28337448;16,03603604;24,5045045;7,747747748;32,79279279;-5,668551065;-11,37137137;-0,15015015;-22,4024024;11,07107107;10853,55591;6725,425425;14080,98098;496,3963964;20376,27628
"502";502;48,3;5,975975976;5,908353241;2,972972973;8,828828829;-2,882882883;14,68468468;857,4350406;470,8708709;887,0870871;260,6606607;1627,027027;20,27211171;16,21621622;24,5045045;7,927927928;32,61261261;-5,914419672;-11,56156156;-0,15015015;-22,59259259;10,88088088;11042,62324;6725,425425;14346,04605;363,8638639;20773,87387
"503";503;48,405;5,975975976;5,995151074;2,972972973;8,978978979;-2,882882883;14,98498498;858,8669782;470,8708709;891,2912913;256,4564565;1635,435435;20,39234057;16,21621622;24,68468468;7,927927928;32,97297297;-5,881543356;-11,75175175;-0,15015015;-22,97297297;11,07107107;11038,5102;6725,425425;14346,04605;231,3313313;20773,87387
"504";504;48,5;5,825825826;5,866127262;2,822822823;8,978978979;-3,183183183;14,98498498;852,1813027;462,4624625;878,6786787;252,2522523;1631,231231;20,35182264;16,21621622;24,5045045;8,108108108;32,61261261;-5,995871528;-11,56156156;-0,34034034;-22,59259259;10,69069069;11370,63683;6725,425425;14743,64364;32,53253253;21436,53654
"505";505;48,605;6,426426426;6,492510269;3,423423423;9,429429429;-2,432432432;15,28528529;855,5553526;466,6666667;882,8828829;256,4564565;1631,231231;20,7413849;16,57657658;25,04504505;8,288288288;33,33333333;-5,158687683;-10,61061061;0,42042042;-21,45145145;11,07107107;10973,36953;6526,626627;14279,77978;98,7987988;20707,60761
"506";506;48,7;5,975975976;5,997266212;2,972972973;8,978978979;-2,882882883;14,83483483;860,0352225;466,6666667;887,0870871;256,4564565;1639,63964;20,37265585;16,21621622;24,5045045;8,108108108;32,79279279;-5,869071957;-11,56156156;-0,15015015;-22,78278278;10,88088088;11176,26289;6725,425425;14544,84484;165,0650651;21038,93894
"507";507;48,805;6,276276276;6,260749997;3,273273273;9,129129129;-2,432432432;14,98498498;853,8551916;466,6666667;882,8828829;256,4564565;1627,027027;20,57114698;16,3963964;24,68468468;8,288288288;32,97297297;-5,466808422;-10,99099099;0,04004004;-21,64164164;10,69069069;11055,73496;6592,892893;14346,04605;165,0650651;20840,14014
"508";508;48,9;6,276276276;6,340541346;3,423423423;9,129129129;-2,132132132;14,83483483;848,7663064;466,6666667;878,6786787;256,4564565;1614,414414;20,52905333;16,3963964;24,5045045;8,468468468;32,61261261;-5,218086125;-10,42042042;-0,15015015;-20,31031031;9,92992993;11263,60259;6659,159159;14611,11111;98,7987988;21237,73774
"509";509;49,005;6,426426426;6,41106761;3,573573574;9,279279279;-2,132132132;14,98498498;855,5024708;458,2582583;882,8828829;248,048048;1648,048048;20,74880927;16,75675676;24,68468468;8,828828829;32,61261261;-5,3584425;-10,61061061;-0,15015015;-20,88088088;10,12012012;11349,73762;6592,892893;14743,64364;-33,73373373;21436,53654
"510";510;49,205;6,726726727;6,655345772;3,873873874;9,429429429;-1,681681682;14,98498498;850,8325652;462,4624625;878,6786787;252,2522523;1622,822823;20,83073018;16,75675676;24,86486486;8,828828829;32,79279279;-4,915986533;-9,84984985;0,04004004;-19,73973974;9,73973974;11217,41405;6592,892893;14611,11111;-33,73373373;21171,47147
"511";511;49,3;6,576576577;6,526715516;3,723723724;9,279279279;-1,831831832;14,83483483;853,7721441;470,8708709;887,0870871;256,4564565;1618,618619;20,64811254;16,57657658;24,68468468;8,648648649;32,61261261;-4,999135052;-9,84984985;0,04004004;-19,73973974;9,73973974;11261,77119;6659,159159;14611,11111;32,53253253;21237,73774
"512";512;49,405;6,426426426;6,450649894;3,573573574;9,279279279;-1,981981982;14,98498498;855,5962629;466,6666667;882,8828829;256,4564565;1631,231231;20,67362022;16,57657658;24,68468468;8,648648649;32,79279279;-5,181562405;-10,23023023;0,04004004;-20,5005005;10,12012012;11187,49629;6659,159159;14544,84484;98,7987988;21105,20521
"513";513;49,5;6,126126126;6,177765353;3,273273273;8,978978979;-2,282282282;14,68468468;845,5052333;462,4624625;874,4744745;256,4564565;1606,006006;20,43169476;16,3963964;24,5045045;8,288288288;32,43243243;-5,439737303;-10,61061061;-0,34034034;-20,5005005;9,73973974;11276,13219;6725,425425;14677,37738;98,7987988;21237,73774
"514";514;49,6;6,276276276;6,233864964;3,423423423;9,129129129;-2,132132132;14,68468468;853,7606894;462,4624625;878,6786787;252,2522523;1631,231231;20,53779596;16,3963964;24,5045045;8,468468468;32,43243243;-5,495465219;-10,8008008;-0,34034034;-21,07107107;9,92992993;11238,94228;6725,425425;14611,11111;98,7987988;21171,47147
"515";515;49,7;6,876876877;6,852386836;4,174174174;9,57957958;-1,231231231;14,83483483;848,4073968;475,0750751;882,8828829;260,6606607;1597,597598;20,80396838;16,75675676;24,86486486;8,648648649;32,79279279;-4,535140399;-9,279279279;0,23023023;-18,5985986;9,54954955;11005,34992;6592,892893;14346,04605;165,0650651;20773,87387
"516";516;49,8;7,027027027;6,962065438;4,324324324;9,72972973;-1,081081081;14,98498498;851,7929526;470,8708709;882,8828829;256,4564565;1610,21021;20,98103963;16,93693694;25,04504505;9,009009009;32,97297297;-4,486373852;-9,279279279;0,23023023;-18,40840841;9,54954955;11048,70277;6526,626627;14346,04605;32,53253253;20840,14014
"517";517;49,905;6,726726727;6,793021826;4,024024024;9,429429429;-1,381381381;14,83483483;853,6819416;470,8708709;887,0870871;256,4564565;1618,618619;20,85657447;16,75675676;24,86486486;8,828828829;32,79279279;-4,695063427;-9,469469469;0,23023023;-19,16916917;9,73973974;11067,56957;6592,892893;14412,31231;98,7987988;20906,40641
"518";518;50,005;7,177177177;7,242136783;4,624624625;9,72972973;-0,48048048;14,98498498;850,0658228;479,2792793;882,8828829;269,0690691;1593,393393;21,08198966;17,11711712;25,22522523;9,009009009;33,15315315;-4,053011593;-8,518518519;0,42042042;-17,45745746;9,359359359;10820,97694;6526,626627;14080,98098;165,0650651;20442,54254
"519";519;50,205;7,027027027;7,078953017;4,474474474;9,72972973;-0,780780781;14,98498498;855,0279083;466,6666667;882,8828829;256,4564565;1631,231231;21,10598249;17,11711712;25,04504505;9,369369369;32,97297297;-4,406182823;-9,089089089;0,23023023;-18,21821822;9,54954955;11087,56628;6526,626627;14412,31231;-33,73373373;20906,40641
"520";520;50,3;6,576576577;6,632163549;3,873873874;9,429429429;-1,831831832;14,98498498;855,2194796;462,4624625;882,8828829;252,2522523;1635,435435;20,7960867;16,75675676;24,86486486;8,828828829;32,79279279;-4,971455019;-10,04004004;0,04004004;-19,92992993;9,92992993;11311,02742;6592,892893;14677,37738;-33,73373373;21370,27027
"521";521;50,405;6,126126126;6,088614839;2,822822823;9,279279279;-3,483483483;15,58558559;867,4566253;466,6666667;895,4954955;252,2522523;1664,864865;20,57205584;16,57657658;24,68468468;8,648648649;32,61261261;-5,800802096;-11,56156156;0,04004004;-22,97297297;11,26126126;11601,82076;6592,892893;15074,97497;-100;22032,93293
"522";522;50,505;6,576576577;6,537163004;3,573573574;9,57957958;-2,432432432;15,43543544;856,4951226;449,8498498;878,6786787;239,6396396;1660,660661;20,94885428;16,93693694;25,04504505;9,009009009;32,97297297;-5,317019727;-10,8008008;0,04004004;-21,26126126;10,69069069;11487,75196;6526,626627;14942,44244;-100;21900,4004
"523";523;50,605;6,276276276;6,226745171;3,123123123;9,279279279;-2,882882883;15,28528529;846,8903388;449,8498498;870,2702703;239,6396396;1639,63964;20,76752083;16,75675676;24,86486486;8,648648649;32,97297297;-5,750032249;-11,37137137;-0,15015015;-22,21221221;10,88088088;11382,16521;6460,36036;14743,64364;-100;21635,33534
"524";524;50,7;6,276276276;6,294586788;3,273273273;9,279279279;-2,732732733;15,28528529;866,0224165;466,6666667;891,2912913;252,2522523;1660,660661;20,65528665;16,57657658;24,68468468;8,648648649;32,79279279;-5,499888262;-11,18118118;0,04004004;-22,02202202;11,07107107;11354,18118;6592,892893;14743,64364;-33,73373373;21436,53654
"525";525;50,805;5,975975976;5,989191062;2,972972973;9,129129129;-3,183183183;15,13513514;880,3077535;470,8708709;908,1081081;252,2522523;1690,09009;20,41165027;16,3963964;24,32432432;8,648648649;32,07207207;-5,840345996;-11,37137137;-0,15015015;-22,21221221;10,69069069;12024,49422;6924,224224;15605,10511;-100;22761,86186
"526";526;50,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"527";527;51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"528";528;51,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"529";529;51,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"530";530;51,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"531";531;51,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"532";532;51,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"533";533;51,75;6,126126126;6,08619575;3,123123123;9,129129129;-2,882882883;15,13513514;843,8919237;454,0540541;870,2702703;243,8438438;1622,822823;20,54141231;16,3963964;24,68468468;8,288288288;32,97297297;-5,733363691;-11,37137137;-0,15015015;-22,21221221;10,69069069;11374,42745;6592,892893;14809,90991;-100;21502,8028
"534";534;51,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"535";535;51,9;6,426426426;6,470811176;3,723723724;9,279279279;-1,681681682;14,68468468;858,2662787;454,0540541;882,8828829;243,8438438;1660,660661;20,68777549;16,75675676;24,68468468;8,828828829;32,43243243;-5,286511771;-10,42042042;-0,15015015;-20,5005005;9,92992993;11585,51734;6725,425425;15074,97497;-100;21900,4004
"536";536;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"537";537;52,205;5,225225225;5,291747831;2,072072072;8,528528529;-4,234234234;14,83483483;841,0888384;441,4414414;861,8618619;235,4354354;1635,435435;20,27486775;16,21621622;24,5045045;8,108108108;32,61261261;-7,087034124;-13,08308308;-0,910910911;-25,06506507;10,88088088;11683,80423;6725,425425;15207,50751;-100;22165,46547
"538";538;52,3;5,825825826;5,85117512;2,672672673;9,129129129;-3,633633634;15,43543544;840,6267383;441,4414414;861,8618619;231,2312312;1635,435435;20,61324268;16,3963964;24,86486486;8,108108108;32,97297297;-6,302934397;-12,32232232;-0,34034034;-23,92392392;11,45145145;11512,96446;6460,36036;14942,44244;-100;21966,66667
"539";539;52,405;5,525525526;5,50393433;2,222222222;8,678678679;-4,234234234;15,13513514;842,0113628;441,4414414;861,8618619;235,4354354;1635,435435;20,3929907;16,21621622;24,5045045;7,927927928;32,79279279;-6,769182181;-12,89289289;-0,720720721;-24,87487487;11,26126126;11641,85087;6659,159159;15141,24124;-100;22165,46547
"540";540;52,5;5,825825826;5,842639884;2,672672673;9,129129129;-3,783783784;15,58558559;833,2500772;441,4414414;857,6576577;235,4354354;1614,414414;20,60317039;16,21621622;24,86486486;7,747747748;33,33333333;-6,23074243;-12,32232232;-0,15015015;-24,11411411;11,64164164;11331,9542;6460,36036;14743,64364;-100;21569,06907
"541";541;52,605;6,276276276;6,261199035;3,123123123;9,279279279;-2,882882883;15,28528529;846,4762747;445,6456456;870,2702703;235,4354354;1639,63964;20,80179473;16,57657658;24,86486486;8,648648649;32,97297297;-5,693088312;-11,18118118;-0,15015015;-22,02202202;10,69069069;11413,11237;6526,626627;14809,90991;-100;21701,6016
"542";542;52,7;5,525525526;5,563679975;2,372372372;8,678678679;-3,783783784;14,98498498;843,1121665;441,4414414;861,8618619;235,4354354;1639,63964;20,37996602;16,21621622;24,5045045;8,108108108;32,61261261;-6,685803001;-12,7027027;-0,720720721;-24,3043043;11,07107107;11644,89147;6659,159159;15141,24124;-100;22099,1992
"543";543;52,805;6,126126126;6,076128895;2,822822823;9,279279279;-3,483483483;15,58558559;846,0688278;445,6456456;866,0660661;239,6396396;1639,63964;20,74828124;16,57657658;24,86486486;8,288288288;33,15315315;-5,973845605;-11,94194194;-0,15015015;-23,35335335;11,45145145;11469,14024;6460,36036;14876,17618;-100;21900,4004
