;X;X2;optima;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
351;351;28300,2765;1,611611612;1,653911098;-1,891891892;5,115115115;-8,618618619;11,98198198;767,6100529;352,3523524;764,7647648;172,1721722;1581,581582;19,11565455;15,37537538;22,73273273;8,168168168;30,09009009;-13,41345083;-19,36936937;-7,477477477;-31,08108108;4,234234234;10585,42494;5513,913914;13667,46747;0;20706,50651
352;352;28409,77673;2,172172172;2,20988735;-1,751751752;6,096096096;-9,459459459;13,8038038;710,1444125;316,3163163;700,7007007;152,1521522;1485,485485;18,96060774;15,22522523;22,73273273;7,867867868;29,93993994;-12,85380524;-19,90990991;-5,855855856;-33,42342342;7,837837838;10601,6525;5631,231231;13667,46747;0;20647,84785
353;353;28409,77673;2,732732733;2,672132492;-1,051051051;6,376376376;-8,338338338;13,66366366;729,6082155;340,3403403;728,7287287;168,1681682;1497,497497;19,41659498;15,52552553;23,33333333;7,867867868;30,84084084;-11,51651085;-17,92792793;-5,135135135;-30,36036036;7,477477477;10647,12123;5689,88989;13726,12613;0;20647,84785
354;354;28519,27696;2,312312312;2,280486395;-1,611611612;6,096096096;-9,039039039;13,66366366;708,142687;316,3163163;700,7007007;152,1521522;1485,485485;19,51158393;15,82582583;23,33333333;8,468468468;30,69069069;-13,46881972;-20,09009009;-6,756756757;-33,24324324;6,216216216;9998,634497;5279,279279;12904,9049;0;19474,67467
355;355;28519,27696;2,172172172;2,189522384;-1,611611612;5,955955956;-9,039039039;13,38338338;700,4259441;320,3203203;696,6966967;152,1521522;1453,453453;19,66802903;15,97597598;23,48348348;8,618618619;30,84084084;-13,66880737;-20,45045045;-6,936936937;-33,6036036;6,396396396;10546,88069;5396,596597;13550,15015;0;20706,50651
356;356;28628,77719;2,032032032;1,96599441;-1,471471471;5,535535536;-8,338338338;12,26226226;771,5635939;356,3563564;768,7687688;176,1761762;1589,58959;18,63651631;15,07507508;22,28228228;7,867867868;29,33933934;-12,39289768;-18,64864865;-6,216216216;-30,72072072;6,036036036;11405,5853;5983,183183;14723,32332;0;22290,29029
357;357;28628,77719;2,592592593;2,564358082;-1,191191191;6,376376376;-8,618618619;13,66366366;700,7280026;328,3283283;700,7007007;160,1601602;1433,433433;19,76404384;15,97597598;23,63363363;8,468468468;31,14114114;-12,2571181;-18,82882883;-5,855855856;-31,26126126;6,756756757;9694,80786;5279,279279;12552,95295;0;18712,11211
358;358;28738,27742;2,172172172;2,144477752;-2,032032032;6,236236236;-10,02002002;14,36436436;735,2963652;340,3403403;732,7327327;164,1641642;1517,517518;18,74199755;14,92492492;22,43243243;7,717717718;29,78978979;-13,02652705;-20,09009009;-6,036036036;-33,78378378;7,657657658;10639,54698;5983,183183;13784,78478;0;20295,8959
359;359;28738,27742;2,592592593;2,57756604;-1,191191191;6,236236236;-8,338338338;13,52352352;718,9650124;332,3323323;716,7167167;160,1601602;1481,481481;19,54211204;15,67567568;23,33333333;8,318318318;30,84084084;-12,0578784;-18,28828829;-5,675675676;-30,72072072;6,576576577;10543,34233;5513,913914;13550,15015;0;20589,18919
360;360;28847,77765;2,452452452;2,412780696;-1,331331331;6,236236236;-8,898898899;13,66366366;709,9440424;320,3203203;704,7047047;152,1521522;1481,481481;19,33234707;15,52552553;23,03303303;8,318318318;30,39039039;-12,87626685;-19,54954955;-6,036036036;-32,7027027;7,117117117;10228,04478;5337,937938;13139,53954;0;20002,6026
361;361;28847,77765;2,452452452;2,424432861;-1,331331331;6,236236236;-8,618618619;13,52352352;715,8556215;324,3243243;708,7087087;156,1561562;1489,489489;19,59150514;15,82582583;23,33333333;8,618618619;30,69069069;-12,31845566;-18,64864865;-6,036036036;-30,9009009;6,216216216;10193,13494;5337,937938;13139,53954;0;19943,94394
362;362;29066,77811;2,312312312;2,331567094;-1,191191191;5,955955956;-8,338338338;12,96296296;696,0903503;304,3043043;684,6846847;144,1441441;1473,473473;20,06908108;16,42642643;23,63363363;9,369369369;30,84084084;-13,9714831;-20,09009009;-7,837837838;-32,16216216;4,234234234;9909,525231;5044,644645;12728,92893;0;19533,33333
363;363;29066,77811;2,172172172;2,169860387;-1,471471471;5,815815816;-8,618618619;12,96296296;694,3664305;308,3083083;684,6846847;144,1441441;1461,461461;19,90330068;16,42642643;23,33333333;9,66966967;30,24024024;-13,63385382;-20,27027027;-6,936936937;-33,24324324;5,855855856;9518,01342;4751,351351;12201,001;0;18829,42943
364;364;29176,27833;2,172172172;2,213747221;-1,611611612;6,096096096;-9,039039039;13,52352352;712,2688193;312,3123123;700,7007007;148,1481481;1497,497497;19,39909435;15,67567568;23,03303303;8,468468468;30,24024024;-13,29811414;-20,09009009;-6,576576577;-33,06306306;6,576576577;10888,67074;5572,572573;14019,41942;0;21410,41041
365;365;29285,77856;2,172172172;2,148296912;-1,751751752;5,955955956;-9,319319319;13,66366366;707,947088;320,3203203;700,7007007;156,1561562;1473,473473;19,38841267;15,52552553;23,18318318;8,168168168;30,69069069;-13,42289872;-20,09009009;-6,576576577;-33,24324324;6,576576577;9933,866718;5279,279279;12787,58759;0;19298,6987
366;366;29285,77856;2,592592593;2,611153974;-1,051051051;6,376376376;-8,478478478;13,66366366;725,6881104;336,3363363;724,7247247;164,1641642;1489,489489;19,19630353;15,52552553;22,88288288;8,318318318;29,93993994;-11,2719174;-17,38738739;-5,315315315;-29,27927928;6,576576577;11133,2858;5924,524525;14371,37137;0;21703,7037
367;367;29450,02891;2,312312312;2,290180326;-1,751751752;6,236236236;-9,459459459;14,08408408;706,5671128;316,3163163;700,7007007;152,1521522;1481,481481;19,20392999;15,37537538;22,88288288;8,018018018;30,39039039;-12,78719597;-19,72972973;-5,675675676;-33,6036036;8,018018018;10248,29273;5455,255255;13256,85686;0;19943,94394
368;368;29504,77902;2,312312312;2,367364605;-1,331331331;6,096096096;-8,618618619;13,38338338;735,6273548;340,3403403;732,7327327;164,1641642;1521,521522;19,19947286;15,37537538;22,88288288;8,168168168;30,24024024;-12,25363846;-18,64864865;-6,036036036;-30,9009009;6,396396396;10790,71063;5689,88989;13902,1021;0;20999,7998
369;369;29614,27925;2,452452452;2,515375612;-1,331331331;6,376376376;-8,898898899;13,8038038;698,9554109;316,3163163;692,6926927;152,1521522;1453,453453;19,98831707;16,27627628;23,78378378;8,768768769;31,14114114;-13,33978104;-20,09009009;-6,756756757;-33,06306306;6,216216216;9704,329483;5103,303303;12494,29429;0;18888,08809
370;370;29614,27925;2,312312312;2,319527859;-1,331331331;5,955955956;-8,338338338;13,1031031;681,7972461;308,3083083;676,6766767;148,1481481;1421,421421;20,06855283;16,57657658;23,48348348;9,66966967;30,39039039;-13,06497598;-19,36936937;-6,756756757;-31,62162162;5,495495495;9572,702225;4868,668669;12318,31832;0;18829,42943
371;371;29723,77948;2,592592593;2,647282607;-1,191191191;6,376376376;-8,618618619;13,94394394;742,1334199;332,3323323;736,7367367;156,1561562;1553,553554;19,0072053;15,22522523;22,73273273;8,018018018;30,09009009;-11,86772858;-18,64864865;-4,954954955;-31,98198198;8,198198198;11226,06845;5865,865866;14488,68869;0;21938,33834
372;372;29723,77948;2,312312312;2,303032277;-1,471471471;6,096096096;-8,898898899;13,38338338;686,335571;304,3043043;676,6766767;144,1441441;1437,437437;19,94309508;16,27627628;23,63363363;8,918918919;30,84084084;-13,70003646;-20,27027027;-7,117117117;-33,06306306;5,675675676;9936,232098;5161,961962;12787,58759;0;19416,01602
373;373;29833,27971;2,312312312;2,280350551;-1,471471471;6,096096096;-8,898898899;13,52352352;691,7493362;312,3123123;684,6846847;148,1481481;1441,441441;19,71838176;15,82582583;23,48348348;8,468468468;30,99099099;-13,50131038;-20,27027027;-6,756756757;-33,24324324;6,216216216;10308,76101;5337,937938;13256,85686;0;20237,23724
374;374;29942,77994;2,452452452;2,465821495;-1,051051051;6,096096096;-8,198198198;13,1031031;684,5571537;308,3083083;676,6766767;148,1481481;1433,433433;20,08576358;16,57657658;23,48348348;9,81981982;30,39039039;-12,45418204;-18,46846847;-6,576576577;-30,18018018;5,135135135;9623,949343;4868,668669;12318,31832;0;18946,74675
375;375;29997,53006;2,312312312;2,375320823;-1,751751752;6,376376376;-9,5995996;14,22422422;710,2619727;320,3203203;704,7047047;152,1521522;1481,481481;19,44470544;15,67567568;23,18318318;8,168168168;30,69069069;-12,80791978;-19,90990991;-5,675675676;-33,78378378;8,018018018;10758,08312;5631,231231;13843,44344;0;20999,7998
376;376;30161,7804;2,032032032;2,048215534;-1,891891892;6,096096096;-9,73973974;13,8038038;709,6896255;324,3243243;704,7047047;156,1561562;1473,473473;19,15115454;15,22522523;23,03303303;7,567567568;30,69069069;-13,25595791;-20,45045045;-6,216216216;-34,14414414;7,477477477;10645,14609;5689,88989;13726,12613;0;20647,84785
377;377;30161,7804;7,627627628;7,696348233;5,225225225;10,03003003;0,570570571;14,83483483;627,930181;525,5255255;672,6726727;412,012012;866,0660661;20,39860938;15,67567568;25,04504505;6,486486486;34,23423423;-4,810581969;-11,37137137;1,751751752;-24,11411411;14,3043043;8101,171647;4936,236236;10502,6026;231,3313313;15273,77377
378;378;30271,28063;2,452452452;2,417462334;-1,471471471;6,236236236;-9,039039039;13,94394394;741,5330923;328,3283283;732,7327327;156,1561562;1553,553554;18,7358052;15,07507508;22,43243243;7,717717718;29,63963964;-12,07635074;-19,00900901;-5,315315315;-32,34234234;8,018018018;10857,36336;5748,548549;14019,41942;0;21117,11712
379;379;30380,78086;2,592592593;2,598719761;-1,051051051;6,236236236;-8,058058058;13,38338338;710,4547624;336,3363363;712,7127127;164,1641642;1449,449449;19,51018293;16,27627628;22,73273273;9,81981982;29,18918919;-11,34079032;-17,20720721;-5,315315315;-28,73873874;6,216216216;9632,579866;5337,937938;12494,29429;0;18477,47748
380;380;30380,78086;6,576576577;6,50311073;3,573573574;9,57957958;-2,432432432;15,43543544;706,9846574;479,2792793;756,7567568;306,9069069;1177,177177;20,68325099;16,21621622;25,04504505;7,747747748;33,69369369;-6,048181167;-12,32232232;0,04004004;-24,3043043;12,21221221;9928,181767;5731,431431;12888,18819;-100;18719,61962
