;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
20;X16566.4705817636;16566,47058;-4,03;3,376224884;691,4;271,9652323;18,2;4,621200957;-18,66;7,473227959;10868,2;4385,765378
21;X16639.7311526716;16639,73115;0,184;3,195493575;756,8;279,7032042;18,4;4,594254279;-17,4;6,647246308;13144,8;4690,514016
22;X16749.6220090336;16749,62201;-0,508;3,431141545;711,2;274,4594755;17,2;4,830933557;-11,86;7,578514985;10947,4;4366,575043
23;X16819.8393970806;16819,8394;-0,452;3,623288614;687,4;269,0260374;17,76;4,713860333;-16,2;7,253908135;10831;4518,357946
24;X16925.1654791511;16925,16548;-4,342;3,609681911;596,2;261,9856947;21,42;4,968618527;-15,96;7,129041227;7103;4481,137829
25;X16993.4517336071;16993,45173;-3,884;3,825471344;596,6;264,601543;21,84;4,911881612;-20,28;6,617391434;6855,2;4474,966424
26;X17095.8811152911;17095,88112;0,506;3,345114777;565,2;265,9477786;22,82;4,842150875;-20,72;6,430595408;6559;4307,086231
27;X17164.5203489589;17164,52035;-3,708;2,797898065;477,6;275,2668814;20,28;4,593038035;-29,12;6,187921945;6464,6;4291,564422
28;X17338.2045862878;17338,20459;-1,59;3,321748109;464,8;276,8395358;21,42;4,850190645;-26,54;6,354069085;6061,8;4349,951204
29;X17444.2926665285;17444,29267;6,31;3,731891739;400;283,9798379;19,22;4,60913842;-29,08;6,667980209;5569,8;4326,805917
30;X17516.4909700775;17516,49097;8,02;3,477722106;277,8;257,1549541;20,76;4,665547064;-31,18;6,397753628;3415,2;3883,905296
31;X17839.5801007545;17839,5801;9,278;2,968750515;703,8;300,0042239;24,36;5,11117212;-9,44;6,873443135;7619,4;4430,12486
32;X17919.937964741;17919,93796;6,654;3,460168639;261,8;265,0608096;24,04;5,395360322;-21,42;8,336559749;2669,2;4021,459434
33;X18040.306290983;18040,30629;4,038;3,766586789;503;268,5601202;22,52;5,865500774;-10,86;7,010394207;5930;4151,532791
34;X18120.3272154938;18120,32722;-0,862;4,448455627;361,2;274,0988179;19,82;4,611370912;-21,72;7,378838867;4129,2;4030,223131
