NameCal;Loc.Longitude;Loc.Latitude;Abies;Acer campestre-type;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Chenopodiaceae/Amaranthaceae;Hippophae rhamnoides;Sanguisorba minor-type;Asteraceae;Betula;Campanulaceae;Caprifoliaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Castanea.sativa;Celtis;Chenopodiaceae.Amaranthaceae;Convolvulaceae;Corylus;Cotinus;Crassulaceae;Cyperaceae;Ephedra;Euptelea;Fraxinus;Gentianaceae;Geraniaceae;Hippophae.rhamnoides;Humulus;Juglans;Larix;Leguminosae;Moraceae;Nitraria;Oleaceae;Ostryopsis;Picea;Pinus;Plantaginaceae;Poaceae;Polygala;Polygonum;Populus;Primulaceae;Quercus;Ranunculaceae;Rhamnaceae;Rhus;Rosaceae;Rubiaceae;Rutaceae;Salix;Sanguisorba.minor.type;Scrophulariaceae;Solanaceae;Stellera;Syringa;Tamarix;Thalictrum;Tilia;Tsuga;Ulmus;Urtica;Valerianaceae;Verbenaceae
AlbaSanchez_a17;-5,02261;36,70214;37,66793893;0;0;0;0;0;0;1,790076336;0;0;0;0;0;0;0;0,763358779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,263358779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a18;-5,01423;36,71336;9,63513514;0;0;0;0;0;0;1,189189189;0;0;0;0;0;0;0;0,675675676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,385135135;0;0,851351351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a19;-5,01487;36,71097;38,85483871;0;0;0;0;0;0;3,693548387;0;0;0;0;0;0,322580645;0;0,64516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,241935484;0;0,14516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a20;-5,01623;36,70631;18,29194631;0;0;0;0;0;0;0,17114094;0;0;0;0;0;0;0;2,013422819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a21;-5,0177;36,70521;38,25432526;0;0;0;0;0;0;0,884083045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a23;-4,99694;36,67838;0,933691756;0;0;0,216845878;0;0;0;2,367383513;0;0;0;0;0;0;0;0,716845878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,905017922;0;1,292114695;0;0;0;0;0;0;0;0;0;0,216845878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a25;-4,98794;36,68781;57,63953488;0;0;0;0;0;0;0;0;0;0;0;0;0,996677741;0;0,664451827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,164451827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a26;-5,00165;36,6831;0;0;0;0;0;0;0;1,597902098;0;0;0;0;0;0;0;0,34965035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a27;-5,01865;36,69101;0,815789474;0;0;0;0;0;0;2,131578947;0;0;0;0;0;0,657894737;0;0,657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,486842105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a28;-5,0395;36,69262;11,71122112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,330033003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,800330033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a29;-4,98172;36,7439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a30;-4,98415;36,7425;3,003184713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,74203822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a31;-5,00475;36,72546;0;0;0;0;0;0;0;3,447368421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,684210525;0;6,078947368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a32;-4,9841;36,72651;57,7781457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,149006623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a33;-4,99253;36,72632;53,47350993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,149006623;0;0,493377483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a34;-4,97169;36,73175;8,323529412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,326797386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,52614379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a35;-4,96644;36,72254;22,76283988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,40332326;0;1,010574018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a36;-4,98044;36,71362;2,649606299;0;0;0;0;0;0;0,024934383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,94619422;0;0,024934383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a37;-4,98061;36,71267;2,741895262;0;0;0;0;0;0;0,497506234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,118453865;0;3,988778055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
