X2;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia;Hippophae rhamnoides;Rumex;Apiaceae;Brassicaceae
1734.52596232325;0,009;0;0,161;0,003;0,124;0;0;0;0,003;0;0;0,083;0,009;0;0,019;0;0,377;0;0;0,087;0;0;0;0;0,017;0,015;0,009;0;0,003;0,043;0,003;0,006;0,003;0,003;0;0;0;0;0;0,012;0,003;0,003;0,003;0;0
1829.129193684;0;0;0,149;0,014;0,237;0;0;0,017;0;0;0,003;0,112;0,036;0;0;0;0,308;0;0,024;0,047;0;0;0;0,003;0,003;0,007;0,01;0;0;0,047;0,023;0;0;0;0;0,003;0;0,003;0;0,007;0,028;0;0;0,003;0
1916.126322545;0;0;0,185;0;0,182;0;0;0,003;0;0;0;0,108;0,013;0;0,003;0;0,378;0;0,024;0,034;0;0;0;0;0,003;0,012;0;0;0,007;0,044;0;0;0;0;0;0;0;0;0;0,01;0,003;0;0;0,003;0
2003.123451406;0,007;0;0,186;0,007;0,245;0;0;0,007;0;0;0;0,127;0,003;0;0;0;0,303;0;0,007;0,016;0;0;0;0;0,018;0,01;0,02;0;0;0,039;0;0;0;0,003;0;0;0;0;0;0,003;0,006;0;0,003;0;0
2101.95538463085;0,003;0;0,18;0;0,203;0;0;0,003;0;0;0;0,103;0,01;0;0,042;0;0,296;0,003;0,023;0,042;0;0;0;0;0,021;0,014;0,01;0;0;0,045;0;0;0;0;0;0;0;0,003;0,003;0,003;0,006;0;0,003;0;0
2200.7873178557;0;0;0,146;0,003;0,1;0;0;0,003;0;0;0;0,11;0,007;0;0,003;0;0,356;0;0,007;0,04;0;0;0;0;0,017;0,018;0,023;0;0;0,143;0;0,003;0;0;0;0;0,003;0;0;0,003;0;0;0,007;0,01;0
2302.84909506388;0,007;0;0,178;0;0,056;0;0;0,01;0;0;0;0,053;0;0;0,003;0;0,537;0;0,03;0,007;0;0;0;0;0,038;0,023;0,007;0;0;0,036;0;0;0;0;0;0;0;0;0;0,007;0,013;0;0,003;0;0
2408.14071625538;0,003;0;0,179;0;0,146;0;0;0,006;0;0;0;0,054;0,023;0;0;0;0,487;0;0,015;0,015;0;0;0;0;0,027;0,019;0;0;0;0,033;0,006;0;0;0;0;0;0,003;0;0;0,006;0,006;0,006;0;0;0
2513.43233744687;0,008;0;0,119;0;0,075;0;0;0,005;0;0;0;0,073;0,011;0;0;0;0,539;0;0,032;0,016;0;0;0;0;0,023;0,012;0,005;0;0;0,075;0;0;0;0;0;0;0;0;0;0,005;0,008;0,005;0,005;0;0
2605.23708379837;0,006;0;0,148;0;0,102;0;0;0,006;0;0;0;0,105;0,009;0;0;0;0,449;0;0,022;0,025;0;0;0;0;0,02;0,005;0,006;0;0;0,083;0;0;0,003;0,003;0;0;0;0;0;0,012;0,003;0;0,003;0;0
2697.04183014987;0;0;0,192;0,003;0,13;0;0;0,003;0;0;0;0,11;0,006;0;0;0;0,469;0;0,017;0,003;0;0;0;0;0,02;0;0;0;0;0,034;0;0,003;0;0,003;0;0;0;0;0;0,006;0;0,003;0,003;0;0
2789.92049551888;0;0;0,231;0;0,154;0;0;0;0;0;0;0,113;0,011;0;0;0;0,363;0;0,036;0,011;0;0;0;0;0,017;0,015;0;0;0;0,039;0;0;0;0,003;0;0;0;0;0;0,006;0,003;0,003;0,008;0;0
2883.87307990537;0;0;0,221;0;0,166;0;0;0,003;0;0;0;0,123;0,01;0;0;0;0,386;0;0,006;0,01;0;0;0;0;0,013;0,003;0;0;0;0,055;0;0;0;0,003;0;0;0;0;0;0,003;0,006;0;0;0;0
2977.82566429188;0;0;0,276;0,003;0,123;0;0;0,014;0,003;0;0;0,131;0,013;0;0;0;0,298;0;0;0,047;0;0,003;0;0;0,014;0,007;0;0;0;0,055;0;0,005;0;0;0;0;0;0,011;0;0,003;0,019;0,003;0;0,003;0
3050.73404410267;0;0;0,231;0,003;0,113;0;0;0;0;0;0;0,159;0,006;0;0;0;0,344;0;0,006;0,028;0;0;0;0;0,02;0,017;0,006;0;0;0,063;0;0,003;0;0;0;0;0;0,003;0;0,003;0;0;0;0;0
3123.64242391347;0;0;0,161;0,006;0,12;0;0;0;0;0;0;0,129;0,009;0;0;0;0,423;0;0,022;0,013;0;0;0;0;0,022;0,003;0,003;0;0;0,076;0;0;0;0,003;0;0;0;0;0;0,006;0;0,006;0,003;0,003;0
3196.94165844313;0,006;0;0,172;0,01;0,096;0;0;0,003;0;0;0,003;0,146;0,013;0;0;0;0,436;0;0,01;0,022;0;0;0;0;0,016;0,01;0,01;0;0;0,048;0;0;0;0;0;0;0;0,003;0;0,006;0,003;0;0,003;0;0
3270.63174769163;0,003;0;0,12;0,009;0,095;0;0;0,006;0;0;0;0,077;0,021;0;0;0;0,538;0;0,012;0,003;0;0;0;0;0,018;0,025;0,015;0;0;0,065;0;0;0;0;0;0;0;0;0;0;0,009;0,006;0;0,003;0
3344.32183694013;0,003;0;0,16;0,009;0,115;0;0;0,012;0;0;0;0,065;0,009;0;0,006;0;0,505;0;0,012;0,018;0;0;0;0;0,018;0,019;0;0;0;0,032;0,003;0;0;0;0;0;0;0,006;0;0,015;0,009;0,003;0,003;0;0
3406.58437091743;0;0,003;0,222;0,006;0,098;0;0;0,006;0;0;0;0,065;0,038;0;0,006;0;0,45;0;0,037;0,028;0;0;0;0,003;0,034;0,007;0,003;0;0;0,02;0,003;0;0;0;0;0;0;0,006;0;0,006;0,016;0;0;0,003;0
3468.84690489472;0;0;0,153;0,009;0,061;0;0;0;0;0;0;0,127;0,014;0;0,009;0;0,462;0;0,035;0,009;0;0;0;0;0,02;0,017;0,006;0;0;0,066;0;0;0;0,003;0;0;0;0;0;0,009;0;0;0,003;0,003;0
