;DESE;CUSH;DRYT;PROS;DWAR;SHRU;STEP;CLDE;TAIG;COCO;CLMX;TEDE;COMX;Best;Best.num
195;1.18321595661992;17.9738966315538;24.4800222258228;18.2901243975706;14.322569592944;8.85448034714705;18.6063521635875;2.98081028491168;9.61980012244963;9.61980012244963;9.61980012244963;8.72537293144971;9.61980012244963;DRYT;3
196;1.09544511501033;18.3352652673115;23.264768284858;18.3352652673115;11.9139239479931;7.41948293714424;18.3352652673115;2.48997991959775;9.67564966945333;9.67564966945333;9.67564966945333;8.72696637140282;9.67564966945333;DRYT;3
197;0;19.0943802273241;25.6170607359178;19.0943802273241;12.8678883885053;7.86788838850535;20.0943802273241;2.34520787991171;8.95923079265812;8.95923079265812;8.95923079265812;8.41150823515295;8.95923079265812;DRYT;3
198;0;20.5871013840177;27.7275951917903;20.5871013840177;15.3307944039328;8.36660026534076;21.0343149795177;1.67332005306815;7.4102161247105;7.4102161247105;7.4102161247105;6.25589574802399;7.4102161247105;DRYT;3
199;0;21.5221498076534;27.8962020770814;21.5221498076534;12.2246606765007;7.76456318458175;22.9363633700265;2.0976176963403;9.30814229989974;9.30814229989974;9.30814229989974;7.89392873752664;9.30814229989974;DRYT;3
200;0;18.8101059478819;25.1971886972843;18.8101059478819;12.6730578562694;8.20092190126987;19.5847026171233;2.58843582110896;10.0488383505292;10.0488383505292;10.0488383505292;9.27424168128767;10.0488383505292;DRYT;3
201;0;22.1547840217511;29.6761806817047;22.471011787768;13.897338415083;8.84758594590196;23.8281040748193;2.99950933901659;9.44009754251076;9.44009754251076;9.44009754251076;8.44009754251076;9.44009754251076;DRYT;3
202;0;21.3021482292552;27.0864652410689;21.3021482292552;13.0026007306643;7.95226535068164;21.3021482292552;2.16794833886788;8.92831206854887;8.92831206854887;8.92831206854887;7.97962877049835;8.92831206854887;DRYT;3
203;0.447213595499958;21.893412947654;29.1450368776356;21.893412947654;15.5331258665829;9.66797454713687;22.340626543154;2.86356421265527;8.91683899773904;8.91683899773904;8.91683899773904;7.33570016765485;8.91683899773904;DRYT;3
204;0;23.2410720349844;29.9864408166004;23.2410720349844;16.3614811147616;10.7087264405334;22.3466448439845;4.41057125441738;8.47249576426598;8.47249576426598;8.47249576426598;7.37705064925564;8.47249576426598;DRYT;3
205;0.632455532033676;22.6529959196886;30.894656403621;23.7931713447877;17.4225341055674;10.7742260501295;23.2854514517222;3.1650210982308;8.67555120001237;8.67555120001237;8.67555120001237;7.53537577491323;8.67555120001237;DRYT;3
206;0;21.6151557749104;29.6595442580121;22.6639646230806;16.3107822370935;11.1339105948756;22.1628783324156;3.63724466927911;11.5171831125172;11.5171831125172;11.5171831125172;8.92874729140829;11.5171831125172;DRYT;3
207;1.4142135623731;19.573826091582;28.1525751785588;20.1215486490871;16.2750680032007;11.1272529327072;20.6226349397521;3.59731269390055;11.1071653701625;11.1071653701625;11.1071653701625;9.20979877406146;11.1071653701625;DRYT;3
208;0.547722557505166;21.0063304530416;29.2286865522867;21.5540530105467;17.5103765163866;13.1655276110567;21.0063304530416;4.44208522114663;11.2264512445942;11.2264512445942;11.2264512445942;9.61399969493445;11.2264512445942;DRYT;3
209;0;23.9839258763273;31.9211798095211;24.6910326575139;19.0973465197789;11.9001248336003;23.9839258763273;4.66997768159304;8.7768743524798;8.7768743524798;8.7768743524798;6.90604565909283;8.7768743524798;DRYT;3
210;0;19.1650333622755;28.4336051739668;19.1650333622755;17.7070690363982;10.3178877556337;20.2604784772858;2.14476105895272;7.91537627745412;7.91537627745412;7.91537627745412;5.99183787128699;7.91537627745412;DRYT;3
211;0.707106781186548;22.7490705246149;33.3619782911926;22.7490705246149;17.0449562570541;11.0449562570541;25.0373161358856;3.42740088293364;7.99182649105309;7.99182649105309;7.99182649105309;6.4106876609689;7.99182649105309;DRYT;3
212;0;17.614374702988;26.8765320933436;17.614374702988;17.0768189072992;10.7760253064899;18.8391195743796;2.73861278752583;9.52551765153817;9.52551765153817;9.52551765153817;7.94437882145398;9.52551765153817;DRYT;3
213;0;24.1222398105479;35.0512720511066;24.958899837082;18.5893365576563;14.11966482598;27.0325439724148;4.72253187207916;9.3147563077201;9.3147563077201;9.3147563077201;8.17458088262096;9.3147563077201;DRYT;3
