;A_CLDE;B_CLEG;C_CLMX;D_COEG;E_COMX;F_TEDE;G_WTEM;H_WTEG;I_TRSE;J_TREG;K_TRDE;L_TEXE;M_TEGR;N_DESE;O_CUSH;P_DRYT;Q_PROS;R_DWAR;S_SHRU;Best;Best.num
4173;2.13587422265451;2.13587422265451;2.13587422265451;2.13587422265451;2.13587422265451;2.13587422265451;2.13587422265451;2.13587422265451;0;0;4.32287040402555;7.22586570991221;16.1363354043982;6.60306822949236;4.32287040402555;13.2333400985116;4.32287040402555;5.21039677088031;8.91046969448601;M_TEGR;13
4174;3.64255900427091;3.64255900427091;3.64255900427091;3.64255900427091;3.64255900427091;3.64255900427091;2.20142975052578;2.20142975052578;0;0;3.88545300190338;6.02163912183769;15.8117970600172;6.31321362403337;3.88545300190338;13.6756109400829;5.32658225564851;7.05425968782557;11.2312871919246;M_TEGR;13
4175;4.73771891738748;5.28194161445183;5.28194161445183;5.28194161445183;5.28194161445183;4.73771891738748;2.87200411603117;2.87200411603117;0;0;3.61040605057104;6.51067531211582;10.9226016879844;2.87366695756485;6.51067531211582;10.9226016879844;8.37639011347213;3.40397421965999;6.27764117722484;M_TEGR;13
4176;4.23629896215007;4.50093564328101;4.50093564328101;4.50093564328101;4.50093564328101;4.23629896215007;2.99701262760102;2.99701262760102;0;0;3.98347564069369;6.87764590140746;13.1884674494443;8.51419611029845;3.98347564069369;10.2942971887305;5.22276197524273;1.9300820330012;7.55010788258588;M_TEGR;13
4177;8.01646658529981;8.01646658529981;8.01646658529981;8.01646658529981;8.01646658529981;8.01646658529981;5.39887634693171;2.44100348658088;0;0;3.57500103636349;5.18217369448084;8.76813082587312;4.41420786274162;3.57500103636349;7.16095816775577;9.15046413508242;6.35438502548695;9.16142023011122;S_SHRU;19
4178;4.51237020401776;6.24856633262766;6.24856633262766;6.24856633262766;6.24856633262766;4.51237020401776;2.60099514061445;2.60099514061445;0;0;4.70995818134301;8.90571393567381;14.5035018112837;6.8329396849659;4.70995818134301;10.3077460569529;6.62133324474632;4.87197900837805;7.50916293901315;M_TEGR;13
4179;2.53983940604519;2.84792408758584;2.84792408758584;2.84792408758584;2.84792408758584;2.53983940604519;2.53983940604519;2.53983940604519;0;0;4.48996838741655;5.28730711970039;11.4949688788215;3.81840233820146;4.48996838741655;10.6976301465377;4.48996838741655;3.18659815320351;6.20766175912113;M_TEGR;13
4180;4.75178711779854;6.39819448194961;6.39819448194961;6.39819448194961;6.39819448194961;4.75178711779854;3.57818297542343;3.22352507264951;0;0;3.5730355763692;6.14775713825193;9.87028966947554;3.38693374971052;4.82381755503825;8.54635008626186;6.35207960018728;3.1878004098758;5.25079457637264;M_TEGR;13
4181;8.992668874387;10.0998303133831;10.0998303133831;10.0998303133831;10.0998303133831;8.992668874387;5.58726519934346;4.7941496604716;0;0;3.30932212091842;3.69032250149566;6.90068877499157;3.59136665407314;3.30932212091842;6.51968839441433;7.50784133483381;4.19851921391539;7.4088854874113;B_CLEG;2
4182;4.18764870271973;4.18764870271973;4.18764870271973;4.18764870271973;4.18764870271973;4.18764870271973;2.22153051273216;2.22153051273216;0;0;5.85564174535977;9.14317295255217;11.6301101759255;4.41804962015403;7.21206055577149;9.69899777914485;9.17817874575906;1.96611818998757;4.45305541336093;M_TEGR;13
4183;6.1563412768647;6.1563412768647;6.1563412768647;6.1563412768647;6.1563412768647;6.1563412768647;3.96970392541723;3.51559525009821;1.78109976812081;1.78109976812081;7.23325426886636;9.81456420493035;15.8207313014045;5.7522965927669;7.99424573773841;14.0004128342126;12.4160915326257;6.49603476578653;10.4280128913615;M_TEGR;13
4184;5.92635833535048;6.30006791376666;6.30006791376666;6.30006791376666;6.30006791376666;5.92635833535048;2.49705404293197;2.00079941373442;0;0;6.55719465244094;8.81685694805892;14.1057646913856;4.3029006063399;7.30958954941991;12.5984972927466;11.235148471036;6.41883345724185;9.21446666494274;M_TEGR;13
4185;4.80726742246668;5.12064480518598;5.12064480518598;5.12064480518598;5.12064480518598;4.80726742246668;1.87933612972773;1.87933612972773;0;0;7.0603791073851;8.10690400293226;13.1102392689838;4.67406165345879;7.0603791073851;12.0637143734366;9.98831040012405;4.30372980087886;7.93126655879049;M_TEGR;13
4186;7.01937985219313;8.06413433818494;8.06413433818494;8.06413433818494;8.06413433818494;7.01937985219313;3.90698400344699;3.73233012000891;0.97922721673777;0.97922721673777;6.46890888055034;7.23151697932462;10.3730929007792;2.86801514790643;6.39867008343078;9.54024600488534;10.6649470323528;5.37268461836395;7.40785287037655;Q_PROS;17
4187;5.39488975985787;6.10317603602027;6.10317603602027;6.51278515823314;6.51278515823314;5.80449888207074;3.68121198553509;2.45238461889647;0;0;3.76711453502545;7.47772905867264;12.3078647977268;4.35808623335667;5.71267583396052;10.5428115730147;8.65518097492192;4.76999874915815;7.77264088001558;M_TEGR;13
4188;5.56580767333497;6.9764670365407;6.9764670365407;6.9764670365407;6.9764670365407;5.56580767333497;3.80102501504528;3.80102501504528;0;0;2.77358451899343;4.43374136916045;12.028247434301;4.3935422574877;3.02308200595472;10.6175880710953;4.7878646642444;6.37640582914829;9.35928872343026;M_TEGR;13
4189;4.73774593662429;5.66618934793163;5.66618934793163;5.66618934793163;5.66618934793163;4.73774593662429;4.73774593662429;4.73774593662429;0;0;2.89635786618298;5.03355567045722;9.35962970011505;4.61518940077564;3.27735824676021;7.60343227641805;3.27735824676021;1.4670820525792;4.32607402965784;M_TEGR;13
4190;6.88907968121764;7.60210377688342;7.60210377688342;7.60210377688342;7.60210377688342;6.88907968121764;3.79327064156419;2.66867921264434;0;0;3.4428100702769;4.4064341821587;9.67728588641801;4.75492330608951;3.4428100702769;8.7136617745362;7.6632105388502;5.6999529786249;9.49125217283261;M_TEGR;13
4191;4.25263140994497;4.7985577831859;4.7985577831859;4.7985577831859;4.7985577831859;4.25263140994497;2.8763658781525;2.8763658781525;0;0;3.89278503387999;7.29767986044952;13.075815704823;7.39886665045613;3.89278503387999;9.67092087825348;5.26905056567245;3.16042955227937;7.15440137616597;M_TEGR;13
4192;3.55474697207832;5.7565946505066;5.7565946505066;5.7565946505066;5.7565946505066;3.55474697207832;3.55474697207832;3.55474697207832;0;0;2.96370578296834;5.65187795912211;12.103950875336;5.83697445595304;3.74472429043151;10.1967972066454;3.74472429043151;2.52225212895143;6.45207291621387;M_TEGR;13
