Longitude;Latitude
-5.04162;36.66366
-5.05957;36.66343
-5.05044;36.66917
-5.01804;36.61151
-5.03367;36.66655
-5.02554;36.68877
-5.03423;36.6904
-5.03876;36.69814
-4.96761;36.70322
-4.96582;36.70322
-5.04177;36.64856
-5.03144;36.64856
-5.019;36.69548
-5.0167;36.69592
-5.01459;36.69353
-5.01851;36.70011
-5.02261;36.70214
-5.01423;36.71336
-5.01487;36.71097
-5.01623;36.70631
-5.0177;36.70521
-4.99694;36.67838
-4.98794;36.68781
-5.00165;36.6831
-5.01865;36.69101
-5.0395;36.69262
-4.98172;36.7439
-4.98415;36.7425
-5.00475;36.72546
-4.9841;36.72651
-4.99253;36.72632
-4.97169;36.73175
-4.96644;36.72254
-4.98044;36.71362
-4.98061;36.71267
-5.00146;36.71493
-4.99042;36.71856
-4.97122;36.71158
-4.97412;36.70599
-4.97777;36.70187
-4.98389;36.70257
-4.988;36.70203
-4.909311;36.619483
-5.43012;35.24113
-5.429297;35.241631
-5.103634;35.259856
-5.216593;35.184338
-4.50827;34.904032
-4.617827;34.909996
-4.653223;34.896955
-4.536485;34.907986
-4.611571;34.849704
-4.532196;34.840495
-4.761091;34.976196
-4.820689;34.992855
-4.871389;34.996671
-5.148185;35.142129
-5.152082;35.141913
-5.151044;35.139146
-5.303285;35.347574
-5.294552;35.346624
-5.292949;35.345739
-4.435739;34.819963
-4.46209;34.812419
-4.298583;34.848
-4.321148;34.859132
-4.328126;34.888293
-5.207276;33.424301
-5.240169;33.39468
-5.468365;32.956078
-5.337213;33.1899
-5.339239;33.172825
-5.346624;33.136528
-5.331323;32.897139
-5.269515;32.944753
-5.242167;32.947561
-5.370925;32.926501
-5.435338;32.943043
-5.496605;32.936991
-5.477006;32.942474
-5.36791;32.937865
-5.180248;32.849844
-5.237251;32.869999
-5.257908;32.885662
-4.918195;35.013695
-4.902107;35.016676
-5.072076;35.133767
-5.057928;35.118435
-5.118979;35.135797
-5.112933;35.127825
-5.102893;35.121953
-5.146365;35.006211
-4.195262;34.043501
-4.176906;34.084397
-4.178092;34.077415
-4.041782;33.85286
-4.065878;33.79968
-4.159211;33.653631
-4.715923;33.382891
-4.661729;33.404569
-4.656264;33.404563
-4.958171;33.224912
-5.315588;32.464617
-5.432414;32.417622
-4.989956;32.531557
-4.972351;32.534187
-5.306836;32.28702
-5.410342;32.3011
-5.061569;32.976551
-5.071464;33.006335
-5.180223;33.287499
-5.19053;33.267471
-5.128402;33.377907
-5.139706;33.36205
-5.184415;33.407958
-5.208466;33.401479
-5.224375;33.381264
-5.231046;33.352279
-5.236495;33.300496
-5.239618;33.253437
-5.29099;33.238472
-5.238681;33.159732
-5.233222;33.213928
-5.201924;33.232016
-5.351986;32.977369
-5.345176;32.977631
-5.24609;33.098369
-5.235244;33.032387
-5.219707;33.03495
-5.010915;33.552338
60.07;59.5000202
60.0708;59.49486
59.56994;57.49276
59.5671;57.49424
60.41132;57.15065
60.54;64.23
61.04;64.13
59.55822;60.00015
60.032087;61.016751
63.35305;60.53937
64.02;60.55
64;60
64.02649;60.55204
63.35539;60.5567
76.4512;61.0227
79.3429;57.0444
25.34138889;42.74111111
25.3275;42.75555556
25.3275;42.76
25.34083333;42.72055556
25.33722222;42.72444444
25.34138889;42.74111111
25.3275;42.75555556
25.3275;42.76
25.34083333;42.72055556
25.33722222;42.72444444
25.34138889;42.74111111
25.3275;42.75555556
25.3275;42.76
25.34083333;42.72055556
25.33722222;42.72444444
25.3275;42.75555556
25.3275;42.76
25.32138;42.735
25.32138;42.735
25.32138;42.735
25.3258;42.746
25.3258;42.746
25.3258;42.746
25.3258;42.746
25.325;42.738
25.325;42.738
25.325;42.738
25.325;42.738
25.323;42.7244
25.323;42.7244
25.323;42.7244
25.3202;42.717
25.3202;42.717
25.3202;42.717
30.401436;37.591179
30.380378;37.591353
30.41412;37.57448
30.407665;37.566355
30.40911;37.56973
30.393515;37.589715
30.40608;37.585288
30.39121;37.589223
30.403755;37.58995
30.297804;37.550905
30.300453;37.546514
30.290816;37.538868
30.284311;37.5388
30.368871;37.568253
30.622577;37.566754
30.385371;37.547705
30.47396667;37.66001667
30.5904;37.57988333
30.4737;37.64191667
30.51635;37.671017
30.49736667;37.63671667
30.4964;37.64573333
30.52878333;37.67591667
30.58115;37.58416667
30.40558333;37.56308333
30.4046;37.5628
30.39715;37.57375
30.5527;37.628
30.50831667;37.66738333
30.50853333;37.66811667
30.51231667;37.6785
30.57888333;37.58068333
30.59471667;37.56091667
30.51373333;37.68508333
30.51741667;37.68305
30.52795;37.67551667
30.4995;37.63625
30.72546667;37.62201667
30.51546667;37.67526667
30.55915;37.62145
30.56026667;37.56605
30.57618333;37.551
30.57835;37.54915
30.5998;37.55323333
30.65663333;37.62728333
30.50326667;37.63476667
30.65485;37.63373333
30.6594;37.6289
30.65576667;37.62943333
30.65711667;37.62881667
30.66003333;37.63758333
30.49423333;37.67836667
30.55616667;37.58613333
30.55986667;37.58135
30.54671667;37.59021667
30.39943333;37.58123333
30.40401667;37.58548333
30.40216667;37.58045
30.4037;37.58188333
30.34693333;37.61971667
30.33643333;37.61971667
30.51018333;37.65943333
30.5306;37.6806
30.50373333;37.67705
30.52738333;37.67708333
30.57835;37.55293333
30.57936667;37.5498
30.50788333;37.66731667
30.58413333;37.55566667
30.49498333;37.63465
30.4954;37.63301667
30.49288333;37.65836667
30.4759;37.6618
30.55078333;37.63006667
30.55943333;37.62411667
30.56118333;37.61925
30.59718333;37.56245
30.594;37.6279
30.56458333;37.6217
30.56413333;37.6205
27.11;44.08
27.11;44.08
27.11;44.08
27.11;44.08
27.11;44.08
27.11;44.08
27.11;44.08
27.11;44.08
26.9;44.11
26.9;44.11
26.9;44.11
26.9;44.11
26.9;44.11
24.3333;41.983
