;DTBW;CCF;CCF;ET;CCF;TEDE;WF;WF;I_TRSE;J_TREG;K_TRDE;TEXE;TEGR;DESE;Tundra;Tundra;Tundra;Tundra;Tundra;Best;Best.num
1;5.37773959335917;7.70312291659859;7.70312291659859;12.9601330397269;14.1228247013466;11.7974413781072;8.54981591853419;2.25982597427245;1.8153216486721;1.8153216486721;2.46795163572448;4.25784093397731;9.20402500341285;3.78349240781583;3.12058162277687;8.06676569221241;7.1589271914517;5.20103723029453;8.98452963811036;CCF;5
2;6.40663457982075;7.73807263696047;7.73807263696047;11.7607356852408;12.5584596976662;11.2270216405264;6.70209074496686;1.61667447248975;0;0;0;2.01133152414017;5.78925784687331;3.77792632273315;0;3.77792632273315;4.52493089555956;4.52493089555956;8.30285721829271;CCF;5
3;6.52638836061056;8.2207279074547;8.2207279074547;12.2179179204513;12.2179179204513;10.5235783736072;6.02666933560683;1.76577958703797;0;0;0;1.99859500649832;5.60180830853859;3.60321330204028;0;3.60321330204028;4.49690903800036;4.49690903800036;8.10012234004064;ET;4
4;6.72645178043471;8.43205750861458;8.43205750861458;12.4547205568949;12.4547205568949;10.749114828715;6.22418393315547;1.93649167310371;0;0;0;2.01133152414017;5.47543313927792;3.46410161513775;0;3.46410161513775;4.52493089555956;4.52493089555956;7.98903251069732;ET;4
5;6.72503966517503;8.71110220195478;8.71110220195478;13.7273569620204;13.7273569620204;11.7412944252407;6.7951024746602;2.04124144823683;0;0;0;1.98606253677975;5.06826953826423;3.08220700148449;0;3.08220700148449;4.6837982169382;4.6837982169382;7.76600521842269;ET;4
6;6.63081179790997;8.81327781139105;8.81327781139105;14.1507305849807;14.1507305849807;11.9682645714996;6.93590249407861;2.083771880509;0;0;0;2.18246601348108;4.99690247572357;2.81443646224249;0;2.81443646224249;4.80323328662839;4.80323328662839;7.61766974887088;ET;4
7;6.07488692752487;8.09655851311932;8.09655851311932;14.1567751820481;14.1567751820481;12.1351035964536;6.81840123220083;1.86099509671573;0.646089157934104;0.646089157934104;0.646089157934104;3.8231231974797;6.43835731701852;4.41668573142407;2.31072490790228;4.9259590274411;6.76591622836638;4.4551913204641;7.07042544000292;ET;4
8;6.07283073781916;7.92257899096066;7.92257899096066;13.0337571829209;13.0337571829209;11.1840089297794;6.34157084531774;1.7006342493317;0;0;0;3.99981744227911;7.20673398313264;3.90001985205613;2.59483572183975;5.80175226269328;7.21536898882767;4.62053326698792;7.82744980784145;ET;4
9;5.59463728760668;7.20484954069631;7.20484954069631;10.3581966113054;10.3581966113054;8.74798435821575;4.45993683884905;1.05273329955882;0;0;0;1.24974225342668;5.11806456419656;3.86832231076988;0;3.86832231076988;3.63418495561099;3.63418495561099;7.50250726638087;ET;4
10;4.17342492444754;5.37415287032038;5.37415287032038;8.81434480070669;8.81434480070669;7.61361685483385;3.97364285635805;0;0;0;0;1.20072794587284;4.95080885166674;3.7500809057939;0;3.7500809057939;3.28744040809661;3.28744040809661;7.03752131389051;ET;4
11;3.96983360015024;5.18646748098704;5.18646748098704;7.45825604169858;7.45825604169858;6.24162216086178;2.80969034467677;0;0;0;0.700070710714282;2.10021213214285;5.61749618379406;3.51728405165122;2.10021213214285;5.61749618379406;3.96042609833061;1.86021396618776;5.37749801783898;ET;4
12;4.5325882792226;6.17316421467941;6.17316421467941;8.11102878683093;8.11102878683093;6.47045285137412;2.59472370707107;0.399467708331975;0;0;0;0;3.18406939308803;3.18406939308803;0;3.18406939308803;1.93786457215152;1.93786457215152;5.12193396523956;ET;4
13;4.48956754181633;6.38208773985915;6.38208773985915;9.97011098069619;9.97011098069619;8.07759078265338;4.03983381446141;0.225876957656154;0;0;0;0.721393235343942;3.6682005755004;2.94680734015646;0.721393235343942;3.6682005755004;3.33530666873069;2.61391343338675;5.56072077354321;ET;4
14;3.61971808207814;5.6952161668761;5.6952161668761;9.80881299805511;9.80881299805511;7.73331491325715;3.43423058238533;0;0.679366248793683;0.679366248793683;0.679366248793683;1.35873249758737;4.71994656085524;2.68184781447419;1.35873249758737;4.71994656085524;3.58231874366123;2.90295249486755;5.58480030934174;ET;4
15;4.04573756035833;6.20319884622188;6.20319884622188;8.36066013208543;8.36066013208543;6.20319884622188;2.43552530726869;0.278064021405143;0;0;0;0.728647925956013;3.32026803700624;2.59162011105023;0.728647925956013;3.32026803700624;2.33886017904565;1.61021225308964;4.20183236413986;ET;4
16;4.29303426424315;6.73262703763792;6.73262703763792;8.94087161195482;8.94087161195482;6.50127883856004;2.64203259858681;0.433788024269919;0;0;0;0;2.43959277339477;2.43959277339477;0;2.43959277339477;1.65100166565634;1.65100166565634;4.09059443905111;ET;4
17;4.45875338135745;6.9420307923609;6.9420307923609;9.97222301564678;9.97222301564678;7.48894560464333;2.77550256819858;0.52704629777658;0.781735952863881;0.781735952863881;0.781735952863881;0;1.98606253677975;1.98606253677975;0;1.98606253677975;1.68325081315887;1.68325081315887;3.66931334993862;ET;4
18;4.03442434800966;6.47401712140444;6.47401712140444;9.44072646088844;9.44072646088844;7.00113368749367;2.38342268235333;0.433788024269919;0.75846476516711;0.75846476516711;0.75846476516711;0;1.65100166565634;1.65100166565634;0;1.65100166565634;1.65100166565634;1.65100166565634;3.30200333131267;ET;4
19;3.85778798518259;6.25570374683895;6.25570374683895;10.526723240497;10.526723240497;8.12880747884064;2.97358290542015;0.322748586364062;1.62018517460197;1.62018517460197;1.62018517460197;0;1.25830572596647;1.25830572596647;0;1.25830572596647;1.62018517460197;1.62018517460197;2.87849090056843;ET;4
20;3.04015587324591;5.34780461168077;5.34780461168077;9.71286291468836;9.71286291468836;7.4052141762535;2.52563037563452;0;1.83942792737307;1.83942792737307;1.83942792737307;1.88693039413428;3.08765834000712;1.88693039413428;1.20072794587284;2.40145589174567;2.40145589174567;1.20072794587284;2.40145589174567;ET;4
21;3.60063632373974;5.80888089805664;5.80888089805664;8.51698032130715;8.51698032130715;6.30873574699026;1.94963465808341;0;0.75846476516711;0.75846476516711;0.75846476516711;0;1.28473250134026;1.28473250134026;0;1.28473250134026;1.65100166565634;1.65100166565634;2.9357341669966;ET;4
22;4.13312057089062;6.07098514304214;6.07098514304214;8.00884971519366;8.00884971519366;6.07098514304214;1.93786457215152;0;0;0;0;0;1.27579763285562;1.27579763285562;0;1.27579763285562;2.1952559987391;2.1952559987391;3.47105363159472;ET;4
23;4.41807488075767;6.26782313389917;6.26782313389917;10.7124071088804;10.7124071088804;8.86265885573892;4.6929207534817;0;0;0;0;1.90173241063716;3.11036151007172;1.90173241063716;0;1.20862909943456;3.52861894855029;3.52861894855029;4.73724804798485;ET;4
24;4.5940608177548;6.52033346200846;6.52033346200846;8.44660610626213;8.44660610626213;6.52033346200846;2.41159480427372;0;0;0;0;0;1.63030509414649;1.63030509414649;0;1.63030509414649;2.18246601348108;2.18246601348108;3.81277110762757;ET;4
25;4.80323328662839;6.72950593088206;6.72950593088206;8.65577857513572;8.65577857513572;6.72950593088206;2.62076727314731;0;0;0;0;0;1.92627264425366;1.92627264425366;0;1.92627264425366;2.18246601348108;2.18246601348108;4.10873865773474;ET;4
26;4.66034371387852;6.45023301213135;6.45023301213135;12.0747364973419;12.0747364973419;10.2848471990891;5.30011722893213;0;1.16269166161971;1.16269166161971;1.16269166161971;2.67192252533805;4.46181182359087;1.78988929825283;2.67192252533805;4.46181182359087;5.86676319724219;3.19484067190414;4.98472997015697;ET;4
27;4.69653034762681;6.28722296406784;6.28722296406784;11.9582851484473;11.9582851484473;10.3675925320062;5.38699638900708;0;0.714213553497832;0.714213553497832;0.714213553497832;1.2329647196899;2.82365733613093;1.59069261644103;0;1.59069261644103;3.36615601444056;3.36615601444056;4.95684863088159;ET;4
28;4.36493202696216;5.63192184539008;5.63192184539008;9.67382174381029;9.67382174381029;8.40683192538237;3.81277110762757;0;0;0;0;0;1.92627264425366;1.92627264425366;0;1.92627264425366;2.18246601348108;2.18246601348108;4.10873865773474;ET;4
29;4.39342428408877;5.56353491988352;5.56353491988352;13.0698182042548;13.0698182042548;11.89970756846;5.69780130910749;0.551124577568448;1.51780706942615;1.51780706942615;1.51780706942615;0.659226364764032;3.11798539108217;1.7995326615541;0;2.45875902631814;2.70199340973025;3.36121977449428;5.16075243604838;ET;4
30;4.56539186645141;5.72808352807112;5.72808352807112;13.751378476843;13.751378476843;12.5886868152232;5.92214654295433;0.52704629777658;1.78988929825283;1.78988929825283;1.78988929825283;0.652629987052388;2.46795163572448;1.16269166161971;0;1.8153216486721;2.90108625747439;3.55371624452677;4.71640790614648;ET;4
31;4.8157810172808;6.01650896315363;6.01650896315363;12.6383849295458;12.6383849295458;11.437656983673;4.5684964824301;0.642356092833251;2.08671246222377;2.08671246222377;2.08671246222377;0;0.686202448261444;0.686202448261444;0;0.686202448261444;2.08671246222377;2.08671246222377;2.77291491048522;ET;4
