X2;Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae subf. Cichorioideae;Asteraceae subf. Asteroideae;Betula;Boraginaceae;Botrychium;Brassicaceae;Buxus;Calluna vulgaris;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Cedrus;Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Euphorbia;Fagaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Juniperus;Lamiaceae;Olea europaea;Picea;Pinus;Plantago;Plantago lanceolata-type;Poaceae;Polygonum;Quercus robur-type;Quercus ilex-type;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Thymelaeaceae;Tilia;Ulmus;Urticaceae
35853.9397226075;0;0;0;0,018181818;0;0,390909091;0;0,027272727;0,009090909;0;0;0;0;0;0,009090909;0;0,027272727;0;0;0,036363636;0;0,009090909;0;0,027272727;0;0;0;0;0;0;0;0,018181818;0;0,018181818;0;0;0;0,027272727;0,009090909;0;0,272727273;0,009090909;0;0;0,009090909;0,009090909;0;0,045454545;0;0;0,009090909;0,018181818;0;0;0;0
36013.9814522779;0;0;0;0;0;0,43877551;0;0,030612245;0;0;0;0;0;0;0;0;0,040816327;0;0;0,051020408;0;0;0;0,020408163;0;0;0;0;0;0;0;0;0;0,020408163;0;0;0;0,010204082;0;0;0,326530612;0;0;0;0;0;0,010204082;0,051020408;0;0;0;0;0;0;0;0
36174.2274522508;0;0;0;0;0;0,456521739;0;0,02173913;0;0;0;0;0;0;0;0;0,043478261;0;0;0,054347826;0;0;0;0,010869565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,358695652;0;0;0;0;0;0;0,054347826;0;0;0;0;0;0;0;0
36333.581975569;0;0;0;0;0;0,456521739;0;0;0;0;0;0;0;0;0;0;0,043478261;0;0;0,054347826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,380434783;0;0;0;0;0;0;0,065217391;0;0;0;0;0;0;0;0
36508.8996232477;0;0;0;0;0;0,436170213;0;0;0;0;0;0;0;0;0;0;0,031914894;0;0;0,063829787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,382978723;0;0;0;0;0;0;0,074468085;0;0;0;0,010638298;0;0;0;0
36684.3791805303;0;0;0;0;0;0,408163265;0,010204082;0;0;0;0;0;0;0;0;0;0,030612245;0;0;0,06122449;0;0;0;0;0;0;0;0;0;0;0;0,010204082;0;0;0;0;0;0;0;0;0,367346939;0;0;0;0;0;0,010204082;0,081632653;0;0;0;0,020408163;0;0;0;0
36841.5628297679;0;0;0;0,010309278;0;0,298969072;0,010309278;0,020618557;0;0;0,010309278;0,010309278;0;0;0;0;0,030927835;0;0;0,06185567;0;0;0;0;0;0;0;0;0;0;0;0,020618557;0;0;0;0;0;0;0,010309278;0;0,340206186;0;0;0;0,010309278;0,010309278;0,020618557;0,082474227;0;0,010309278;0,010309278;0,030927835;0;0;0;0
37018.892969098;0;0;0;0;0,014925373;0,253731343;0;0;0;0;0,014925373;0;0;0;0;0;0,029850746;0;0;0,059701493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,029850746;0,014925373;0;0,432835821;0;0;0;0;0,014925373;0,029850746;0,074626866;0;0;0,014925373;0,014925373;0;0;0;0
37185.3232947075;0;0;0;0;0,009803922;0,147058824;0,019607843;0,009803922;0,009803922;0;0;0;0;0;0;0;0;0,009803922;0;0,029411765;0;0,019607843;0;0;0;0;0;0;0;0;0;0,009803922;0;0;0;0;0;0,441176471;0;0;0,284313725;0;0;0;0;0;0,009803922;0;0;0;0;0;0;0;0;0
37367.517886866;0;0;0;0;0;0,141509434;0,009433962;0,028301887;0,028301887;0;0;0;0;0;0;0;0,009433962;0;0;0,018867925;0;0,028301887;0;0,018867925;0;0;0,009433962;0;0;0;0;0,028301887;0;0;0;0;0;0,377358491;0,009433962;0;0,273584906;0;0;0;0,009433962;0;0;0,009433962;0;0;0;0;0;0;0;0
37529.4675131459;0;0;0;0;0;0,191011236;0;0,011235955;0,02247191;0;0;0;0;0;0;0;0;0;0;0;0;0,033707865;0;0;0;0;0;0;0;0;0;0,033707865;0;0;0;0;0;0,303370787;0,011235955;0;0,382022472;0;0;0;0;0;0;0,011235955;0;0;0;0;0;0;0;0
37705.3250373358;0;0;0;0;0;0,21686747;0;0;0;0;0;0;0;0;0;0;0,012048193;0;0;0;0;0,024096386;0;0;0;0;0;0;0;0;0;0,036144578;0;0;0;0;0;0,204819277;0;0;0,457831325;0;0;0;0;0;0,012048193;0;0;0;0;0,036144578;0;0;0;0
37846.26487915;0;0;0;0;0;0,177570093;0;0,009345794;0,018691589;0;0;0;0;0,009345794;0;0;0,028037383;0;0;0,009345794;0;0,018691589;0;0,018691589;0;0;0,009345794;0;0;0;0;0,018691589;0;0,009345794;0;0;0;0,112149533;0,028037383;0;0,355140187;0;0;0;0,009345794;0;0,018691589;0,074766355;0;0,009345794;0;0,065420561;0;0;0;0
38047.5078488189;0;0;0;0;0;0,206185567;0;0;0;0;0;0;0;0;0;0;0,041237113;0;0;0;0;0,030927835;0;0;0;0;0;0;0;0;0;0,020618557;0;0;0;0;0;0,103092784;0,041237113;0;0,391752577;0;0;0;0;0;0,030927835;0,072164948;0;0;0;0,06185567;0;0;0;0
38210.5000814557;0;0;0;0;0;0,22;0,01;0,01;0,02;0;0;0;0;0;0;0;0,06;0,01;0;0,01;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0,04;0;0,38;0;0;0;0;0;0,04;0,05;0;0;0;0,04;0;0;0;0
38391.4085245937;0;0;0;0;0;0,189655172;0,00862069;0,034482759;0,034482759;0;0;0,017241379;0;0;0;0;0,060344828;0;0,017241379;0,025862069;0;0,043103448;0;0,00862069;0;0;0;0;0;0;0;0,00862069;0;0,00862069;0;0;0;0,068965517;0,034482759;0;0,327586207;0;0;0;0;0,00862069;0,034482759;0,043103448;0;0;0;0,025862069;0;0;0;0
38554.0718007336;0;0;0;0;0;0,205882353;0;0,039215686;0,019607843;0;0,009803922;0;0;0;0;0;0,058823529;0;0;0,029411765;0;0,049019608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,098039216;0,039215686;0;0,362745098;0;0;0;0;0;0,009803922;0,049019608;0;0;0;0,029411765;0;0;0;0
38708.3853011347;0;0;0;0,01;0;0,21;0,01;0,03;0;0;0;0;0;0;0;0;0,05;0;0;0,02;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,11;0,04;0;0,36;0;0;0;0;0;0;0,06;0;0;0;0,03;0;0;0;0
38865.6454184499;0;0;0;0,017241379;0;0,189655172;0,00862069;0,025862069;0,017241379;0;0;0;0;0,00862069;0,00862069;0;0,034482759;0;0;0,017241379;0;0,060344828;0;0,017241379;0;0;0,00862069;0;0;0;0;0,017241379;0;0,00862069;0,017241379;0;0;0,094827586;0,034482759;0;0,310344828;0;0;0;0,00862069;0,00862069;0;0,060344828;0;0;0;0,025862069;0;0;0;0
39042.2213606732;0;0;0;0,028846154;0,009615385;0,230769231;0;0,028846154;0;0;0;0;0;0;0,009615385;0;0,028846154;0;0;0,019230769;0;0,048076923;0;0;0;0;0;0;0;0;0;0;0;0;0,009615385;0;0;0,105769231;0,038461538;0;0,346153846;0;0;0;0;0;0;0,067307692;0;0;0;0,028846154;0;0;0;0
39194.1459266774;0;0;0;0,027522936;0,018348624;0,23853211;0,018348624;0,027522936;0;0;0;0;0;0;0;0;0,027522936;0;0;0,036697248;0;0,036697248;0;0;0;0;0;0;0;0;0;0;0;0;0,009174312;0;0;0,100917431;0,036697248;0;0,321100917;0;0;0;0;0;0;0,064220183;0;0;0;0,036697248;0;0;0;0
39352.9813329788;0;0;0;0,025862069;0;0,224137931;0,017241379;0,025862069;0,017241379;0;0;0,00862069;0;0,00862069;0;0;0,025862069;0;0;0,043103448;0;0,025862069;0;0,00862069;0;0;0;0;0,00862069;0;0;0;0;0,00862069;0;0;0;0,112068966;0,034482759;0;0,293103448;0;0;0;0,00862069;0;0,00862069;0,051724138;0;0,00862069;0;0,034482759;0;0;0;0
39525.1368801753;0;0;0;0,02;0;0,24;0;0,01;0;0;0;0;0;0;0;0;0,03;0;0;0,04;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0,03;0;0,34;0;0;0;0;0;0;0,06;0;0;0;0,04;0;0;0;0
39698.9304523469;0;0;0;0;0;0,258064516;0;0;0;0;0;0;0;0;0;0;0,032258065;0;0;0,043010753;0;0,043010753;0;0;0;0;0;0;0;0;0;0;0;0;0,010752688;0;0;0,182795699;0;0;0,344086022;0;0;0;0;0;0;0,053763441;0;0;0;0,032258065;0;0;0;0
39834.2193992903;0;0;0;0,008849558;0;0,221238938;0;0,017699115;0,017699115;0,017699115;0;0,008849558;0;0;0;0;0,026548673;0;0;0,03539823;0;0,03539823;0;0,017699115;0;0;0;0;0,008849558;0;0;0,017699115;0;0,008849558;0,017699115;0;0;0,14159292;0;0;0,292035398;0,008849558;0;0;0,008849558;0,017699115;0;0,044247788;0;0,008849558;0;0,017699115;0;0;0;0
40021.6066581613;0;0;0;0;0,010204082;0,255102041;0;0;0;0,010204082;0;0;0;0;0;0;0,020408163;0;0;0,030612245;0;0,040816327;0;0;0;0;0;0;0;0;0;0;0;0;0,020408163;0;0;0,163265306;0,010204082;0;0,346938776;0;0;0;0;0,020408163;0;0,06122449;0;0;0;0,010204082;0;0;0;0
40174.1136946085;0;0;0;0;0,01;0,25;0;0;0;0;0;0;0;0;0;0;0,04;0,01;0;0,03;0;0,04;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,16;0;0;0,34;0;0;0;0;0,01;0;0,09;0;0;0;0;0;0;0;0
40323.6365646201;0;0;0;0,009090909;0;0,190909091;0;0,027272727;0;0;0,009090909;0,009090909;0;0;0;0;0,036363636;0;0;0,018181818;0;0,027272727;0;0,009090909;0;0;0;0;0;0;0;0,018181818;0;0,009090909;0;0;0;0,209090909;0;0;0,290909091;0;0;0;0,018181818;0,009090909;0;0,090909091;0;0;0;0,018181818;0;0;0;0
40478.0900769235;0;0;0;0;0;0,144444444;0;0;0;0;0,011111111;0;0;0;0;0;0,033333333;0;0;0,011111111;0;0,033333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,366666667;0;0;0,333333333;0;0;0;0,011111111;0;0;0,055555556;0;0;0;0;0;0;0;0
40671.1808073856;0;0;0;0;0;0,123595506;0;0;0,011235955;0;0;0;0;0;0;0;0,033707865;0;0;0;0;0,02247191;0;0;0;0;0;0;0;0;0;0;0;0;0,011235955;0;0,011235955;0,460674157;0;0;0,325842697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40822.954204328;0;0;0;0,025862069;0;0,077586207;0;0,017241379;0,043103448;0;0;0,00862069;0;0,017241379;0;0;0,025862069;0;0;0,017241379;0;0,017241379;0;0,00862069;0;0;0;0;0,00862069;0;0;0,00862069;0,00862069;0,017241379;0,017241379;0;0;0,362068966;0,017241379;0;0,25;0,00862069;0;0;0;0,00862069;0;0,00862069;0;0,00862069;0;0,017241379;0;0;0;0
40980.3182619788;0;0;0;0;0;0,087912088;0;0;0,065934066;0;0;0;0;0;0;0;0,010989011;0;0;0;0;0,021978022;0;0;0;0;0;0;0;0;0;0;0;0;0,021978022;0;0;0,472527473;0;0;0,318681319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41153.4121847378;0;0;0;0;0;0,073684211;0;0;0,084210526;0;0;0;0;0;0;0;0;0,010526316;0;0;0;0,021052632;0;0;0;0;0;0;0;0;0;0;0;0;0,042105263;0;0,010526316;0,452631579;0;0;0,305263158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41327.3981899557;0;0;0;0;0;0,142857143;0,016806723;0,016806723;0,067226891;0;0;0;0;0,008403361;0,008403361;0;0,016806723;0;0;0,008403361;0;0,016806723;0;0,016806723;0,008403361;0;0;0;0,008403361;0;0;0,008403361;0;0,008403361;0,033613445;0;0;0,31092437;0,016806723;0;0,243697479;0;0;0;0;0;0,008403361;0,008403361;0,008403361;0;0;0,016806723;0;0;0;0
41482.5417273021;0;0;0;0;0,011235955;0,269662921;0;0;0,04494382;0;0;0;0;0;0;0;0;0;0;0;0;0,011235955;0;0;0;0;0;0;0;0;0;0;0;0;0,02247191;0;0;0,303370787;0;0;0,337078652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41652.9182996377;0;0;0;0;0,011235955;0,393258427;0,011235955;0,011235955;0,02247191;0;0;0;0;0;0;0;0,011235955;0;0;0,011235955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011235955;0;0;0,146067416;0,011235955;0;0,348314607;0;0;0;0;0;0;0;0;0;0;0,011235955;0;0;0;0
41810.4525481215;0;0;0;0;0;0,299145299;0,008547009;0,025641026;0,017094017;0;0,008547009;0,008547009;0;0;0;0;0,034188034;0;0;0,042735043;0;0;0;0,017094017;0;0;0;0;0;0;0;0,017094017;0;0,008547009;0;0;0;0,085470085;0,034188034;0;0,282051282;0;0;0;0,008547009;0,008547009;0,017094017;0,017094017;0;0,017094017;0;0,042735043;0;0;0;0
41942.3919587136;0;0;0;0;0;0,376344086;0;0,032258065;0;0;0;0;0;0;0;0;0,021505376;0;0;0,064516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,075268817;0,010752688;0;0,376344086;0;0;0;0;0;0;0,032258065;0;0;0;0,010752688;0;0;0;0
42116.4103504052;0;0;0;0;0;0,395604396;0;0,032967033;0;0;0;0;0;0;0;0;0;0;0;0,065934066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,054945055;0;0;0,417582418;0;0;0;0;0;0;0,032967033;0;0;0;0;0;0;0;0
42288.6927650222;0;0;0;0;0;0,288288288;0,009009009;0,027027027;0,018018018;0,009009009;0;0,036036036;0;0,009009009;0,009009009;0;0;0;0;0,054054054;0;0,009009009;0;0,018018018;0;0;0,009009009;0;0;0;0;0;0;0,009009009;0;0;0;0,045045045;0,018018018;0;0,342342342;0;0;0;0,018018018;0,009009009;0;0,036036036;0;0,009009009;0;0,018018018;0;0;0;0
