"";"Abies";"Acer campestre-type";"Alnus";"Apiaceae";"Artemisia";"Betula";"Campanulaceae";"Carpinus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fraxinus";"Hippophae rhamnoides";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygonum";"Populus";"Quercus";"Rosaceae";"Rubiaceae";"Salix";"Thalictrum";"Tilia";"Ulmus"
"Bjune_a231";0;0;10,95238095;0;0,158730159;18,57142857;0;0;0;0,317460317;1,26984127;0,952380952;0;0;0,634920635;14,12698413;0;13,65079365;0;0,317460317;6,031746032;0,158730159;0;0,476190476;0;1,26984127;0
"Bjune_a232";0;0;8,990536278;0;0;22,08201893;0;0;0;0,315457413;1,261829653;0,315457413;0;0;0,157728707;32,64984227;0;5,047318612;0;0,157728707;10,25236593;0;0;0,315457413;0;0,788643533;0,788643533
"Bjune_a233";0;0;5,317577548;0,886262924;0,295420975;21,86115214;0;0;0;0;1,920236337;0,147710487;0;0;0,295420975;22,00886263;0;9,601181684;0;0,295420975;4,726735598;0,295420975;0,147710487;0,295420975;0;0,295420975;0
"Bjune_a234";0;0;1,76366843;0;0,352733686;26,80776014;0;0;0;0,352733686;0,529100529;1,234567901;0;0;3,350970018;19,40035273;0;14,63844797;0;0;0;0;0,176366843;0,881834215;0;0,176366843;0,352733686
"Bjune_a235";0;0;2,131147541;0;0;18,52459016;0;0;0;0;0,327868852;3,114754098;0;0;1,31147541;20,16393443;0;11,47540984;0;0;0;0;0;0,163934426;0;0,163934426;0
"Bjune_a236";0;0;0,853658537;0,12195122;0;28,17073171;0;0;0;0;0,12195122;0,731707317;0;0;1,707317073;18,04878049;0;10,36585366;0;0,12195122;0,731707317;0;0;0,487804879;0;0;0
"Bjune_a237";0;0;1,420454545;0;0,284090909;20,59659091;0;0;0;0;0,710227273;2,414772727;0;0;4,119318182;22,86931818;0;10,65340909;0;0;0,284090909;0;0;0,426136364;0,426136364;0;0
"Bjune_a238";0;0;0,47318612;0,157728707;0,47318612;13,72239748;0;0;0;0;0,47318612;6,309148265;0;0;1,892744479;16,40378549;0;13,09148265;0;0;0,157728707;0;0;2,050473186;0,315457413;0,315457413;0
"Bjune_a239";0;0;0,626959248;0,104493208;0;24,86938349;0;0;0;0;0,208986416;0,52246604;0;0;0,104493208;3,134796238;0;10,76280042;0;0;0;0;0;0,731452456;0,731452456;0;0
"Bjune_a240";0;0;1,277955272;0,319488818;0,319488818;30,03194888;0;0;0;0;0,159744409;1,597444089;0;0;0,159744409;7,50798722;0;5,750798722;0;0;0;0,159744409;0;0,479233227;0,319488818;0;0
"Bjune_a241";0;0;0,420757363;0,140252454;0;22,58064516;0;0;0;0;0;2,244039271;0;0;0;3,646563815;0;9,116409537;0;0;0;0;0,140252454;2,244039271;0,841514727;0;0
"Bjune_a242";0;0;0,490998363;0;0,163666121;27,82324059;0;0;0;0,327332242;0;1,145662848;0;0;0,490998363;9,328968903;0;12,60229133;0;0;0;0;0,163666121;0,654664484;1,309328969;0;0
"Bjune_a243";0;0;0,003305457;0,001101819;0,002203638;0,210447449;0;0;0;0,003305457;0,001101819;0,002203638;0;0;0,003305457;0,14764376;0;0,060600051;0;0;0;0;0,001101819;0,015425467;0,014323648;0;0
"Bjune_a244";0;0;0,688468158;0;0,17211704;17,90017212;0;0;0;0;0;0,860585198;0;0;0,17211704;3,270223752;0;14,45783133;0;0;0;0;0;1,893287435;0,344234079;0;0
"Bjune_a245";0;0;0,955414013;0,159235669;0,159235669;47,29299363;0;0;0;0;0;0,796178344;0;0;0,477707006;8,598726115;0;7,324840764;0;0;0;0;0;0,318471338;0,159235669;0;0,159235669
"Bjune_a246";0;0;0,229226361;0,05730659;0,114613181;11,28939828;0;0;0;0,05730659;0;0,343839542;0;0;0,114613181;6,246418338;0;3,724928367;0;0;0;0;0;0,744985673;0,458452722;0;0
"Bjune_a247";0;0;0,416666667;0,138888889;0,277777778;15,55555556;0;0;0;0;0;1,388888889;0;0;0,277777778;8,611111111;0;16,94444444;0;0;0;0;0;1,527777778;1,111111111;0;0,138888889
"Bjune_a248";0;0;0,395778364;0;0,395778364;50,92348285;0;0;0;0,131926121;0;0,263852243;0;0;0,659630607;19,26121372;0;3,82585752;0;0;0,131926121;0;0;0,527704485;0;0;0,131926121
"Bjune_a249";0;0;0,028409091;0;0,018939394;0,785984848;0;0,009469697;0;0,018939394;0,009469697;0,227272727;0;0;0;0,634469697;0;0,520833333;0;0;0;0;0;0,066287879;0,142045455;0;0
"Bjune_a250";0;0;0,667556742;0,267022697;0;36,98264352;0;0;0;0;0;1,201602136;0;0;0,400534045;5,473965287;0;13,61815754;0;0;0;0;0;0,667556742;0;0;0
"Bjune_a251";0;0;0,44198895;0;0,44198895;36,24309392;0;0;0;0,110497238;0;1,104972376;0;0;0,220994475;11,60220994;0;1,878453039;0;0;0;0;0;0,662983425;0;0;0
