;Abies;Alnus;Apiaceae;Armeria.type;Artemisia;Asteraceae;Betula;Boraginaceae;Botrychium;Brassicaceae;Calluna.vulgaris;Campanulaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Cedrus;Centaurea;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagaceae;Fagus;Filipendula;Hedera;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Plantago;Plantago.lanceolata.type;Poaceae;Polygonum;Quercus.robur.type;Quercus.ilex.type;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Ulmus;Urticaceae
Lopez_a378;0;0;0,010582011;0;0,137566138;0,124338624;0;0,029100529;0;0,010582011;0;0;0;0,007936508;0;0;0,142857143;0;0;0;0,015873016;0;0;0;0;0;0;0;0;0;0,042328042;0;0;0,378306878;0;0;0,010582011;0;0;0;0;0;0;0,029100529;0;0,034391534;0
Lopez_a379;0;0;0,039337474;0;0,15942029;0,035196687;0;0,01863354;0;0,022774327;0;0;0;0,004140787;0;0;0,064182195;0;0;0;0,022774327;0;0;0;0;0;0;0;0;0;0,028985507;0;0;0,573498965;0;0;0,010351967;0;0;0;0;0;0;0;0;0,01863354;0
Lopez_a380;0;0;0,017964072;0;0,157684631;0,041916168;0;0,025948104;0;0,017964072;0;0;0;0,001996008;0;0;0,065868263;0;0;0;0,02994012;0;0;0;0;0;0;0;0;0;0,02994012;0;0;0,574850299;0;0;0,00998004;0;0;0;0;0;0;0;0;0,021956088;0
Lopez_a381;0;0;0,057220708;0;0,133514986;0,089918256;0;0,024523161;0;0,024523161;0;0;0;0,005449591;0;0;0,119891008;0;0;0;0,024523161;0;0;0;0;0;0;0;0;0;0,040871935;0;0;0,422343324;0;0;0,019073569;0;0;0;0;0;0;0,005449591;0;0,027247956;0
Lopez_a382;0;0;0,028697572;0;0,123620309;0,099337748;0;0,01986755;0;0,015452539;0;0;0;0,004415011;0;0;0,103752759;0;0;0;0,059602649;0;0;0;0;0;0;0;0;0;0,039735099;0;0;0,439293598;0;0;0,013245033;0;0;0;0;0;0;0,004415011;0;0,037527594;0
Lopez_a383;0;0,003460208;0,003460208;0;0,003460208;0,010380623;0;0,003460208;0;0;0;0;0;0,003460208;0;0;0,006920415;0;0;0;0;0;0;0;0;0;0,003460208;0;0,006920415;0;0,166089965;0,006920415;0,003460208;0,038062284;0;0,038062284;0,685121107;0;0;0;0;0;0;0,003460208;0;0;0
Lopez_a384;0;0;0,005449591;0;0;0,005449591;0;0;0;0;0;0;0;0,005449591;0;0;0,008174387;0;0;0;0;0;0;0;0;0;0;0;0,008174387;0;0,220708447;0,008174387;0,005449591;0,059945504;0;0,035422343;0,613079019;0;0,002724796;0;0;0;0;0,008174387;0;0;0
Lopez_a385;0;0,002083333;0,004166667;0;0;0,002083333;0;0;0;0;0;0;0;0,002083333;0;0;0,00625;0;0,002083333;0;0;0;0;0;0;0;0;0;0,008333333;0;0,183333333;0;0,008333333;0,039583333;0;0,045833333;0,66875;0;0,004166667;0;0;0,002083333;0;0,00625;0;0;0
Lopez_a386;0;0;0;0;0,019823789;0,008810573;0;0;0;0,019823789;0;0;0;0,008810573;0;0;0,046255507;0;0;0;0;0;0;0;0;0;0,019823789;0;0,004405286;0;0,030837004;0;0;0,226872247;0;0,00660793;0,563876652;0;0;0;0;0,004405286;0;0,011013216;0;0,004405286;0
Lopez_a387;0;0;0;0;0,040145985;0,005474453;0;0,003649635;0;0,016423358;0;0;0;0,005474453;0;0;0,023722628;0;0;0;0;0;0;0;0;0;0,016423358;0;0,003649635;0;0,018248175;0;0;0,22080292;0;0,003649635;0,589416058;0;0;0;0;0;0;0,00729927;0;0,001824818;0
