"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"1.561";0;0;0,009;0,1712;0,3153;0,1441;0,0721;0,1171;0;0;0,018;0,0811;0,0541;0;0;0,009;0;0;0;0
"1.584";0;0;0;0,1589;0,3458;0,1589;0,0841;0,0467;0;0,0093;0;0,0935;0,0935;0;0;0,0093;0;0;0;0
"1.594";0;0;0,0079;0,2362;0,3071;0,0709;0,0472;0,0787;0;0,0079;0,0315;0,1024;0,063;0;0,0079;0,0157;0;0;0;0
"1.631";0;0;0;0,0926;0,4444;0,1944;0,0741;0,0648;0,0185;0;0,0093;0,0556;0,0278;0;0;0;0;0;0;0,0093
"1.649";0;0;0,0091;0,0636;0,4727;0,1182;0,0273;0,0636;0;0;0;0,1182;0,0818;0;0;0;0;0;0;0,0182
"1.693";0;0;0,0088;0,0789;0,4123;0,1316;0,0702;0,1754;0;0,0175;0;0,0789;0,0263;0;0;0;0;0;0;0
"1.711";0;0;0,0079;0,0472;0,2913;0,1575;0,0157;0,1496;0;0;0,0079;0,0945;0,1654;0;0,0157;0,0236;0,0079;0;0;0
"1.755";0;0;0,0093;0,0561;0,1682;0,1121;0,0561;0,2056;0,0093;0;0,028;0,1215;0,1776;0;0;0,0093;0;0;0;0
"1.773";0,01;0;0,02;0,06;0,13;0,09;0,04;0,17;0;0;0,01;0,21;0,14;0;0,03;0,03;0;0;0;0
"1.816";0;0;0,0196;0,0588;0,3039;0,0784;0,0294;0,1667;0,0196;0,0098;0,0098;0,1863;0,0784;0;0;0,0196;0;0;0;0
"1.835";0;0;0,0093;0,0741;0,287;0,0556;0;0,1296;0;0,0278;0,0185;0,1944;0,1019;0;0;0,037;0;0;0;0
"1.878";0;0,0091;0;0,0909;0,3364;0,0636;0,0364;0,2273;0,0091;0;0,0091;0,0364;0,1091;0;0,0182;0;0;0;0;0
