"";"NameCal";"Loc...1.";"Loc...2."
"1";"AlbaSanchez_a1";-5,04162;36,66366
"2";"AlbaSanchez_a2";-5,05957;36,66343
"3";"AlbaSanchez_a3";-5,05044;36,66917
"4";"AlbaSanchez_a4";-5,01804;36,61151
"5";"AlbaSanchez_a5";-5,03367;36,66655
"6";"AlbaSanchez_a6";-5,02554;36,68877
"7";"AlbaSanchez_a7";-5,03423;36,6904
"8";"AlbaSanchez_a8";-5,03876;36,69814
"9";"AlbaSanchez_a9";-4,96761;36,70322
"10";"AlbaSanchez_a10";-4,96582;36,70322
"11";"AlbaSanchez_a11";-5,04177;36,64856
"12";"AlbaSanchez_a12";-5,03144;36,64856
"13";"AlbaSanchez_a13";-5,019;36,69548
"14";"AlbaSanchez_a14";-5,0167;36,69592
"15";"AlbaSanchez_a15";-5,01459;36,69353
"16";"AlbaSanchez_a16";-5,01851;36,70011
"17";"AlbaSanchez_a17";-5,02261;36,70214
"18";"AlbaSanchez_a18";-5,01423;36,71336
"19";"AlbaSanchez_a19";-5,01487;36,71097
"20";"AlbaSanchez_a20";-5,01623;36,70631
"21";"AlbaSanchez_a21";-5,0177;36,70521
"22";"AlbaSanchez_a23";-4,99694;36,67838
"23";"AlbaSanchez_a25";-4,98794;36,68781
"24";"AlbaSanchez_a26";-5,00165;36,6831
"25";"AlbaSanchez_a27";-5,01865;36,69101
"26";"AlbaSanchez_a28";-5,0395;36,69262
"27";"AlbaSanchez_a29";-4,98172;36,7439
"28";"AlbaSanchez_a30";-4,98415;36,7425
"29";"AlbaSanchez_a31";-5,00475;36,72546
"30";"AlbaSanchez_a32";-4,9841;36,72651
"31";"AlbaSanchez_a33";-4,99253;36,72632
"32";"AlbaSanchez_a34";-4,97169;36,73175
"33";"AlbaSanchez_a35";-4,96644;36,72254
"34";"AlbaSanchez_a36";-4,98044;36,71362
"35";"AlbaSanchez_a37";-4,98061;36,71267
"36";"AlbaSanchez_a38";-5,00146;36,71493
