"","Site","Long","Lat","Alt","A_CLDE","B_CLEG","C_CLMX","D_COEG","E_COMX","F_TEDE","G_WTEM","H_WTEG","I_TRSE","J_TREG","K_TRDE","L_TEXE","M_TEGR","N_DESE","O_CUSH","P_DRYT","Q_PROS","R_DWAR","S_SHRU","Best","Best.num"
"1","GHB-1+2",112.233,38.9,1860,1.95007406141408,1.95007406141408,1.95007406141408,4.53425769219786,8.05831757259634,8.52429125640262,2.37474980870936,1.90877612490308,2.58418363078378,2.58418363078378,8.58275783829295,12.5489139517978,13.365518970821,6.48666049218116,7.90735033241224,10.6327314763385,9.85742439382632,4.73913445744779,6.58423133024337,"M_TEGR",13
"2","GHB-3",112.233,38.9,1860,3.56547712432266,3.56547712432266,3.56547712432266,6.94622957290777,11.6229663661057,11.6229663661057,3.42841760872993,2.5836737226911,2.90309635891389,2.90309635891389,10.1320146129408,14.1611073948863,14.1994600403294,6.78308223962916,8.93128667831116,11.329292087404,10.7707146181881,5.04382458956557,6.59708611261956,"M_TEGR",13
"3","GHB-4",112.233,38.9,1860,2.28327086338092,2.28327086338092,2.28327086338092,4.38244189460884,8.04426350427295,8.04426350427295,1.88403892066382,1.47397618400027,2.09917103122792,2.09917103122792,8.88565834657226,13.3900670700487,13.9423840508004,6.94238914462064,8.26046349934461,10.8565662159307,10.5437343627255,5.11037374188484,6.9231593158014,"M_TEGR",13
"4","GHB-5",112.233,38.9,1860,3.56712236452384,3.56712236452384,3.56712236452384,6.75313980860866,11.0467410916591,11.0467410916591,3.34522058241531,2.96058027771494,2.42449685539401,2.42449685539401,9.29453895160339,14.9404923887609,14.2644468185437,7.7103011307892,9.51316549167404,11.411499420676,11.7749238244762,4.83613783202134,6.73447176102329,"L_TEXE",12
"5","GHB-6",112.233,38.9,1860,1.75254916364706,1.75254916364706,1.75254916364706,3.73694483869665,7.12495676842486,7.12495676842486,1.75110681823052,1.13389341915367,1.67578897551117,1.67578897551117,9.18012189503504,14.464180993272,15.0208586567813,6.83777728120431,9.18012189503504,11.9852558191818,11.2412777582205,5.25242116546398,7.11474604796971,"M_TEGR",13
"6","GHB-7",112.233,38.9,1860,2.34600774615089,2.59671032292265,2.59671032292265,4.42914491650384,8.32549713438231,8.07479455761055,1.83243459358118,1.58173201680942,1.58173201680942,1.58173201680942,9.68834826307692,14.8556779206932,14.8133160706735,6.08973091597588,9.68834826307692,11.9516609529696,12.2850585859996,5.99259371759632,7.16569755272772,"L_TEXE",12
"7","GHB-8",112.233,38.9,1860,1.77305518695838,1.77305518695838,1.77305518695838,3.5467314794843,6.43401371206593,6.43401371206593,0.715643590762888,0.715643590762888,1.77367629252593,1.77367629252593,9.25018358111091,12.7032482231491,13.0231401866094,6.10371696160082,8.19215087934787,10.3412923736267,9.96520606630624,4.15882659425622,5.75144621205578,"M_TEGR",13
"8","GHB-9",112.233,38.9,1860,2.59807621098216,2.59807621098216,2.59807621098216,4.44304662496891,8.27987608935951,8.27987608935951,1.44337567268539,0.866025403784439,1.84497041398675,1.84497041398675,9.83639867612781,13.8378156271826,14.0391159657536,6.11285477889558,9.21100705651878,11.433033337171,11.8090832675009,5.35478222548382,6.84082843371558,"M_TEGR",13
"9","GHB-10",112.233,38.9,1860,1.6431676725155,1.6431676725155,1.6431676725155,3.52863654721973,6.70700429207857,6.70700429207857,1.04880884817015,1.04880884817015,1.88546887470423,1.88546887470423,9.31533460759858,13.6231043403743,14.0655835244399,6.13204247433346,8.79490234708135,11.4771477033309,10.4380700195968,4.94511095389166,6.24895143493218,"M_TEGR",13
"10","GHB-11",112.233,38.9,1860,1.58249544865064,1.58249544865064,1.58249544865064,3.6682333294293,6.89843469607184,7.36244717650744,1.26681515357515,0.802802673139546,2.08573788077865,2.08573788077865,10.2987897075967,13.8661428571168,14.1445850193316,6.20857102216656,9.28464078308979,11.510349104308,10.8671362317404,4.12840098073273,5.7554699288723,"M_TEGR",13
"11","GHB-12",112.233,38.9,1860,1.10139098371105,1.10139098371105,1.10139098371105,3.18193104468588,5.47797463940986,5.47797463940986,1.19465261101293,1.19465261101293,2.08054006097483,2.08054006097483,9.58650886753238,13.4696594666692,14.6441860838599,6.54111506745885,8.70062141757048,11.0698006457741,9.80201240128153,2.89314580456749,4.66522282292758,"M_TEGR",13
"12","GHB-13",112.233,38.9,1860,1.6633663634329,1.6633663634329,1.6633663634329,3.73580588963483,6.48212909210653,6.48212909210653,1.22326212889961,1.22326212889961,1.86157319413348,1.86157319413348,9.74985843352368,13.5147894655016,15.1064817117907,6.20165550723998,9.1115473682898,11.998561365728,10.7749137317227,3.83642236992357,5.84570211202023,"M_TEGR",13
"13","GHB-14",112.233,38.9,1860,2.62893472604653,2.62893472604653,2.62893472604653,4.482216733428,7.46255278076777,7.46255278076777,1.69398878472866,1.14334111970138,1.85328200738147,1.85328200738147,9.67424087058156,13.3791011695464,14.0143545307829,6.19346844801423,8.96429998290146,11.4203391755855,11.593234708948,5.67774015383605,6.90575975017806,"M_TEGR",13
"14","GHB-15",112.233,38.9,1860,1.4420003741331,1.4420003741331,1.4420003741331,2.57589379328677,5.57777434488321,5.57777434488321,1.13389341915367,1.13389341915367,1.13389341915367,1.13389341915367,9.7765300194108,14.5076802242392,14.8822482057585,6.42614751249592,9.7765300194108,12.0134228834358,11.2185303935439,3.84622081299633,5.54121812066381,"M_TEGR",13
"15","GHB-16",112.233,38.9,1860,1.92867836362405,1.92867836362405,1.92867836362405,4.15192137698557,6.74852822509356,6.74852822509356,1.9880617710724,1.68714453826576,2.22324301336153,2.22324301336153,10.074168096611,14.2364884623918,15.069711606724,6.20038605489956,9.53806962151519,11.7359189871989,11.4667479851392,3.98918673663628,5.49115395065927,"M_TEGR",13
"16","GHB-17",112.233,38.9,1860,1.98712680487932,1.98712680487932,1.98712680487932,3.20699219540403,5.87283345395003,5.87283345395003,1.76321484345533,1.21986539052471,1.21986539052471,1.21986539052471,10.3734150314725,15.3734893777541,16.9348452329938,6.32116667066663,10.9167644844031,13.6135781389467,12.9038912892824,3.95495648141115,5.81939825872682,"M_TEGR",13
"17","GHB-18",112.233,38.9,1860,1.68946668922474,1.68946668922474,1.68946668922474,3.75217311126779,6.33796357122596,6.33796357122596,1.32228895263813,0.74041746940493,1.48083493880986,1.48083493880986,10.2937663971352,14.6396364422371,16.3875993602725,6.17319263613993,9.9124183054277,12.9238827307832,12.1837564778856,4.51845812256969,6.54630410513345,"M_TEGR",13
"18","GHB-19",112.233,38.9,1860,1.37339476831975,1.37339476831975,1.37339476831975,2.7467895366395,5.22570542165274,5.22570542165274,1.74892857638502,0.997860960254484,1.37339476831975,1.37339476831975,10.2507146127169,13.5401632322788,14.4411459807387,4.94433856920778,9.87518080465161,11.5300707542975,11.2485755729714,2.50283577757094,3.78219191915154,"M_TEGR",13
"19","GHB-20",112.233,38.9,1860,1.44492227126583,1.44492227126583,1.44492227126583,1.67843597750167,3.80152062713673,3.80152062713673,0.233513706235844,0,0.233513706235844,0.233513706235844,8.59563895224837,13.2282972152734,13.8491613661434,5.45561227986002,8.85138134868269,10.710498995005,10.2963036199485,3.46359699977122,4.54229341304049,"M_TEGR",13
"20","GHB-21",112.233,38.9,1860,1.84109429278704,1.84109429278704,1.84109429278704,3.00834070336194,5.2582192366698,5.2582192366698,1.97106965296094,1.16724641057491,1.16724641057491,1.16724641057491,9.05499648600888,14.5368301486181,16.3581054611118,6.13122744783387,9.65466210449972,12.7600702508545,11.4957563972868,4.51646042340316,6.23063527300282,"M_TEGR",13
"21","GHB-22",112.233,38.9,1860,1.37840487520902,1.37840487520902,1.37840487520902,2.53129266775994,4.89621296425066,4.89621296425066,0.836660026534076,0.836660026534076,0.836660026534076,0.836660026534076,8.6408899213238,12.6271152405745,14.443705453033,5.80281553170917,8.6408899213238,11.5976555588814,10.0192947965328,3.6587557254073,5.47534593786579,"M_TEGR",13
"22","GHB-23",112.233,38.9,1860,0.950160834280176,0.950160834280176,0.950160834280176,1.65868324606402,3.75237067357235,3.75237067357235,0.708522411783847,0.708522411783847,0.708522411783847,0.708522411783847,10.1051384566571,14.6364913749653,15.2466585108529,6.0497768452799,10.1051384566571,11.9416856380444,11.0552992909373,2.49466413419558,4.01308806116723,"M_TEGR",13
"23","GHB-24",112.233,38.9,1860,1.19985631306419,1.19985631306419,1.19985631306419,3.29080639728586,5.63347438251801,5.63347438251801,1.10640766944196,1.10640766944196,1.70812933765743,1.70812933765743,9.08786229616165,13.5267584839418,14.1993197448186,6.40834942871009,8.48614062794619,10.9602798701026,9.68599694101038,3.50612029557035,4.87385186828482,"M_TEGR",13
"24","GHB-25",112.233,38.9,1860,1.10977553225866,1.10977553225866,1.10977553225866,3.20682673389851,5.21030316634694,5.21030316634694,1.20335030145008,1.20335030145008,2.09705120163985,2.09705120163985,8.94776604581654,12.3428437621872,13.3590183368965,5.80991398660477,8.05406514562677,10.1800152525948,9.16384067788544,2.82436580144096,4.34550117148532,"M_TEGR",13
"25","GHB-26",112.233,38.9,1860,1.63322405505185,1.63322405505185,1.63322405505185,2.55921868948555,4.81278382637853,4.81278382637853,0.925994634433699,0.925994634433699,0.925994634433699,0.925994634433699,8.46592851966044,13.3116955525702,14.3983844886034,5.53953720577205,9.2604231508569,11.6746825893493,10.8936472059087,3.88678919194483,5.37505399600357,"M_TEGR",13
"26","GHB-27",112.233,38.9,1860,2.16082241091013,2.16082241091013,2.16082241091013,3.2509483155034,4.19205473509685,4.19205473509685,1.09012590459327,0.650989653527612,1.09012590459327,1.09012590459327,9.46686428895266,13.6614996157483,14.9379504886321,5.25134161332937,9.46686428895266,11.6844215814299,11.6276866998628,4.26277983644706,5.31948612298084,"M_TEGR",13
"27","GHB-28",112.233,38.9,1860,0.884336633867443,1.25987044193271,1.25987044193271,1.25987044193271,2.63326521025246,2.25773140218719,0,0,0,0,9.49680741153095,14.2246226588604,16.1895705424681,6.12216240475316,9.87234121959621,12.8351500634583,10.7566778534637,3.07512547249513,4.84500643798406,"M_TEGR",13
