X2;Abies;Acer campestre-type;Alnus;Armeria-type;Artemisia;Betula;Boraginaceae;Botrychium;Buxus;Calluna vulgaris;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Cedrus;Centaurea;Chenopodiaceae/Amaranthaceae;Asteraceae subf. Asteroideae;Asteraceae subf. Cichorioideae;Corylus;Crassulaceae;Brassicaceae;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagus;Filipendula;Fraxinus;Gentianaceae;Poaceae;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Osmunda regalis;Picea;Pinus;Plantago;Plantago lanceolata-type;Polygonum;Polypodium;Populus;Potamogeton;Quercus ilex-type;Quercus robur-type;Ranunculaceae;Ranunculus-type;Rhamnus;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Selaginella;Taxus;Thalictrum;Tilia;Ulmus;Valeriana
72101.7490026712;0,034055728;0,003095975;0,009287926;0;0,018575851;0,340557276;0;0;0;0,009287926;0;0;0;0,003095975;0;0;0;0,003095975;0;0;0;0;0;0;0;0,009287926;0,003095975;0;0,145510836;0;0;0;0;0,012383901;0;0,055727554;0,309597523;0;0;0;0;0;0;0;0,00619195;0;0;0,003095975;0;0,012383901;0;0,012383901;0,003095975;0;0;0;0,003095975;0;0,003095975;0
72305.9196296565;0,051671733;0;0,018237082;0;0,015197568;0,3556231;0;0;0;0,006079027;0;0;0;0;0,003039514;0,003039514;0,003039514;0;0;0,003039514;0,042553191;0;0;0;0;0,006079027;0,003039514;0;0,094224924;0;0;0;0;0,042553191;0;0,088145897;0,23100304;0;0;0,003039514;0;0,003039514;0;0;0,003039514;0;0;0,003039514;0,003039514;0,006079027;0,009118541;0;0;0;0;0;0,003039514;0;0;0
72356.9622864028;0,062913907;0;0,026490066;0;0,016556291;0,38410596;0;0;0;0,003311258;0;0,003311258;0;0;0;0,006622517;0;0;0;0;0,006622517;0;0;0,003311258;0;0;0;0;0,092715232;0;0,003311258;0;0;0,029801325;0,003311258;0,125827815;0,205298013;0;0;0;0;0;0;0;0,009933775;0;0;0;0,006622517;0;0,006622517;0;0;0;0;0;0,003311258;0;0;0
72612.1755701344;0,014778325;0;0,019704433;0;0,024630542;0,467980296;0;0;0;0,014778325;0;0;0;0;0,004926108;0;0;0;0;0;0,034482759;0;0;0;0;0;0;0;0,147783251;0;0,004926108;0;0;0,201970443;0;0,014778325;0,014778325;0;0;0;0;0;0;0;0;0;0;0;0;0,009852217;0,014778325;0,004926108;0;0;0;0;0,004926108;0;0;0
72816.3461971197;0,024193548;0;0,024193548;0;0,076612903;0,165322581;0;0;0;0,02016129;0;0;0;0;0,008064516;0,016129032;0,004032258;0;0;0,004032258;0,088709677;0,004032258;0,012096774;0,004032258;0;0;0;0;0,286290323;0;0;0;0;0,036290323;0;0,040322581;0,120967742;0,004032258;0;0;0;0;0;0;0;0;0;0;0,004032258;0,004032258;0,016129032;0,012096774;0;0;0;0;0,016129032;0;0;0,008064516
72867.388853866;0,025;0;0,025;0;0,08;0,175;0;0;0;0,01;0,005;0;0;0;0,005;0,005;0;0,005;0;0;0,045;0,005;0;0;0;0;0,005;0;0,315;0;0;0;0;0,09;0;0,055;0,08;0,015;0;0;0;0;0;0,005;0;0;0;0,005;0;0,01;0;0,025;0;0;0;0;0,01;0;0;0
73071.5594808513;0,028653295;0;0,011461318;0;0,028653295;0,05730659;0;0;0;0,00286533;0,00286533;0,00286533;0;0;0,008595989;0,008595989;0;0;0;0;0,028653295;0;0;0,00286533;0;0;0;0;0,547277937;0;0;0;0;0,017191977;0;0,025787966;0,171919771;0,011461318;0;0;0;0;0;0;0;0;0;0;0;0,005730659;0,020057307;0,011461318;0;0;0;0;0,005730659;0;0;0
73122.6021375977;0,021978022;0;0,005494505;0;0,010989011;0,131868132;0;0;0;0,010989011;0;0;0;0;0,010989011;0,005494505;0,005494505;0;0,005494505;0;0,016483516;0;0;0;0;0;0;0;0,247252747;0;0;0;0;0;0;0,065934066;0,412087912;0;0;0;0;0;0;0;0;0;0;0;0,005494505;0,005494505;0,021978022;0,005494505;0,005494505;0;0;0;0;0;0;0,005494505
73173.644794344;0;0;0,004938272;0;0,007407407;0,130864198;0;0;0;0;0,002469136;0;0;0;0;0,002469136;0;0,004938272;0;0;0,007407407;0;0;0;0;0,004938272;0;0;0,133333333;0;0;0;0;0,002469136;0;0,120987654;0,555555556;0;0;0;0;0;0;0;0,014814815;0,002469136;0;0;0;0;0,002469136;0;0;0;0;0;0,002469136;0;0;0
73224.6874510903;0,00330033;0;0,00660066;0;0,01650165;0,148514851;0;0;0;0,01320132;0;0;0;0,00330033;0;0;0;0;0;0;0,00330033;0;0;0,00330033;0;0,00330033;0;0;0,085808581;0;0;0;0;0;0;0,128712871;0,561056106;0,00330033;0;0,00330033;0;0;0;0;0,00990099;0,00330033;0;0;0;0,00330033;0;0;0;0;0;0;0;0;0;0
