X2;Abies;Acer.campestre.type;Artemisia;Betula;Carpinus;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Fagus;Filipendula;Fraxinus;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Poaceae;Quercus.robur.type;Rumex;Thalictrum;Ulmus
16951.2732;0;0;0,429859528;0,024885434;0;0;0;0,036781911;0;0;0;0,01494195;0;0;0;0,114096722;0,343414713;0;0;0,036019742;0
16956.4119599518;0;0;0,430169211;0,024920206;0;0;0;0,036792216;0;0;0;0,014946136;0;0;0;0,113923387;0,343358015;0;0;0,035890828;0
16961.5507199036;0;0;0,430478146;0,024954945;0;0;0;0,036802447;0;0;0;0,014950292;0;0;0;0,113749713;0,343301621;0;0;0,035762836;0
16966.6894798553;0;0;0,430788175;0,024988686;0;0;0;0,036812763;0;0;0;0,014954483;0;0;0;0,113576184;0,343245929;0;0;0,035633779;0
16971.8282398071;0;0;0,431097917;0,02502349;0;0;0;0,036823045;0;0;0;0,01495866;0;0;0;0,113402437;0,343188769;0;0;0,035505681;0
16976.9669997589;0;0;0,431407832;0,025058313;0;0;0;0,036833333;0;0;0;0,014962839;0;0;0;0,113227522;0,343132648;0;0;0,035377512;0
16982.1057597107;0;0;0,43171792;0,025093156;0;0;0;0,036843627;0;0;0;0,014967021;0;0;0;0,113053581;0,343076495;0;0;0,035248201;0
16987.2445196625;0;0;0,432028644;0,025126974;0;0;0;0,036853966;0;0;0;0,014971221;0;0;0;0,112879663;0,343019607;0;0;0,035119926;0
16992.3832796142;0;0;0,432339225;0,025161801;0;0;0;0,036864192;0;0;0;0,014975375;0;0;0;0,112705285;0,342962656;0;0;0,034991467;0
16997.522039566;0;0;0,432649833;0,025196702;0;0;0;0,036874503;0;0;0;0,014979564;0;0;0;0,112531051;0,342906408;0;0;0,034861939;0
17002.6607995178;0;0;0,43296108;0,025230577;0;0;0;0,036884859;0;0;0;0,014983771;0;0;0;0,112356841;0,342849425;0;0;0,034733448;0
17007.7995594696;0;0;0,433272036;0,025265517;0;0;0;0,036895182;0;0;0;0,014987964;0;0;0;0,112182412;0,342793114;0;0;0,034603775;0
17012.9383194214;0;0;0,433582702;0,025300449;0;0;0;0,036905471;0;0;0;0,014992144;0;0;0;0,112007765;0,342736404;0;0;0,034475066;0
17018.0770793731;0;0;0,433894472;0,025334382;0;0;0;0,036915844;0;0;0;0,014996358;0;0;0;0,111833261;0,342679325;0;0;0,034346358;0
17023.2158393249;0;0;0,434205951;0,02536938;0;0;0;0,036926184;0;0;0;0,015000558;0;0;0;0,111658539;0,342622919;0;0;0,034216468;0
17028.3545992767;0;0;0,434517605;0,025404398;0;0;0;0,03693653;0;0;0;0,015004761;0;0;0;0,111483719;0,342565408;0;0;0,034087579;0
17033.4933592285;0;0;0,434829901;0,025438388;0;0;0;0,036946921;0;0;0;0,015008982;0;0;0;0,111308921;0,342509307;0;0;0,03395758;0
17038.6321191803;0;0;0,435141437;0,025473418;0;0;0;0,036957239;0;0;0;0,015013173;0;0;0;0,111133786;0,342452438;0;0;0,03382851;0
17043.770879132;0;0;0,435454222;0,025508466;0;0;0;0,036967562;0;0;0;0,015017367;0;0;0;0,110958552;0,342394463;0;0;0,033699367;0
17048.9096390838;0;0;0,435767044;0,025542515;0;0;0;0,036977971;0;0;0;0,015021595;0;0;0;0,110783459;0,342338266;0;0;0,03356915;0
17054.0483990356;0;0;0,436079104;0,025577603;0;0;0;0,036988306;0;0;0;0,015025794;0;0;0;0,11060803;0,342281302;0;0;0,033439862;0
17059.308567197;0;0;0,436392277;0,025612766;0;0;0;0,036998726;0;0;0;0,015030027;0;0;0;0,11043274;0,342223967;0;0;0,033309498;0
17064.5687353583;0;0;0,436705627;0,025646872;0;0;0;0,037009152;0;0;0;0,015034262;0;0;0;0,110256275;0,342167674;0;0;0,033180137;0
17069.8289035197;0;0;0,437018213;0,025682019;0;0;0;0,037019504;0;0;0;0,015038468;0;0;0;0,11008055;0,342110614;0;0;0,033050631;0
17075.089071681;0;0;0,437331916;0,025717241;0;0;0;0,037029942;0;0;0;0,015042708;0;0;0;0,109904963;0,342053182;0;0;0,032920048;0
17080.3492398424;0;0;0,437644853;0,025752427;0;0;0;0,037040306;0;0;0;0,015046918;0;0;0;0,109729041;0,341996058;0;0;0,032790397;0
