Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Chenopodiaceae/Amaranthaceae;Poaceae
0;0,381;0,013;0,167;0,013;0,027;0,007;0;0;0,635;0,007;0;0,007;0;0;0,708;0,114
0;0,265;0;0,53;0;0,076;0;0;0;1,274;0,038;0;0,013;0;0;0,984;0,139
0;1,548;0;0,905;0,016;0,23;0;0;0;0,527;0;0;0,049;0;0;0,642;0,263
0;1,266;0;0,67;0,015;0,179;0,015;0;0;0,864;0,045;0;0,015;0;0;0,715;0,268
0;0,635;0;0,544;0,01;0,161;0;0;0;0,665;0,02;0;0,03;0;0;0,403;0,232
0;0,549;0;0,287;0,008;0,082;0,016;0;0;0,557;0,016;0;0;0;0;0,344;0,139
0;0,352;0,007;0,307;0;0,157;0;0;0,007;0,45;0,022;0;0,015;0;0;0,367;0,172
0;0,99;0;0,33;0;0,105;0,007;0;0;0,211;0;0;0,007;0;0;0,246;0,049
0;0,942;0,007;0,374;0;0,075;0;0;0;0,247;0;0;0,007;0;0;0,262;0,045
0;0,595;0,006;0,262;0;0,064;0;0;0;0,275;0;0;0,013;0;0;0,435;0,102
0;0,618;0;0,254;0,014;0,041;0;0;0;0,316;0,014;0;0,014;0,007;0;0,275;0,151
0;0,426;0;0,126;0;0,084;0;0;0;0,268;0,021;0;0,005;0;0;0,363;0,1
0;0,87;0;0,211;0;0,114;0;0;0;0,36;0,026;0;0,009;0;0;0,316;0,123
0;3,684;2,632;0;0;0;0;0;0,526;0;60;0;0,526;0;0;0,526;17,895
0;0,5;1,5;0;0;0;0;0;0;0;86;0;0,5;0;0;0;4,5
0;6;3,5;0;0;0;0;0;0;0;29;0;10;0;0;12,5;27,5
0;15,385;15,385;0;0;0;0;0;0;0;11,538;0;3,846;0;0;0;34,615
0;7;18;0;0;0;0;0;0;0;1;0;0,5;0;0;0;19
0;7;20,5;0;0;0;0;0;0;0;2;0;3;0;0;0;26
0;11;18,5;0;0;0;0;0;0;0;5,5;0;3;0;0;1;44,5
0;21;32;0;0;0;0;0;0;0;6,5;0;2,5;0;0;3;22,5
0;5,473;35,323;0;0;0;0;0;0;2,985;0,995;0;5,473;0;0;0,498;29,851
0;7;50;0;0;0;0;0;0;0,5;3,5;0;1,5;0;0;0,5;19,5
0;6,03;37,688;0;0;0;0;0;0;0;1,005;0;3,518;0;0;3,518;10,553
0;4;22;0;0;0;0;0;0;0;2;0;1;0;0;0;31
0;1,5;22;0;0;0;0;0;0;0;1,5;0;4;0;0;1,5;35,5
0;2;16,5;0;0;0;0;0;0;0;4,5;0;0;0;0;0;7
0;10,5;29,5;0;0;0;0;0;0;0;2;0;0,5;0;0;0;11,5
0;5,263;5,263;0;0;0;0;0;0;0;5,263;0;0;0;0;0;5,263
0;8;36;0;0;0;0;0;0;0;9,5;0;2,5;0;0;1,5;11
0;0,5;1,5;0;0;0;0;0;0;0;1,5;0;0,5;0;0;0;16,5
0;0;0;0;0;0;0,196;0,786;0;0,589;8,055;0;0;0;0;0,786;4,715
0;0;0;0;0;0;0;0,923;0;0,554;14,022;0;0;0;0;0,369;6,273
0;0;0;0;0;0;0;0,565;0;0,753;29,379;0;0,377;0;0;0,188;2,637
0,865;0,288;0,432;0;0,144;0;0,576;0,72;0;30,403;11,383;0;0,432;0;0;13,977;1,873
0,556;0,556;0,556;0;0,278;0;0,833;1,25;0;27,639;10;0;0,278;0;0;12,222;2,917
0,253;0,634;0,127;0;0;0;0,253;1,394;0;43,726;3,549;0;0,76;0;0;2,915;4,943
0,366;0,488;0,122;0;0,122;0;0,488;1,585;0;36,341;9,39;0;0,244;0;0;4,024;5,366
0;0,09;0,09;0;0,09;0;0,09;0,718;0;58,797;7,54;0;0;0;0;5,925;1,167
0;0,585;0,098;0;0,585;0;0;1,073;0;54,537;11,61;0;0,195;0;0;4,195;2,049
0;0,789;0,526;0;0,526;0;0,263;1,053;0;11,316;21,579;0;0,263;0;0;5,526;3,421
0;0,475;0,238;0;0,713;0;0;1,188;0;9,264;23,04;0;0,475;0;0;4,513;4,513
0,146;0,586;0,586;0;0;0;0,293;1,903;0;34,114;5,271;0;0,293;0;0;4,246;6,442
0;0,931;0,665;0;0,133;0;0,266;2,527;0;26,197;6,915;0;0,266;0;0;4,122;4,388
0;0,154;0,154;0;0;0;0,154;0,768;0;47,773;2,304;0;0,307;0;0;1,69;11,828
0;0;0;0;0;0;0;1,771;0;32,045;2,576;0;0,322;0;0;1,449;9,018
0,358;0,358;0;0;0;0;0;0,537;0;31,485;4,472;0;0,179;0;0;1,61;20,215
0,136;0;0,136;0;0,136;0;0,409;1,499;0;45,368;3,134;0;0,272;0;0;2,861;6,131
0;0,314;0,157;0;0;0;0,157;0,785;0;45,055;5,338;0;0,314;0;0;1,413;5,181
0,145;0,145;0,289;0;0,145;0;0,145;0,289;0;49,928;1,737;0;0,434;0;0;1,302;4,197
0;9,461;7,569;0;0;0;0;0;0;0,146;10,335;0;0;0;0;0;8,151
0;2,251;3,377;0;2,251;0,375;1,313;0;0;0,188;54,409;0;0,375;0;0;0;11,445
0;0,673;11,953;0;4,209;13,131;0,168;0;0;0;6,734;0;0;0,505;0;0,337;18,35
0;0,675;0;0;0;0;0;0,45;0;0;12,148;0;0;0;0;0;2,362
0;0,75;0;0;0;0;0,375;0,938;0;0;17,261;0;0;0;0;0;4,315
0;0,747;0;0;0,299;0;0;0,299;0;0,299;15,546;0;0;0;0;0;2,691
0;1,085;0;0;0,868;0;1,952;0;0;0;82,646;0;0;0;0;0;1,952
0;6,089;0,703;0;0;0;4,918;0,937;0;2,576;7,26;0;1,171;0;0;0;11,944
0;3,216;0;0;0;0;3,801;3,216;0;1,17;16,667;0;3,216;0;0;1,17;16,082
0;1,294;3,236;0;0;0;4,531;18,123;0;0,324;13,269;0;1,294;0;0;0,324;6,796
0;2,432;3,343;0;0;0;3,04;4,255;0;0,304;19,453;0;0,304;0;0;0,304;23,1
0;1,866;0;0;0;0;4,104;3,358;0;0;20,896;0;0;0;0;0,373;43,284
0;1,569;0;0;0;0;3,922;0;0;0,392;43,529;0;0,392;0;0;0,392;19,216
0;2,336;0;0;0;0;6,542;0;0;0,935;59,346;0;0;0;0;0,935;8,411
0;2,336;0;0;0;0;7,009;1,402;0;0,935;18,224;0;0;0;0;0,467;40,187
0;2,247;0;0;0;0;3,371;0;0;0,375;58,427;0;0;0;0;0,375;20,599
0;3,484;0;0;0;0;3,136;0;0;0,348;22,997;0;0;0;0;0,697;15,679
0;0;0,287;0;0;0;4,023;0;0;0;29,885;0;0,287;0;0;0;12,644
0;0;0,29;0;0;0;3,768;0;0;0;36,812;0;0,29;0;0;1,159;11,014
0;0,279;0,279;0;0;0;5,85;0;0;0;21,448;0;0;0;0;0,836;6,685
0;1,356;0,339;0;0;0;8,814;0;0;0;40,678;0;0;0;0;0;15,932
0;0;0;0;0;0;17,647;0,98;0;0;1,961;0;0;0;0;0;31,863
0;1,961;0;0;0;0;3,05;0,218;0;0;13,725;0;0;0;0;0;11,765
0;0,727;0;0;0;0;3,273;0;0;1,455;8,727;0;0;0;0;1,818;4
0;7,095;0;0;0;0;2,703;0;0;0;35,811;0;0;0;0;10,135;3,041
0;1,863;0;0;0;0;3,934;0;0;0;16,149;0;0;0;0;7,453;2,899
0;0,152;0;0;0;0;1,982;0;0;1,677;5,793;0;0,152;0;0;0,61;7,47
0;0,324;0;0;0;0;0,162;0,324;0;3,398;5,502;0;0,162;0;0;0,324;26,537
0;0,145;0,289;0;0;0;0;0,434;0;0,724;41,823;0;0,145;0,145;0;0,289;7,236
0;0,126;0,126;0;0;0;0,126;0,252;0;0;91,824;0;0;0;0;0;1,132
0;1,105;0;0;0;0;0,184;0,184;0;0,368;52,67;0;0;0;0;0,184;1,657
0;0,867;2,168;0;0;0;0;0,289;0;0,578;64,884;0;0;0;0;0,145;5,925
0;0,673;0,785;0;0,224;0;0,224;0,224;0;0,673;36,771;0;0;0;0;0,112;0,897
0;2,332;0,259;0;0;0;3,109;0,518;0;4,145;33,161;0;0,518;0;0;0,259;10,881
0;0,6;1,349;0;0;0;3,148;1,199;0;0;24,588;0;0;0;0;0;7,946
0;0,345;0;0;0;0;0,345;0,69;0;2,069;2,414;0;0;0;0;0,69;30
0;0;0;0;0;0;0,312;0,312;0;1,869;3,115;0;0,312;0;0;0,935;29,595
0;0;0;0;0;0;0,535;0,535;0;1,872;4,011;0;0,267;0;0;1,337;27,54
0;0,209;0,418;0;0;0;1,044;0,418;0;1,67;2,714;0;0;0;0;0,209;35,073
0;0,519;0,779;0;0;0;1,299;2,338;0;0,26;2,597;0;0;0;0;0,519;13,766
0;0;0,16;0;0;0;0,481;0,16;0;1,122;2,244;0;0;0;0;1,282;34,135
0;0,469;0;0;0;0;0;1,174;0;0,235;60,563;0;0;0;0;0,235;7,746
0;0,699;0;0;0;0;0;1,399;0;0,233;46,62;0;0;0;0;0;10,49
0;0,813;0;0;0;0;0;2,439;0;0,542;55,014;0;0;0;0;0;10,569
0;0;0;0;0;0;0,292;1,17;0;0,292;55,263;0;0;0;0;0;12,865
0;0,328;0;0;0;0;0;0,984;0;0,984;25,902;0;0;0;0;0;25,574
0;36,667;0;0;0;0;8,148;0,185;0;0,37;28,519;0;0,556;0;0;0;3,889
0;38,241;0;0;0;0;5,925;0,18;0;0,18;30,162;0;0,718;0;0;0;2,334
0;35,472;0;0;0;0;5,472;0;0;0,189;27,358;0;0,943;0;0;0;3,019
0;0;0;0;0;0;0,302;0;0;0,302;16,918;0;0;0;0;0;20,242
0;0;0;0;0;0;0;0,707;0;0;31,095;0;0;0;0;0,353;15,194
0;0;0;0;0;0;0;0,588;0;0;60,882;0;0;0;0;0,294;3,824
0;0,556;0;0;0;0;0;0;0;0;1,808;0;0;0;0;0;38,387
0;0,216;0;0;0;0;0;0;0;0,432;0,864;0;0;0;0;0;33,693
0;0,179;0;0;0;0;0;0;0;0,179;1,075;0;0;0;0;0;32,079
