Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Chenopodiaceae/Amaranthaceae;Poaceae
0;0,4;18,9;0;0;0;0;2,9;1,2;5,2;0;0,8;0;0;6;2,3;62,3
0;0;17,8;0,9;0,5;0;0;2;0,3;5,7;0,3;1,1;0;0;11;2;58,6
0;0;16,4;0;0,3;0;0;3,8;1,3;7,8;0,3;0,6;0;0;5,3;0;64,5
0;0;30,8;0;0,7;0;0;0,7;0,2;9,6;0,2;0,2;0;0;2,2;1,2;54,1
0;0;33;0;0,2;0;0;2,4;0,2;15,3;0;0;0;0;2,2;0;46,7
0;0;18,4;0;0,4;0;0;7,1;0;7,5;0;0,4;0;0;2,6;0,4;63,4
0;0,4;12,3;0;0,9;0;0;8,5;0,4;7,6;0;0;0;0;4,6;0,9;64,4
0;0;22,7;0;0,3;0;0;1,2;0,7;3,6;0;0,7;0;0,3;9,2;0,9;60,4
0;0;20;0;0,4;0;0;2,4;0,4;4,3;0;0,8;0;0;17,3;3,6;50,8
0;0,3;24,5;0;2;0;0;3;0,3;9,3;0,3;0;0;0;5,4;0;54,9
0;0,3;25,5;0,3;0,9;0;0;1,2;1,5;9,3;0;0,6;0;0,3;6;0,6;53,5
0;0;17,2;0;0,2;0;0;0,9;1,1;11,9;0;0;0;0;2,7;1,1;64,8
0;0;17,2;0;1,5;0;0,2;3,2;1,7;16,7;2,1;0;0;0;2,6;0,6;54,3
0;0;26;0;1,7;0;0;1,3;1,9;23,4;1,3;0;0;0,2;1,7;0,2;42,2
0;0,2;30,1;0;0,2;0;0;2,7;0,2;13,6;0,5;0,2;0;0;2,8;0;49,2
0;0;40,7;0;0,2;0;0;1,8;1,2;7,8;0;0;0;0;1,2;0,2;46,7
0;0;44,1;0;0,3;0;0;3,5;0,6;9,1;0;0;0;0;1,7;0;40,6
0;0;27,4;0;0;0;0;2,7;0,4;4,6;0,8;1,5;0;0;7,3;0,4;54,8
0;0;20,6;0;0,4;0;0;1,9;0;7,3;0;2,1;0;0;12,4;3;52,2
0;0,3;15,9;0,3;1,2;0;0;2,9;0,3;6,5;0;3,2;0;0,3;10,6;1,7;56,9
0;0,6;19,6;0,4;0,4;0;0;6,5;0;5,9;0;1,3;0;0;4,9;1;59,4
0;0;17,5;0;0;0;0;2,4;0,2;7,1;0;0,2;0;0;6,5;1,2;64,7
0;0;22,3;0;0;0;0;5,2;0,4;5,2;0;1,7;0;0;6,7;0;58,5
0;0;22,2;0;0,2;0;0;9,3;0;3,5;0;1,9;0;0,2;5,1;0,6;57
0;0,5;26,6;0;0;0;0;28,6;0;1,7;0,2;1,2;0;0;2,7;0,5;38,1
0;0,3;8,5;0;0;0;0;3,2;0;4,3;0;2,8;0;0;22,5;1;57,4
0;0;8,1;0;1,1;0;0;0,3;0;8,1;0;0;0;0;21,6;2,6;58,2
0;0;6,7;0,3;0,6;0;0;1;0,3;7,7;0;0,3;0;0,3;22,8;3;57,1
0;0,3;7,4;0,3;1,1;0;0;3,9;1,9;12,3;0,4;0,7;0;0,4;8,1;0,7;62,7
0;1,9;13,4;1,3;6,5;0;0;0;3;19,7;3;0,8;0,2;0,2;6,5;3;40,2
0;1,8;29,6;1,1;2,7;0;0;1,5;1,5;10;2,9;1,1;0,3;0,3;7,1;0,9;39,3
0;2,3;13,3;1,3;6;0;0,6;4,4;1,7;8,3;6;2;0;1,7;3,3;0,4;48,7
0;0,5;17,9;1,2;2,8;0;0,1;1,6;0,8;10,7;6,5;0,9;0;0,1;12,3;0,8;43,6
0;2,8;26,9;3,2;9,5;0;0,3;2,5;3,5;13;13,6;0,4;0,3;1,3;2,1;0,3;20,2
0;2,3;18,9;3;8,1;0,3;0,3;1,6;5,9;19,2;16,6;0;0,3;0,6;1,6;1,3;19,9
0;0,3;27,6;1,5;6,3;0;0,5;1,7;2,6;14,4;13,5;0,5;0;1,2;6,3;0;23,6
0;0,4;6,2;0,7;1,8;0;0;6,9;0,4;4,8;1,8;0;0;0,4;3,4;0,7;72,6
0;0;14,8;0;0;0;0;11,2;1;4;0,5;1,5;0;1;9,2;0;56,7
0;0,9;25,5;0;0;0;0;2,2;0,5;5,3;0,5;2,2;0;0;13,2;1,4;48,4
