-: limite inf‚rieure
+: limite sup‚rieure
Temp en 1/10 degres
Prec en mm
anomalies
    TJAN-TJAN TJAN+TJUL-TJUL TJUL+TANN-TANN TANN+PJAN-PJAN PJAN+PJUL-PJUL PJUL+PANN-PANN PANN+
 681 -211 -125  -65  -70  -42  -10 -102  -76  -26  -58  -41  -15  -41  -13   12 -611 -502 -253
 689 -153 -118  -98  -46  -41  -31  -86  -78  -68  -53  -33   -6  -65  -36   -7 -588 -513 -363
 693 -242 -174 -108  -40  -32  -11 -121  -90  -59  -57  -32   17  -68  -39  -14 -707 -527 -344
 704 -269 -211 -127  -40  -33  -28 -131 -104  -66  -84  -48   -8  -47  -17   26 -781 -613 -391
 710 -236 -193  -98  -34  -27  -12 -121  -98  -69  -45  -24   11  -68  -52  -15 -612 -502 -306
 716 -270 -211 -179  -29  -24  -11 -131 -104  -90  -39  -24    3  -69  -62  -30 -615 -526 -361
 722 -251 -197 -131  -40  -30  -24 -123  -93  -55  -71  -41   -9  -66  -37   -1 -724 -590 -416
 731 -206 -175 -102  -31  -27  -11  -98  -82  -41  -61  -35    9  -60  -36  -10 -675 -547 -283
 740 -201 -153  -88  -30  -17    5 -126  -83  -61  -58  -37  -11  -58  -27   -1 -587 -500 -100
 752 -204 -151 -113  -36  -17  -12 -107  -83  -65  -32  -19    7  -68  -59  -29 -549 -470 -327
 764 -278 -196 -165  -23  -14    7 -138  -98  -85  -60  -27   -6  -67  -55  -10 -640 -526 -349
 779 -235 -193  -95  -37  -23  -14 -114  -92  -40  -70  -35    2  -64  -39    0 -725 -559 -350
 794 -195 -125  -66  -40  -29  -17  -94  -72  -43  -43  -28  -18  -68  -56  -24 -557 -528 -383
 800 -196 -145 -102  -32  -23  -11  -97  -74  -50  -64  -48  -25  -53  -23   -8 -700 -584 -481
 809 -160 -123 -109  -51  -33  -18  -99  -80  -69  -59  -53  -49  -20   -8   -2 -612 -582 -538
 818 -119 -106  -81  -40  -30  -19  -81  -72  -62  -53  -38   -6  -59  -26   -4 -564 -512 -113
 833 -234 -140 -108  -47  -26   -6 -117  -81  -69  -34  -20   13  -68  -56  -22 -545 -474 -297
 851 -229 -164 -104  -48  -24    8 -111  -86  -63  -61  -32  -10  -65  -47   -7 -704 -536 -426
 869 -270 -219 -180  -24  -24  -24 -133 -107  -89  -69  -39  -11  -64  -41   -3 -708 -582 -414
 887 -222 -124  -36  -86  -48  -26 -117  -79  -28  -63  -19   31  -24    9   43 -563 -285  118
 902 -204 -151 -119  -42  -28   -4 -123  -88  -69  -58  -45  -21  -37   -9    3 -604 -515 -285
 911 -197 -158 -120  -33  -22   -5  -95  -82  -56  -67  -54  -36  -15  -10   -5 -698 -584 -453
 923 -139  -39   16  -16   -9   23  -73  -25    2  -32    0   59  -36  -19   -7 -472 -204  128
 932  -61  -36   11  -73  -35  -10  -89  -40  -22  -22   19   56  -20   -8   39 -363  -78  230
 941 -140 -101  -39  -44  -34  -17  -99  -72  -51  -56  -38   14  -11   -5   -2 -591 -462  -99
 950 -108  -99  -70  -53  -37  -25  -86  -74  -65  -57  -48  -36   -8   -5   -2 -612 -538 -462
 959 -112 -101  -65  -45  -38  -29  -87  -76  -61  -55  -49  -27   -6   -3    1 -586 -533 -260
 968 -206 -154 -105  -37  -24    8 -116  -88  -70  -49  -28   -7  -68  -48   -3 -556 -506 -257
 983 -270 -200 -155  -34  -26  -19 -131  -98  -76  -74  -46   -9  -59  -27    6 -743 -606 -402
 995 -269 -223 -125  -56  -28  -18 -132 -110  -65  -84  -59  -21  -39   -5   27 -788 -664 -465
1007 -238 -168 -105  -45  -30  -18 -116  -93  -70  -54  -26   -1  -68  -48   -4 -604 -509 -298
1022 -276 -208 -168  -31  -25  -11 -137 -104  -87  -68  -28    3  -66  -46   -4 -665 -515 -294
1034 -211 -171 -110  -44  -30  -19 -107  -92  -72  -33  -23   19  -68  -57  -26 -541 -500 -257
1049 -212 -154 -104  -33  -24  -11 -107  -84  -64  -30  -18   13  -69  -63  -41 -565 -482 -296
1070 -154 -123  -93  -49  -31  -23  -92  -79  -61  -24   -9   18  -68  -67  -64 -519 -429 -254
1091 -245 -156  -91  -76  -38  -25 -119  -85  -58  -37  -12   14  -73  -69  -67 -679 -482 -298
1103 -272 -218 -119  -43  -34  -18 -135 -107  -59  -84  -69  -34  -19   11   29 -764 -685 -266
1118 -250 -203 -142  -48  -35  -30 -124  -97  -61  -73  -58   -8  -46  -12   11 -721 -651 -323
1136 -250 -180  -79  -74  -35  -21 -121  -92  -41  -75  -47  -13  -48  -13   13 -744 -573 -290
1154  -30  -15   -4  -25    1   16   -5    1   10  -38  -34  -24  -42  -18   -5 -480 -434 -340
1169  -45   -8   21  -58  -18   -5  -60  -11    2  -29  -18   33  -15    1   44 -392 -269  163
1184  -16    3   26  -17  -13    3  -11   -4    5  -45  -22  -16  -14    0   17 -395 -317 -137
1188  -26    2   22  -25  -14    4  -33   -6    4  -25  -17    4  -22   -8    4 -379 -294  -25
1195  -29  -17    4  -12   -5    4  -27  -11   -4  -45  -34  -18  -11    0   14 -483 -405 -308
1243  -22  -12   17  -12   -1   13  -10   -5   25  -45  -33  -12  -11    3    6 -444 -386 -270
1245  -23   -2   27  -26  -13    1  -29   -7    2  -40  -22   -9  -10    3   34 -382 -284  150
1248 -130  -30   18  -14   -5   21  -67  -17    6  -23   -6   53  -59  -24   -8 -415 -273  166
1250 -218 -117  -48  -45  -19   -7 -102  -61  -20  -27  -14   -3  -69  -60  -24 -541 -433 -318
1253 -276 -198 -144  -33  -21  -15 -137  -97  -71  -64  -32   -5  -66  -48  -10 -692 -544 -388
1255 -211 -154  -59  -81  -42  -11 -101  -68  -18  -42  -17   25  -69  -55  -28 -601 -465 -225
1258 -239 -188 -137  -42  -34  -22 -116  -88  -61  -69  -33    5  -62  -36   -6 -710 -534 -335
1260 -193 -165 -108  -34  -33  -23  -91  -77  -46  -66  -56  -35  -35  -17  -10 -710 -629 -559
1263 -203 -165 -104  -39  -30    2 -119  -89  -54  -63  -56  -42  -16  -11   -3 -654 -596 -390
1265  -86  -68  -52  -77  -38  -22  -84  -58  -45  -50  -39  -25  -26   -8    0 -539 -477 -354
1268 -102  -67  -41  -45  -26   -9  -78  -49  -26  -59  -43  -36   -7   -3   11 -591 -458 -358
1270  -63  -20   14  -69  -30   -2  -75  -24    2  -32  -10   39  -12    3   49 -395 -189  244
1273 -202 -137  -87  -70  -37  -24 -116  -89  -55  -58  -50  -35  -13   -5    0 -601 -531 -374
1275 -123  -82  -33  -79  -38  -23  -97  -55  -11  -53  -47  -41  -11   -6   -3 -536 -504 -463
1278  -94  -59  -23  -35  -15    8  -62  -36   -8  -50  -45  -40   -4    2   14 -546 -500 -443
1280   30   42   65  -35  -18   14   -1   11   39  -16   25   53  -16   -3   18 -338  -77  112
1283  -53  -28  -23   -5    7   17  -29   -9   -3  -40  -38  -28   -6   -1   15 -450 -414 -265
1285  -38  -27  -22  -21    4    9  -25  -11   -6  -39  -37    8   -3    1   18 -427 -406 -111
1288  -28  -24  -21   -9    4    8  -15  -10   -7  -39  -36    8   -1    1   21 -429 -401  -53
1290  -55  -25  -17  -25   -4    8  -36  -14   -6  -38  -27    7   -2    5   21 -416 -324   -3
1293  -62  -26  -18  -22   -3    8  -39  -15   -8  -40  -30   -1   -2    4   15 -431 -347 -130
1295  -69  -27  -20  -18   -1    9  -32  -14   -6  -39  -32  -11   -1    4   21 -434 -364 -182
