Age;Abies;Acer_Campestre;Alisma;Alnus;Armeria;Artemisia;Betula;Boraginaceae;Botrychium;Erica_Spiculifolia;Buxus;Vulgaris;Campanulaceae;Carpinus;Caryophyllaceae;Cedrus;Centaurea;Amaranthaceae;Corylus;Crassulaceae;Cyperaceae;Caprifoliaceae;Ephedra;Ericaceae;Fagus;Filipendula;Fraxinus;Gentiana;Poaceae;Hedera;Helianthemum;Hippophae;Ilex;Isoetes;Juniperus;Lamiaceae;Fabaceae;Lemna;Liliaceae;Lycopodium;Trifoliata;Mercurialis;Myriophyllum;Nymphaea;Osmunda;Picea;Pinus;Plantago;Plantago_Lanceolata;Polygonum;Polypodium;Populus;Potamogeton;Quercus_Robur;Quercus_Ilex;Ranunculaceae;Ranunculus;Rhamnus;Rosaceae;Rubiaceae;Rumex;Salix;Minor;Officinalis;Saxifraga;Scrophularia;Selaginella;Sphagnum;Taxus;Thalictrum;Tilia;Angustifolia;Ulmus;Apiaceae;Valeriana;Vitis
19451;0;0;0;0;0;11;150;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;13;0;0;30;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
19610;0;0;0;0;0;8;150;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;6;0;1;44;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;35;0;0;0;0;5;0;0;0;0;0;0;0;0;3;5;2;0;0;0;0;0;0;0;0;1;0;0;1;0
19716;0;0;0;0;0;10;150;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;7;0;1;37;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;30;0;0;0;0;0;0;0;1;0;0;0;0;0;7;6;1;0;0;0;0;0;0;0;0;0;0;2;1;0
19875;0;0;0;0;0;7;120;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;8;0;0;50;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;3;0;0;0;0;0;0;0;2;1;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0
19981;0;0;0;0;0;15;120;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;43;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;10;1;0;0;1;0;0;0;2;2;5;0;0;0;0;0;0;0;1;0;0;0;2;0;0
20140;0;0;0;0;0;17;91;0;0;0;0;0;0;0;1;0;0;1;0;0;6;0;0;0;0;1;0;0;36;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;10;0;0;2;0;0;0;1;0;5;6;2;1;0;0;0;0;0;1;0;0;1;3;0;0
20246;0;0;0;0;0;15;86;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;5;0;1;50;0;1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;2;0;0;0;0;0;0;1;2;4;6;2;1;0;0;0;0;0;2;0;0;0;3;0;0
20405;0;0;0;0;0;16;70;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;51;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;2;0;0;0;0;0;0;3;1;2;5;1;0;0;0;0;0;0;4;0;1;0;2;0;0
20511;0;0;0;0;0;10;54;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;62;0;0;0;0;0;13;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;0;2;0;0;1;1;0;0;0;1;1;10;0;1;0;0;0;0;0;1;0;1;0;4;0;0
20670;0;0;0;0;0;15;46;0;0;0;0;0;0;0;1;0;1;0;0;0;3;1;0;0;0;0;0;0;65;0;1;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;1;0;0;0;1;0;0;1;0;2;9;1;0;0;0;0;0;0;1;0;0;0;3;1;0
