Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
27791;0;0;136;4;4;0;0;48;0;162;4;8;0;0;55;10;569
28540;0;0;75;3;0;0;0;78;0;147;0;8;0;0;75;11;602
29295;0;0;0;0;0;0;0;77;0;351;0;7;0;0;56;21;489
29865;0;2;78;2;5;0;0;21;2;460;0;5;2;0;28;7;386
30375;0;0;176;0;0;0;0;63;0;63;0;15;0;0;15;11;658
30631;0;0;164;0;8;0;0;11;4;57;0;23;0;0;149;19;564
31338;0;0;130;0;12;0;0;36;3;82;0;27;0;0;87;31;592
31726;0;0;131;0;0;0;0;32;0;83;0;0;0;0;77;6;673
32115;0;7;158;0;3;0;0;50;7;35;0;7;0;0;82;19;633
32506;0;4;173;0;4;0;0;18;0;60;4;31;0;0;154;29;524
33095;0;0;137;0;0;0;0;12;0;102;0;2;0;0;62;24;661
33687;0;8;189;4;8;0;0;26;8;86;0;4;0;0;63;0;604
34482;0;0;195;0;0;0;0;89;6;80;0;6;0;0;71;6;548
35282;0;4;189;0;0;0;0;29;12;52;0;8;0;0;60;23;623
36291;0;0;178;9;5;0;0;20;3;57;3;11;0;0;110;20;586
37308;0;0;164;0;3;0;0;38;13;78;3;6;0;0;53;0;645
37717;0;0;308;0;7;0;0;7;2;96;2;2;0;0;22;12;541
38333;0;0;330;0;2;0;0;24;2;153;0;0;0;0;22;0;467
38953;0;0;184;0;4;0;0;71;0;75;0;4;0;0;26;4;634
39993;0;4;123;0;9;0;0;85;4;76;0;0;0;0;46;9;644
41251;0;0;227;0;3;0;0;12;7;36;0;7;0;3;92;9;604
42522;0;0;200;0;4;0;0;24;4;43;0;8;0;0;173;36;508
43804;0;3;245;0;20;0;0;30;3;93;3;0;0;0;54;0;549
44882;0;3;255;3;9;0;0;12;15;93;0;6;0;3;60;6;535
45532;0;0;172;0;2;0;0;9;11;119;0;0;0;0;27;11;648
46404;0;0;172;0;15;0;2;32;17;167;21;0;0;0;26;6;543
47061;0;0;260;0;17;0;0;13;19;234;13;0;0;2;17;2;422
47721;0;2;301;0;2;0;0;27;2;136;5;2;0;0;28;0;492
48384;0;0;407;0;2;0;0;18;12;78;0;0;0;0;12;2;467
49050;0;0;441;0;3;0;0;35;6;91;0;0;0;0;17;0;406
49718;0;0;274;0;0;0;0;27;4;46;8;15;0;0;73;4;548
50839;0;0;206;0;4;0;0;19;0;73;0;21;0;0;124;30;522
51741;0;3;159;3;12;0;0;29;3;65;0;32;0;3;106;17;569
52648;0;6;196;4;4;0;0;65;0;59;0;13;0;0;49;10;594
53788;0;0;175;0;0;0;0;24;2;71;0;2;0;0;65;12;647
54706;0;0;223;0;0;0;0;52;4;52;0;17;0;0;67;0;585
55860;0;0;222;0;2;0;0;93;0;35;0;19;0;2;51;6;570
57488;0;5;266;0;0;0;0;286;0;17;2;12;0;0;27;5;381
59130;0;3;85;0;0;0;0;32;0;43;0;28;0;0;225;10;574
60075;0;0;81;0;11;0;0;3;0;81;0;0;0;0;216;26;582
61262;0;0;67;3;6;0;0;10;3;77;0;3;0;3;228;30;571
62697;0;3;74;3;11;0;0;39;19;123;4;7;0;4;81;7;627
64142;0;19;134;13;65;0;0;0;30;197;30;8;2;2;65;30;402
65354;0;18;296;11;27;0;0;15;15;100;29;11;3;3;71;9;393
66573;0;23;133;13;60;0;6;44;17;83;60;20;0;17;33;4;487
66899;0;5;179;12;28;0;1;16;8;107;65;9;0;1;123;8;436
67471;0;28;269;32;95;0;3;25;35;130;136;4;3;13;21;3;202
71434;0;23;189;30;81;3;3;16;59;192;166;0;3;6;16;13;199
71601;0;3;276;15;63;0;5;17;26;144;135;5;0;12;63;0;236
