;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
57251,12021;0;3,65099811;3,65099811;3,65099811;3,65099811;3,65099811;3,65099811;3,65099811;3,65099811;4,785839038;18,59789438;17,46305345;4,626615154;4,626615154;0;0
57427,97916;0;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;4,673374102;18,11234458;17,23286254;3,875729144;3,875729144;0;0
57589,67877;0;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;3,793892065;4,558135112;18,70809439;17,94385134;3,578440508;3,578440508;0;0
57771,59083;0,743391956;4,516565965;4,516565965;4,516565965;4,516565965;4,516565965;4,516565965;3,773174009;3,773174009;5,038431932;21,85705731;19,10501548;3,556577738;3,556577738;0;0
57908,02488;1,208629099;5,67080158;4,977698268;5,67080158;5,67080158;5,67080158;5,67080158;3,769069169;3,769069169;5,349529823;24,18729261;19,49647045;3,412174731;3,412174731;0;0
58089,93694;1,492405005;5,475323081;5,475323081;5,475323081;5,475323081;5,475323081;5,475323081;3,982918076;3,982918076;5,240131583;18,03940186;22,66192208;5,051106282;5,051106282;0;0
58266,79589;1,241296218;6,033935136;6,033935136;6,033935136;6,033935136;6,033935136;6,033935136;4,792638918;4,792638918;5,089168669;15,3645283;20,87856046;3,133816416;3,133816416;0;0
58448,70795;0;7,805521715;6,580776843;7,098414934;7,805521715;7,098414934;7,805521715;5,873670062;5,873670062;3,674234614;16,77782389;17,04540769;3,802680346;3,802680346;0;0
58610,40756;0;7,107144775;5,857402521;6,378496849;7,107144775;6,378496849;7,107144775;5,128754595;5,128754595;3,732692018;13,64204634;19,49944886;4,838344686;4,838344686;0;0
58807,47896;1,386206622;5,868196727;5,175093416;5,868196727;5,868196727;5,868196727;5,868196727;5,175093416;4,481990105;5,283163705;15,52961843;20,70471185;4,105278043;4,105278043;0;0
58928,75367;0;4,306694672;4,306694672;4,306694672;4,306694672;4,979287417;4,979287417;4,979287417;4,306694672;3,961120574;21,13456525;20,8075466;4,027101369;4,027101369;0;0
59125,82507;0;4,674712954;4,674712954;4,674712954;4,674712954;4,674712954;4,674712954;4,674712954;4,674712954;4,674712954;15,71487494;15,71487494;0,822478328;0,822478328;0;0
59267,31223;0;5,81732136;4,514323969;5,81732136;5,81732136;5,81732136;5,81732136;4,514323969;4,514323969;4,634438693;17,69612964;16,27301753;3,276725943;3,276725943;0;0
59469,43674;0;3,858058501;4,631945509;3,858058501;3,858058501;3,858058501;3,858058501;3,858058501;3,858058501;4,263955757;19,36408852;18,18430426;4,956330317;4,956330317;0;0
59605,87079;0;3,300364389;3,300364389;3,300364389;3,300364389;3,300364389;3,300364389;3,300364389;3,300364389;4,149881806;13,80018964;12,95067222;2,891497795;2,891497795;0;0
59787,78285;0,781735953;3,479471633;3,479471633;3,479471633;3,479471633;3,479471633;3,479471633;2,69773568;2,69773568;4,364100158;18,75420272;15,52436634;4,261207586;4,261207586;0;0
59964,6418;0,620448064;3,35259041;4,820537037;3,35259041;3,35259041;3,35259041;3,35259041;2,732142346;2,732142346;3,937739851;25,93213637;15,08546479;5,129003945;5,129003945;0;0
60126,34141;0;3,339234254;4,539962199;3,339234254;3,339234254;3,339234254;3,339234254;3,339234254;3,339234254;3,618319085;22,55854491;13,19953568;4,840701944;4,840701944;0;0
60288,04102;0;3,7883354;5,00496928;3,7883354;3,7883354;3,7883354;3,7883354;3,7883354;3,7883354;3,655322982;23,01985521;13,14292907;4,132002527;4,132002527;0;0
60444,68752;0;4,126229901;5,375972155;4,126229901;4,126229901;4,126229901;4,126229901;4,126229901;4,126229901;3,868322311;23,05840516;12,56436844;3,949072432;3,949072432;0;0
60646,81203;0;4,574775557;5,296168793;4,574775557;4,574775557;4,574775557;4,574775557;4,574775557;4,574775557;3,978257232;22,34047414;12,34465488;3,563072064;3,563072064;0;0
