;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
21417,77326;2,014145527;6,389639487;6,389639487;6,389639487;6,389639487;6,389639487;6,389639487;4,37549396;4,37549396;8,074207543;24,70457091;16,97756627;0;0;0;0
21421,2597;2,014550873;6,387315173;6,387315173;6,387315173;6,387315173;6,387315173;6,387315173;4,3727643;4,3727643;8,07415387;24,71923082;16,98873951;0;0;0;0
21424,74615;2,014955591;6,384978409;6,384978409;6,384978409;6,384978409;6,384978409;6,384978409;4,370022817;4,370022817;8,074100153;24,73364287;16,99965435;0;0;0;0
21428,23259;2,015331138;6,382617152;6,382617152;6,382617152;6,382617152;6,382617152;6,382617152;4,367286014;4,367286014;8,074011601;24,74768383;17,01029597;0;0;0;0
21431,71903;2,015737357;6,380291232;6,380291232;6,380291232;6,380291232;6,380291232;6,380291232;4,364553875;4,364553875;8,073967951;24,76143406;17,02054526;0;0;0;0
21435,20547;2,016138861;6,37796827;6,37796827;6,37796827;6,37796827;6,37796827;6,37796827;4,361829409;4,361829409;8,073899131;24,77495741;17,03060997;0;0;0;0
21438,69191;2,016543831;6,37564502;6,37564502;6,37564502;6,37564502;6,37564502;6,37564502;4,359101189;4,359101189;8,073855385;24,7881559;17,04031404;0;0;0;0
21442,17835;2,016945454;6,373314996;6,373314996;6,373314996;6,373314996;6,373314996;6,373314996;4,356369542;4,356369542;8,073791554;24,80116972;17,0498568;0;0;0;0
21445,66479;2,017346458;6,371000111;6,371000111;6,371000111;6,371000111;6,371000111;6,371000111;4,353653653;4,353653653;8,073737613;24,81386297;17,0590861;0;0;0;0
21449,15123;2,017746844;6,368672763;6,368672763;6,368672763;6,368672763;6,368672763;6,368672763;4,350925919;4,350925919;8,07368363;24,82637778;17,06812639;0;0;0;0
21452,63767;2,018147973;6,366350788;6,366350788;6,366350788;6,366350788;6,366350788;6,366350788;4,348202815;4,348202815;8,073624741;24,83867381;17,07695594;0;0;0;0
21456,12411;2,018545768;6,364035869;6,364035869;6,364035869;6,364035869;6,364035869;6,364035869;4,3454901;4,3454901;8,07356564;24,85068793;17,08552086;0;0;0;0
21459,61055;2,018947026;6,361720577;6,361720577;6,361720577;6,361720577;6,361720577;6,361720577;4,342773551;4,342773551;8,073511716;24,86254888;17,09391666;0;0;0;0
21463,097;2,019344953;6,359398548;6,359398548;6,359398548;6,359398548;6,359398548;6,359398548;4,340053594;4,340053594;8,073457577;24,87416528;17,10207139;0;0;0;0
21466,58344;2,019714002;6,357066035;6,357066035;6,357066035;6,357066035;6,357066035;6,357066035;4,337352033;4,337352033;8,073368917;24,8855402;17,11009531;0;0;0;0
21469,92457;2,020110735;6,354746677;6,354746677;6,354746677;6,354746677;6,354746677;6,354746677;4,334635942;4,334635942;8,073314727;24,89680352;17,11790327;0;0;0;0
21473,26571;2,020508215;6,352432653;6,352432653;6,352432653;6,352432653;6,352432653;6,352432653;4,331924438;4,331924438;8,073255648;24,90785557;17,12550793;0;0;0;0
21476,60685;2,020901024;6,350121708;6,350121708;6,350121708;6,350121708;6,350121708;6,350121708;4,329220684;4,329220684;8,073191347;24,91874872;17,13297601;0;0;0;0
21479,94799;2,021297292;6,347810316;6,347810316;6,347810316;6,347810316;6,347810316;6,347810316;4,326513023;4,326513023;8,073142065;24,92943412;17,1402105;0;0;0;0
21483,28913;2,021694309;6,345504231;6,345504231;6,345504231;6,345504231;6,345504231;6,345504231;4,323809922;4,323809922;8,073087895;24,94000059;17,147334;0;0;0;0
21486,63026;2,022089368;6,343195446;6,343195446;6,343195446;6,343195446;6,343195446;6,343195446;4,321106079;4,321106079;8,073038527;24,9503553;17,15424411;0;0;0;0
21489,9714;2,006654301;6,294157299;6,294157299;6,294157299;6,294157299;6,294157299;6,294157299;4,287502998;4,287502998;8,014391955;24,77271462;17,03251706;0,943014925;0,943014925;0;0
21493,31254;2,006901249;6,291440624;6,291440624;6,291440624;6,291440624;6,291440624;6,291440624;4,284539375;4,284539375;8,01380857;24,7810823;17,03801061;0,949564832;0,949564832;0;0
21496,65368;2,007153067;6,288741781;6,288741781;6,288741781;6,288741781;6,288741781;6,288741781;4,281588714;4,281588714;8,013235775;24,78925285;17,04329966;0,956063073;0,956063073;0;0
21499,99481;2,007368661;6,286010141;6,286010141;6,286010141;6,286010141;6,286010141;6,286010141;4,278641479;4,278641479;8,012619859;24,7972237;17,048508;0,962563856;0,962563856;0;0
21503,33595;2,007615694;6,283304029;6,283304029;6,283304029;6,283304029;6,283304029;6,283304029;4,275688335;4,275688335;8,012043711;24,80512002;17,05353326;0,968952163;0,968952163;0;0
21506,67709;2,007863627;6,280604006;6,280604006;6,280604006;6,280604006;6,280604006;6,280604006;4,272740379;4,272740379;8,011463466;24,81291178;17,05846144;0,975289521;0,975289521;0;0
21510,01823;2,00781831;6,277057892;6,277057892;6,277057892;6,277057892;6,277057892;6,277057892;4,269239582;4,269239582;8,009811317;24,82267891;17,06647056;0,981382652;0,981382652;0;0
21513,35937;2,007674288;6,273211963;6,273211963;6,273211963;6,273211963;6,273211963;6,273211963;4,265537675;4,265537675;8,00778733;24,83308921;17,07549098;0,987360172;0,987360172;0;0
21516,7005;2,007527951;6,269363782;6,269363782;6,269363782;6,269363782;6,269363782;6,269363782;4,261835831;4,261835831;8,005767321;24,84333584;17,08434844;0,993345271;0,993345271;0;0
21520,04164;2,007384562;6,265542497;6,265542497;6,265542497;6,265542497;6,265542497;6,265542497;4,258157935;4,258157935;8,003751289;24,85341528;17,09305281;0,999224559;0,999224559;0;0
21523,38278;2,007240174;6,26170913;6,26170913;6,26170913;6,26170913;6,26170913;6,26170913;4,254468956;4,254468956;8,001744071;24,86340533;17,10164987;1,005055428;1,005055428;0;0
21526,72392;2,007098724;6,257888912;6,257888912;6,257888912;6,257888912;6,257888912;6,257888912;4,250790187;4,250790187;7,999740781;24,87323234;17,1100843;1,010841366;1,010841366;0;0
21530,06506;2,006953654;6,254076239;6,254076239;6,254076239;6,254076239;6,254076239;6,254076239;4,247122585;4,247122585;7,997736596;24,88294098;17,11841966;1,016578843;1,016578843;0;0
