;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
X59962.5855890782;5,397522541;15,66640632;15,45929953;14,76796182;18,3735131;14,76796182;18,3735131;10,07754606;7,1633325;7,907502621;0;0;0;0;0;0
X60063.0945268857;7,694535829;13,26405257;11,11929151;13,23243411;18,30195085;13,86488964;18,93440638;8,315114868;0,5;9,952853787;0,632455532;0,632455532;0,5;0,5;0;0
X60213.8579335969;6,015091163;15,65445159;13,8937699;17,35812345;21,07295857;17,35812345;21,07295857;13,10371397;5,924525297;7,658258836;0;0;0;0;0;0
X60314.3668714044;5,357079891;13,24293199;11,69373865;17,37185132;19,8818314;17,37185132;19,8818314;13,56396476;5,375872022;7,173670104;0,836660027;0,836660027;0;0;0;0
X60465.1302781156;5,75311605;14,18311807;12,1582724;18,52090407;21,41917942;19,15335961;22,05163496;15,42508923;5,531726674;7,33425488;0;0;0;0;0;0
X60565.6392159231;3,999918827;8,630244984;7,017793434;15,89311279;17,62516359;16,52556832;18,25761912;14,13810104;2,898275349;5,612370377;0;0;0;0;0;0
X60716.4026226344;4,829942256;9,91084673;8,013480134;17,05001736;19,14763506;17,75712414;19,85474184;14,82454848;2,983286778;6,171583042;0;0;0;0;0;0
X60816.9115604419;3,994984292;9,487993936;7,59062734;15,36678049;18,03136301;15,99923602;18,66381854;13,90161833;2,828427125;5,544177631;0;0;0;0;0;0
X61068.1839049606;4,527190464;10,1912735;8,347364608;15,99904899;18,40736791;17,04785784;19,45617676;14,36457627;3,255764119;5,159645996;0;0;0;0;0;0
X62324.5456275544;4,245721349;9,710707053;8,129568223;15,63568962;18,18519937;16,13568962;18,68519937;13,4711071;2,915475947;5,14014854;0;0;0;0;0;0
X62475.3090342657;5,535926051;10,57739235;8,43263129;16,76266306;18,78750873;17,07889083;19,1037365;13,68772584;3,016620626;6,839766532;0,316227766;0,316227766;0;0;0;0
