"";"CLDE";"TAIG";"CLMX";"COCO";"TEDE";"COMX";"WAMX";"XERO";"TUND";"COST";"WAST";"CODE";"HODE";"AQUA";"ANTH"
"205";1,57288832889283;3,25981598207278;3,92600853856967;5,61293619174962;3,83761635656706;5,52454400974701;2,26472802767423;0;0;2,35312020967684;0;1,98694624746986;1,98694624746986;0;0
"206";2,47526392266142;3,74517575280477;5,18674187316302;6,45665370330637;8,5935065413255;9,86341837146885;6,11824261866408;0;0;2,85938041156264;1,3557389752508;0,903825983500532;0,903825983500532;0;0
"207";1,60356745147454;3,2292541195804;2,40535117721181;4,03103784531767;4,76170102836526;6,38738769647112;3,15813357689072;0;0;0;0;1,19522860933439;1,19522860933439;0;0
"208";2,28746236612389;4,43118375690066;8,80081852233783;10,9445399131146;10,4274493641114;12,5711707548882;8,13998699798756;0;0;0;0;0,74011532928115;0,74011532928115;0;0
"209";2,81333570371367;4,16849200397237;5,66233946466354;7,01749576492224;5,74068280763693;7,09583910789563;2,92734710392326;0;0;2,84900376094987;0;0;0;0;0
"210";3,08706004490611;3,92876023767163;5,61216062320266;6,45386081596818;8,69219726636047;9,53389745912598;5,60513722145436;0;0;0,968538313778445;0;1,92059520294811;1,92059520294811;0;0
"211";1,1481209945741;1,91682710935991;6,46105546878632;7,22976158357213;8,53158523280575;9,30029134759156;7,38346423823165;0;0;0;1,43019388386839;0;0;0;0
"212";2,60414158563974;5,29987716081438;7,71124685886884;10,4069824340435;7,24024416918943;9,93597974436407;4,63610258354969;0;0;0;0;1,37240487671498;1,37240487671498;0;0
"213";3,49777515422257;3,49777515422257;4,72252002561416;4,72252002561416;9,51850952484734;9,51850952484734;6,02073437062477;0;0;0;1,22474487139159;0;0;0;0
"214";2,30154327555998;2,77550285311847;6,18293701895993;6,65689659651842;5,01721992270209;5,49117950026058;2,71567664714211;0;0;2,29839263304862;0;2,5875958289333;2,5875958289333;0;0
"215";2,91127367165314;5,15972993219181;9,56105193662563;11,8095081971643;12,273183463386;14,5216397239246;9,36190979173284;0;0;0;0;0;0;0;0
"216";1,77951304200522;4,80716339610271;9,36821894407575;12,3958692981732;13,0555095182967;16,0831598723942;11,2759964762915;0;0;1,22474487139159;0;0;0;0;0
"217";2,45732812999435;2,97620265165712;2,45732812999435;2,97620265165712;4,01395169498266;4,53282621664543;1,55662356498831;0;0;0;0;1,03774904332554;1,03774904332554;0;0
"218";1,49478259288767;2,02511267877758;3,95382203950092;4,48415212539083;2,31446240842542;2,84479249431533;0,81967981553775;0;0;1,59099025766973;0;1,06066017177982;1,06066017177982;0;0
