"";"CLDE";"TAIG";"CLMX";"COCO";"TEDE";"COMX";"WAMX";"XERO";"TUND";"COST";"WAST";"CODE";"HODE";"AQUA";"ANTH"
"1";0,591607978309962;2,01989366401853;24,7732866518684;26,201572337577;8,65216753616277;10,0804532218713;8,06055955785281;0;0;0;0;0;0;0;7,22772439983706
"2";0;3,15119025131775;24,1230613081121;27,2742515594298;8,04102043603736;11,1922106873551;8,04102043603736;0;0;0;0;0;0;0;7,32393336944022
"3";0;3,84447655734822;18,3737230937514;22,2181996510996;7,43224404764599;11,2767206049942;7,43224404764599;0;0;0;0;0;0;0;6,9282032302755
"4";0,692820323027551;2,79043801936785;22,6192478931867;24,716865589527;10,0800904821632;12,1777081785035;9,38727015913569;0;0;0;0;0;0;0;8,96437393240598
"5";0;1,89208879284245;24,1065828543273;25,9986716471698;8,0355276181091;9,92761641095155;8,0355276181091;0;0;0;0;0;0;0;10,2039208150593
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";0,894427190999916;4,52719046445833;23,5630541553755;25,4069630468341;12,3264873401248;14,1703962315833;9,64320576712501;0;0;0;0;0;0;0;8,40951841665146
"8";0;0;16,81725193302;16,81725193302;5,60575064433999;5,60575064433999;5,60575064433999;0;0;0;0;0;0;0;6,05970296301724
"9";0;0;23,3493014368512;23,3493014368512;7,78310047895039;7,78310047895039;7,78310047895039;0;0;0;0;0;0;0;9,76729235765982
"10";1,39283882771841;1,39283882771841;22,4008467516861;22,4008467516861;8,39550813570764;8,39550813570764;7,00266930798923;0;0;0;0;0;0;0;8,14125297481904
"11";1,54272486205415;1,54272486205415;24,4472116635212;24,4472116635212;11,2122527908141;11,2122527908141;9,66952792875992;0;0;0;0;0;0;0;7,46190324247106
"12";0;1,42828568570857;17,2403064294339;17,2403064294339;6,69895926695035;6,69895926695035;5,27067358124178;0;0;0;0;0;0;0;5,86174035590114
"13";1,89208879284245;1,89208879284245;18,2968677193487;18,2968677193487;7,36034843501119;7,36034843501119;5,46825964216874;0;0;0;0;0;0;0;6,85273667960472
"14";1,94164878389476;1,94164878389476;22,8077485835688;22,8077485835688;8,8970153837861;8,8970153837861;6,95536659989134;0;0;0;0;0;0;0;7,0199715099137
"15";0;0,608276253029822;21,6143658525237;22,2226421055535;10,5454472352059;11,1537234882357;10,5454472352059;0;0;0;0;0;0;0;6,572670690062
"16";0;0;22,7487961635179;22,7487961635179;7,58293205450597;7,58293205450597;7,58293205450597;0;0;0;0;0;0;0;8,32346081867392
"17";0;0;24,6322854490522;24,6322854490522;8,21076181635074;8,21076181635074;8,21076181635074;0;0;0;0;0;0;0;7,62627038597504
"18";0;0,640312423743285;29,9240281571318;30,564340580875;11,8956133236071;12,5359257473504;11,8956133236071;0;0;0;0;0;0;0;4,4497190922574
"19";0;0;29,8692920737795;29,8692920737795;9,95643069125984;9,95643069125984;9,95643069125984;0;0;0;0;0;0;0;6,69626761711328
"20";0,6557438524302;0,6557438524302;28,2189521164696;28,2189521164696;9,84347994044333;9,84347994044333;9,18773608801313;0;0;0;0;0;0;0;6,8264192663504
"21";0;0;28,9208126317805;28,9208126317805;9,64027087726017;9,64027087726017;9,64027087726017;0;0;0;0;0;0;0;2,23606797749978
"22";1,01980390271856;1,01980390271856;24,0245601118872;24,0245601118872;8,68805597244144;8,68805597244144;7,66825206972288;0;0;0;0;0;0;0;3,2124756808418
"23";1,9313207915828;1,9313207915828;29,7131234670561;29,7131234670561;11,1919216834072;11,1919216834072;9,26060089182443;0;0;0;0;0;0;0;3,8626415831656
"24";0;0;32,1644227015671;32,1644227015671;10,7214742338557;10,7214742338557;10,7214742338557;0;0;0;0;0;0;0;4,12795348811006
"25";0;0;25,9221467745019;25,9221467745019;8,64071559150062;8,64071559150062;8,64071559150062;0;0;0;0;0;0;0;1,3856406460551
"26";0;0;33,3795346140279;33,3795346140279;11,1265115380093;11,1265115380093;11,1265115380093;0;0;0;0;0;0;0;5,45527267879434
"27";0;0;37,2799865915997;37,2799865915997;12,4266621971999;12,4266621971999;12,4266621971999;0;0;0;0;0;0;0;1,3856406460551
"28";0;0;35,196344406117;35,196344406117;15,1394598095191;15,1394598095191;15,1394598095191;0;0;0;0;0;0;0;0
"29";0;0;33,2938492678233;33,2938492678233;13,0651813132317;13,0651813132317;13,0651813132317;0;0;0;0;0;0;0;0
"30";0;0;31,3074230274444;31,3074230274444;16,5325281056853;16,5325281056853;16,5325281056853;0;0;0;0;0;0;0;3,0199337741083
"31";0;0;34,1713078866831;34,1713078866831;11,3904359622277;11,3904359622277;11,3904359622277;0;0;0;0;0;0;0;0
"32";0;0;34,5959572436871;34,5959572436871;18,2803188754169;18,2803188754169;18,2803188754169;0;0;0;0;0;0;0;1,0770329614269
"33";0;0;34,1047790904867;34,1047790904867;15,8482150537493;15,8482150537493;15,8482150537493;0;0;0;0;0;0;0;0
"34";0;0;30,2023367136522;30,2023367136522;16,1641660010879;16,1641660010879;16,1641660010879;0;0;0;0;0;0;0;0
"35";0;0;21,9418372773645;21,9418372773645;9,41394575912149;9,41394575912149;9,41394575912149;0;0;0;0;0;0;0;0
"36";0,7;1,4;28,7752291940163;29,4752291940163;14,2797839151799;14,9797839151799;13,5797839151799;0;0;0;0;0;0;0;0
"37";0;0;23,3894710699;23,3894710699;14,7225281850024;14,7225281850024;14,7225281850024;0;0;0;0;0;0;0;1,14891252930761
"38";0;0;28,4051454049131;28,4051454049131;15,8323428323166;15,8323428323166;15,8323428323166;0;0;0;0;0;0;0;0
"39";0;0,556776436283002;19,0066134893574;19,5633899256404;12,5853378265857;13,1421142628687;12,5853378265857;0;0;0;0;0;0;0;0
"40";0;0;22,2179044377677;22,2179044377677;13,4582404464722;13,4582404464722;13,4582404464722;0;0;0;0;0;0;0;2,67581763205194
"41";0;0;27,2358025620563;27,2358025620563;12,4991271293162;12,4991271293162;12,4991271293162;0;0;0;0;0;0;0;1,26491106406735
"42";0;0;31,0983602394918;31,0983602394918;10,3661200798306;10,3661200798306;10,3661200798306;0;0;0;0;0;0;0;1,3114877048604
"43";0;0;24,842331529785;24,842331529785;13,1644233554249;13,1644233554249;13,1644233554249;0;0;0;0;0;0;0;2,06881608655772
"44";0;0;31,1761148841582;31,1761148841582;12,35926985201;12,35926985201;12,35926985201;0;0;0;0;0;0;0;0
"45";0;0;24,6670799664333;24,6670799664333;8,2223599888111;8,2223599888111;8,2223599888111;0;0;0;0;0;0;0;0
"46";0;0;29,8440236233671;29,8440236233671;9,94800787445571;9,94800787445571;9,94800787445571;0;0;0;0;0;0;0;0
"47";0;0;23,7935638246875;23,7935638246875;9,54673738370286;9,54673738370286;9,54673738370286;0;0;0;0;0;0;0;2,72763633939718
"48";0;0;28,8062940932627;28,8062940932627;14,1518232975185;14,1518232975185;14,1518232975185;0;0;0;0;0;0;0;1,3114877048604
"49";0;1,4142135623731;29,3562051920081;29,3562051920081;12,8495311158111;12,8495311158111;11,435317553438;0;0;0;0;0;0;0;3,16227766016838
"50";0;0;31,2910561908177;31,2910561908177;12,5088130326886;12,5088130326886;12,5088130326886;0;0;0;0;0;0;0;2,41660919471892
"51";0;0;24,334266876877;24,334266876877;11,597107303879;11,597107303879;11,597107303879;0;0;0;0;0;0;0;3,57770876399966
"52";0;0,640312423743285;19,8151954213776;20,4555078451209;8,52600241168905;9,16631483543234;8,52600241168905;0;0;0;0;0;0;0;0
"53";0;0;17,4345191077536;17,4345191077536;9,38641895559509;9,38641895559509;9,38641895559509;0;0;0;0;0;0;0;2,3832750575626
"54";0;0;23,4056717107089;23,4056717107089;7,80189057023631;7,80189057023631;7,80189057023631;0;0;0;0;0;0;0;2,227105745132
"55";0;0;18,1749728416967;18,1749728416967;6,05832428056555;6,05832428056555;6,05832428056555;0;0;0;0;0;0;0;3,74165738677394
"56";0;0;25,5912654258659;25,5912654258659;11,5898335167776;11,5898335167776;11,5898335167776;0;0;0;0;0;0;0;2,03960780543712
"57";0;0;20,7054786467101;20,7054786467101;11,4909437778036;11,4909437778036;11,4909437778036;0;0;0;0;0;0;0;2,19089023002066
"58";0;0;29,2351653587134;29,2351653587134;11,274760973649;11,274760973649;11,274760973649;0;0;0;0;0;0;0;2,01990098767242
"59";0;0;19,6693782058744;19,6693782058744;8,5006816114805;8,5006816114805;8,5006816114805;0;0;0;0;0;0;0;4,04474968323134
"60";0;0;29,8484662218745;29,8484662218745;9,94948874062485;9,94948874062485;9,94948874062485;0;0;0;0;0;0;0;4,40908153700972
"61";0;0;28,790161560743;28,790161560743;14,6435016726259;14,6435016726259;14,6435016726259;0;0;0;0;0;0;0;4,24264068711928
"62";0;0;31,1319179926182;31,1319179926182;10,3773059975394;10,3773059975394;10,3773059975394;0;0;0;0;0;0;0;1,98997487421324
"63";0;0;28,1665423366214;28,1665423366214;11,138133013994;11,138133013994;11,138133013994;0;0;0;0;0;0;0;2,84253408071038
"64";0;0;34,8110946561816;34,8110946561816;14,6631099268829;14,6631099268829;14,6631099268829;0;0;0;0;0;0;0;2,03960780543712
"65";0,616441400296898;0,616441400296898;26,6266658271289;26,6266658271289;11,1358404101316;11,1358404101316;10,5193990098347;0;0;0;0;0;0;0;4,36348484585428
"66";0;0;31,2663264249864;31,2663264249864;10,4221088083288;10,4221088083288;10,4221088083288;0;0;0;0;0;0;0;2,06881608655772
"67";0;0;21,5745246365723;21,5745246365723;7,19150821219078;7,19150821219078;7,19150821219078;0;0;0;0;0;0;0;3,5213633723318
"68";0;0;29,0161583699915;29,0161583699915;9,67205278999717;9,67205278999717;9,67205278999717;0;0;0;0;0;0;0;0
"69";0;0;25,589477880716;25,589477880716;10,4507632314685;10,4507632314685;10,4507632314685;0;0;0;0;0;0;0;0
"70";0;0;20,9815788314102;20,9815788314102;8,71722840443149;8,71722840443149;8,71722840443149;0;0;0;0;0;0;0;1,14891252930761
"71";0;0;30,4254521036013;30,4254521036013;14,8852338581197;14,8852338581197;14,8852338581197;0;0;0;0;0;0;0;3,74165738677394
"72";0;0;25,0846578604185;25,0846578604185;8,3615526201395;8,3615526201395;8,3615526201395;0;0;0;0;0;0;0;5,21536192416212
"73";0;0;25,1101907501969;25,1101907501969;12,0073702792936;12,0073702792936;12,0073702792936;0;0;0;0;0;0;0;1,81107702762748
"74";0;0,479583152331272;26,3351814459653;26,8147645982966;11,7177815066616;12,1973646589928;11,7177815066616;0;0;0;0;0;0;0;3,93954312071844
