;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE
16993,45173;5,704903575;5,704903575;7,107395246;8,386751388;8,386751388;8,386751388;8,386751388;3,961203955;2,681847813;12,74052721;7,884123346;7,884123346;0;0;;7%;7%;8%;10%;10%;10%;10%;5%;3%;15%;9%;9%;0%;0%
17095,88112;4,928801605;5,082294958;5,559544268;6,861317574;6,861317574;6,861317574;6,861317574;3,387782627;1,932515968;10,85350364;9,325022188;9,911204723;0,893169241;0,893169241;;6%;6%;7%;9%;9%;9%;9%;4%;2%;14%;12%;12%;1%;1%
17164,52035;4,455377888;5,585766218;5,368248817;6,498637147;6,498637147;6,498637147;6,498637147;3,17364759;2,04325926;9,483078931;30,55522358;14,42216554;0,623609564;0,623609564;;4%;5%;5%;6%;6%;6%;6%;3%;2%;9%;30%;14%;1%;1%
17338,20459;3,363680424;3,363680424;3,95009483;3,95009483;3,95009483;3,95009483;3,95009483;0,586414407;0,586414407;8,944502014;30,88696215;15,21509929;2,179691458;2,179691458;;4%;4%;5%;5%;5%;5%;5%;1%;1%;10%;35%;17%;3%;3%
17444,29267;1,83674214;2,952173019;2,952173019;3,23747172;3,23747172;3,522770421;3,522770421;1,971326983;1,40072958;7,395100606;12,39068401;14,07671229;2,16526036;2,16526036;;3%;5%;5%;5%;5%;6%;6%;3%;2%;12%;20%;22%;3%;3%
17516,49097;1,182680928;2,05779394;2,422364088;2,05779394;2,05779394;2,05779394;2,05779394;0,875113013;0,875113013;5,255592368;21,47320853;12,248001;0,364570147;0,364570147;;2%;4%;4%;4%;4%;4%;4%;2%;2%;9%;39%;22%;1%;1%
17839,5801;0,651338947;1,302677895;1,302677895;1,302677895;1,628347368;1,302677895;1,628347368;0,977008421;0,651338947;6,38137676;12,91677468;14,71623462;1,495211694;1,495211694;;1%;3%;3%;3%;3%;3%;3%;2%;1%;13%;27%;31%;3%;3%
17919,93796;0,497183076;1,585940744;1,337349206;1,585940744;1,585940744;1,585940744;1,585940744;1,337349206;1,088757667;6,161480885;14,02849189;15,3658411;2,127029841;2,127029841;;1%;3%;3%;3%;3%;3%;3%;3%;2%;12%;27%;30%;4%;4%
18040,30629;0,875113013;1,750226025;1,750226025;1,750226025;1,750226025;1,750226025;1,750226025;0,875113013;0,875113013;7,728459234;13,10761487;14,34729803;0,729140295;0,729140295;;2%;4%;4%;4%;4%;4%;4%;2%;2%;16%;26%;29%;1%;1%
18120,32722;1,001877936;3,309134545;2,807258366;3,309134545;3,309134545;3,309134545;3,309134545;1,80538043;1,80538043;6,840239535;12,98729587;15,29455248;2,328757678;2,328757678;;2%;5%;4%;5%;5%;5%;5%;3%;3%;11%;20%;24%;4%;4%
18449,46142;0,134665196;2,66048421;2,66048421;2,525819014;2,66048421;2,525819014;2,66048421;2,391153818;2,391153818;5,276941461;14,16999031;17,29344832;1,001634584;1,001634584;;0%;4%;4%;4%;4%;4%;4%;4%;4%;9%;24%;29%;2%;2%
18532,58269;0,607918759;1,215837518;0,607918759;1,215837518;1,215837518;1,215837518;1,215837518;1,215837518;0,607918759;5,309907237;17,1195008;11,80959356;0;0;;1%;3%;1%;3%;3%;3%;3%;3%;1%;12%;39%;27%;0%;0%
