"","X1","X2","X3"
"1",392,14615.588624873,588.630911268291
"2",395,14721.1502964425,598.331985823229
"3",397,14793.677203108,596.548476844652
"4",400,14902.4675631061,604.795958431697
"5",402,14975.4471396101,601.726891164331
"6",405,15084.9165043661,608.292766336436
"7",407,15156.4542382259,607.665919405638
"8",410,15263.7608390155,616.822753092354
"9",417,15507.1241984455,620.608783522258
"10",420,15613.1375316693,627.741812253608
"11",422,15684.0249386158,627.745056211992
"12",425,15790.3560490355,637.21203446834
"13",427,15859.2670964565,635.58174141857
"14",430,15962.6336675881,642.028516060992
"15",432,16033.7020281411,638.646040094571
"16",435,16140.3045689706,643.14136461472
"17",437,16212.2176021535,640.034729905018
"18",440,16320.0871519277,645.115211633934
"19",442,16391.6329647353,644.103861155465
"20",445,16498.9516839465,652.055751727286
"21",447,16567.7805675471,650.848521280301
"22",450,16671.0238929479,657.873201878643
"23",452,16744.3088331327,655.986940944725
"24",455,16854.2362434099,663.269043582537
"25",457,16924.1638505888,661.350310192844
"26",460,17029.0552613571,667.656119161166
"27",462,17101.5499709846,665.979229094609
"28",467,17279.2633697249,670.80838864502
"29",470,17382.7203711734,675.47278726464
"30",472,17455.0851093607,671.19287699911
"31",481,17781.4408236126,677.742387378333
"32",483,17867.8142535791,679.773109892746
"33",486,17994.2001888995,687.105335829352
"34",488,18074.2251996072,687.770816305531
"35",496,18394.102303286,692.184669189766
"36",498,18479.0977288455,692.446463196361
"37",503,18685.22742221,698.316898753298
"38",513,19101.8012603509,697.650983594614
"39",521,19433.7727806003,700.541561931854
"40",523,19515.2015605063,700.028283368923
"41",526,19638.9625125962,702.751538999261
"42",528,19723.6268569642,701.476309466277
"43",533,19947.7909108912,700.372990919869
"44",536,20091.208843772,698.331064866564
"45",538,20192.0450967885,690.40400474849
"46",543,20441.065680049,680.335277862247
"47",548,20686.1601028782,668.063864500761
"48",551,20833.1269939043,660.885493300037
"49",556,21079.6312531714,645.736246791909
"50",558,21177.1972799411,637.526099043653
"51",566,21568.5102960635,612.390005759012
"52",571,21811.1972092183,590.706947377366
"53",580,22244.9686739424,554.56997476408
"54",584,22436.6756781024,527.193328010808
"55",591,22773.1363586361,493.045028863285
"56",596,23008.1255817574,464.876599470349
"57",601,23243.3158102856,429.581258430956
"58",606,23485.2619403184,385.10344669586
"59",612,23782.4812676501,321.079124732804
"60",617,24028.9608962729,254.978034764849
"61",619,24128.0386844166,228.303834929408
"62",622,24315.900000402,237.135256903971
"63",629,24808.4567627472,382.721859278162
"64",632,25020.9490050271,419.315554931452
"65",635,25232.7849448938,479.579960370694
"66",640,25602.9403254426,549.731852888209
"67",644,25883.8004270196,579.337242009725
"68",650,26301.9005127338,638.587463526641
"69",655,26655.6015778348,664.661216394513
"70",660,26997.8029560336,673.686249921088
"71",665,27363.3579922211,683.941069732586
"72",670,27703.8059216623,695.210120972148
"73",674,27985.1875199667,695.363040458002
"74",675,28055.5329195428,707.204919105686
"75",681,28483.0613200051,701.984260599898
"76",685,28761.0403756291,709.291525257174
"77",691,29204.8240030208,680.737547401765
"78",694,29418.4188031073,680.580046542693
"79",699,29775.4754223235,670.147278706473
"80",705,30193.8701754237,655.632658846153
"81",710,30545.4627770262,638.706767289732
"82",717,31035.907311537,565.628462821977
"83",720,31250.80308642,550.965202507952
"84",724,31446.8421321835,519.732308237926
"85",732,31820.919341023,464.518135084936
"86",734,31914.461232883,454.23831474452
"87",740,32202.4954598616,411.323626221453
"88",745,32401.4421719366,402.720707194435
"89",751,32638.7666660006,386.709520554615
"90",756,32830.6961615158,379.039633621445
"91",759,32947.6186147356,370.423182530798
"92",764,33142.0043509196,353.361702365691
"93",770,33374.6061326511,340.804149840317
"94",776,33600.5392444806,323.171756396535
"95",779,33710.7044682266,316.715767086778
"96",784,33914.8582277533,325.810601284716
"97",787,34041.1215515638,328.411993351906
"98",791,34208.8270265693,338.232564627549
"99",794,34332.1195150013,339.457152011597
"100",800,34583.1320771278,345.274847662431
"101",805,34827.9747962686,371.961279321606
"102",810,35080.4515911123,388.277490976356
"103",816,35377.7372015216,386.158381290316
"104",819,35534.4117785043,390.231142291377
"105",822,35716.1290868471,406.020263438853
"106",828,36104.9096704196,478.121907847893
"107",831,36301.7872362206,514.375259791643
"108",838,36768.6627093888,569.143769312008
"109",844,37162.0735403322,617.326360072113
"110",850,37559.6349780247,657.100309792452
"111",853,37748.5494657781,658.439042973104
"112",858,38066.1781451151,677.252115379443
"113",864,38453.600974541,697.172350702965
"114",870,38851.7085117891,714.129737742819
"115",874,39114.7196026254,746.485559119938
"116",878,39381.9376236407,783.16944752072
"117",881,39581.107994566,817.800015514105
"118",887,39969.799843102,868.479994949523
"119",891,40228.0767309612,904.121579400915
"120",896,40551.3495717515,948.376100002992
"121",899,40748.3639255352,971.216145543828
"122",902,40943.5381561614,988.125646957769
"123",909,41402.924104122,1039.98447169575
"124",921,42032.0682482857,1107.19255735881
"125",927,42341.6144328187,1191.00188896348
"126",930,42496.3875250852,1249.91248941011
"127",935,42754.3426788627,1368.31915847204
"128",941,43063.8888633957,1536.36093053956
"129",946,43321.8440171732,1692.30655311266
"130",950,43528.2081401952,1824.83412952876
"131",955,43786.1632939727,1997.95354448888
"132",960,44044.1184477502,2177.51298524819
"133",965,44302.0736015277,2362.04422169852
"134",972,44663.2108168162,2626.74090382544
"135",975,44817.9839090827,2741.98288141402
"136",980,45075.9390628602,2935.98318018695
"137",985,45333.8942166377,3132.00734610569
"138",990,45591.8493704152,3329.69795433842
"139",995,45849.8045241927,3528.77494146865
"140",1000,46107.7596779702,3729.01627474253
"141",1005,46365.7148317477,3930.24399196774
"142",1010,46623.6699855252,4132.31399640061
"143",1015,46881.6251393027,4335.10850644414
"144",1020,47139.5802930802,4538.53040419324
"145",1025,47397.5354468577,4742.49895796242
"146",1030,47655.4906006352,4946.94655035901
"147",1035,47913.4457544127,5151.8161503774
"148",1040,48171.4009081902,5357.05934182327
"149",1045,48429.3560619677,5562.63477191237
"150",1050,48687.3112157452,5768.50692024438
"151",1055,48945.2663695227,5974.64511427016
"152",1060,49203.2215233002,6181.02273603513
"153",1065,49461.1766770777,6387.61657855575
"154",1070,49719.1318308552,6594.40632015069
"155",1075,49977.0869846327,6801.37409243109
"156",1076,50028.6780153882,6842.78758924345
"157",1077,50080.2690461437,6884.20745362816
"158",1087,50596.1793536987,7298.7324562559
"159",1091,50802.5434767207,7464.69476261665
"160",1097,51112.0896612537,7713.78385416661
"161",1101,51318.4537842757,7879.93317552811
"162",1104,51473.2268765422,8004.58919360662
"163",1111,51834.3640918307,8295.58970055324
"164",1116,52092.3192456082,8503.55559742584
"165",1121,52350.2743993857,8711.60448978519
"166",1132,52917.7757376962,9169.57635422694
"167",1137,53175.7308914737,9377.85431993048
"168",1141,53382.0950144957,9544.52143544353
"169",1144,53536.8681067622,9669.54652256855
"170",1149,53794.8232605397,9877.966424745
"171",1154,54052.7784143172,10086.4392673533
"172",1164,54568.6887218722,10503.5311640077
"173",1169,54826.6438756497,10712.1445251144
"174",1174,55084.5990294272,10920.7993942724
"175",1180,55394.1452139602,11171.2367530672
"176",1182,55497.3272754712,11254.7277592567
"177",1184,55600.5093369822,11338.2244899271
"178",1185,55652.1003677377,11379.9749625666
"179",1186,55703.6913984932,11421.7268195347
"180",1190,55910.0555215152,11588.7477914377
"181",1192,56013.2375830262,11672.2662003115
"182",1193,56064.8286137817,11714.0273360525
"183",1194,56116.4196445372,11755.7897410344
"184",1195,56168.0106752927,11797.5534017782
"185",1198,56322.7837675592,11922.8517866175
"186",1200,56425.9658290702,12006.3900832603
"187",1202,56529.1478905812,12089.9330951113
"188",1204,56632.3299520922,12173.4807250934
"189",1205,56683.9209828477,12215.2562422718
"190",1208,56838.6940751142,12340.5894642604
"191",1210,56941.8761366252,12424.1503921457
"192",1212,57045.0581981362,12507.7155753954
"193",1214,57148.2402596472,12591.2849292841
"194",1215,57199.8312904027,12633.0711443534
"195",1218,57354.6043826692,12758.4358211563
"196",1220,57457.7864441802,12842.0172005523
"197",1224,57664.1505672022,13009.1914450514
"198",1225,57715.7415979577,13050.9873453932
"199",1228,57870.5146902242,13176.3805180747
"200",1230,57973.6967517352,13259.9804400041
"201",1234,58180.0608747572,13427.1907193934
"202",1235,58231.6519055127,13468.9954160775
"203",1236,58283.2429362682,13510.8009477026
"204",1238,58386.4249977792,13594.4144849647
"205",1242,58592.7891208012,13761.6512450888
"206",1243,58644.3801515567,13803.4624101707
"207",1244,58695.9711823122,13845.2743509586
"208",1246,58799.1532438232,13928.9005317099
"209",1248,58902.3353053342,14012.5297322903
"210",1249,58953.9263360897,14054.3454481703
"211",1250,59005.5173668452,14096.161898952
"212",1253,59160.2904591117,14221.6155958805
"213",1254,59211.8814898672,14263.4349218219
"214",1255,59263.4725206227,14305.2549508171
"215",1258,59418.2456128892,14430.7191950023
"216",1259,59469.8366436447,14472.5419754421
"217",1262,59624.6097359112,14598.0143317285
"218",1264,59727.7917974222,14681.6658578707
"219",1265,59779.3828281777,14723.4925907114
"220",1268,59934.1559204442,14848.9766027521
"221",1270,60037.3379819552,14932.6357353008
"222",1272,60140.5200434662,15016.297318726
"223",1273,60192.1110742217,15058.1290167516
"224",1274,60243.7021049772,15099.9613122904
"225",1275,60295.2931357327,15141.7942003903
"226",1276,60346.8841664882,15183.6276761535
"227",1278,60450.0662279992,15267.2963713467
"228",1280,60553.2482895102,15350.9673597501
"229",1282,60656.4303510212,15434.6406040694
"230",1284,60759.6124125322,15518.3160678134
"231",1285,60811.2034432877,15560.1546207806
"232",1286,60862.7944740432,15601.993715273
"233",1290,61069.1585970652,15769.3554222876
"234",1292,61172.3406585762,15853.0394141496
"235",1294,61275.5227200872,15936.7254543029
"236",1295,61327.1137508427,15978.5692324316
"237",1300,61585.0689046202,16187.7955468351
"238",1305,61843.0240583977,16397.0338868347
"239",1310,62100.9792121752,16606.2837978646
"240",1314,62307.3433351972,16773.6917668271
"241",1315,62358.9343659527,16815.5448479609
"242",1320,62616.8895197302,17024.8166263749
"243",1324,62823.2536427522,17192.2415102263
"244",1328,63029.6177657742,17359.6728183047
"245",1330,63132.7998272852,17443.3908236199
"246",1334,63339.1639503072,17610.8314250281
"247",1335,63390.7549810627,17652.6925159165
"248",1340,63648.7101348402,17862.0034813228
"249",1344,63855.0742578622,18029.4587132546
"250",1345,63906.6652886177,18071.3233976216
"251",1350,64164.6204423952,18280.6519573404
"252",1354,64370.9845654172,18448.1208306573
"253",1355,64422.5755961727,18489.9888669178
"254",1360,64680.5307499502,18699.3338459267
"255",1364,64886.8948729722,18866.8154586166
"256",1365,64938.4859037277,18908.6866263484
"257",1370,65196.4410575052,19118.0469518938
"258",1374,65402.8051805272,19285.5404796921
"259",1375,65454.3962112827,19327.4145773699
"260",1380,65712.3513650602,19536.7892680858
"261",1384,65918.7154880822,19704.293956282
"262",1385,65970.3065188377,19746.1707992968
"263",1390,66228.2616726152,19955.5589556834
"264",1400,66744.1719801702,20374.3543269302
"265",1404,66950.5361031922,20541.8793149797
"266",1405,67002.1271339477,20583.7611540285
"267",1410,67260.0822877252,20793.1738299432
"268",1414,67466.4464107472,20960.70806402
"269",1415,67518.0374415027,21002.5921797219
"270",1420,67775.9925952802,21212.0160353171
"271",1424,67982.3567183022,21379.5589752535
"272",1425,68033.9477490577,21421.4452352479
"273",1430,68291.9029028352,21630.8796242837
"274",1434,68498.2670258572,21798.4307711587
"275",1436,68601.4490873682,21882.2075309602
"276",1444,69014.1773334122,22217.322270495
"277",1445,69065.7683641677,22259.212461291
"278",1447,69168.9504256787,22342.9933967885
