"";"x"
"1";0,0297941635824309
"2";0,0396864099245626
"3";0,0602963205147817
"4";0,0464808670013551
"5";0,00228704738280607
"6";0,0175356523732585
"7";0,0184198137208327
"8";0,00902978221243153
"9";0,00724201560418696
"10";-0,00562617509927688
"11";0,0033940065995567
"12";-0,00681873832287658
"13";-0,00433811691335925
"14";-0,0225049134594054
"15";-0,0144789318176824
"16";-0,00950921827187859
"17";-0,0260027877093098
"18";-0,0343065608035688
"19";-0,0444177892539427
"20";-0,0531890230316395
"21";-0,0489090132628099
"22";-0,0489776474799881
"23";-0,0471227886817328
"24";-0,0531417064618917
"25";-0,0697628841778613
"26";-0,0556030061028169
"27";-0,0439503667104263
"28";-0,0488316359513608
"29";-0,0535247345899518
"30";-0,0393502509134946
"31";-0,057584098683354
"32";-0,0557786672083062
"33";-0,0745555116169826
"34";-0,0555722704335295
"35";-0,0431487246259611
"36";-0,0478004902628506
"37";-0,0474852907096636
"38";-0,0476878139633092
"39";-0,059960194776884
"40";-0,064054939060271
"41";-0,0456159783294805
"42";-0,053326502775955
"43";-0,0479939040899562
"44";-0,0646751004999892
"45";-0,0639068081273251
"46";-0,0702507552849752
"47";-0,0597462916396235
"48";-0,0640197525158337
"49";-0,0514744411227768
"50";-0,0658307222374539
"51";-0,0655212643760421
"52";-0,0672021687219457
"53";-0,0812558838366298
"54";-0,0806739132865979
"55";-0,0562048146135118
"56";-0,0509874361867712
"57";-0,0492159691248781
"58";-0,0468648688010753
"59";-0,0386906470982174
"60";-0,0467328952509829
"61";-0,0367302793180769
"62";-0,036440636655413
"63";-0,0427678955994869
"64";-0,033363332714192
"65";-0,0454028047143907
"66";-0,034364610991645
"67";-0,0433832657918035
"68";-0,0369337874882286
"69";-0,0466757298389787
"70";-0,0436006008009733
"71";-0,0420297416809075
"72";-0,0548346743654966
"73";-0,064164426113434
"74";-0,0474917992988041
"75";-0,0542187181662234
"76";-0,0461895319247958
"77";-0,041245853749151
"78";-0,0388970749771876
"79";-0,049132278103687
"80";-0,0550237808868317
"81";-0,0548372989663549
"82";-0,046680052523758
"83";-0,0620874870326934
"84";-0,04758427680807
"85";-0,0493303319042463
"86";-0,0355177117264252
"87";-0,0381600861984384
"88";-0,0126635705844508
"89";-0,0394856656794585
"90";-0,0465379882979431
"91";-0,046102812476647
"92";-0,0307981468818536
"93";-0,0548813660208728
"94";-0,031481899949381
"95";-0,0457541975273257
"96";-0,069288726999216
"97";-0,0503280405399027
"98";-0,0373655275425164
"99";-0,0406140711665502
"100";-0,0611084305458839
"101";-0,0583744689100753
"102";-0,0283044114071349
"103";0,00470353278562081
"104";-0,0426648661659738
"105";-0,0532006844471502
"106";-0,0485707345003514
"107";-0,0536060578069518
"108";-0,0370596272921154
"109";-0,0301190405998384
"110";0,0302236901931085
"111";-0,0602185092869285
"112";-0,0437786104964016
"113";-0,0442430767067078
"114";-0,0450206396520671
"115";-0,0563037579059721
"116";-0,0498178711558481
"117";-0,0631048465312809
"118";-0,0625844406810585
"119";-0,0548139286564071
"120";-0,0543541496570817
"121";-0,0528083469501161
"122";-0,0506604744291996
"123";-0,0540501117972024
"124";-0,0631241771032152
"125";-0,0574240773708622
"126";-0,0455109510240656
"127";-0,055807636699951
"128";-0,046910420484305
"129";-0,0339969958601488
"130";-0,0410273892918929
"131";-0,055275570681234
"132";-0,0613621749755348
"133";-0,0514497973619223
"134";-0,0581033240931429
"135";-0,052249578389646
"136";-0,0414109473538621
"137";-0,0506404590921758
"138";-0,0304487356717654
"139";-0,0509027602068558
"140";-0,0402503007965138
"141";-0,0382439967299699
"142";-0,0258370458476762
"143";-0,0502465867230545
"144";-0,0487206383762922
"145";-0,0312633059032738
"146";-0,0454818614922035
"147";-0,0155695625090155
"148";-0,0376197959139562
"149";-0,0406298795461725
"150";-0,0546590992434383
"151";-0,0336471888186141
"152";-0,0498249915852383
"153";-0,0598346100924031
"154";-0,0379080945639351
"155";-0,0434462846545151
"156";-0,0472783345085368
"157";-0,0545168480988359
"158";-0,0382383694181369
"159";-0,0522592468159648
"160";-0,0618620269269064
"161";-0,0599168832337477
"162";-0,0589691460551287
"163";-0,0537981975186064
"164";-0,0566486345819295
"165";-0,065235020579266
"166";-0,0511006721134977
"167";-0,0560544891294679
"168";-0,0429066529670282
"169";-0,0505182359208036
"170";-0,0432234471954121
"171";-0,0455320076361086
"172";-0,0465642111708832
"173";-0,0512147856156527
"174";-0,0361605761527093
"175";-0,045638188842029
"176";-0,0282063825815175
"177";-0,0525105177216427
"178";-0,0500658133853455
"179";-0,0404588406561723
"180";-0,0448636061660586
"181";-0,0102597985536001
"182";-0,029792011377885
"183";-0,0308668896091908
"184";-0,0456333849279653
"185";-0,0194784453400793
"186";-0,0509234079425283
"187";-0,0188709391404935
"188";-0,0112480692304699
"189";-0,0269586443944717
"190";0,00237820808149228
"191";-0,0360273118748286
"192";-0,0052573345786406
"193";-0,0244388784847252
"194";-0,0348687092280844
"195";0,000265115566403797
"196";-0,0134400002965284
"197";-0,0169824749944652
"198";-0,0220005664302258
"199";-0,010626909985802
"200";-0,0298050873079764
"201";-0,0341117725124853
"202";-0,0302089355179834
"203";-0,0210178353403922
"204";0,0245424515765578
"205";-0,00808763560471341
"206";-0,011150814754213
"207";-0,031056658790289
"208";-0,00704480088615879
"209";-0,0162954956117517
"210";-0,0356620187294056
"211";-0,0227841460652169
"212";-0,0111205197181488
"213";-0,0432222235439929
"214";-0,0433823038958703
"215";0,00298502328362539
"216";0,00376194563640507
"217";-0,0386494040810855
"218";-0,0527365156176192
"219";-0,0476606561963257
"220";-0,0594640067286328
"221";-0,0164358970483135
"222";-0,00423893571436415
"223";0,0043802948636443
"224";-0,00517113104329964
"225";-0,00942612719028564
"226";0,053037884341222
"227";0,032454245891971
"228";0,0358040756396217
"229";0,0261593114647583
"230";0,0504933694662759
"231";0,059102680482292
"232";0,050122637322368
"233";0,0632584261647274
"234";0,0576859395321164
"235";0,058905391590606
"236";0,0601785209121417
"237";0,0574979333441001
"238";0,0609371788536068
"239";0,0656800350577969
"240";0,0631769270955723
"241";0,0642715361263544
"242";0,0614247383508106
"243";0,0435638532102058
"244";0,0011597532269954
"245";-0,0218257746250336
"246";-0,0218264453367686
"247";-0,0312067177163109
"248";-0,0442052906215628
"249";-0,0261377282746293
"250";-0,041503069311487
"251";0,0324286358472302
"252";0,0373282827208034
"253";0,0440071055823705
"254";0,0573628611429924
"255";0,0490727392101064
"256";0,0542352278479793
"257";0,0408496496834231
"258";0,0440426772421918
"259";0,0524710612379594
"260";0,0469771699724453
"261";0,041885251157587
"262";0,0515737673722512
"263";0,0443658018660299
"264";0,0377920254545808
"265";0,0583234751291599
"266";0,0496428614760331
"267";0,0403006143467716
"268";0,0566779555880994
"269";0,0405888667621991
"270";0,0518583866503115
"271";0,0555564347778623
"272";0,0565721722305279
"273";0,0544254944583542
"274";0,0524869410538876
"275";0,0652261506100156
"276";0,0633880378040631
"277";0,0646249919479425
"278";0,0613238877956186
"279";0,0631477619997099
"280";0,0612595129785053
"281";0,0593920789116036
"282";0,0654441598152035
"283";0,0583901782073638
"284";0,0538695027859458
"285";0,049125762930633
"286";0,042093438237848
"287";0,0482783417426109
"288";0,0479346691570328
"289";0,0596920141835251
"290";0,0546139689220055
"291";0,0482423524125593
"292";0,0484841470397447
"293";0,0476579989882414
"294";0,0572111437226437
"295";0,0392945170333151
"296";0,0326458412518492
"297";0,0248115739161491
"298";0,0130702497601799
"299";0,0176552138880056
