"","x"
"1",-0.015278923423062
"2",-0.0143545508211238
"3",-0.0155715005240791
"4",-0.0129579679127412
"5",-0.015709705123102
"6",-0.03204808855479
"7",-0.0167000552435334
"8",-0.0134748408398484
"9",-0.0208101908048326
"10",-0.0117420164739397
"11",-0.0199906420911713
"12",-0.0177736668815219
"13",-0.0166832216128758
"14",-0.0200088430867737
"15",-0.0202906539800033
"16",-0.0282815992366581
"17",-0.027159294834619
"18",-0.0247311029802301
"19",-0.0246448709740014
"20",-0.0267345560960559
"21",-0.0211434156595851
"22",-0.0309582969001373
"23",-0.0263059634407923
"24",-0.0236408891225999
"25",-0.03381057360801
"26",-0.0333947596561857
"27",-0.031491163224245
"28",-0.0387159445243379
"29",-0.0370360004998167
"30",-0.0365671542247655
"31",-0.0346039543257476
"32",-0.0373714165739618
"33",-0.0351770232803955
"34",-0.0349027351355026
"35",-0.0254489053518187
"36",-0.0303915240932694
"37",-0.0276809149235516
"38",-0.0290799057991304
"39",-0.0261001018425358
"40",-0.0292877088541976
"41",-0.0317121656142386
"42",-0.0313557574463507
"43",-0.0283665948368798
"44",-0.037437054306306
"45",-0.0336098949796676
"46",-0.0362767394086617
"47",-0.0297613889874698
"48",-0.027557557212617
"49",-0.0273360421101184
"50",-0.0316429737192871
"51",-0.0306890540491355
"52",-0.031102682076805
"53",-0.0240739546272306
"54",-0.033314723835851
"55",-0.0264371839176907
"56",-0.0326143675946782
"57",-0.016849670620573
"58",-0.0350306323779039
"59",-0.0234094351810086
"60",-0.0254857739343777
"61",-0.028415996708387
"62",-0.0224323472762863
"63",-0.0273069432736819
"64",-0.0345515775799578
"65",-0.0232061701530485
"66",-0.0311505853563995
"67",-0.0239289182924148
"68",-0.0281187569660604
"69",-0.0234419170441535
"70",-0.0218636886036364
"71",-0.0325086859240138
"72",-0.0287481673472631
"73",-0.0375371744802945
"74",-0.0346947160467205
"75",-0.0392391645687028
"76",-0.0406932643444384
"77",-0.0397919630727268
"78",-0.0429478733726885
"79",-0.045188699276495
"80",-0.0402855852223798
"81",-0.0407076272224945
"82",-0.0431603277934137
"83",-0.0413580254526722
"84",-0.0421877691986474
"85",-0.0381562619754986
"86",-0.0414620468177505
"87",-0.0402932159461425
"88",-0.0410380753740614
"89",-0.0408916318499497
"90",-0.0401844071238164
"91",-0.0391755310408352
"92",-0.0390417578195272
"93",-0.0402037499311717
"94",-0.041119549837511
"95",-0.0399627490497009
"96",-0.0417974202103212
"97",-0.0378036223380498
"98",-0.0382135470598717
"99",-0.039608171248216
"100",-0.0352481764806779
"101",-0.038825107791519
"102",-0.038123177898947
"103",-0.0429460062518253
"104",-0.0444324754629333
"105",-0.0441041263393877
"106",-0.0471080087343061
"107",-0.0450321950343774
"108",-0.0444786547846618
"109",-0.0409643447796483
"110",-0.0303268182447012
"111",-0.0223825255245077
"112",0.0091088194199852
"113",0.0128432877214526
"114",0.0211307565545866
"115",0.056952600893357
"116",0.02917806594015
"117",0.0354247697069385
"118",0.0469923240109203
"119",0.0547400997576252
"120",0.0373699709243755
"121",0.0311005689312172
"122",0.0182528126363053
"123",0.0395867304331365
"124",-0.0320480885547904
"125",-0.0320480885547904
"126",-0.0320480885547904
"127",-0.0320480885547904
"128",-0.0320480885547904
"129",-0.0320480885547904
"130",0.0345601241971015
"131",-0.0320480885547904
"132",-0.0320480885547904
"133",-0.0320480885547904
"134",-0.0320480885547904
"135",-0.0320480885547904
"136",-0.0320480885547904
"137",-0.0320480885547904
"138",-0.0320480885547904
"139",-0.0320480885547904
"140",-0.0320480885547904
"141",-0.0320480885547904
"142",-0.0320480885547904
"143",-0.0320480885547904
"144",-0.0320480885547904
"145",-0.0320480885547904
"146",-0.0320480885547904
"147",-0.0320480885547904
"148",-0.0320480885547904
"149",-0.0320480885547904
"150",-0.0320480885547904
"151",-0.0320480885547904
"152",-0.0320480885547904
"153",-0.0320480885547904
"154",-0.0320480885547904
"155",-0.0320480885547904
"156",-0.0320480885547904
"157",-0.0320480885547904
"158",-0.0320480885547904
"159",-0.0320480885547904
"160",-0.0320480885547904
"161",-0.0320480885547904
"162",-0.0320480885547904
"163",-0.0320480885547904
"164",-0.0320480885547904
"165",-0.0320480885547904
"166",-0.0320480885547904
"167",-0.0320480885547904
"168",-0.0320480885547904
"169",-0.0320480885547904
"170",-0.0320480885547904
"171",-0.0320480885547904
"172",-0.0320480885547904
"173",-0.0320480885547904
"174",-0.0320480885547904
"175",-0.0320480885547904
"176",-0.0320480885547904
"177",-0.0320480885547904
"178",-0.0320480885547904
"179",0.0342747333787388
"180",-0.0320480885547904
"181",-0.0320480885547904
"182",0.0309155465842828
"183",0.0633973642776073
"184",-0.0320480885547904
"185",0.0245899542809681
"186",-0.0320480885547904
"187",-0.0320480885547904
"188",0.0216133958646368
"189",0.0303028968898167
"190",0.0430435995961299
"191",-0.0320480885547904
"192",-0.0320480885547904
"193",-0.0320480885547904
"194",-0.0320480885547904
"195",-0.0320480885547904
"196",-0.0320480885547904
"197",-0.0320480885547904
"198",-0.0320480885547904
"199",-0.0320480885547904
"200",-0.0320480885547904
"201",0.0372525458896876
"202",-0.0320480885547904
"203",-0.0320480885547904
"204",-0.0320480885547904
"205",0.0365079925374465
"206",-0.0320480885547904
"207",0.0611148564914748
"208",0.0326021292115701
"209",-0.0320480885547904
"210",-0.0320480885547904
"211",0.0356511650497026
"212",-0.0320480885547904
"213",0.0332835977957112
"214",-0.0320480885547904
"215",0.0278802342518124
"216",-0.0320480885547904
"217",-0.0320480885547904
"218",-0.0320480885547904
"219",-0.0320480885547904
"220",0.0429025088606888
"221",-0.0320480885547904
"222",0.0396787192888198
"223",-0.0320480885547904
"224",0.0358230512528606
"225",-0.0320480885547904
"226",-0.0320480885547904
"227",-0.0320480885547904
"228",-0.0320480885547904
"229",-0.0320480885547904
"230",-0.0320480885547904
"231",-0.0320480885547904
"232",-0.0320480885547904
"233",-0.0320480885547904
"234",-0.0320480885547904
"235",-0.0320480885547904
"236",-0.0320480885547904
"237",-0.0320480885547904
"238",-0.0320480885547904
"239",-0.0320480885547904
"240",-0.0320480885547904
"241",0.0188898345579569
"242",-0.0320480885547904
"243",-0.0320480885547904
"244",-0.0320480885547904
"245",-0.0320480885547904
"246",-0.0320480885547904
"247",-0.0320480885547904
"248",-0.0320480885547904
"249",0.0402180881608503
"250",-0.0320480885547904
"251",-0.0320480885547904
"252",-0.0320480885547904
"253",-0.0320480885547904
"254",-0.0320480885547904
"255",-0.0320480885547904
"256",-0.0320480885547904
"257",-0.0320480885547904
"258",0.0291950496588515
"259",-0.0320480885547904
"260",-0.0320480885547904
"261",-0.0320480885547904
"262",0.0287264342069266
"263",0.063414391656547
"264",-0.0320480885547904
"265",0.041186789504516
"266",0.0384536511532772
"267",-0.0320480885547904
"268",-0.0320480885547904
"269",0.0366127611767018
"270",0.0298725200297537
"271",0.0521074055360813
"272",-0.0320480885547904
"273",-0.0320480885547904
"274",-0.0320480885547904
"275",-0.0320480885547904
"276",-0.0320480885547904
"277",-0.0320480885547904
"278",0.0243897411993701
"279",-0.0320480885547904
"280",0.0228057889904356
"281",-0.0320480885547904
"282",-0.0320480885547904
"283",-0.0320480885547904
"284",-0.0320480885547904
"285",-0.0320480885547904
"286",0.0370699350842201
"287",-0.0320480885547904
"288",-0.0320480885547904
"289",-0.0320480885547904
"290",0.0184352157034891
"291",-0.0320480885547904
"292",-0.0320480885547904
"293",-0.0320480885547904
"294",0.0200328426657445
"295",-0.0320480885547904
"296",0.0286521750772928
"297",0.0142287716241925
"298",-0.0320480885547904
"299",-0.0320480885547904
"300",0.0144632436101625
"301",-0.0320480885547904
"302",0.0159466498120522
"303",-0.0320480885547904
"304",-0.0320480885547904
"305",0.040275850030589
"306",0.0288687309257474
"307",0.0194977079864428
"308",-0.0320480885547904
"309",-0.0320480885547904
"310",-0.0320480885547904
"311",0.0274846448601142
"312",-0.0320480885547904
"313",0.0596910171107498
"314",-0.0320480885547904
"315",-0.0320480885547904
"316",0.0334328749315076
"317",-0.0320480885547904
"318",-0.0320480885547904
"319",-0.0320480885547904
"320",-0.0320480885547904
"321",0.0169902381830469
"322",-0.0320480885547904
"323",0.0204658724988839
"324",-0.0320480885547904
"325",-0.0320480885547904
"326",-0.0320480885547904
"327",0.0285345674828187
"328",0.0150206620117653
"329",-0.0320480885547904
"330",-0.0320480885547904
"331",-0.0320480885547904
"332",-0.0320480885547904
"333",-0.0320480885547904
"334",0.0181670114414921
"335",-0.0320480885547904
"336",0.0276684426783362
"337",-0.0320480885547904
"338",-0.0320480885547904
"339",0.0238560677428132
"340",-0.0320480885547904
"341",-0.0320480885547904
"342",-0.0320480885547904
"343",0.0289871994305521
"344",-0.0320480885547904
"345",-0.0320480885547904
"346",-0.0320480885547904
"347",0.034187082884232
"348",0.0265609764616384
"349",-0.0320480885547904
"350",0.0339301038724289
"351",0.0202568800411609
"352",0.0214850729989521
"353",-0.0320480885547904
"354",-0.0320480885547904
"355",-0.0320480885547904
"356",0.0268312653059403
"357",0.0402491549353319
"358",0.033911450668041
"359",-0.0320480885547904
"360",0.00368440444720926
"361",-0.0320480885547904
"362",0.0256733572065112
"363",-0.0320480885547904
"364",0.0293198239279608
"365",0.0464148704702673
"366",0.0351149029758526
"367",0.0127449719006051
"368",0.0161318731611476
"369",0.0372495454513316
"370",-0.0320480885547904
"371",0.0212399075823354
"372",-0.0320480885547904
"373",0.0205314121299592
"374",-0.0320480885547904
"375",-0.0320480885547904
"376",0.0159241138458856
"377",-0.0320480885547904
"378",0.0173694554010378
"379",-0.0320480885547904
"380",0.0150672199433429
"381",-0.0320480885547904
"382",0.0266206864653237
"383",0.00751654899033531
"384",0.0130507782902243
"385",0.0216386664836793
"386",-0.0320480885547904
"387",0.00383401387704409
"388",-0.0320480885547904
"389",0.0136332979299171
"390",-0.0320480885547904
"391",0.0127576505762356
"392",0.0472548356287356
"393",0.0140002165133726
"394",0.0166713674615411
"395",0.0323482516453316
"396",0.0450673903639382
"397",0.0456612156499515
"398",0.0444393589434059
"399",0.0338778969455218
"400",0.026443006831281
"401",0.0289210414438051
"402",-0.0320480885547904
"403",0.0215300939169863
"404",0.00633094197914062
"405",-0.0320480885547904
"406",0.00616798316799257
"407",-0.0320480885547904
"408",0.0695896816253222
"409",0.0393336412748984
"410",-0.0320480885547904
"411",-0.0320480885547904
"412",0.0160186158148247
"413",0.0249508310575975
"414",0.0388632249091868
"415",0.0302451793462222
"416",0.029776045345336
"417",0.0214127251913572
"418",-0.0320480885547904
"419",-0.0320480885547904
"420",0.0302768743514725
"421",-0.0320480885547904
"422",0.0343876355600992
"423",-0.0320480885547904
"424",0.0455026181600333
"425",-0.0320480885547904
"426",0.0639757090414591
"427",0.049174723540508
"428",0.0538713489019915
"429",0.0440496398627328
"430",0.0574012734431365
"431",0.0573535884192159
"432",-0.0320480885547904
"433",0.0271751812579933
"434",-0.0320480885547904
"435",0.0265033867360331
"436",0.0553547620668707
"437",0.0526014409554366
"438",0.0391087331091173
"439",0.0363386566509562
"440",0.0154864800163644
"441",-0.0320480885547904
"442",0.0223075538587199
"443",0.0272786029386149
"444",0.0164350364277602
"445",-0.0320480885547904
"446",0.047948896162802
"447",0.0376707124655651
"448",0.0276563632332099
"449",-0.0320480885547904
"450",-0.0320480885547904
"451",0.0319406254958443
"452",0.043497342824578
"453",0.0346167300542763
"454",-0.0320480885547904
"455",0.0282505232834867
"456",0.0370847055015916
"457",-0.0320480885547904
"458",-0.0320480885547904
"459",0.0347583604830902
"460",0.0436401223674184
"461",-0.0320480885547904
"462",0.0305174462092531
"463",-0.0320480885547904
"464",0.0264998680591784
"465",0.0332202407486691
"466",0.0300285524782825
"467",0.0633324609622099
"468",0.0301495388825288
"469",0.0447699021278258
"470",0.0342483128250934
"471",0.0546166168116935
"472",0.0358353748350564
"473",0.0416476512438604
"474",0.0338062217850026
"475",0.0737762832152539
"476",0.0646510210977043
"477",0.0505716141035421
"478",0.0446438615386959
"479",0.0566085173219913
"480",0.0614575314941085
"481",-0.0320480885547904
"482",0.0512012136095489
"483",0.0311986901308668
"484",0.0289595759605456
"485",0.0429822146080703
"486",0.0280814660836744
"487",0.0551333790076417
"488",0.0337542873971296
"489",0.02172628179293
"490",-0.0058227195902917
"491",-0.00170563752864375
"492",-0.00345466423988665
"493",0.0231623642997298
"494",0.024885162373176
"495",0.0284639459160457
"496",0.0133541809175655
"497",0.00779874940538554
"498",0.0126967118749161
"499",0.00774508100021666
"500",0.0239229211335478
"501",0.00511599213884563
"502",0.0236024823729851
"503",0.0248389017320579
"504",0.0366980165229757
"505",0.0368669418133058
"506",0.0310537167989569
"507",0.0323080514435969
"508",0.0238701960324112
"509",0.0190212462893737
"510",0.0120189049314035
"511",0.00402787094244183
"512",0.00649583669388086
"513",0.0153145885638345
"514",0.0096633395932831
"515",0.0106822392257236
"516",-0.00261093066692236
"517",0.00226721348015571
"518",-0.0113908274658087
"519",-0.00618053266165346
"520",0.0336536804851283
"521",0.0081042128603598
"522",0.046184288559734
"523",0.0407687334240257
"524",0.0376196533196258
"525",0.0170581445971636
"526",-0.0320480885547904
"527",-0.0320480885547904
"528",-0.0320480885547904
"529",-0.0320480885547904
"530",-0.0320480885547904
"531",-0.0320480885547904
"532",-0.0320480885547904
"533",0.0536043416305101
"534",-0.0320480885547904
"535",0.0327242537213432
"536",-0.0320480885547904
"537",0.0532937766972643
"538",0.0634182150342544
"539",0.0585871624022068
"540",0.0680653559937389
"541",0.046779694510242
"542",0.0581081959328784
"543",0.0536473287424922
"544",0.0596443728936991
"545",0.0526571888695407
"546",0.050185318251273
"547",-0.0320480885547904
"548",0.0665280689047754
"549",-0.0320480885547904
"550",0.0676614183212136
"551",-0.0320480885547904
"552",0.0746408862360711
"553",0.0661661342132208
"554",-0.0320480885547904
"555",0.0689651247707649
"556",0.0565561693247593
"557",0.0575117324835824
"558",0.0484780477077214
"559",0.0530802451436678
"560",0.0502837287696705
"561",0.0577315841239436
"562",0.0387408700956165
"563",0.0490120007237415
"564",0.0697729365319952
"565",0.075186437571687
"566",0.0616064865577566
"567",0.0658283883618677
"568",0.0794382179686318
"569",0.0558915158842075
"570",0.0681255188036652
"571",0.059693778733633
"572",0.0603987448344657
"573",0.0684138836153956
"574",0.0685060434302467
"575",0.0511352693643081
"576",0.0683173833949611
"577",0.0587478289591218
"578",0.0602666391366593
"579",0.0624607085314058
"580",0.074055144235574
"581",0.0741579929095999
"582",0.0586073524379965
"583",0.0598835303082085
"584",0.0734256845514877
"585",0.0478461106595312
"586",0.0441900348858648
"587",0.0293392847102554
"588",0.0305622038996286
"589",0.0226362277284731
"590",0.0285176423801143
"591",0.0262564334882715
"592",0.0314223169630148
"593",0.045772716859889
"594",0.0400579567311866
"595",0.0528852824999035
"596",0.0584299413257408
"597",0.0523181167879052
"598",0.061378420106032
"599",0.0595262173328879
"600",0.0678037303366001
"601",0.067711096852762
"602",0.0706287279720649
"603",0.0529958871057251
"604",0.0568841930182679
"605",0.0635840466782526
"606",0.0714929510867242
"607",0.051878351689514
"608",0.0561689267957597
"609",-0.0320480885547904
"610",-0.0320480885547904
"611",-0.0320480885547904
"612",-0.0320480885547904
"613",-0.0320480885547904
"614",-0.0320480885547904
"615",-0.0320480885547904
"616",-0.0320480885547904
"617",-0.0320480885547904
"618",-0.0320480885547904
"619",0.0593887390453151
"620",-0.0320480885547904
"621",-0.0320480885547904
"622",-0.0320480885547904
"623",-0.0320480885547904
"624",-0.0320480885547904
"625",0.06102519719211
"626",0.0677247858882365
"627",-0.0320480885547904
"628",0.0602433948157904
"629",0.0505812685721933
"630",0.0594329746279204
"631",0.022584741968938
"632",-0.0320480885547904
"633",0.0398224238389592
"634",-0.0320480885547904
"635",-0.0320480885547904
"636",-0.0320480885547904
"637",-0.0320480885547904
"638",-0.0320480885547904
"639",-0.0320480885547904
"640",0.0353273272112788
"641",-0.0320480885547904
"642",-0.0320480885547904
"643",-0.0320480885547904
"644",-0.0320480885547904
"645",-0.0320480885547904
"646",-0.0320480885547904
"647",0.0583321972616637
"648",0.0587286010222907
"649",-0.0320480885547904
"650",-0.0320480885547904
"651",-0.0320480885547904
"652",0.015651398448652
"653",-0.0320480885547904
"654",0.0190560943025569
"655",0.0240327359601399
"656",0.0156661103462817
"657",-0.0320480885547904
"658",-0.0320480885547904
"659",0.0499036868454363
"660",0.0701664898857726
"661",0.0631678565910787
"662",0.0127743641063099
"663",0.0137469484147322
"664",0.0645235992080939
"665",0.092721811350129
"666",0.0491295230385667
"667",0.0515751335513358
"668",0.030716132434445
"669",0.0721738831841218
"670",0.0734703392153924
"671",0.0515751335513358
"672",-0.0320480885547904
"673",-0.0320480885547904
"674",-0.0320480885547904
"675",-0.0320480885547904
"676",0.0302368492426213
"677",0.0442897362437598
"678",0.0556964135461135
"679",0.0645311579480886
"680",-0.0320480885547904
"681",0.0195350740205454
"682",-0.0320480885547904
"683",0.0326504945645835
"684",-0.0320480885547904
"685",-0.0320480885547904
"686",0.0674398630814884
"687",0.0595083186037699
"688",0.0561604082253815
"689",0.0566149963293788
"690",0.0504999556568095
"691",0.0463796300846038
"692",0.0526018484168952
"693",0.0534724496007026
"694",0.0760090744098598
"695",0.0535272507526542
"696",0.0422823244143776
"697",0.0621095327638536
"698",-0.0320480885547904
"699",-0.0320480885547904
"700",-0.0320480885547904
"701",-0.0320480885547904
"702",-0.0320480885547904
"703",-0.0320480885547904
"704",-0.0320480885547904
"705",-0.0320480885547904
"706",-0.0320480885547904
