"","Age","predfit","predSEP"
"1",NA,8151.68438656059,170.400510336493
"2",NA,8200.69182021996,198.523832238774
"3",NA,8156.90452671287,186.547003240385
"4",NA,8135.1261490709,185.395469455908
"5",NA,8190.76427519347,178.442986059371
"6",NA,8110.07631705123,180.665398252453
"7",NA,7803.36227891936,244.13983935455
"8",NA,8084.6728993667,191.442205730588
"9",NA,8042.71377201507,180.12967188642
"10",NA,7853.69300353361,233.279020859754
"11",NA,7879.60394659829,250.581609176521
"12",NA,7931.67666164471,222.292579453506
"13",NA,7896.64747704518,213.682879697756
"14",NA,7661.01251845476,211.983933040815
"15",3.208302995,7771.0682634742,238.708211647194
"16",3.311241462,7822.90758796835,262.550884768102
"17",3.397926486,7783.02744422175,280.345321790465
"18",3.501920599,7757.31669286831,305.142042007819
"19",3.602155768,7511.96654267051,310.304477487152
"20",3.707959557,7310.15504804407,319.944035836859
"21",3.80748858,7616.57395814503,336.283365196788
"22",3.917684079,7679.04065035577,340.950733858359
"23",4.011350254,7752.35344302689,338.683113484399
"24",4.120128095,7734.13076535801,322.475949464288
"25",4.201655516,7659.62186525129,313.521903805356
"26",4.321312871,7539.78520653347,273.338204016215
"27",4.419397188,7564.83268857871,293.714732238449
"28",4.522930634,7871.46187618227,311.14407524467
"29",4.632259861,7888.24948417096,284.43141743056
"30",4.741775748,7811.73813859382,279.086058826939
"31",4.812961074,7892.61892773029,288.252383540865
"32",4.930956708,7942.768054446,301.157931433906
"33",5.032387636,7904.11393824993,301.785858120876
"34",5.12933298,7909.71971693581,299.339758977432
"35",5.222986782,7852.54550018042,293.697600101921
"36",5.333167726,7893.1522964193,298.498886854637
"37",5.432327578,7826.21732160579,295.593988535333
"38",5.525976285,8047.90051780951,293.524145915029
"39",5.64716873,7847.89749507225,286.778368709282
"40",5.729279188,8343.42033791266,316.193915075922
"41",5.827767102,8300.82482436202,353.556210433158
"42",5.948130535,8396.60492335377,413.421121438751
"43",6.030163734,8435.2746437918,444.075487413595
"44",6.150479093,8511.0259461289,445.372221312958
"45",6.232678489,8433.38129759871,432.752596689054
"46",6.342610078,8491.20671447605,431.124004749382
"47",6.436051928,8782.14609415374,452.788234138439
"48",6.56352243,9336.65059579278,484.064457336141
"49",6.658449839,9541.88184630849,497.21074434827
"50",6.75931021,9934.80054151856,520.186653127191
"51",6.879608361,9995.70029847857,520.650612059551
"52",6.994064598,10465.8488334476,543.096879325748
"53",7.090429409,10221.3945641882,542.244450977966
"54",7.2228155,9843.35171497366,498.754552465043
"55",7.313078744,9798.26356228076,455.417620631446
"56",7.466831913,10119.6664071973,517.550251414014
"57",7.604079167,10870.5919682193,572.300379896248
"58",7.751546351,11504.7953544234,616.273455711568
"59",7.884279419,11678.1199901181,612.222858969295
"60",8.053094169,12575.9624197145,681.4584939721
"61",8.167523033,12901.6894886825,683.158486210698
"62",8.31188772,12767.0347609174,697.160277931438
"63",8.4434106,13105.3031961283,676.612245265395
"64",8.57493348,12919.8082484559,697.49518646978
"65",8.72883094,12209.7077135784,634.493973537991
"66",8.883114456,13075.4814858222,693.771706450351
"67",9.000285995,13188.4066972749,697.525705797317
"68",9.166778885,12731.0238398469,655.433961124835
"69",9.302699438,12292.2926811714,563.511323391186
"70",9.43871737,10886.2476350753,529.132969431458
"71",9.591099538,8678.37165740162,379.679685277242
"72",9.723422041,6557.42560179252,165.963904876172
"73",9.849529621,6751.69651826322,105.737065954005
"74",9.999061671,7118.27441964253,114.196939250926
"75",10.14954579,6862.80947153629,189.212259066698
"76",10.29690481,6284.14289171632,148.509513770586
"77",10.41970399,5596.41195488612,205.337862504121
"78",10.56557741,4894.69488015628,196.382376526007
"79",10.71752888,4772.89560600685,152.235070523538
"80",10.84845187,4751.56784152384,155.018182338821
"81",10.9792418,4709.07295418985,153.420670226039
"82",11.12291885,4630.65560537876,154.820977911213
"83",11.25499918,4455.02687303561,155.780582206587
"84",11.40674945,4411.47315334586,157.131936565028
"85",11.5598032,4306.40229528009,160.726726772471
"86",11.67540698,4284.89058895472,158.489504242777
"87",11.80812235,4263.26165800017,155.100111610483
"88",11.95325613,4067.2822260747,154.650825067615
"89",12.1062777,3966.44310359693,154.275770353379
"90",12.25896341,3865.60398111915,154.09689191004
"91",12.37366445,3703.59749416671,153.50786367284
"92",12.52458687,3629.30185463641,155.805236553381
"93",12.66893796,3758.57636193628,165.635719852661
"94",12.80121525,4054.60283643334,154.152428086466
"95",12.93724083,4317.24155446277,151.477162408045
"96",13.09341264,4369.44352901804,155.303394184428
"97",13.21676462,4749.22666594992,153.858206493103
"98",13.35618873,5101.99225928378,154.759906742213
"99",13.53186888,5369.03138684628,155.333954347697
"100",13.68695324,5368.42508661211,151.780371974078
"101",13.88883646,5618.89121458779,172.859337418716
"102",14.08630638,5863.3795567124,185.707465299635
"103",14.28549004,5561.94988626033,186.334245155269
"104",14.4439572,5642.81898412291,175.588525284503
"105",14.64747189,5346.44398308115,215.526342274537
"106",14.84719479,3942.96956345281,189.138817072568
"107",15.02944586,3249.67689413211,214.191167723881
"108",15.22178056,3921.70146215706,179.12125393578
"109",15.35304777,4374.83450785157,178.835676465945
"110",15.56642137,4990.08384704124,167.669230022271
"111",15.76713102,4626.20957846343,162.363673823694
"112",15.96664059,4759.16627949945,153.634304144839
"113",16.09888825,5049.96004740718,151.621517120458
"114",16.31510169,5317.27335854672,150.425221994926
"115",16.48534809,5376.85508430544,149.199421836456
"116",16.67982552,5519.72887303435,146.10936611993
"117",16.85668353,5664.2055994537,168.60478017113
