"","Age","predMATfit","predMATSEP"
"1",NA,742,293.601031392495
"2",NA,665.5,254.713055047776
"3",NA,909.5,244.456819919808
"4",NA,909.5,240.978450496432
"5",NA,964.75,219.383947876375
"6",NA,1027.5,212.331106085109
"7",NA,1131,199.992875137818
"8",NA,1049.25,215.302048412382
"9",NA,830,237.550132218467
"10",NA,908.75,267.557198792741
"11",NA,673,283.787022247215
"12",NA,911.75,255.016060918968
"13",NA,959.75,228.883679996559
"14",NA,995.5,241.713756145775
"15",3.208302995,1159.5,255.457697530971
"16",3.311241462,1250.5,239.687431679723
"17",3.397926486,1086.25,262.570171663429
"18",3.501920599,1086.25,261.090505765853
"19",3.602155768,1017,268.458502390139
"20",3.707959557,1017,279.918805520331
"21",3.80748858,679,248.307201709274
"22",3.917684079,679,216.294149125153
"23",4.011350254,628,215.445108410467
"24",4.120128095,679,240.1505683453
"25",4.201655516,859,250.72660860603
"26",4.321312871,1127,307.222815222544
"27",4.419397188,859,275.091900939479
"28",4.522930634,910.75,285.33867605032
"29",4.632259861,898,245.086006369962
"30",4.741775748,1113.75,266.982840085399
"31",4.812961074,1067.25,250.704823503086
"32",4.930956708,866,306.687518369231
"33",5.032387636,866,321.103794650709
"34",5.12933298,866,319.861904697801
"35",5.222986782,782,314.364656869747
"36",5.333167726,782,332.888605121465
"37",5.432327578,782,335.428476218326
"38",5.525976285,891,293.14673513698
"39",5.64716873,1029.75,323.10485034067
"40",5.729279188,1047.5,324.9965700359
"41",5.827767102,1226.25,239.218731346358
"42",5.948130535,910.75,225.028769633456
"43",6.030163734,919.75,207.453810131781
"44",6.150479093,919.75,214.097966075025
"45",6.232678489,973.5,213.555917681971
"46",6.342610078,925.75,220.18672720746
"47",6.436051928,924.75,240.640155912648
"48",6.56352243,822.5,245.638708144028
"49",6.658449839,822.5,249.486397206915
"50",6.75931021,645.25,249.527953133889
"51",6.879608361,689.75,249.433922942927
"52",6.994064598,645.25,250.589866154544
"53",7.090429409,634,251.693983183053
"54",7.2228155,644.75,244.306619082721
"55",7.313078744,774.25,230.681931732956
"56",7.466831913,644.75,273.267261736707
"57",7.604079167,644.75,266.470430505401
"58",7.751546351,644.75,269.686871782804
"59",7.884279419,511,273.367971092316
"60",8.053094169,644.75,265.162500027229
"61",8.167523033,601.75,304.016720351802
"62",8.31188772,501.25,310.107071161832
"63",8.4434106,601.75,323.134621612241
"64",8.57493348,501.25,289.745685455518
"65",8.72883094,644.75,260.816113045948
"66",8.883114456,644.75,275.221127330464
"67",9.000285995,746.5,288.863486463753
"68",9.166778885,779,299.741643313348
"69",9.302699438,822,265.617691687741
"70",9.43871737,822,247.798100613713
"71",9.591099538,871.25,307.063856221537
"72",9.723422041,268,206.107037488523
"73",9.849529621,289.5,202.774888651216
"74",9.999061671,270.5,205.953339276526
"75",10.14954579,322.5,206.172782712714
"76",10.29690481,477.5,246.797443686088
"77",10.41970399,240.75,205.863011119316
"78",10.56557741,267.25,203.424942475783
"79",10.71752888,309,204.810803616392
"80",10.84845187,309,202.491255724217
"81",10.9792418,260.5,201.408895539207
"82",11.12291885,260.5,201.418913796564
"83",11.25499918,260.5,200.953163382192
"84",11.40674945,260.5,200.793442989242
"85",11.5598032,281,203.098573217849
"86",11.67540698,281,203.899716331185
"87",11.80812235,288.25,203.039152683119
"88",11.95325613,288.25,204.953458170405
"89",12.1062777,288.25,207.823500635444
