"","Age","predMATfit","predMATSEP"
"1",0.018,9.09166666666667,2.81561849421687
"2",0.054,7.97333333333333,2.81549366131562
"3",0.09,7.47,2.81503633945621
"4",0.126,8.74833333333333,2.83934561463464
"5",0.162,8.86333333333333,2.81362546633214
"6",0.198,4.27166666666667,3.49229482360929
"7",0.234,8.255,2.81961124650804
"8",0.27,8.075,2.84074542530674
"9",0.306,9.30666666666667,2.81492265071392
"10",0.342,8.55666666666667,2.78958040311763
"11",0.378,8.23333333333333,2.80865553437462
"12",0.413,8.82666666666667,2.85359552021618
"13",0.449,8.23333333333333,2.79443404809639
"14",0.485,8.22,2.78889404722523
"15",0.521,8.99,2.80018799465161
"16",0.557,9.02,2.80872763183139
"17",0.593,8.68,2.81645338774873
"18",0.629,8.33833333333333,2.78780634273474
"19",0.671,8.74666666666667,2.78812644577423
"20",0.736,8.605,2.79988588997723
"21",0.801,8.76833333333333,2.81456438455428
"22",0.837,9.625,2.85920012107105
"23",0.866,8.19,2.81628088988757
"24",0.898,7.59166666666667,2.8253501420813
"25",0.967,9.28166666666667,3.29255301453362
"26",1.028,8.47333333333333,2.7947805079187
"27",1.097,8.74666666666667,2.79076236376346
"28",1.161,12.1633333333333,3.11906735519184
"29",1.226,10.185,2.93775164683834
"30",1.291,12.5083333333333,3.14436691385521
"31",1.356,9.32,2.85478274447237
"32",1.389,8.755,2.81365072207699
"33",1.431,9.58,2.83516974104511
"34",1.454,8.82833333333333,2.87295147062508
"35",1.464,8.19166666666667,2.79053147283713
"36",1.486,9.17166666666667,2.85827188310863
"37",1.496,8.22166666666667,2.79376975412746
"38",1.519,6.94666666666667,3.24648391882859
"39",1.529,7.89833333333333,2.79569481192794
"40",1.551,8.895,2.83534022434289
"41",1.561,9.00166666666667,2.85465424287984
"42",1.584,8.405,2.83155075806309
"43",1.594,8.42833333333333,2.80580796375726
"44",1.631,7.56,3.30633102392907
"45",1.649,9.81,3.23417898463968
"46",1.693,8.95833333333333,2.86903885170177
"47",1.711,9.18166666666667,2.93366137978658
"48",1.755,9.12333333333333,2.82938645580588
"49",1.773,9.19,2.80453298601098
"50",1.816,8.52,2.82136086167893
"51",1.835,8.03666666666667,2.79530085124342
"52",1.878,9.87,2.85877633540565
"53",1.897,9.285,2.86226594849687
"54",1.94,9.03666666666667,2.88460707468803
