"","Age","predMATfit","predMATSEP"
"1",NA,12.758,3.84442565352237
"2",NA,9.358,3.96787647932239
"3",NA,9.192,3.04536685515442
"4",NA,9.192,3.10859918079205
"5",NA,8.594,3.32818818507813
"6",NA,7.75,3.23213524867861
"7",NA,8.382,2.62930963244224
"8",NA,10.34,2.90311673521047
"9",NA,10.002,2.8441186044277
"10",NA,8.932,2.84834330156812
"11",NA,13.828,3.84085791230814
"12",NA,10.098,2.96601227166214
"13",NA,10.436,2.83055738289436
"14",NA,9.116,2.71189775376314
"15",3.208302995,9.362,2.93228345341456
"16",3.311241462,8.44,2.66119960244971
"17",3.397926486,8.312,2.63620938074091
"18",3.501920599,8.212,2.63643967150204
"19",3.602155768,7.826,2.62537406085232
"20",3.707959557,7.826,2.62913653744936
"21",3.80748858,8.116,2.62756826354652
"22",3.917684079,7.786,2.61726478357771
"23",4.011350254,7.444,2.62666401680704
"24",4.120128095,7.32,2.66233786938613
"25",4.201655516,8.006,2.70524394112237
"26",4.321312871,6.96,2.71458310307883
"27",4.419397188,8.006,2.76683147326459
"28",4.522930634,8.562,2.69689697435348
"29",4.632259861,7.82,2.62937184119372
"30",4.741775748,7.26,2.68304410813892
"31",4.812961074,7.236,2.6545785521638
"32",4.930956708,9.032,2.88518460976758
"33",5.032387636,9.112,2.96557550047682
"34",5.12933298,9.112,2.92840308995081
"35",5.222986782,8.948,2.89178056249149
"36",5.333167726,10.116,2.93806626645195
"37",5.432327578,10.116,2.92949489202217
"38",5.525976285,8.868,2.91470569393381
"39",5.64716873,9.042,2.95242734622106
"40",5.729279188,8.916,3.03457635896192
"41",5.827767102,8.136,2.88484868070525
"42",5.948130535,9.568,2.91633656390271
"43",6.030163734,10.148,2.86373336739474
"44",6.150479093,10.148,2.92899886229339
"45",6.232678489,9.78,2.8618945398401
"46",6.342610078,9.78,2.75186916652572
"47",6.436051928,9.886,2.83412764745553
"48",6.56352243,10.258,2.80914293044643
"49",6.658449839,10.258,2.79194578790616
