"","Age","predMATfit","predMATSEP"
"1",0.018,7337.33333333333,3667.48960221407
"2",0.054,9239.16666666667,3667.91555903049
"3",0.09,8314.5,3637.50659876388
"4",0.126,9842.83333333333,3713.10399878287
"5",0.162,10760.5,3687.99466055574
"6",0.198,16550.8333333333,7424.07123936535
"7",0.234,10093.5,3629.40469749332
"8",0.27,8972.83333333333,4097.1128998151
"9",0.306,11041.1666666667,3670.3003230173
"10",0.342,10029.5,3586.23728905954
"11",0.378,8235.66666666667,3882.89103807269
"12",0.413,7720.83333333333,3944.12542309153
"13",0.449,8235.66666666667,3912.81056455759
"14",0.485,9610.66666666667,3602.60847520082
"15",0.521,8109.5,3901.54821924832
"16",0.557,6007.83333333333,3871.0776754752
"17",0.593,8272.5,3979.13537295646
"18",0.629,6879.16666666667,3857.89599888207
"19",0.671,5903.5,3734.20880872156
"20",0.736,7343.16666666667,3629.62278089429
"21",0.801,7039.5,3999.61864779571
"22",0.837,8380.33333333333,3657.79754467758
"23",0.866,9932.33333333333,3618.78777058385
"24",0.898,8590.5,3938.65464829655
"25",0.967,9448.83333333333,3627.05014661562
"26",1.028,7456.5,3629.4726123963
"27",1.097,7093.83333333333,3736.40352200573
"28",1.161,8203.16666666667,3618.48722974728
"29",1.226,7974.83333333333,3751.62291119855
"30",1.291,8608.16666666667,3615.93493770764
"31",1.356,8273,3778.49772309393
"32",1.389,8832.83333333333,3677.03391080909
"33",1.431,8485.66666666667,3719.58094188648
"34",1.454,7859.5,3607.29907342883
"35",1.464,13853.3333333333,4881.67716142387
"36",1.486,8441.66666666667,3670.07831878657
"37",1.496,8893.16666666667,3682.25807227385
"38",1.519,9018.83333333333,3679.79549745069
"39",1.529,9138.5,4043.44427365592
"40",1.551,8763.33333333333,3697.52506565815
"41",1.561,9153.33333333333,3694.68179169433
"42",1.584,7771.33333333333,3677.20389969649
"43",1.594,8630.16666666667,3669.02608515144
"44",1.631,9699.16666666667,3645.28095005562
"45",1.649,8991.5,3720.30873933055
"46",1.693,9086.66666666667,3644.44978406365
"47",1.711,9045,3683.78021991082
"48",1.755,8728.16666666667,3682.79122681586
"49",1.773,9611.83333333333,3700.08467244806
"50",1.816,8304.83333333333,3609.98314753575
"51",1.835,8264.16666666667,3610.84178871204
"52",1.878,9930,3759.93818508982
"53",1.897,7848.66666666667,3674.39955547786
"54",1.94,7886,3639.09711772278
"55",1.959,8197.5,3657.5933293001
"56",2.002,9133.16666666667,3641.54977759743
"57",2.021,10403.8333333333,3775.91778209954
"58",2.064,9536,3690.02000766995
"59",2.082,8833.16666666667,3638.56062000914
"60",2.12,6996.66666666667,3652.83870136925
"61",2.144,7769.5,3641.60732019801
"62",2.181,9215.5,3597.45020327182
"63",2.206,8372.83333333333,3614.9439964991
"64",2.249,8959.16666666667,3671.51285419054
"65",2.268,8769.5,3630.26905792112
"66",2.311,9429,3685.43446317205
"67",2.33,8400.16666666667,3686.1838164096
"68",2.373,7911,3739.37571175558
"69",2.392,9568.5,3851.09452952627
"70",2.429,8386.83333333333,3680.91669136609
"71",2.454,8297.5,3698.94659265848
"72",2.621,8528.83333333333,3650.31277101862
"73",2.905,9616.5,3717.12504652121
"74",3.096,7955.33333333333,3607.28568328991
"75",3.287,7912.66666666667,3830.20602148109
"76",3.669,9219.83333333333,3661.45056241113
"77",3.764,8617.83333333333,3604.01475293223
"78",3.962,6767.83333333333,3864.91783089738
"79",4.064,6582,4053.82707444252
"80",4.473,9247.33333333333,3797.84704855217
"81",4.677,10468,3761.94155159349
"82",4.983,7297.5,4555.36742988867
"83",5.085,8844.66666666667,3740.92965128853
"84",5.289,9834.5,3889.75442065309
"85",5.494,8799.16666666667,3850.64467566548
"86",5.596,7661.66666666667,3881.75498289422
"87",5.8,8779.83333333333,4103.60873687518
"88",6.004,8064.33333333333,3990.26269870324
"89",6.208,9757.5,3896.82738688536
"90",6.405,7778.16666666667,3702.68550374583
"91",6.597,11802.5,4165.54267998432
"92",6.789,11802.5,4174.07521287368
"93",6.98,10981.3333333333,4173.17864472697
"94",7.172,8885.5,4024.86457376466
"95",7.364,7661.66666666667,3768.19881034917
"96",7.555,6800.5,4085.36155906053
