"","Age","predfit","predSEP"
"1",1.8e-05,6295.07037848742,199.042858373844
"2",5.4e-05,7093.72454390874,199.808123721929
"3",9e-05,7709.12646528756,200.074605060383
"4",0.000126,5870.41018292879,236.113194883958
"5",0.000162,4470.61806471472,333.981602245236
"6",0.000198,NA,NA
"7",0.000234,7251.1056615903,265.92531205777
"8",0.00027,7464.93450742873,236.335707300455
"9",0.000306,4930.53932589546,309.805219257619
"10",0.000342,6035.01909952596,221.192073613174
"11",0.000378,6153.5232383589,239.381966513844
"12",0.000413,6443.69552355373,243.906843900023
"13",0.000449,6282.1451829451,197.256858748453
"14",0.000485,6213.5858405019,210.07235999114
"15",0.000521,6467.78675728465,193.719436296717
"16",0.000557,5475.57908951194,303.124344752506
"17",0.000593,6661.95151152266,234.290075161802
"18",0.000629,7890.80489711233,198.752228415161
"19",0.000671,7247.8866159896,202.284800486179
"20",0.000736,7028.70739377307,226.32289655557
"21",0.000801,8099.77138511709,151.916585946313
"22",0.000837,8342.32924432684,181.342990547823
"23",0.000866,9913.61321243467,277.56118691651
"24",0.000898,8238.62220849813,230.313013517289
"25",0.000967,10932.215035425,343.00361762745
"26",0.001028,8260.00213253603,205.911716839587
"27",0.001097,8667.86899359035,197.905590200456
"28",0.001161,8429.66337992185,242.641948171154
"29",0.001226,7437.56383392226,187.924155723341
"30",0.001291,6488.21504679064,205.441882296528
"31",0.001356,9348.94271949884,269.218866163664
"32",0.001389,9698.2592094988,275.282761527094
"33",0.001431,12259.522736348,445.956270298004
"34",0.001454,7850.12720977994,182.026856700855
"35",0.001464,11628.1146293563,250.603538002095
"36",0.001486,10527.8130775484,284.049059919903
"37",0.001496,10401.4530680934,210.801558254274
"38",0.001519,11128.6145714405,329.695824447311
"39",0.001529,9954.03522495705,179.837926713996
"40",0.001551,10304.2316419632,224.923500768063
"41",0.001561,10461.5055630399,276.361851387592
"42",0.001584,11122.4976364208,306.763904036089
"43",0.001594,9437.22111363519,179.331170126222
"44",0.001631,11425.0490651229,384.74482714753
"45",0.001649,10369.4476469424,277.347774220858
"46",0.001693,9631.65912055359,275.928650306166
"47",0.001711,10186.552644011,297.880002950173
"48",0.001755,9042.72540823731,210.280422038767
"49",0.001773,8348.11361535733,186.12887842657
"50",0.001816,8336.73232498215,184.529056200629
"51",0.001835,8370.80056185489,187.753775852059
"52",0.001878,8055.95466049419,170.98382626684
"53",0.001897,7756.70201671057,153.867321130554
"54",0.00194,7773.35877461972,180.944684855655
"55",0.001959,8330.76983798485,180.567933592842
"56",0.002002,7936.02204423229,185.480874032886
"57",0.002021,8497.98095482062,123.847097916757
"58",0.002064,8658.03072051181,200.434086795175
"59",0.002082,8072.43266459645,130.874122839248
"60",0.00212,8243.86542534204,172.624098594115
"61",0.002144,8746.24550832717,193.620760511558
"62",0.002181,10076.6730520257,221.460227232842
"63",0.002206,8150.28879562486,163.033291733306
"64",0.002249,9221.04187517213,253.111142462205
"65",0.002268,8957.96136946856,181.40635863267
"66",0.002311,11407.0475361736,378.259332260877
"67",0.00233,8672.55585994529,195.381913538108
"68",0.002373,9255.14411950367,235.829660472509
"69",0.002392,9653.20784314388,275.296035919982
"70",0.002429,9237.69277104452,159.445633143874
"71",0.002454,11484.4799485774,381.62508551196
"72",0.002621,9449.11405839001,240.218821013181
"73",0.002905,11105.1772193544,396.493760837315
"74",0.003096,7499.92344602204,183.083900301169
"75",0.003287,9386.46710707845,303.65705800017
"76",0.003669,13602.8375032143,636.300741267225
"77",0.003764,11462.3347925579,439.929685083231
"78",0.003962,18467.0403300718,1104.41821272638
"79",0.004064,19675.2224527135,1240.78012414217
"80",0.004473,15677.7005678876,830.685326007211
"81",0.004677,14283.556053554,719.926336588761
"82",0.004983,20107.0139952531,1241.97116673657
"83",0.005085,15975.1299831722,863.436412563686
"84",0.005289,16010.4749670047,892.108651683596
"85",0.005494,14447.0101912939,825.081584004625
"86",0.005596,13770.3659911195,805.971962258675
"87",0.0058,14664.3634846176,881.610142848721
"88",0.006004,14654.3226870319,865.133592004902
"89",0.006208,13865.5395172379,794.618335982721
"90",0.006405,13924.9211926488,833.445935537964
"91",0.006597,14911.1752820674,883.611239727696
"92",0.006789,12563.1534355963,751.477662541677
"93",0.00698,14234.0510330154,859.817979035437
"94",0.007172,15049.1360415615,914.262902881824
"95",0.007364,15324.7671747865,939.037263396668
"96",0.007555,15086.052208162,945.305046778607
"97",0.007747,16398.2651574822,1004.25554632755
"98",0.007939,16591.9654337765,1030.89623207977
"99",0.00813,17328.5535430572,1103.8687779559
"100",0.008322,14816.9909643737,914.589781267875
"101",0.008514,17570.9362453129,1093.69589229931
"102",0.008701,20897.8603559841,1341.5524717264
"103",0.008884,20874.1343193971,1379.47270142769
"104",0.009067,23423.7651984976,1600.53466372338
"105",0.00925,23560.6155632918,1617.37766354639
"106",0.009434,25033.9204690358,1767.95284180893
"107",0.009617,23679.9156704791,1636.46124297746
"108",0.0098,26177.135149193,1843.88459829559
"109",0.009983,24008.3328918158,1632.83578934644
"110",0.010166,23429.2550671986,1564.26195978482
"111",0.01035,23438.2455627833,1553.04911813596
"112",0.010533,17072.454775526,856.344021627446
"113",0.010716,13519.1748563814,374.188494539857
"114",0.010899,10086.3139328593,177.118365295457
"115",0.011081,8905.94409429756,113.812772194234
"116",0.011262,10007.0424113284,157.452577305913
"117",0.011443,9855.26798957257,142.853442666396
"118",0.011624,9495.87754579133,140.422771560923
"119",0.011805,8205.93537732643,110.16076495044
"120",0.011986,8804.35875535365,105.748769356752
"121",0.012167,8343.86705427891,100.944961266959
"122",0.012348,7780.33595345229,172.36090263289
"123",0.012529,7616.53843359337,98.6262970615306
"124",0.013003,NA,NA
"125",0.013221,NA,NA
"126",0.013439,NA,NA
"127",0.013657,NA,NA
"128",0.013788,NA,NA
"129",0.013875,NA,NA
"130",0.014093,9089.27650823568,127.663444607037
"131",0.014137,NA,NA
"132",0.014158,NA,NA
"133",0.014311,NA,NA
"134",0.014398,NA,NA
"135",0.014529,NA,NA
"136",0.01466,NA,NA
"137",0.014747,NA,NA
"138",0.014965,NA,NA
"139",0.015096,NA,NA
"140",0.015183,NA,NA
"141",0.015401,NA,NA
"142",0.015532,NA,NA
"143",0.015968,NA,NA
"144",0.016448,NA,NA
"145",0.016536,NA,NA
"146",0.016688,NA,NA
"147",0.01671,NA,NA
"148",0.016754,NA,NA
"149",0.017277,NA,NA
"150",0.017539,NA,NA
"151",0.018149,NA,NA
"152",0.018586,NA,NA
"153",0.019022,NA,NA
"154",0.019349,NA,NA
"155",0.01972,NA,NA
"156",0.01985,NA,NA
"157",0.019894,NA,NA
"158",0.019938,NA,NA
"159",0.020003,NA,NA
"160",0.020069,NA,NA
"161",0.020156,NA,NA
"162",0.020243,NA,NA
"163",0.020287,NA,NA
"164",0.020352,NA,NA
"165",0.020417,NA,NA
"166",0.020439,NA,NA
"167",0.020526,NA,NA
"168",0.020592,NA,NA
"169",0.020657,NA,NA
"170",0.020854,NA,NA
"171",0.020941,NA,NA
"172",0.021333,NA,NA
"173",0.021399,NA,NA
"174",0.021551,NA,NA
"175",0.021988,NA,NA
"176",0.022206,NA,NA
"177",0.022337,NA,NA
"178",0.022424,NA,NA
"179",0.022511,8923.94824207158,99.5982869516001
"180",0.022598,NA,NA
"181",0.022664,NA,NA
"182",0.022773,9076.46110272244,94.4770920626042
"183",0.022814,7919.92981056799,95.9497068138045
"184",0.02286,NA,NA
"185",0.022901,8844.08968843628,153.781695093524
"186",0.022947,NA,NA
"187",0.022989,NA,NA
"188",0.023034,8838.6920895767,121.305022804275
"189",0.023076,9011.08152544781,139.894140763652
"190",0.023122,8985.82685941043,106.991184072521
"191",0.023207,NA,NA
