Longitude;Latitude;SampleName
-5.151044;35.139146;AlbaSanchez_a63
-5.303285;35.347574;AlbaSanchez_a64
-5.294552;35.346624;AlbaSanchez_a65
-5.292949;35.345739;AlbaSanchez_a66
-4.435739;34.819963;AlbaSanchez_a67
-4.46209;34.812419;AlbaSanchez_a68
-4.298583;34.848;AlbaSanchez_a69
-5.03423;36.6904;AlbaSanchez_a7
-4.321148;34.859132;AlbaSanchez_a70
-4.328126;34.888293;AlbaSanchez_a71
-5.207276;33.424301;AlbaSanchez_a72
-5.240169;33.39468;AlbaSanchez_a73
-5.468365;32.956078;AlbaSanchez_a74
-5.337213;33.1899;AlbaSanchez_a75
-5.339239;33.172825;AlbaSanchez_a76
-5.346624;33.136528;AlbaSanchez_a77
-5.331323;32.897139;AlbaSanchez_a78
-5.269515;32.944753;AlbaSanchez_a79
-5.03876;36.69814;AlbaSanchez_a8
-5.242167;32.947561;AlbaSanchez_a80
-5.370925;32.926501;AlbaSanchez_a81
-5.435338;32.943043;AlbaSanchez_a82
-5.496605;32.936991;AlbaSanchez_a83
-5.477006;32.942474;AlbaSanchez_a84
-5.36791;32.937865;AlbaSanchez_a85
-5.180248;32.849844;AlbaSanchez_a86
-5.237251;32.869999;AlbaSanchez_a87
-5.257908;32.885662;AlbaSanchez_a88
-4.918195;35.013695;AlbaSanchez_a89
-4.96761;36.70322;AlbaSanchez_a9
-4.902107;35.016676;AlbaSanchez_a90
-5.072076;35.133767;AlbaSanchez_a91
-5.057928;35.118435;AlbaSanchez_a92
-5.118979;35.135797;AlbaSanchez_a93
-5.112933;35.127825;AlbaSanchez_a94
-5.102893;35.121953;AlbaSanchez_a95
-5.146365;35.006211;AlbaSanchez_a96
-4.195262;34.043501;AlbaSanchez_a97
-4.176906;34.084397;AlbaSanchez_a98
-4.178092;34.077415;AlbaSanchez_a99
59.56994;57.49276;Antipina_a1
64;60;Antipina_a10
64.02649;60.55204;Antipina_a11
63.35539;60.5567;Antipina_a12
76.4512;61.0227;Antipina_a13
79.3429;57.0444;Antipina_a14
59.5671;57.49424;Antipina_a2
60.41132;57.15065;Antipina_a3
60.54;64.23;Antipina_a4
61.04;64.13;Antipina_a5
59.55822;60.00015;Antipina_a6
60.032087;61.016751;Antipina_a7
63.35305;60.53937;Antipina_a8
64.02;60.55;Antipina_a9
60.07;59.5000202;Antipina_Galimov_a1
60.0708;59.49486;Antipina_Galimov_a2
25.34138889;42.74111111;Atanassova_a1
25.3275;42.75555556;Atanassova_a2
25.3275;42.76;Atanassova_a3
25.34083333;42.72055556;Atanassova_a4
