WTFO;TEFO;BOFO;SAVA;STEP;DESE;TUND;Best;Best.num
9.6928993404636;19.9323290178604;20.604921726995;2.66815434693116;8.70018221408431;2.66815434693116;16.2362343745076;BOFO;3
15.1988623824597;24.5275780879925;24.5275780879925;7.58460290590188;10.7561186738533;4.04583111314392;19.0299658919859;TEFO;2
10.392096960671;16.4126543514128;18.6441229384188;0.860073268621494;2.35664469270965;0.430036634310747;11.6390109595289;BOFO;3
6.96669675535485;22.0627634616751;22.9517643506764;0;1.83601953746018;0;16.0399573425653;BOFO;3
11.0321300159837;24.0079045760014;24.6475067250683;3.00756621630423;9.73873052910594;5.01889775174401;19.6190735306462;BOFO;3
8.70581266383792;17.9294753011729;18.8423462303482;3.08220700148449;9.38568573798528;0;15.3482241961384;BOFO;3
4.20667483622699;16.9657359939049;17.8228053617127;0.342467444609388;0.684934889218775;0;10.0141165385861;BOFO;3
17.4360881554319;28.2959757175783;24.1025474791357;3.01686040758471;9.09275104910782;5.50154273417757;20.7821657692065;TEFO;2
15.3467376517512;21.4198898456365;21.4198898456365;3.0076903713112;13.6226756802155;8.84301711403037;21.4198898456365;TEFO;2
22.8679162044006;26.3023193322001;25.6444167399454;8.97258684596089;18.805202118192;12.4227817122487;26.3023193322001;TEFO;2
10.2202821644177;18.538803718439;18.538803718439;0.583383351196948;2.83190986384168;2.83190986384168;17.1171819672824;TEFO;2
7.30647069962729;17.4112945677036;17.4112945677036;0;0;0;11.4121986463362;TEFO;2
4.21046215223068;15.0857766134342;15.0857766134342;0.848240646940449;0.848240646940449;0.848240646940449;13.5168048246924;TEFO;2
5.88298461128591;17.4346839193247;17.4346839193247;0.867832260336178;0.867832260336178;0.867832260336178;13.654873418976;TEFO;2
10.5414717366116;19.0760618830106;19.0760618830106;0.101015254455221;3.0304090550115;1.85961944995014;16.9708367669919;TEFO;2
7.97562291196652;23.1373559479407;23.1373559479407;3.59307033267074;7.97562291196652;0.981536873554092;17.9981938193778;TEFO;2
7.44714221434395;22.2844171349034;24.292733179089;4.39001732198819;6.96853183304782;3.86645512195434;16.1065813487138;BOFO;3
17.3213585455338;27.0019900134361;27.0019900134361;7.87200698631868;16.9534746277173;7.4687490133643;29.8249216263126;TUND;7
13.7733146552071;25.4476951911777;26.6231612392231;7.92878630779307;16.2513893677779;5.27836513898323;22.2845082771641;BOFO;3
