WTFO;TEFO;BOFO;SAVA;STEP;DESE;TUND;Best;Best.num
20.4781725959078;22.6655733487103;13.9605553212939;2.26020408537401;3.1040768245948;1.93453462103939;10.5515654269117;TEFO;2
20.7627424696527;24.8627909924284;13.0937936294481;0.929320396849225;1.85864079369845;1.85864079369845;8.52612065516462;TEFO;2
22.2856031298872;26.3030183070523;18.7790286208807;3.11012501595736;6.53154251242002;3.96143314885497;11.8843518629123;TEFO;2
19.7091581299315;24.9946116582486;19.5832279252768;2.48346955221998;5.51552267913259;4.17706490990713;14.0781677802829;TEFO;2
12.9144241275627;19.3182849942587;19.3182849942587;4.51764569218373;7.2234216531225;5.92369493537538;20.1133167546306;TUND;7
12.8676828651013;19.3659343760849;19.3659343760849;2.93102526430599;6.51127932725552;4.94235678844615;19.6556526309739;TUND;7
12.4315441964685;19.0017894202026;19.0017894202026;4.8358504641264;6.56345270093098;4.59703153546312;19.0017894202026;TEFO;2
11.2284242944209;18.4057094914853;18.4057094914853;3.71662927397494;6.09562412297455;5.2682405359969;18.8194012849742;TUND;7
10.4688049747272;17.9661349461236;17.9661349461236;3.00396562896449;6.55856528378092;5.26840940172635;19.2562908281782;TUND;7
13.8202207268294;20.8877839914914;20.8877839914914;5.04810821341898;8.07614774584693;6.30201509732864;20.3799860538612;TEFO;2
11.0596695045722;18.5499147342025;18.5499147342025;4.29419748358166;6.70963664152379;5.2002357570236;19.0546096915778;TUND;7
12.8197793850613;20.3100246146916;20.3100246146916;4.51764569218373;7.69480338152618;6.39507666377906;19.9274348314426;TEFO;2
11.9830134513608;19.501937609776;19.501937609776;5.01821578096265;8.30567087532988;5.50075453229442;20.9721746654919;TUND;7
12.5205762637718;19.9579113711876;19.9579113711876;4.77030544095449;7.74221226611381;7.08629108182411;18.3557614619059;TEFO;2
14.8896759323684;22.0624056707595;22.0624056707595;4.86095369603449;9.6285226928195;7.81407839772527;20.1056214976837;TEFO;2
17.7780776159735;24.2914890339633;23.6256090147406;5.58619162178788;10.3573917407037;7.46763149446943;22.9353447610449;TEFO;2
15.6063400842443;22.1091140846229;22.1091140846229;5.64074745580283;11.6108538423255;8.27943770381647;22.6262099854902;TUND;7
16.3107973718979;22.577592988479;22.577592988479;5.59752654392894;13.3363051189827;9.06515937154227;23.9090310456187;TUND;7
18.9957409934733;24.5377508094155;24.2584038924825;7.29074701432774;12.2520537660247;10.0678560035809;23.7277696985247;TEFO;2
17.5634763102783;22.8785492166457;22.8785492166457;7.50703366961582;13.632391861511;10.1795489553976;24.4516814016166;TUND;7
16.4918872457511;22.4350257684511;22.4350257684511;7.72527018215819;12.1921968237909;9.91220482583141;22.4350257684511;TEFO;2
17.4697948564103;22.887427762025;22.887427762025;6.85243830301958;11.7102153678844;9.5994751896531;23.2983262184299;TUND;7
17.3827171468893;22.5072233084624;22.5072233084624;7.8217440268408;14.4267720918056;9.80066339210558;24.5406689644271;TUND;7
